distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,90.33333333333333,73.5,107.25,62,113,6,True
0.1,87.0,76.5,97.0,67,108,3,True
0.2,82.5,80.75,84.25,79,86,2,True
0.3,103.33333333333333,98.5,112.0,86,113,3,True
0.4,94.0,78.5,109.5,63,125,2,True
0.5,84.0,75.5,92.5,67,101,3,True
0.6,76.33333333333333,64.0,87.75,62,93,6,True
0.7,83.0,75.0,81.0,62,118,5,True
0.8,83.16666666666667,67.5,93.75,62,118,6,True
0.9,73.5,65.75,75.75,62,96,4,True
1.0,90.5,71.25,108.75,63,120,4,True
1.1,99.66666666666667,89.5,118.5,62,120,3,True
1.2,88.2,63.0,117.0,62,120,5,True
1.3,67.5,61.5,71.5,60,79,4,True
1.4,70.5,61.5,79.5,60,81,4,True
1.5,84.66666666666667,72.0,95.5,63,110,3,True
1.6,80.25,66.0,88.25,63,110,4,True
1.7,65.0,64.0,66.0,63,67,2,True
1.8,63.333333333333336,61.5,65.0,60,67,3,True
1.9,71.4,62.0,67.0,60,105,5,True
2.0,88.33333333333333,63.25,103.5,60,149,6,True
2.1,104.33333333333333,73.5,137.25,60,149,6,True
2.2,98.5,78.5,111.5,62,149,4,True
2.3,73.0,67.5,78.5,62,84,2,True
2.4,103.0,103.0,103.0,103,103,1,True
2.5,115.2,89.0,134.0,84,166,5,True
2.6,89.0,89.0,89.0,89,89,1,True
2.7,74.5,67.25,81.75,60,89,2,True
2.8,74.5,67.25,81.75,60,89,2,True
2.9,108.0,86.5,120.0,84,151,3,True
3.0,95.5,80.5,108.5,70,125,4,True
3.1,120.0,104.0,131.5,98,151,4,True
3.2,93.6,84.0,103.0,69,113,5,True
3.3,82.83333333333333,69.25,95.25,62,113,6,True
3.4,85.4,74.0,84.0,63,125,5,True
3.5,74.4,70.0,81.0,63,84,5,True
3.6,104.6,87.0,122.0,70,151,5,True
3.7,92.6,74.0,93.0,70,151,5,True
3.8,73.0,68.5,78.0,63,82,3,True
3.9,77.8,75.0,81.0,74,82,5,True
4.0,86.83333333333333,78.25,90.75,63,122,6,True
4.1,89.0,73.5,95.0,63,134,4,True
4.2,103.75,89.75,112.5,65,153,4,True
4.3,107.6,87.0,127.0,65,153,5,True
4.4,120.0,104.25,133.25,99,146,4,True
4.5,119.0,101.5,129.5,98,154,3,True
4.6,123.5,108.75,138.25,94,153,2,True
4.7,94.0,94.0,94.0,94,94,1,True
4.8,123.2,127.0,141.0,60,154,5,True
4.9,124.0,118.75,135.75,94,141,4,True
5.0,124.0,118.75,135.75,94,141,4,True
5.1,127.5,110.25,159.75,60,165,4,True
5.2,146.0,140.0,149.5,139,158,3,True
5.3,108.4,79.0,141.0,65,147,5,True
5.4,117.4,103.0,132.0,89,141,5,True
5.5,128.0,122.0,144.0,79,154,5,True
5.6,138.0,136.5,139.5,135,141,2,True
5.7,95.16666666666667,80.25,103.25,70,135,6,True
5.8,95.5,79.75,100.25,72,149,6,True
5.9,128.0,112.5,143.0,98,159,3,True
6.0,82.5,74.75,90.25,67,98,2,True
6.1,87.0,81.5,95.5,70,98,3,True
6.2,95.5,69.75,116.25,69,132,4,True
6.3,106.25,76.5,128.25,69,159,4,True
6.4,83.0,70.0,98.0,67,99,5,True
6.5,91.0,69.75,93.25,69,151,4,True
6.6,112.0,91.25,138.0,81,154,6,True
6.7,104.0,91.25,103.5,79,154,6,True
6.8,91.6,79.0,98.0,69,123,5,True
6.9,96.0,74.75,98.75,69,151,6,True
7.0,91.0,66.0,105.5,62,141,3,True
7.1,99.0,85.25,107.25,62,147,4,True
7.2,114.0,92.0,136.5,86,141,4,True
7.3,111.0,80.25,144.25,63,154,4,True
7.4,117.75,95.0,146.25,65,159,4,True
7.5,115.33333333333333,99.5,126.5,93,147,3,True
7.6,120.66666666666667,101.5,134.5,93,159,3,True
7.7,99.0,91.5,107.0,87,110,4,True
7.8,125.25,99.0,150.75,87,165,4,True
7.9,109.0,72.25,138.75,67,165,4,True
8.0,129.0,119.75,153.25,74,154,4,True
8.1,100.66666666666667,83.5,114.0,74,135,3,True
8.2,86.25,66.0,102.75,63,117,4,True
8.3,74.33333333333333,65.0,80.0,63,93,3,True
8.4,88.66666666666667,74.5,99.5,67,117,3,True
8.5,107.0,93.5,119.5,82,134,3,True
8.6,100.75,90.5,112.25,65,134,4,True
8.7,112.66666666666667,102.0,119.5,99,134,3,True
8.8,105.0,84.0,111.0,74,151,5,True
8.9,113.25,104.5,116.25,103,135,4,True
9.0,105.66666666666667,91.5,116.5,84,134,3,True
9.1,99.8,84.0,110.0,65,141,5,True
9.2,99.8,84.0,117.0,65,123,5,True
9.3,121.0,116.5,126.5,110,130,3,True
9.4,113.0,104.5,120.0,99,130,3,True
9.5,98.5,98.25,98.75,98,99,2,True
9.6,116.5,113.75,119.25,111,122,2,True
9.7,97.5,90.75,104.25,84,111,2,True
9.8,102.83333333333333,75.0,119.75,60,154,6,True
9.9,107.25,99.75,115.0,84,130,4,True
10.0,110.0,99.0,130.0,60,151,5,True
10.1,80.8,65.0,99.0,60,110,5,True
10.2,105.6,84.0,110.0,65,166,5,True
10.3,90.8,82.0,99.0,67,122,5,True
10.4,104.25,95.5,116.25,67,135,4,True
10.5,98.0,92.0,107.5,79,110,3,True
10.6,111.0,99.5,119.5,94,134,3,True
10.7,112.66666666666667,102.0,119.5,99,134,3,True
10.8,110.5,93.75,130.75,60,154,4,True
10.9,110.5,93.75,130.75,60,154,4,True
