distance_km,year,peak_date,peak_doy,peak_val
0.0,2018,2018-10-22,295,0.3844674825668335
0.1,2018,2018-10-10,283,0.30473241209983826
0.2,2018,2018-09-28,271,0.3479180932044983
0.3,2018,2018-09-28,271,0.3038988411426544
0.4,2018,2018-04-13,103,0.14204153418540955
0.5,2018,2018-03-08,67,0.29195958375930786
0.6,2018,2018-06-24,175,0.32864171266555786
0.7,2018,2018-05-19,139,0.35626062750816345
0.8,2018,2018-10-22,295,0.3061668872833252
0.9,2018,2018-03-20,79,0.30744966864585876
1.0,2018,2018-09-28,271,0.18602152168750763
1.1,2018,2018-05-19,139,0.2410467267036438
1.2,2018,2018-03-20,79,0.23746353387832642
1.3,2018,2018-04-13,103,0.25760579109191895
1.4,2018,2018-10-10,283,0.2493249475955963
1.5,2018,2018-03-20,79,0.22299368679523468
1.6,2018,2018-03-20,79,0.1743737757205963
1.7,2018,2018-03-08,67,0.18123368918895721
1.8,2018,2018-03-08,67,0.17360523343086243
1.9,2018,2018-09-16,259,0.20638227462768555
2.0,2018,2018-09-16,259,0.2088240385055542
2.1,2018,2018-06-24,175,0.29955214262008667
2.2,2018,2018-08-23,235,0.29181933403015137
2.3,2018,2018-10-10,283,0.17343951761722565
2.4,2018,2018-08-11,223,0.31216591596603394
2.5,2018,2018-08-23,235,0.31194525957107544
2.6,2018,2018-07-30,211,0.36036306619644165
2.7,2018,2018-05-19,139,0.30665165185928345
2.8,2018,2018-05-19,139,0.2696124315261841
2.9,2018,2018-08-23,235,0.37570229172706604
3.0,2018,2018-05-19,139,0.4029359817504883
3.1,2018,2018-08-23,235,0.5081949234008789
3.2,2018,2018-04-13,103,0.6368921995162964
3.3,2018,2018-05-19,139,1.236129879951477
3.4,2018,2018-07-30,211,1.784757375717163
3.5,2018,2018-07-30,211,1.9781849384307861
3.6,2018,2018-06-24,175,2.110555410385132
3.7,2018,2018-03-08,67,1.861655354499817
3.8,2018,2018-09-04,247,1.2183310985565186
3.9,2018,2018-09-04,247,2.353952646255493
4.0,2018,2018-08-23,235,2.3180460929870605
4.1,2018,2018-06-24,175,2.277836322784424
4.2,2018,2018-07-18,199,2.122685432434082
4.3,2018,2018-05-31,151,3.2109391689300537
4.4,2018,2018-06-24,175,2.672027349472046
4.5,2018,2018-06-24,175,2.6626136302948
4.6,2018,2018-05-07,127,2.1421635150909424
4.7,2018,2018-08-11,223,1.4516818523406982
4.8,2018,2018-09-16,259,3.460813045501709
4.9,2018,2018-09-16,259,2.7901530265808105
5.0,2018,2018-09-16,259,2.7901530265808105
5.1,2018,2018-05-07,127,2.31027889251709
5.2,2018,2018-07-18,199,1.851641058921814
5.3,2018,2018-07-18,199,1.6021459102630615
5.4,2018,2018-04-13,103,2.0821316242218018
5.5,2018,2018-07-18,199,2.2983932495117188
5.6,2018,2018-08-11,223,1.8377236127853394
5.7,2018,2018-06-24,175,1.6550581455230713
5.8,2018,2018-06-24,175,2.5042166709899902
5.9,2018,2018-09-28,271,1.5174649953842163
6.0,2018,2018-09-28,271,1.1294944286346436
6.1,2018,2018-10-10,283,0.910395622253418
6.2,2018,2018-10-10,283,1.4533191919326782
6.3,2018,2018-03-20,79,1.0543577671051025
6.4,2018,2018-07-18,199,1.507832407951355
6.5,2018,2018-08-11,223,1.942474365234375
6.6,2018,2018-08-11,223,1.809335708618164
6.7,2018,2018-05-31,151,2.6966075897216797
6.8,2018,2018-07-30,211,1.5639610290527344
6.9,2018,2018-05-31,151,2.2181975841522217
7.0,2018,2018-09-16,259,2.1037189960479736
7.1,2018,2018-09-16,259,1.270694375038147
7.2,2018,2018-05-31,151,1.9017219543457031
7.3,2018,2018-09-04,247,2.0284202098846436
7.4,2018,2018-08-11,223,1.8413474559783936
7.5,2018,2018-08-11,223,2.0697615146636963
7.6,2018,2018-08-11,223,1.9137619733810425
7.7,2018,2018-08-11,223,1.8687496185302734
7.8,2018,2018-07-18,199,1.2887332439422607
7.9,2018,2018-07-18,199,1.0670150518417358
8.0,2018,2018-08-11,223,1.5509206056594849
8.1,2018,2018-08-11,223,1.2029118537902832
8.2,2018,2018-07-18,199,3.0763237476348877
8.3,2018,2018-07-30,211,2.756322145462036
8.4,2018,2018-05-31,151,2.4182417392730713
8.5,2018,2018-05-31,151,2.929405450820923
8.6,2018,2018-09-16,259,3.09188175201416
8.7,2018,2018-05-31,151,1.7073618173599243
8.8,2018,2018-06-24,175,1.658601999282837
8.9,2018,2018-05-07,127,2.520665407180786
9.0,2018,2018-07-18,199,2.198732376098633
9.1,2018,2018-08-23,235,1.2131932973861694
9.2,2018,2018-07-30,211,3.946857213973999
9.3,2018,2018-05-07,127,1.9665169715881348
9.4,2018,2018-05-07,127,1.5965204238891602
9.5,2018,2018-05-07,127,1.524019479751587
9.6,2018,2018-05-31,151,1.4145491123199463
9.7,2018,2018-06-24,175,1.6525105237960815
9.8,2018,2018-08-23,235,3.042562246322632
9.9,2018,2018-05-31,151,3.911597490310669
10.0,2018,2018-05-31,151,2.4042649269104004
10.1,2018,2018-06-24,175,1.6531612873077393
10.2,2018,2018-10-10,283,2.2346978187561035
10.3,2018,2018-10-10,283,1.726306438446045
10.4,2018,2018-05-19,139,2.125576972961426
10.5,2018,2018-06-24,175,2.432447671890259
10.6,2018,2018-05-07,127,2.93589448928833
10.7,2018,2018-07-30,211,1.5588176250457764
10.8,2018,2018-05-19,139,2.805366039276123
10.9,2018,2018-05-19,139,4.075097560882568
11.0,2018,2018-08-23,235,1.221777081489563
11.1,2018,2018-07-18,199,3.7501461505889893
11.2,2018,2018-09-28,271,3.091620445251465
11.3,2018,2018-09-28,271,3.009511709213257
11.4,2018,2018-09-28,271,3.435421943664551
11.5,2018,2018-09-28,271,3.0880370140075684
11.6,2018,2018-05-31,151,1.4019628763198853
11.7,2018,2018-05-31,151,1.2413382530212402
11.8,2018,2018-07-30,211,2.217947244644165
11.9,2018,2018-07-30,211,3.0778539180755615
12.0,2018,2018-07-18,199,2.3444719314575195
12.1,2018,2018-05-31,151,2.294965982437134
12.2,2018,2018-05-31,151,2.3116979598999023
12.3,2018,2018-05-31,151,2.4491682052612305
12.4,2018,2018-05-31,151,2.442143440246582
12.5,2018,2018-08-11,223,1.5385602712631226
12.6,2018,2018-08-11,223,1.6329960823059082
12.7,2018,2018-08-11,223,1.5343732833862305
12.8,2018,2018-08-23,235,3.189789056777954
12.9,2018,2018-09-04,247,2.151904821395874
13.0,2018,2018-09-04,247,2.151904821395874
13.1,2018,2018-07-30,211,2.764864206314087
13.2,2018,2018-05-19,139,2.12699818611145
13.3,2018,2018-06-24,175,2.125542640686035
13.4,2018,2018-06-24,175,1.6827030181884766
13.5,2018,2018-07-18,199,1.2411832809448242
13.6,2018,2018-05-19,139,1.0791001319885254
13.7,2018,2018-05-19,139,1.0722861289978027
13.8,2018,2018-05-19,139,1.0114043951034546
13.9,2018,2018-05-19,139,1.0113673210144043
14.0,2018,2018-07-18,199,0.8302759528160095
14.1,2018,2018-07-18,199,0.8335880637168884
14.2,2018,2018-09-04,247,0.7933639287948608
14.3,2018,2018-09-04,247,0.7350978851318359
14.4,2018,2018-09-04,247,0.6730258464813232
14.5,2018,2018-08-23,235,0.7426295280456543
14.6,2018,2018-09-04,247,0.9051428437232971
14.7,2018,2018-05-19,139,1.5666403770446777
14.8,2018,2018-05-19,139,1.9627695083618164
14.9,2018,2018-05-31,151,1.9958021640777588
15.0,2018,2018-08-11,223,1.1334770917892456
15.1,2018,2018-05-31,151,1.9168821573257446
15.2,2018,2018-09-04,247,1.1477285623550415
15.3,2018,2018-06-24,175,1.3167191743850708
15.4,2018,2018-06-24,175,1.3946360349655151
15.5,2018,2018-06-24,175,1.5861061811447144
15.6,2018,2018-06-24,175,3.3089635372161865
15.7,2018,2018-06-24,175,3.36592960357666
15.8,2018,2018-08-23,235,4.334022045135498
15.9,2018,2018-09-04,247,2.7988200187683105
16.0,2018,2018-09-28,271,2.9474427700042725
16.1,2018,2018-05-31,151,2.5914337635040283
16.2,2018,2018-05-31,151,2.5914337635040283
16.3,2018,2018-06-24,175,1.2559223175048828
16.4,2018,2018-05-19,139,1.1406522989273071
16.5,2018,2018-05-31,151,4.685423374176025
16.6,2018,2018-08-23,235,3.4781436920166016
16.7,2018,2018-08-23,235,3.0981154441833496
16.8,2018,2018-09-16,259,1.6778936386108398
16.9,2018,2018-09-16,259,1.3944495916366577
17.0,2018,2018-06-24,175,1.3020299673080444
17.1,2018,2018-09-04,247,2.4470574855804443
17.2,2018,2018-04-13,103,3.0169084072113037
17.3,2018,2018-07-18,199,3.1283740997314453
17.4,2018,2018-07-18,199,3.173881769180298
17.5,2018,2018-05-19,139,3.0582399368286133
17.6,2018,2018-05-19,139,2.6839771270751953
17.7,2018,2018-08-11,223,4.1438188552856445
17.8,2018,2018-07-18,199,1.8108916282653809
17.9,2018,2018-10-10,283,2.549415349960327
18.0,2018,2018-09-04,247,3.246086597442627
18.1,2018,2018-05-31,151,1.4688289165496826
18.2,2018,2018-09-04,247,2.0686838626861572
18.3,2018,2018-09-16,259,3.2825469970703125
18.4,2018,2018-09-04,247,3.196321964263916
18.5,2018,2018-09-04,247,3.0076894760131836
18.6,2018,2018-07-30,211,2.955235004425049
18.7,2018,2018-06-24,175,2.669792652130127
18.8,2018,2018-05-07,127,2.2598419189453125
18.9,2018,2018-05-07,127,2.7647714614868164
19.0,2018,2018-05-07,127,2.7987210750579834
19.1,2018,2018-06-24,175,1.3037441968917847
19.2,2018,2018-07-18,199,3.0781447887420654
19.3,2018,2018-09-16,259,1.5833293199539185
19.4,2018,2018-09-16,259,2.5368332862854004
19.5,2018,2018-09-16,259,3.171828508377075
19.6,2018,2018-07-18,199,0.9044754505157471
19.7,2018,2018-09-04,247,2.5376453399658203
