s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,563334.6445572517,3992122.4752800106,6395.6187,30.617071,0.12640429
0.1,563365.9225099358,3992037.8676194483,6320.9736,26.218845,0.117705934
0.2,563464.4060986184,3992023.3644826575,6376.99,21.22119,0.12863488
0.3,563562.5158134212,3992008.8752979003,6339.7896,22.142887,0.12865318
0.4,563652.2627095099,3991965.4072585143,6252.317,24.461098,0.12262776
0.5,563734.4448936557,3991908.5507092597,6212.5884,28.179745,0.12246912
0.6,563810.6812939227,3991843.884767268,6098.961,41.85435,0.1291584
0.7,563883.0433916645,3991774.894769262,5990.5938,37.080536,0.1351135
0.8,563947.4396806645,3991698.7817201386,5886.41,26.630135,0.12861143
0.9,563999.2555864841,3991613.5196824423,5763.745,44.33022,0.12891188
1.0,564039.8177253064,3991522.3002934563,5687.07,49.216812,0.105531245
1.1,564070.9982864702,3991427.4201784916,5638.5493,64.08329,0.10042926
1.2,564094.6504048377,3991330.3457498876,5620.454,70.38225,0.09784566
1.3,564112.3541152661,3991231.94949315,5606.052,77.30147,0.10505324
1.4,564123.6450840713,3991132.588967671,5586.8906,83.59662,0.105868496
1.5,564130.5652336339,3991032.8666171557,5565.895,89.91269,0.10112311
1.6,564134.6445572523,3990932.9727775957,5550.781,94.98254,0.09810717
1.7,564134.6445572524,3990832.9727775957,5534.9224,100.494705,0.09623456
1.8,564130.0257357992,3990733.1536301477,5498.078,106.118935,0.10331506
1.9,564122.2066112672,3990633.4597923663,5470.954,113.594,0.11222575
2.0,564106.4708913183,3990534.7081915885,5448.203,123.41388,0.1217078
2.1,564087.3993084533,3990436.6255044127,5434.7456,131.1447,0.1301251
2.2,564063.6124355153,3990339.49577325,5423.264,138.77548,0.13069014
2.3,564033.2967627059,3990244.2502200357,5406.55,151.44594,0.1343125
2.4,563999.7753470526,3990150.1009597057,5398.3096,150.8734,0.14025854
2.5,563960.6198306428,3990058.0854961425,5397.715,143.89029,0.14366223
2.6,563916.807050424,3989968.271715588,5403.5474,150.4451,0.14245838
2.7,563870.3239089842,3989879.7425618167,5395.556,143.0414,0.14602736
2.8,563817.4937203052,3989794.8369014394,5372.063,143.73492,0.15322596
2.9,563762.3991819135,3989711.4562125844,5338.6055,141.69688,0.15294455
3.0,563703.5820121458,3989630.5826041545,5318.357,161.10332,0.16724724
3.1,563646.7223368351,3989548.3374555577,5309.164,179.12442,0.18966755
3.2,563591.192039433,3989465.18326222,5307.128,179.12442,0.23020624
3.3,563538.7822968673,3989380.017430549,5308.4614,189.2069,0.29090282
3.4,563489.3459092403,3989293.1235710527,5305.2646,195.15208,0.3604443
3.5,563443.382929953,3989204.3626456643,5301.172,203.88077,0.45000285
3.6,563402.252602323,3989113.264721986,5289.848,207.33932,0.52574104
3.7,563368.0424084148,3989019.3608141392,5280.9517,217.36192,0.4952359
3.8,563343.9482102956,3988922.430305084,5276.954,227.98067,0.476276
3.9,563334.644557253,3988823.128513,5275.506,240.53339,0.48379165
4.0,563350.8582774937,3988725.26238144,5276.017,244.75827,0.4928617
4.1,563388.6754671611,3988633.0276625375,5274.4927,255.39207,0.531964
4.2,563437.6258090577,3988546.0236007874,5266.2886,255.7073,0.58334184
