distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,210.85714285714286,190.5,234.0,7,True
0.1,174.85714285714286,155.0,191.5,7,True
0.2,195.42857142857142,157.0,245.0,7,True
0.3,207.42857142857142,188.0,241.5,7,True
0.4,173.14285714285714,150.5,198.0,7,True
0.5,166.28571428571428,114.0,217.5,7,True
0.6,162.85714285714286,103.5,206.5,7,True
0.7,205.71428571428572,174.0,240.0,7,True
0.8,190.28571428571428,141.5,243.5,7,True
0.9,169.71428571428572,86.5,239.5,7,True
1.0,198.85714285714286,179.0,237.5,7,True
1.1,169.71428571428572,131.0,211.0,7,True
1.2,193.71428571428572,140.0,241.0,7,True
1.3,204.0,140.0,265.0,7,True
1.4,166.28571428571428,107.0,201.5,7,True
1.5,154.28571428571428,107.0,175.0,7,True
1.6,102.85714285714286,77.0,104.5,7,True
1.7,202.28571428571428,153.5,276.0,7,True
1.8,193.71428571428572,109.5,256.5,7,True
1.9,116.57142857142857,91.5,120.0,7,True
2.0,200.57142857142858,162.0,246.5,7,True
2.1,188.57142857142858,128.0,241.5,7,True
2.2,157.71428571428572,110.0,191.0,7,True
2.3,185.14285714285714,143.0,235.0,7,True
2.4,202.28571428571428,120.0,276.0,7,True
2.5,176.57142857142858,113.5,247.5,7,True
2.6,183.42857142857142,95.5,247.5,7,True
2.7,193.71428571428572,133.0,276.0,7,True
2.8,204.0,161.0,276.0,7,True
2.9,152.57142857142858,86.5,218.5,7,True
3.0,156.0,98.5,219.5,7,True
3.1,126.85714285714286,87.5,155.0,7,True
3.2,121.71428571428571,71.5,144.5,7,True
3.3,147.42857142857142,81.5,210.5,7,True
3.4,145.71428571428572,76.5,204.0,7,True
3.5,195.42857142857142,106.5,272.5,7,True
3.6,193.71428571428572,91.0,276.0,7,True
3.7,166.28571428571428,85.0,266.0,7,True
3.8,132.0,72.0,180.0,7,True
3.9,130.28571428571428,76.0,174.0,7,True
4.0,152.57142857142858,87.5,201.5,7,True
4.1,176.57142857142858,91.0,282.0,7,True
4.2,183.42857142857142,114.0,279.5,7,True
4.3,145.71428571428572,80.5,192.0,7,True
4.4,152.57142857142858,62.5,241.0,7,True
4.5,171.42857142857142,105.5,247.5,7,True
4.6,164.57142857142858,98.0,237.5,7,True
4.7,212.57142857142858,150.5,279.5,7,True
4.8,169.71428571428572,91.0,266.5,7,True
4.9,173.14285714285714,101.5,236.5,7,True
5.0,152.57142857142858,70.5,235.5,7,True
5.1,228.0,176.5,286.5,7,True
5.2,229.71428571428572,180.0,290.5,7,True
5.3,245.14285714285714,236.5,294.0,7,True
5.4,226.28571428571428,175.0,290.5,7,True
5.5,224.57142857142858,170.5,290.5,7,True
5.6,214.28571428571428,146.5,279.5,7,True
5.7,135.42857142857142,69.5,184.5,7,True
5.8,166.28571428571428,66.0,287.0,7,True
5.9,102.85714285714286,66.5,85.0,7,True
6.0,80.57142857142857,72.0,84.0,7,True
6.1,192.0,76.0,282.0,7,True
6.2,128.57142857142858,66.0,168.0,7,True
6.3,195.42857142857142,81.5,287.0,7,True
6.4,169.71428571428572,133.5,215.0,7,True
6.5,236.57142857142858,212.5,289.5,7,True
6.6,190.28571428571428,162.5,197.5,7,True
6.7,176.57142857142858,136.0,224.5,7,True
6.8,162.85714285714286,137.5,164.5,7,True
6.9,145.71428571428572,129.5,162.0,7,True
7.0,132.0,115.0,150.0,7,True
7.1,183.42857142857142,119.0,262.5,7,True
7.2,156.0,117.5,171.5,7,True
7.3,195.42857142857142,146.5,252.5,7,True
7.4,174.85714285714286,133.0,206.5,7,True
7.5,168.0,86.5,225.5,7,True
7.6,173.14285714285714,110.5,218.5,7,True
7.7,200.57142857142858,169.0,242.0,7,True
7.8,149.14285714285714,69.5,209.5,7,True
7.9,181.71428571428572,107.0,277.5,7,True
8.0,166.28571428571428,117.5,208.5,7,True
8.1,145.71428571428572,68.0,187.0,7,True
8.2,130.28571428571428,68.0,167.0,7,True
8.3,92.57142857142857,66.0,108.0,7,True
8.4,92.57142857142857,66.0,108.0,7,True
8.5,162.85714285714286,98.5,214.0,7,True
8.6,144.0,78.5,195.5,7,True
8.7,147.42857142857142,75.5,223.0,7,True
8.8,156.0,84.5,225.5,7,True
8.9,137.14285714285714,111.5,128.5,7,True
9.0,198.85714285714286,125.0,278.5,7,True
9.1,190.28571428571428,121.5,278.5,7,True
9.2,190.28571428571428,84.0,276.0,7,True
9.3,231.42857142857142,211.5,284.5,7,True
9.4,166.28571428571428,79.0,274.0,7,True
9.5,205.71428571428572,113.0,284.5,7,True
9.6,176.57142857142858,94.5,280.5,7,True
9.7,202.28571428571428,113.0,285.5,7,True
9.8,233.14285714285714,195.5,286.0,7,True
9.9,123.42857142857143,83.0,139.5,7,True
10.0,149.14285714285714,65.0,219.5,7,True
10.1,176.57142857142858,100.0,232.5,7,True
10.2,169.71428571428572,104.5,224.5,7,True
10.3,180.0,116.5,224.5,7,True
10.4,161.14285714285714,94.0,224.5,7,True
10.5,130.28571428571428,68.5,169.5,7,True
10.6,159.42857142857142,62.5,260.5,7,True
10.7,150.85714285714286,62.5,230.5,7,True
10.8,138.85714285714286,66.5,204.0,7,True
10.9,128.57142857142858,66.5,168.0,7,True
11.0,157.71428571428572,66.5,250.5,7,True
11.1,147.42857142857142,72.5,207.5,7,True
11.2,173.14285714285714,111.5,231.5,7,True
11.3,186.85714285714286,118.0,280.5,7,True
11.4,164.57142857142858,80.5,240.0,7,True
11.5,162.85714285714286,77.0,237.5,7,True
11.6,228.0,194.5,266.5,7,True
11.7,224.57142857142858,178.0,266.0,7,True
11.8,186.85714285714286,169.5,231.5,7,True
11.9,228.0,203.0,269.5,7,True
12.0,195.42857142857142,151.5,243.5,7,True
12.1,209.14285714285714,155.0,269.5,7,True
12.2,202.28571428571428,136.0,269.5,7,True
12.3,137.14285714285714,73.5,181.0,7,True
12.4,164.57142857142858,103.5,224.5,7,True
12.5,154.28571428571428,95.0,211.5,7,True
12.6,180.0,95.0,252.0,7,True
12.7,149.14285714285714,73.0,239.0,7,True
12.8,114.85714285714286,72.0,122.5,7,True
12.9,109.71428571428571,72.0,122.5,7,True
13.0,138.85714285714286,85.5,181.5,7,True
13.1,138.85714285714286,85.5,181.5,7,True
13.2,226.28571428571428,208.0,241.0,7,True
13.3,193.71428571428572,135.5,254.5,7,True
13.4,231.42857142857142,208.0,290.0,7,True
13.5,178.28571428571428,97.0,248.0,7,True
13.6,183.42857142857142,128.5,228.0,7,True
13.7,197.14285714285714,180.0,230.5,7,True
13.8,200.57142857142858,195.5,219.5,7,True
13.9,205.71428571428572,180.0,230.5,7,True
14.0,207.42857142857142,169.5,258.0,7,True
14.1,190.28571428571428,140.5,248.5,7,True
14.2,120.0,102.75,140.25,8,True
14.3,168.0,159.5,188.5,8,True
14.4,156.0,126.75,179.75,8,True
14.5,163.5,148.75,179.75,8,True
14.6,136.5,115.25,156.75,8,True
14.7,145.5,132.0,171.0,8,True
14.8,156.0,147.25,172.5,8,True
14.9,189.0,153.75,230.25,8,True
15.0,243.0,238.5,254.25,8,True
15.1,171.0,147.0,203.75,8,True
15.2,214.5,205.0,235.5,8,True
15.3,195.0,161.0,231.0,8,True
15.4,226.5,184.5,266.0,8,True
15.5,178.5,125.25,249.0,8,True
15.6,174.0,125.75,236.25,8,True
15.7,178.5,99.75,236.25,8,True
15.8,177.0,99.75,236.25,8,True
15.9,187.5,120.5,264.5,8,True
16.0,166.5,129.0,200.75,8,True
16.1,214.5,189.5,243.75,8,True
16.2,169.5,132.25,210.0,8,True
16.3,169.5,132.25,210.0,8,True
16.4,172.5,101.5,240.75,8,True
16.5,163.5,98.5,213.0,8,True
16.6,136.5,99.25,172.25,8,True
16.7,190.5,142.5,243.75,8,True
16.8,157.5,112.5,185.5,8,True
16.9,154.5,114.75,169.0,8,True
17.0,154.5,114.75,169.0,8,True
17.1,196.5,148.5,232.75,8,True
17.2,198.0,171.25,226.5,8,True
17.3,175.5,114.75,241.5,8,True
17.4,153.0,128.25,184.75,8,True
17.5,144.0,94.75,209.25,8,True
17.6,210.0,167.25,244.0,8,True
17.7,223.5,195.5,252.75,8,True
17.8,223.5,195.5,252.75,8,True
17.9,163.5,103.5,209.25,8,True
18.0,226.5,211.75,243.75,8,True
18.1,201.0,170.0,243.75,8,True
18.2,213.0,197.25,260.75,8,True
18.3,240.0,236.25,257.75,8,True
18.4,162.0,139.25,182.5,8,True
18.5,160.5,136.5,184.75,8,True
18.6,156.0,107.75,214.75,8,True
18.7,156.0,107.75,214.75,8,True
18.8,178.5,147.25,217.5,8,True
18.9,151.5,102.75,168.0,8,True
19.0,163.5,107.25,189.75,8,True
19.1,163.5,107.25,189.75,8,True
19.2,156.0,116.25,169.0,8,True
19.3,121.5,95.5,132.75,8,True
19.4,160.5,110.25,239.25,8,True
19.5,144.0,99.0,177.25,8,True
19.6,144.0,99.0,177.25,8,True
19.7,214.5,164.5,257.75,8,True
19.8,220.5,205.25,259.25,8,True
19.9,229.5,227.25,264.5,8,True
20.0,181.5,126.75,244.75,8,True
20.1,181.5,126.75,244.75,8,True
20.2,186.0,147.75,226.75,8,True
20.3,211.5,176.5,264.5,8,True
20.4,231.0,178.75,283.25,8,True
20.5,240.0,207.75,283.25,8,True
20.6,210.0,195.0,218.25,8,True
20.7,213.0,196.0,232.25,8,True
20.8,217.5,194.25,278.75,8,True
20.9,219.0,190.75,251.75,8,True
21.0,228.0,194.25,251.75,8,True
21.1,234.0,194.25,278.75,8,True
21.2,234.0,194.25,278.75,8,True
21.3,190.5,161.0,241.75,8,True
21.4,217.5,161.75,254.75,8,True
