distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,85.66666666666667,79.0,90.0,77,99,3,True
0.1,91.66666666666667,83.5,97.0,81,108,3,True
0.2,91.66666666666667,83.5,97.0,81,108,3,True
0.3,110.0,110.0,110.0,110,110,1,True
0.4,110.0,110.0,110.0,110,110,1,True
0.5,119.0,112.5,125.5,106,132,2,True
0.6,119.66666666666667,97.0,148.5,62,165,3,True
0.7,113.5,87.75,139.25,62,165,2,True
0.8,107.25,92.75,118.5,62,159,4,True
0.9,104.0,82.5,125.0,62,147,3,True
1.0,104.0,76.5,125.0,62,159,3,True
1.1,135.0,126.5,148.0,110,151,4,True
1.2,113.66666666666667,102.0,136.0,69,137,3,True
1.3,144.0,134.25,152.75,132,158,4,True
1.4,113.16666666666667,79.25,134.25,67,166,6,True
1.5,112.85714285714286,80.0,136.0,60,166,7,True
1.6,91.5,80.0,101.25,70,110,8,True
1.7,109.5,82.5,142.5,70,165,8,True
1.8,112.5,82.5,159.5,70,165,8,True
1.9,94.71428571428571,75.5,98.5,70,159,7,True
2.0,106.5,77.25,122.25,70,165,8,True
2.1,116.2,101.0,132.0,79,159,5,True
2.2,112.25,97.25,123.0,86,147,4,True
2.3,87.0,70.0,101.0,63,115,5,True
2.4,93.16666666666667,74.5,108.0,62,141,6,True
2.5,93.16666666666667,74.5,108.0,62,141,6,True
2.6,93.16666666666667,67.0,117.0,60,141,6,True
2.7,80.2,72.0,82.0,67,99,5,True
2.8,96.8,81.0,118.0,67,134,5,True
2.9,100.42857142857143,82.5,126.0,67,135,7,True
3.0,72.8,67.0,81.0,62,82,5,True
3.1,72.8,67.0,81.0,62,82,5,True
3.2,87.8,70.0,108.0,62,127,5,True
3.3,82.75,68.0,85.75,62,127,4,True
3.4,116.66666666666667,111.5,124.5,101,127,3,True
3.5,122.75,111.5,129.75,101,153,4,True
3.6,112.66666666666667,108.0,118.5,101,122,3,True
3.7,112.66666666666667,108.0,118.5,101,122,3,True
3.8,86.5,65.25,106.75,62,125,6,True
3.9,100.0,67.75,122.5,62,153,6,True
4.0,83.0,63.0,93.0,62,115,5,True
4.1,85.4,63.0,94.0,62,115,5,True
4.2,90.0,62.75,105.75,62,141,4,True
4.3,114.0,92.0,136.5,86,141,4,True
4.4,95.0,80.75,104.25,65,135,4,True
4.5,95.0,68.75,104.25,65,159,4,True
4.6,104.0,80.75,119.25,65,159,4,True
4.7,115.75,80.75,154.5,65,159,4,True
4.8,113.8,86.0,153.0,65,159,5,True
4.9,128.5,120.5,142.5,86,159,4,True
5.0,128.5,120.5,142.5,86,159,4,True
5.1,105.5,95.75,115.25,86,125,2,True
5.2,122.0,122.0,122.0,122,122,1,True
5.3,141.66666666666666,133.0,146.5,132,159,3,True
5.4,133.0,132.5,133.5,132,134,2,True
5.5,117.5,109.25,125.75,101,134,2,True
5.6,100.66666666666667,84.0,117.5,67,134,3,True
5.7,113.75,92.5,138.75,67,153,4,True
5.8,122.75,117.25,141.0,67,153,4,True
5.9,131.0,134.0,137.0,96,153,5,True
6.0,133.0,127.5,141.0,108,153,4,True
6.1,128.5,124.25,137.25,101,147,4,True
6.2,95.33333333333333,69.5,110.5,65,147,3,True
6.3,109.75,71.75,148.5,65,153,4,True
6.4,68.66666666666667,66.0,70.5,65,74,3,True
6.5,68.66666666666667,66.0,70.5,65,74,3,True
6.6,112.66666666666667,100.5,135.5,67,137,3,True
6.7,106.33333333333333,92.5,120.0,79,134,3,True
6.8,108.0,95.0,121.0,82,134,2,True
6.9,109.5,96.75,122.25,84,135,2,True
7.0,109.5,79.25,139.75,65,154,4,True
7.1,103.5,86.75,120.25,70,137,2,True
7.2,108.5,89.25,127.75,70,147,2,True
7.3,72.0,71.0,73.0,70,74,2,True
7.4,104.5,91.75,123.25,70,127,4,True
7.5,99.8,81.0,118.0,67,134,5,True
7.6,99.8,81.0,118.0,67,134,5,True
7.7,92.6,69.0,123.0,67,134,5,True
7.8,85.8,70.0,103.0,69,110,5,True
7.9,85.8,70.0,103.0,69,110,5,True
8.0,74.0,67.0,70.0,63,101,5,True
8.1,74.0,67.0,70.0,63,101,5,True
8.2,75.0,69.0,72.0,63,101,5,True
8.3,77.5,69.25,82.5,67,101,6,True
8.4,86.8,70.0,81.0,65,146,5,True
8.5,93.0,78.25,97.25,70,137,4,True
8.6,93.0,78.25,97.25,70,137,4,True
8.7,109.66666666666667,103.0,122.5,84,123,3,True
8.8,128.66666666666666,115.0,139.0,108,156,3,True
8.9,85.0,73.5,96.5,62,108,2,True
9.0,143.5,132.75,154.25,122,165,2,True
9.1,131.66666666666666,115.0,143.5,108,165,3,True
9.2,93.0,93.0,93.0,93,93,1,True
9.3,136.5,122.25,150.75,108,165,2,True
9.5,134.0,134.0,134.0,134,134,1,True
9.6,123.66666666666667,109.0,143.5,84,153,3,True
9.7,123.66666666666667,109.0,143.5,84,153,3,True
9.8,109.0,96.5,121.5,84,134,2,True
9.9,153.0,153.0,153.0,153,153,1,True
10.0,153.0,153.0,153.0,153,153,1,True
10.1,153.0,153.0,153.0,153,153,1,True
10.2,143.5,138.75,148.25,134,153,2,True
10.3,153.0,153.0,153.0,153,153,1,True
10.4,153.0,153.0,153.0,153,153,1,True
10.5,121.33333333333333,113.5,129.5,105,137,3,True
10.6,117.33333333333333,107.5,123.5,105,137,3,True
10.7,118.0,107.5,124.5,105,139,3,True
10.8,126.0,119.5,136.5,105,139,3,True
10.9,122.0,113.5,130.5,105,139,2,True
11.0,96.0,91.5,100.5,87,105,2,True
11.1,105.0,105.0,105.0,105,105,1,True
11.2,141.0,141.0,141.0,141,141,1,True
11.3,117.0,117.0,117.0,117,117,1,True
11.4,120.66666666666667,102.0,137.5,87,158,3,True
11.5,122.25,109.5,134.75,87,158,4,True
11.6,96.0,91.5,100.5,87,105,2,True
11.7,96.0,91.5,100.5,87,105,2,True
11.8,96.0,91.5,100.5,87,105,2,True
11.9,105.0,105.0,105.0,105,105,1,True
12.0,119.5,112.25,126.75,105,134,2,True
12.1,127.66666666666667,124.5,133.0,117,134,3,True
12.2,131.66666666666666,124.5,139.0,117,146,3,True
12.3,131.66666666666666,124.5,139.0,117,146,3,True
12.4,124.5,120.75,128.25,117,132,2,True
12.5,124.0,114.75,131.75,105,146,4,True
12.6,124.0,114.75,131.75,105,146,4,True
12.7,130.0,122.0,136.5,117,146,3,True
12.8,126.0,116.0,136.5,105,146,3,True
12.9,126.0,116.0,136.5,105,146,3,True
13.0,122.0,116.0,130.5,105,134,3,True
13.1,128.75,121.5,137.75,105,149,4,True
13.2,130.0,123.0,146.0,105,149,5,True
13.3,130.0,123.0,146.0,105,149,5,True
13.4,121.75,100.5,146.75,87,149,4,True
13.5,108.66666666666667,96.0,119.5,87,134,3,True
13.6,126.0,110.25,145.25,91,153,6,True
13.7,125.25,115.0,138.75,91,153,4,True
13.8,116.0,101.0,134.5,79,146,3,True
13.9,91.0,91.0,91.0,91,91,1,True
14.0,79.0,79.0,79.0,79,79,1,True
14.1,126.6,123.0,146.0,79,153,5,True
14.2,118.5,103.75,135.5,84,153,8,True
14.3,124.33333333333333,107.75,145.5,84,153,6,True
14.4,141.16666666666666,128.25,151.25,123,166,6,True
14.5,130.6,132.0,141.0,87,154,5,True
14.6,135.16666666666666,133.75,144.75,99,154,6,True
14.7,134.4,132.0,146.0,99,154,5,True
14.8,129.6,118.0,141.0,99,158,5,True
14.9,127.8,123.0,137.0,106,141,5,True
15.0,115.8,105.0,132.0,99,137,5,True
15.1,113.4,105.0,132.0,87,137,5,True
15.2,105.66666666666667,79.75,132.25,63,149,6,True
15.3,97.66666666666667,76.75,105.75,63,149,6,True
15.4,116.57142857142857,98.0,139.0,87,149,7,True
15.5,100.4,87.0,106.0,69,137,5,True
15.6,119.6,105.0,135.0,103,137,5,True
15.7,117.2,105.0,123.0,103,137,5,True
15.8,133.8,122.0,149.0,106,151,5,True
15.9,103.25,102.0,105.25,99,106,4,True
16.0,104.66666666666667,86.5,123.5,67,141,3,True
16.1,111.33333333333333,105.5,114.5,105,123,3,True
16.2,126.2,115.0,141.0,106,146,5,True
16.3,107.0,103.0,110.0,99,117,5,True
16.4,112.25,102.0,114.75,99,141,4,True
16.5,117.66666666666667,103.75,128.25,99,149,6,True
16.6,118.83333333333333,107.0,128.25,99,149,6,True
16.7,118.6,110.0,123.0,106,137,5,True
16.8,131.6,123.0,141.0,106,151,5,True
16.9,119.6,106.0,141.0,63,151,5,True
17.0,119.6,106.0,141.0,63,151,5,True
17.1,119.6,106.0,137.0,87,141,5,True
17.2,114.8,99.0,127.0,93,149,5,True
