distance_km,year,peak_date,peak_doy,peak_val
0.0,2017,2017-08-28,240,0.31301411986351013
0.1,2017,2017-08-28,240,0.3482160270214081
0.2,2017,2017-08-28,240,0.3482160270214081
0.3,2017,2017-08-04,216,0.3377874791622162
0.4,2017,2017-08-04,216,0.35229551792144775
0.5,2017,2017-08-04,216,0.4038211703300476
0.6,2017,2017-08-04,216,0.4516696631908417
0.7,2017,2017-09-09,252,0.43651074171066284
0.8,2017,2017-10-15,288,0.3543519377708435
0.9,2017,2017-10-15,288,0.37366145849227905
1.0,2017,2017-09-09,252,0.3972366452217102
1.1,2017,2017-09-09,252,0.3041976988315582
1.2,2017,2017-08-28,240,0.2699911594390869
1.3,2017,2017-03-01,60,0.2693156599998474
1.4,2017,2017-08-28,240,0.2553900480270386
1.5,2017,2017-09-21,264,0.20126260817050934
1.6,2017,2017-08-04,216,0.19301564991474152
1.7,2017,2017-08-16,228,0.1675577461719513
1.8,2017,2017-04-18,108,0.176489919424057
1.9,2017,2017-04-06,96,0.19890382885932922
2.0,2017,2017-04-06,96,0.20756109058856964
2.1,2017,2017-04-06,96,0.3189888596534729
2.2,2017,2017-10-27,300,0.3095252215862274
2.3,2017,2017-04-06,96,0.32327282428741455
2.4,2017,2017-04-06,96,0.26709040999412537
2.5,2017,2017-04-06,96,0.26709040999412537
2.6,2017,2017-04-06,96,0.2904170751571655
2.7,2017,2017-04-06,96,0.3010331392288208
2.8,2017,2017-08-28,240,0.27394914627075195
2.9,2017,2017-04-06,96,0.34367552399635315
3.0,2017,2017-08-28,240,0.26525822281837463
3.1,2017,2017-08-28,240,0.26525822281837463
3.2,2017,2017-10-15,288,0.26816004514694214
3.3,2017,2017-10-15,288,0.23287233710289001
3.4,2017,2017-10-15,288,0.24157743155956268
3.5,2017,2017-03-13,72,0.26761117577552795
3.6,2017,2017-03-13,72,0.3108398914337158
3.7,2017,2017-03-13,72,0.3099590539932251
3.8,2017,2017-03-13,72,0.3272167444229126
3.9,2017,2017-03-13,72,0.31306377053260803
4.0,2017,2017-03-13,72,0.3461017310619354
4.1,2017,2017-03-13,72,0.34757015109062195
4.2,2017,2017-03-13,72,0.35177868604660034
4.3,2017,2017-08-16,228,0.26535093784332275
4.4,2017,2017-08-16,228,0.2789345681667328
4.5,2017,2017-10-27,300,0.29130107164382935
4.6,2017,2017-10-27,300,0.28983598947525024
4.7,2017,2017-10-27,300,0.28980064392089844
4.8,2017,2017-10-27,300,0.2926604151725769
4.9,2017,2017-10-27,300,0.29024025797843933
5.0,2017,2017-10-27,300,0.29024025797843933
5.1,2017,2017-08-16,228,0.29188448190689087
5.2,2017,2017-08-16,228,0.2902750074863434
5.3,2017,2017-08-16,228,0.2893691062927246
5.4,2017,2017-08-16,228,0.2908460199832916
5.5,2017,2017-08-16,228,0.2776190936565399
5.6,2017,2017-08-16,228,0.2860104441642761
5.7,2017,2017-08-28,240,0.27743685245513916
5.8,2017,2017-04-30,120,0.2915584146976471
5.9,2017,2017-04-18,108,0.3055650591850281
6.0,2017,2017-04-18,108,0.3719893991947174
6.1,2017,2017-04-30,120,0.35771921277046204
6.2,2017,2017-04-30,120,0.3766299784183502
6.3,2017,2017-06-05,156,0.38828709721565247
6.4,2017,2017-06-05,156,0.36419612169265747
6.5,2017,2017-06-05,156,0.36419612169265747
6.6,2017,2017-10-27,300,0.3746754825115204
6.7,2017,2017-10-27,300,0.3234485685825348
6.8,2017,2017-10-27,300,0.3287299573421478
6.9,2017,2017-04-18,108,0.321239173412323
7.0,2017,2017-10-27,300,0.20981056988239288
7.1,2017,2017-03-13,72,0.21033595502376556
7.2,2017,2017-03-13,72,0.23387499153614044
7.3,2017,2017-03-13,72,0.21463154256343842
7.4,2017,2017-03-13,72,0.1717003881931305
7.5,2017,2017-04-06,96,0.13945570588111877
7.6,2017,2017-04-06,96,0.13945570588111877
7.7,2017,2017-04-06,96,0.13842016458511353
7.8,2017,2017-09-21,264,0.1121116355061531
7.9,2017,2017-09-21,264,0.14498572051525116
