s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,507387.92313933244,4013821.3346409285,6871.6304,60.245125,0.15088086
0.1,507327.92313933145,4013901.3346409276,6773.238,65.97278,0.15872921
0.2,507267.92313933204,4013981.334640928,6691.491,68.94511,0.16363515
0.3,507204.70882018685,4014058.6494922074,6626.986,75.504456,0.16348736
0.4,507128.69230411627,4014123.17371746,6603.2417,79.54316,0.16984217
0.5,507040.8476255405,4014170.329704209,6582.964,86.029274,0.17770997
0.6,506944.7541985688,4014197.347493968,6568.618,91.15901,0.18827122
0.7,506845.16722390614,4014204.3716803705,6554.4775,92.33249,0.17887884
0.8,506745.5515486195,4014211.470648892,6550.9976,90.6486,0.18036537
0.9,506648.1287060909,4014233.440425492,6553.937,85.565895,0.17044216
1.0,506556.56104355404,4014273.288838468,6551.039,74.44911,0.17350832
1.1,506475.1144850987,4014331.0023868186,6592.975,69.0743,0.15871921
1.2,506402.63998016797,4014399.8331139022,6623.642,71.77192,0.14347325
1.3,506323.44224677066,4014460.6935481587,6707.264,73.86769,0.12563464
1.4,506232.5444354497,4014500.9483140707,6735.425,75.96212,0.112815246
1.5,506135.42491758725,4014520.4598572357,6786.962,73.9476,0.10352661
1.6,506050.0730127157,4014572.119639628,6840.4316,73.1856,0.10082258
1.7,505972.72434963094,4014635.446831902,6922.8125,74.98273,0.101120666
1.8,505900.46409204305,4014704.5529480777,6986.234,77.23441,0.11197053
1.9,505833.65586849785,4014778.859295061,6841.259,70.95235,0.12384382
2.0,505778.39396912226,4014862.0616139695,6748.6245,59.103184,0.1436904
2.1,505735.76676262246,4014952.3306881823,6667.4023,44.480022,0.168734
2.2,505709.72665919946,4015048.735507986,6466.958,36.285854,0.1840505
2.3,505700.64535974996,4015148.121033214,6330.1313,41.191452,0.17302379
2.4,505697.1844079569,4015248.020246507,6240.1626,42.379135,0.16066904
2.5,505683.19872339274,4015346.9859530637,6165.659,42.394604,0.15125081
2.6,505656.44224943675,4015443.231011309,6112.2725,41.13293,0.14772418
2.7,505614.18264798936,4015533.6952879285,5962.2983,27.537611,0.1494091
2.8,505557.87251510326,4015616.3093417594,5833.8813,39.099182,0.14945208
2.9,505497.3974060013,4015695.9316225564,5781.2925,56.79911,0.1503605
3.0,505432.14991156163,4015771.679344071,5741.0684,73.09757,0.15025164
3.1,505360.18828199134,4015840.9644886893,5718.0337,119.09281,0.14707813
3.2,505274.08702654747,4015890.893555321,5687.0947,145.26463,0.14270297
3.3,505176.74505595234,4015899.6215537884,5681.0776,149.38698,0.14123516
3.4,505090.4350021187,4015849.838912148,5673.1587,144.55869,0.14342651
3.5,505011.5357517535,4015788.44700704,5665.7466,136.96724,0.14628735
3.6,504935.53833661927,4015723.4725525756,5662.927,128.62262,0.14774075
3.7,504861.267787372,4015656.517706266,5640.6484,107.28857,0.14663294
3.8,504788.31406695757,4015588.1235933783,5613.325,102.13141,0.14922945
3.9,504716.3967732431,4015518.6438879333,5596.6216,97.84241,0.15134996
4.0,504644.9517003728,4015448.6780209932,5553.6255,105.91257,0.15403543
4.1,504574.24102225393,4015377.9673428745,5521.3135,140.28708,0.15899731
4.2,504502.1565949546,4015308.68723491,5517.669,155.38087,0.16120607
4.3,504428.63965676643,4015240.8988893083,5510.2783,161.36943,0.16416347
4.4,504352.4484615822,4015176.1526575815,5498.627,159.29897,0.16793023
4.5,504274.59623640083,4015113.447686885,5488.027,147.98444,0.17554088
4.6,504194.46100038703,4015053.628426199,5467.755,141.0635,0.18240097
4.7,504110.65615151165,4014999.084545629,5456.0566,130.6976,0.18360934
4.8,504023.8579282778,4014949.563063424,5442.987,120.98699,0.18390389
4.9,503933.55294639955,4014906.881313482,5428.146,116.08438,0.18682717
5.0,503839.433996746,4014873.5989147597,5403.2817,114.59067,0.18901335
5.1,503741.8002992431,4014853.1081002983,5362.859,115.08302,0.19266154
5.2,503644.0876682357,4014832.4197574924,5339.152,125.20639,0.19835964
5.3,503549.19061822427,4014801.173558398,5286.339,159.03856,0.20463967
5.4,503457.85184472986,4014760.619334112,5282.084,199.0463,0.20992526
5.5,503370.45239645726,4014712.1185584897,5277.3765,209.59694,0.21127972
5.6,503287.06826380215,4014656.9890081207,5260.9917,206.20064,0.2092049
5.7,503207.5574055033,4014596.40971632,5240.21,213.07498,0.20988719
5.8,503131.64578786195,4014531.380991185,5217.8345,243.39249,0.2088714
5.9,503058.99598400295,4014462.7223046236,5215.634,273.54852,0.21332492
6.0,502988.7948899424,4014391.515628908,5216.5703,280.47052,0.2154683
6.1,502920.093850309,4014318.852689072,5211.415,274.87216,0.21211399
6.2,502853.3393487338,4014244.3957450073,5205.3022,262.3516,0.21613401
6.3,502788.3070846454,4014168.4375157463,5194.228,236.3925,0.20845221
6.4,502724.9881171222,4014091.050127086,5177.42,237.24232,0.20398262
6.5,502663.44584563863,4014012.242976876,5171.3965,225.47409,0.19009578
6.6,502603.74199019733,4013932.0305687278,5146.2812,224.51956,0.17717311
6.7,502545.93597430154,4013850.4326021965,5140.1133,236.72073,0.16957468
6.8,502490.4659546779,4013767.2275727633,5127.5273,260.09296,0.15860912
6.9,502437.08440503257,4013682.674152823,5122.4907,271.01486,0.1457043
7.0,502389.6000329616,4013594.7810267927,5115.694,279.36365,0.13322088
7.1,502347.9757024269,4013503.9475370618,5111.034,282.83902,0.122153
7.2,502311.26051477157,4013410.9478818686,5107.698,277.44498,0.10893869
7.3,502280.9401490438,4013315.6553038675,5098.6904,250.13484,0.095255904
7.4,502254.37658917595,4013219.296598077,5089.663,232.43248,0.08150208
7.5,502230.515354308,4013122.1956520756,5080.2593,225.26228,0.07429665
7.6,502211.6306149432,4013023.995007377,5069.3457,228.39935,0.07094607
7.7,502194.7297061447,4012925.4621051336,5054.0713,230.41948,0.06938288
7.8,502180.5875705215,4012826.467155767,5049.347,223.677,0.068403095
