distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,114.5,100.5,125.5,84,151,4,True
0.1,110.5,90.25,130.75,70,151,2,True
0.2,88.66666666666667,81.5,98.0,70,103,3,True
0.3,88.66666666666667,81.5,98.0,70,103,3,True
0.4,106.75,87.25,117.5,70,161,4,True
0.5,101.2,94.0,108.0,81,120,5,True
0.6,84.5,80.25,91.75,69,94,4,True
0.7,100.25,93.25,108.0,91,108,4,True
0.8,100.25,93.25,108.0,91,108,4,True
0.9,92.83333333333333,88.0,104.5,69,108,6,True
1.0,90.83333333333333,75.75,104.25,67,118,6,True
1.1,106.0,94.5,106.75,72,161,6,True
1.2,102.2,93.0,108.0,79,123,5,True
1.3,102.2,93.0,108.0,79,123,5,True
1.4,104.5,96.75,115.75,63,139,4,True
1.5,103.8,63.0,139.0,60,149,5,True
1.6,103.8,63.0,139.0,60,149,5,True
1.7,68.5,62.25,73.75,60,79,4,True
1.8,68.5,66.0,72.0,63,72,4,True
1.9,68.5,66.0,72.0,63,72,4,True
2.0,82.2,67.0,84.0,60,123,5,True
2.1,98.16666666666667,80.5,119.25,60,130,6,True
2.2,84.2,63.0,91.0,60,130,5,True
2.3,98.6,77.0,123.0,72,130,5,True
2.4,81.8,63.0,91.0,60,130,5,True
2.5,72.2,63.0,70.0,60,101,5,True
2.6,82.28571428571429,66.5,96.0,60,110,7,True
2.7,72.0,62.5,75.5,60,101,7,True
2.8,72.0,62.5,75.5,60,101,7,True
2.9,72.33333333333333,62.25,77.5,60,101,6,True
3.0,91.2,81.0,99.0,60,125,5,True
3.1,92.28571428571429,70.5,114.0,60,135,7,True
3.2,113.2,82.0,132.0,69,156,5,True
3.3,79.5,67.25,88.75,62,103,4,True
3.4,92.0,69.0,118.0,67,132,5,True
3.5,92.0,69.0,118.0,67,132,5,True
3.6,93.66666666666667,81.5,107.0,67,118,3,True
3.7,81.33333333333333,75.5,88.5,67,93,3,True
3.8,94.0,81.5,101.0,74,125,4,True
3.9,94.0,81.5,101.0,74,125,4,True
4.0,91.28571428571429,73.0,110.5,63,125,7,True
4.1,111.0,87.5,128.5,72,153,7,True
4.2,111.16666666666667,93.5,127.5,72,153,6,True
4.3,99.0,81.5,110.5,69,146,7,True
4.4,87.16666666666667,69.75,99.25,67,120,6,True
4.5,87.8,69.0,101.0,67,130,5,True
4.6,82.0,68.25,94.25,60,118,6,True
4.7,109.16666666666667,79.75,132.25,60,165,6,True
4.8,99.0,72.0,123.0,60,137,5,True
4.9,90.8,72.0,106.0,60,137,5,True
5.0,107.0,94.0,127.0,72,137,5,True
5.1,107.0,94.0,127.0,72,137,5,True
5.2,84.33333333333333,83.0,85.5,82,87,3,True
5.3,84.0,72.0,96.0,60,108,2,True
5.4,66.0,61.5,70.5,60,72,4,True
5.5,65.0,62.5,67.5,60,70,2,True
5.6,89.0,79.5,98.5,70,108,2,True
5.7,91.0,81.5,100.5,72,110,2,True
5.8,82.0,76.5,89.5,67,93,3,True
5.9,106.33333333333333,91.0,123.5,72,137,3,True
6.0,112.66666666666667,100.5,135.5,67,137,3,True
6.1,108.66666666666667,94.5,129.5,67,137,3,True
6.2,108.66666666666667,94.5,129.5,67,137,3,True
6.3,108.66666666666667,94.5,129.5,67,137,3,True
6.4,108.66666666666667,94.5,129.5,67,137,3,True
6.5,122.0,122.0,122.0,122,122,1,True
6.6,91.0,75.5,106.5,60,122,2,True
6.7,91.66666666666667,76.5,107.5,60,122,3,True
6.8,65.0,65.0,65.0,65,65,1,True
6.9,65.0,65.0,65.0,65,65,1,True
7.0,100.25,68.75,132.5,65,134,4,True
7.1,101.5,85.25,117.75,69,134,2,True
7.2,113.5,103.25,123.75,93,134,2,True
7.3,121.33333333333333,101.5,147.5,69,161,3,True
7.4,125.0,125.0,125.0,125,125,1,True
7.6,65.0,65.0,65.0,65,65,1,True
7.7,65.0,65.0,65.0,65,65,1,True
7.8,74.5,69.75,79.25,65,84,2,True
7.9,74.5,69.75,79.25,65,84,2,True
8.0,74.5,69.75,79.25,65,84,2,True
8.1,87.5,76.25,98.75,65,110,2,True
8.2,74.5,69.75,79.25,65,84,2,True
8.3,110.0,110.0,110.0,110,110,1,True
8.4,110.0,110.0,110.0,110,110,1,True
8.5,110.0,110.0,110.0,110,110,1,True
8.8,137.0,137.0,137.0,137,137,1,True
8.9,105.0,105.0,105.0,105,105,1,True
9.0,165.0,165.0,165.0,165,165,1,True
9.1,165.0,165.0,165.0,165,165,1,True
9.2,165.0,165.0,165.0,165,165,1,True
9.3,105.0,105.0,105.0,105,105,1,True
9.4,106.5,105.75,107.25,105,108,2,True
9.5,105.0,105.0,105.0,105,105,1,True
9.6,105.0,105.0,105.0,105,105,1,True
9.7,127.0,116.0,138.0,105,149,2,True
9.8,137.0,137.0,137.0,137,137,1,True
9.9,101.0,101.0,101.0,101,101,1,True
10.0,94.0,88.25,102.75,74,108,4,True
10.1,94.0,88.25,102.75,74,108,4,True
10.2,112.0,104.25,116.75,93,137,4,True
