s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,513257.98886741535,4024191.455051248,7160.5396,21.456678,0.060095716
0.1,513250.864162416,4024091.709181265,7165.1855,28.897078,0.05669721
0.2,513243.73945741734,4023991.963311282,7154.8394,30.237339,0.056046654
0.3,513236.6147524189,4023892.2174412985,7091.954,24.688454,0.059751168
0.4,513229.4900474209,4023792.4715713155,7025.4023,30.47082,0.067049555
0.5,513222.365342422,4023692.7257013326,6955.9883,36.669014,0.07731878
0.6,513214.9657608027,4023593.0064866985,6878.859,37.387074,0.094369
0.7,513202.7928144649,4023493.750155024,6799.968,37.012432,0.1014292
0.8,513188.48167977395,4023394.8171156654,6727.1787,39.27073,0.11211251
0.9,513170.76637994335,4023296.398783268,6636.0483,41.245148,0.11969974
1.0,513148.2207526979,4023199.005099158,6549.5767,41.930458,0.123496056
1.1,513122.5788320217,4023102.3975059832,6457.055,41.07936,0.13561398
1.2,513092.2584662927,4023007.104927982,6435.0815,41.439377,0.14658539
1.3,513056.02431920334,4022913.939804453,6407.1094,42.68117,0.1522583
1.4,513015.2768463073,4022822.7075293204,6378.0825,44.81559,0.16159776
1.5,512969.53129132855,4022733.8340141955,6388.714,46.09128,0.16323161
1.6,512917.18948074116,4022648.6264155647,6336.4946,46.383568,0.16428104
1.7,512858.3323028239,4022567.849292097,6289.593,50.828278,0.16095051
1.8,512800.30873610213,4022486.4286029744,6249.9004,53.78812,0.16012906
1.9,512745.3612657339,4022402.91087828,6224.228,54.98516,0.15726747
2.0,512694.45355981105,4022316.8817925993,6205.9966,57.241898,0.15684685
2.1,512648.9483853172,4022227.895575321,6177.9487,62.618557,0.15518476
2.2,512610.7781835995,4022135.55436391,6152.9326,66.279854,0.15011401
2.3,512582.6488842189,4022039.6971675726,6137.198,65.41522,0.13957183
2.4,512571.8785774389,4021940.527085546,6117.5776,64.104645,0.13329259
2.5,512579.28609862586,4021840.956309389,6099.63,57.13914,0.12673412
2.6,512602.0309286795,4021743.6633108654,6071.6284,54.5549,0.12628704
2.7,512634.14315479837,4021649.023090452,6045.7803,55.812458,0.13362199
2.8,512673.1012198568,4021556.971178266,6013.1025,56.702045,0.13970397
2.9,512717.28345564223,4021467.294893725,5993.7686,59.787346,0.1433411
3.0,512765.4971714012,4021379.711442108,5954.535,63.158222,0.1456519
3.1,512816.86448509555,4021293.9335393347,5895.119,66.78594,0.14792909
3.2,512868.4637473023,4021208.3076858316,5851.5093,79.001945,0.15498623
3.3,512916.07805530005,4021120.3987373393,5844.257,96.11283,0.16943203
3.4,512958.99478796974,4021030.0974378916,5827.2056,112.18289,0.18783675
3.5,512996.3916082774,4020937.371899072,5818.906,129.10808,0.20974407
3.6,513027.34954245854,4020842.3085291763,5801.9175,135.56805,0.24002683
3.7,513050.8878753001,4020745.1570639904,5794.7607,158.01945,0.2807271
3.8,513066.02685471956,4020646.3706305884,5780.7485,169.16907,0.3150509
3.9,513071.8785774393,4020546.626793266,5765.8765,169.32426,0.36255687
4.0,513062.387702596,4020447.62688655,5754.88,184.00967,0.42822275
4.1,513033.9431076079,4020352.1132604745,5744.0166,202.55415,0.47495383
4.2,512993.0106959631,4020261.0810022317,5735.469,194.78694,0.5058848
4.3,512943.9779956061,4020173.979371984,5718.625,185.85289,0.47821924
4.4,512887.5096040478,4020091.4486458586,5698.412,188.2225,0.4578863
4.5,512826.95500021684,4020011.948533815,5675.0757,211.25156,0.41258943
4.6,512764.1609046009,4019934.1325317887,5670.6846,239.93143,0.39883274
4.7,512696.97941075213,4019860.0606283145,5663.814,248.05243,0.42845687
4.8,512628.98271550017,4019786.7651296463,5659.8477,253.76869,0.45214602
4.9,512558.2720373817,4019716.054451527,5655.228,265.88007,0.4678237
5.0,512486.9516069401,4019645.9784034314,5647.165,272.91937,0.4591841
