distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,83.66666666666667,67.0,94.5,62,117,3,True
0.1,130.8,108.0,154.0,87,156,5,True
0.2,114.83333333333333,87.75,141.75,77,154,6,True
0.3,95.75,79.5,105.75,60,144,4,True
0.4,120.75,91.25,153.0,77,159,4,True
0.5,77.4,67.0,84.0,65,87,5,True
0.6,97.25,72.0,104.75,72,158,4,True
0.7,81.0,72.0,85.5,72,99,3,True
0.8,103.33333333333333,89.0,115.5,79,132,3,True
0.9,100.83333333333333,68.75,129.0,63,149,6,True
1.0,107.6,74.0,132.0,63,149,5,True
1.1,126.0,114.75,148.25,69,161,4,True
1.2,111.8,69.0,132.0,67,161,5,True
1.3,88.66666666666667,68.0,99.5,67,130,3,True
1.4,91.0,91.0,91.0,91,91,1,True
1.5,84.0,80.5,87.5,77,91,2,True
1.6,79.0,79.0,79.0,79,79,1,True
1.7,79.0,79.0,79.0,79,79,1,True
1.8,93.5,81.75,105.25,70,117,2,True
2.0,70.0,70.0,70.0,70,70,1,True
2.1,78.0,75.0,81.0,72,84,2,True
2.2,96.5,80.25,118.25,60,122,4,True
2.3,87.16666666666667,69.0,102.75,60,122,6,True
2.4,95.16666666666667,70.5,118.5,60,129,6,True
2.5,95.16666666666667,70.5,118.5,60,129,6,True
2.6,88.25,63.75,100.5,60,141,4,True
2.7,94.5,63.75,106.75,60,166,4,True
2.8,100.5,73.5,107.25,60,166,6,True
2.9,73.5,66.75,80.25,60,87,2,True
3.0,98.4,87.0,106.0,60,134,5,True
3.1,80.5,66.75,91.75,60,106,4,True
3.2,115.33333333333333,96.5,129.5,87,153,3,True
3.3,115.33333333333333,96.5,129.5,87,153,3,True
3.4,111.5,78.75,146.75,69,149,4,True
3.5,95.6,87.0,108.0,72,117,5,True
3.6,100.5,83.25,107.75,72,149,4,True
3.7,126.66666666666667,115.5,146.5,87,149,3,True
3.8,87.6,72.0,101.0,63,108,5,True
3.9,118.2,106.0,144.0,63,153,5,True
4.0,106.0,68.25,142.25,63,153,6,True
4.1,98.14285714285714,65.0,133.5,60,144,7,True
4.2,98.14285714285714,65.0,133.5,60,144,7,True
4.3,103.2,67.0,144.0,60,159,5,True
4.4,99.33333333333333,75.5,119.0,60,147,3,True
4.5,100.83333333333333,63.5,139.75,60,146,6,True
4.6,87.4,62.0,125.0,60,127,5,True
4.7,106.6,84.0,127.0,63,134,5,True
4.8,106.6,84.0,127.0,63,134,5,True
4.9,118.6,96.0,127.0,87,158,5,True
5.0,123.42857142857143,107.0,136.5,87,165,7,True
5.1,102.4,87.0,118.0,74,125,5,True
5.2,102.4,87.0,118.0,74,125,5,True
5.3,93.75,83.75,106.5,74,108,4,True
5.4,86.4,74.0,105.0,60,106,5,True
5.5,86.4,74.0,105.0,60,106,5,True
5.6,89.5,75.75,103.25,62,117,2,True
5.7,117.0,117.0,117.0,117,117,1,True
5.8,102.0,89.5,122.0,62,127,3,True
5.9,127.0,127.0,127.0,127,127,1,True
6.0,127.0,127.0,127.0,127,127,1,True
6.1,127.0,127.0,127.0,127,127,1,True
6.2,122.0,119.5,124.5,117,127,2,True
6.5,122.5,115.25,129.75,108,137,2,True
6.6,77.0,77.0,77.0,77,77,1,True
6.7,77.0,77.0,77.0,77,77,1,True
6.8,109.0,101.0,115.5,96,125,3,True
6.9,122.5,115.25,129.75,108,137,2,True
7.4,82.0,82.0,82.0,82,82,1,True
7.5,69.0,69.0,69.0,69,69,1,True
7.6,74.5,73.25,75.75,72,77,2,True
7.7,74.5,73.25,75.75,72,77,2,True
7.8,75.5,73.75,77.25,72,79,2,True
7.9,67.0,67.0,67.0,67,67,1,True
8.0,86.0,76.5,95.5,67,105,2,True
8.1,100.5,88.75,112.25,67,134,4,True
8.2,93.0,72.0,105.0,67,134,5,True
8.3,93.0,72.0,105.0,67,134,5,True
8.4,81.33333333333333,69.5,88.5,67,105,3,True
8.5,86.0,76.5,95.5,67,105,2,True
8.6,92.4,84.0,105.0,79,108,5,True
8.7,92.25,85.5,95.25,84,108,4,True
8.8,88.71428571428571,73.0,94.5,67,137,7,True
8.9,89.83333333333333,75.0,91.25,67,137,6,True
9.0,89.83333333333333,75.0,91.25,67,137,6,True
9.1,89.83333333333333,75.0,91.25,67,137,6,True
9.2,87.6,84.0,93.0,60,110,5,True
9.3,85.2,72.0,93.0,60,110,5,True
9.4,82.8,72.0,91.0,60,110,5,True
9.5,81.33333333333333,74.0,88.5,67,96,3,True
9.6,98.0,74.0,113.5,67,146,3,True
9.7,101.75,77.5,119.75,67,149,4,True
9.8,70.5,68.75,72.25,67,74,2,True
9.9,77.6,70.0,81.0,67,96,5,True
10.0,81.4,69.0,96.0,67,101,5,True
10.1,85.0,72.75,97.25,69,101,4,True
10.2,92.6,77.0,99.0,74,117,5,True
10.3,92.6,77.0,99.0,74,117,5,True
10.4,98.5,79.25,117.75,60,137,2,True
11.1,65.0,65.0,65.0,65,65,1,True
11.2,65.0,65.0,65.0,65,65,1,True
11.3,70.0,70.0,70.0,70,70,1,True
11.4,77.0,73.5,80.5,70,84,2,True
11.5,62.0,62.0,62.0,62,62,1,True
11.6,98.5,84.25,112.75,70,127,2,True
11.7,98.5,84.25,112.75,70,127,2,True
11.8,70.0,70.0,70.0,70,70,1,True
11.9,70.0,70.0,70.0,70,70,1,True
12.7,91.0,91.0,91.0,91,91,1,True
13.6,99.5,82.25,116.75,65,134,2,True
13.9,93.0,75.25,110.25,70,117,4,True
14.0,93.0,75.25,110.25,70,117,4,True
14.1,103.0,79.0,134.0,72,137,5,True
14.4,70.0,70.0,70.0,70,70,1,True
14.5,79.0,79.0,79.0,79,79,1,True
14.6,126.33333333333333,121.0,135.5,108,137,3,True
14.7,94.4,62.0,132.0,60,137,5,True
14.8,101.14285714285714,76.5,121.5,60,159,7,True
14.9,101.14285714285714,76.5,121.5,60,159,7,True
15.0,94.6,70.0,105.0,62,137,5,True
15.1,70.2,65.0,70.0,63,84,5,True
15.2,80.83333333333333,66.75,90.75,63,110,6,True
15.3,76.8,65.0,81.0,63,108,5,True
15.4,76.8,65.0,81.0,63,108,5,True
15.5,116.57142857142857,91.0,151.0,67,159,7,True
15.6,123.5,110.5,142.5,70,161,6,True
15.7,100.8,70.0,120.0,69,161,5,True
15.8,101.4,70.0,137.0,69,159,5,True
15.9,102.5,74.25,126.75,70,159,6,True
16.0,98.83333333333333,70.5,124.25,69,159,6,True
16.1,96.83333333333333,70.5,121.25,69,159,6,True
16.2,106.5,80.0,129.5,69,159,8,True
16.3,78.0,68.5,85.5,63,101,8,True
16.4,81.28571428571429,73.0,89.0,63,101,7,True
16.5,81.28571428571429,73.0,89.0,63,101,7,True
16.6,90.0,79.5,101.5,63,117,8,True
16.7,112.5,71.5,139.5,67,161,8,True
16.8,94.5,70.75,108.75,65,159,8,True
16.9,94.5,70.75,108.75,65,159,8,True
17.0,97.16666666666667,66.75,122.25,62,159,6,True
17.1,109.8,93.0,127.0,65,144,5,True
