s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,519068.50984946114,4019163.2399688866,7702.121,0.0,0.10283825
0.1,519122.95224307175,4019223.956671757,7657.553,13.983137,0.11149305
0.2,519222.1888236771,4019235.7145020175,7486.618,20.802395,0.110563986
0.3,519321.989146163,4019241.8420869266,7437.8384,31.390856,0.115670845
0.4,519421.9186203309,4019245.454805819,7233.724,35.44067,0.16593291
0.5,519521.8929570191,4019247.625274414,7143.2817,35.90054,0.23665719
0.6,519621.8869196478,4019248.7241091677,7070.3296,41.526752,0.29222107
0.7,519721.8859914709,4019248.893042463,6912.7305,44.994385,0.3387345
0.8,519821.884739532,4019249.128413634,6823.8423,46.948833,0.37845802
0.9,519921.8790813432,4019250.1921832277,6769.6704,52.207203,0.4366449
1.0,520021.85636226623,4019252.246530863,6728.747,62.54481,0.4493995
1.1,520121.8044065691,4019255.3610650487,6708.606,75.76378,0.42836443
1.2,520221.69051881856,4019260.0293342983,6704.731,87.86995,0.38828552
1.3,520321.43094963237,4019267.1033295156,6687.8843,93.82444,0.33936825
1.4,520420.7923694604,4019278.1815679176,6685.894,102.085625,0.31046933
1.5,520518.42910331156,4019298.86612708,6684.806,110.35919,0.30623868
1.6,520606.99088359304,4019344.5307146492,6670.02,110.29981,0.32608697
1.7,520689.344179805,4019401.194116672,6676.008,100.91733,0.34162158
1.8,520768.9266697255,4019461.7205440993,6659.7466,92.85626,0.35340774
1.9,520846.83450603863,4019524.400179941,6647.2266,80.920685,0.35109854
2.0,520923.66656805994,4019588.40299459,6653.212,65.35656,0.32970962
2.1,520999.4434482951,4019653.655308126,6621.7715,53.837032,0.3176374
2.2,521074.56481481617,4019719.657449216,6499.4297,50.134995,0.29247105
2.3,521149.35730518575,4019786.035784419,6532.6685,45.016403,0.2834955
2.4,521223.3556100799,4019853.2982793883,6484.2505,49.24704,0.28469777
2.5,521296.96471776697,4019920.9718735167,6474.745,45.998577,0.2838426
2.6,521368.1360370267,4019991.218889929,6458.1987,45.82899,0.2801168
2.7,521437.70264059654,4020063.0124509735,6512.8223,42.94119,0.2665734
2.8,521505.2751034478,4020136.727864994,6481.558,42.543625,0.25089014
2.9,521568.538012012,4020214.1551343435,6435.64,42.229958,0.21136881
3.0,521627.97616140166,4020294.4804052846,6429.0703,41.200283,0.1872133
3.1,521681.75495747436,4020378.6568752136,6342.7563,41.51222,0.16221303
3.2,521726.8106133368,4020467.749532328,6260.047,44.983513,0.16461876
3.3,521758.14460960956,4020562.3937268006,6146.457,45.828903,0.1838888
3.4,521768.5098494615,4020661.309401096,6093.08,49.75536,0.21481933
3.5,521764.77833722346,4020761.2081648414,6009.091,54.39128,0.22408836
3.6,521752.0190612485,4020860.3377717463,5937.9067,55.93122,0.22559877
3.7,521725.5826093418,4020956.5893147974,5889.9814,55.746407,0.23531365
3.8,521675.2181462956,4021042.184745629,5818.1685,56.075848,0.24701113
3.9,521624.79428575205,4021126.9204729735,5733.7373,57.27247,0.25527322
4.0,521599.34203816275,4021223.483815902,5655.509,63.18969,0.27188855
4.1,521585.2490472609,4021322.4611981683,5569.0225,77.536194,0.30036843
4.2,521576.4717630146,4021422.059555291,5494.613,112.779396,0.333936
4.3,521571.2497594832,4021521.9165966157,5433.714,178.76195,0.37466982
4.4,521568.71892481804,4021621.884565865,5411.4126,243.99594,0.45904934
4.5,521568.50984946225,4021721.881919766,5408.3623,296.26974,0.6201028
4.6,521564.0055558701,4021821.694565571,5410.9746,323.37494,0.71013993
4.7,521553.6879419955,4021921.089656556,5405.57,345.65012,0.80266786
4.8,521536.4499088197,4022019.5927032717,5405.2515,356.5847,0.8557775
4.9,521510.22654963454,4022116.0730799334,5405.977,358.25406,0.8405357
5.0,521476.6312796747,4022210.1522219167,5400.0244,349.03812,0.8283299
5.1,521435.46240575635,4022301.135218805,5399.5327,338.49268,0.76956224
5.2,521386.76482482423,4022388.3378419094,5388.9126,323.19763,0.66529405
5.3,521330.84077252995,4022471.166401971,5385.8613,317.4578,0.5706247
5.4,521267.587315444,4022548.61961473,5380.237,310.78647,0.5394331
5.5,521197.5047151122,4022619.8981768116,5373.2715,299.0137,0.5047742
5.6,521130.20784844004,4022693.7953399317,5365.6743,276.5148,0.5003045
5.7,521066.4717422049,4022770.7890288765,5355.6157,267.53348,0.49334365
5.8,521005.9937517737,4022850.4168670424,5339.9863,255.71861,0.49569917
5.9,520950.0080106449,4022933.2757639107,5334.6763,246.49911,0.49628213
6.0,520897.0191359309,4023018.0442316807,5318.65,230.13567,0.5048746
6.1,520846.43895255274,4023104.2864584248,5313.552,215.00978,0.51621485
6.2,520799.2737275188,4023192.464922618,5291.8726,212.72348,0.5225496
6.3,520754.8379608074,4023282.0251732864,5279.285,221.74525,0.52151585
6.4,520712.0136495403,4023372.3841756135,5258.88,233.92383,0.5179557
6.5,520672.6217196825,4023464.298678615,5244.6377,254.2923,0.53337574
6.6,520634.69598838437,4023556.809081265,5232.2944,266.20413,0.53693306
6.7,520598.79808045336,4023650.143641885,5225.5947,273.068,0.53658724
6.8,520563.6490033874,4023743.7611554954,5215.8394,282.5479,0.54308105
6.9,520528.9347351747,4023837.5418013926,5207.2314,291.08426,0.5741159
7.0,520495.4337684098,4023931.763270421,5197.779,295.6909,0.55922174
7.1,520462.8074240336,4024026.2877321243,5192.501,282.6748,0.5580641
7.2,520431.2141716465,4024121.162688876,5181.836,277.73914,0.56470245
7.3,520401.10103485297,4024216.5209553894,5175.8276,279.98364,0.5777931
7.4,520373.16017098085,4024312.536933222,5167.72,277.64423,0.6017046
7.5,520347.69600454235,4024409.234191527,5163.9355,271.57062,0.6088954
7.6,520325.76428612584,4024506.7893744176,5145.5806,259.33893,0.57409364
7.7,520307.7820012627,4024605.118589477,5137.4644,224.42468,0.5681329
7.8,520281.3214452609,4024701.48516995,5120.998,196.47821,0.58272064
7.9,520245.55757016415,4024794.797601059,5101.241,166.28035,0.6231481
8.0,520198.5398245054,4024882.9739532615,5081.4995,155.26328,0.66681623
8.1,520142.4865635705,4024965.6945152353,5056.8906,152.9148,0.6954365
8.2,520076.5980208925,4025040.8048710334,5056.8906,156.30577,0.73578644
8.3,520004.6939038757,4025110.2829914503,5040.38,158.86945,0.7312214
8.4,519929.3603232273,4025176.0145325297,5022.93,157.6637,0.76334953
