distance_km,year,peak_date,peak_doy,peak_val
0.0,2017,2017-10-27,300,0.24321801960468292
0.1,2017,2017-04-06,96,0.23664823174476624
0.2,2017,2017-10-27,300,0.322004109621048
0.3,2017,2017-04-18,108,0.34068697690963745
0.4,2017,2017-04-18,108,0.3858155906200409
0.5,2017,2017-04-18,108,0.3818199634552002
0.6,2017,2017-04-18,108,0.32678255438804626
0.7,2017,2017-06-05,156,0.3006802499294281
0.8,2017,2017-04-06,96,0.39468052983283997
0.9,2017,2017-05-12,132,0.47747883200645447
1.0,2017,2017-05-12,132,0.4861752390861511
1.1,2017,2017-05-12,132,0.47857168316841125
1.2,2017,2017-04-06,96,0.47560012340545654
1.3,2017,2017-07-11,192,0.43257150053977966
1.4,2017,2017-06-05,156,0.4628662168979645
1.5,2017,2017-08-16,228,0.5088706016540527
1.6,2017,2017-10-15,288,0.5959487557411194
1.7,2017,2017-10-15,288,0.6558690071105957
1.8,2017,2017-10-15,288,0.6558690071105957
1.9,2017,2017-07-23,204,0.6245104074478149
2.0,2017,2017-06-05,156,0.5043109059333801
2.1,2017,2017-06-05,156,0.5250190496444702
2.2,2017,2017-10-27,300,0.6739844083786011
2.3,2017,2017-03-01,60,0.6683223247528076
2.4,2017,2017-08-28,240,0.7289012670516968
2.5,2017,2017-03-01,60,0.750108540058136
2.6,2017,2017-08-04,216,0.5014846920967102
2.7,2017,2017-08-04,216,0.48420584201812744
2.8,2017,2017-03-13,72,0.47116395831108093
2.9,2017,2017-03-13,72,0.47116395831108093
3.0,2017,2017-03-13,72,0.3759259581565857
3.1,2017,2017-09-21,264,0.3649497628211975
3.2,2017,2017-04-06,96,0.3960544466972351
3.3,2017,2017-04-06,96,0.3960544466972351
3.4,2017,2017-04-18,108,0.6211718916893005
3.5,2017,2017-03-25,84,0.5947248339653015
3.6,2017,2017-03-25,84,0.582092821598053
3.7,2017,2017-10-03,276,0.5000987648963928
3.8,2017,2017-10-03,276,0.5074169635772705
3.9,2017,2017-10-03,276,0.49757009744644165
4.0,2017,2017-10-03,276,0.4856417179107666
4.1,2017,2017-10-03,276,0.46254780888557434
4.2,2017,2017-09-09,252,0.48958927392959595
4.3,2017,2017-10-27,300,0.3281433880329132
4.4,2017,2017-09-09,252,0.37081199884414673
4.5,2017,2017-07-23,204,0.4013465940952301
4.6,2017,2017-07-23,204,0.4013465940952301
4.7,2017,2017-08-04,216,0.3691002130508423
4.8,2017,2017-08-04,216,0.4373455047607422
4.9,2017,2017-09-09,252,0.46533989906311035
5.0,2017,2017-08-16,228,0.48104509711265564
5.1,2017,2017-07-23,204,0.4515155553817749
5.2,2017,2017-07-23,204,0.5026348233222961
5.3,2017,2017-03-01,60,0.5295271277427673
5.4,2017,2017-03-01,60,0.5295271277427673
5.5,2017,2017-09-09,252,0.5441705584526062
5.6,2017,2017-04-18,108,0.5546793341636658
5.7,2017,2017-08-28,240,0.6306302547454834
5.8,2017,2017-10-03,276,0.7942728996276855
5.9,2017,2017-10-03,276,0.7588754296302795
6.0,2017,2017-09-09,252,0.7771354913711548
6.1,2017,2017-03-13,72,0.8505217432975769
6.2,2017,2017-06-29,180,0.8790139555931091
6.3,2017,2017-06-29,180,0.8780457973480225
6.4,2017,2017-08-28,240,0.8591374754905701
6.5,2017,2017-03-01,60,0.9252005219459534
6.6,2017,2017-10-03,276,0.990616500377655
6.7,2017,2017-04-06,96,1.01600182056427
6.8,2017,2017-03-01,60,0.9236541986465454
6.9,2017,2017-09-09,252,0.9798465967178345
7.0,2017,2017-05-12,132,0.9993605613708496
7.1,2017,2017-10-15,288,1.1006063222885132
7.2,2017,2017-09-09,252,1.0507115125656128
7.3,2017,2017-07-11,192,1.0810489654541016
7.4,2017,2017-08-28,240,1.06793212890625
7.5,2017,2017-08-28,240,1.06793212890625
7.6,2017,2017-09-09,252,1.0430641174316406
7.7,2017,2017-09-09,252,1.2567263841629028
7.8,2017,2017-09-09,252,1.4065418243408203
7.9,2017,2017-04-06,96,1.2918353080749512
8.0,2017,2017-04-06,96,1.2918353080749512
8.1,2017,2017-07-11,192,1.3595906496047974
8.2,2017,2017-08-28,240,1.2632486820220947
8.3,2017,2017-08-28,240,1.239114761352539
8.4,2017,2017-09-09,252,1.3641034364700317
8.5,2017,2017-09-09,252,1.4463518857955933
8.6,2017,2017-09-09,252,1.3274803161621094
8.7,2017,2017-08-04,216,1.2141395807266235
8.8,2017,2017-08-04,216,1.3109863996505737
8.9,2017,2017-08-04,216,1.3872255086898804
9.0,2017,2017-05-12,132,1.6337026357650757
9.1,2017,2017-05-12,132,2.22086763381958
9.2,2017,2017-05-12,132,2.4496843814849854
9.3,2017,2017-07-23,204,1.4842300415039062
9.4,2017,2017-07-23,204,1.4936150312423706
9.5,2017,2017-07-23,204,1.3969920873641968
9.6,2017,2017-08-28,240,2.484882116317749
9.7,2017,2017-08-28,240,1.8623411655426025
9.8,2017,2017-05-12,132,2.386202573776245
9.9,2017,2017-07-11,192,1.6397180557250977
10.0,2017,2017-07-11,192,1.7477596998214722
10.1,2017,2017-07-11,192,1.8975712060928345
10.2,2017,2017-06-29,180,1.3787115812301636
10.3,2017,2017-04-06,96,1.2342857122421265
10.4,2017,2017-09-21,264,1.1381508111953735
10.5,2017,2017-10-27,300,1.1245698928833008
10.6,2017,2017-09-21,264,1.2634576559066772
10.7,2017,2017-09-21,264,1.4135631322860718
10.8,2017,2017-08-16,228,1.5076602697372437
10.9,2017,2017-09-21,264,1.788027286529541
11.0,2017,2017-07-23,204,1.9662035703659058
11.1,2017,2017-09-09,252,2.085371971130371
11.2,2017,2017-09-09,252,2.182161331176758
11.3,2017,2017-07-11,192,2.448056936264038
11.4,2017,2017-07-11,192,2.5003952980041504
11.5,2017,2017-09-09,252,2.5943005084991455
11.6,2017,2017-07-11,192,2.872021436691284
11.7,2017,2017-08-04,216,2.953450918197632
11.8,2017,2017-08-16,228,3.0070960521698
11.9,2017,2017-03-25,84,3.222961902618408
12.0,2017,2017-09-09,252,3.548429489135742
12.1,2017,2017-09-21,264,4.011104583740234
12.2,2017,2017-10-27,300,4.029226779937744
12.3,2017,2017-10-27,300,4.029226779937744
12.4,2017,2017-10-27,300,3.683450698852539
12.5,2017,2017-09-21,264,5.034419059753418
12.6,2017,2017-09-21,264,5.164122581481934
12.7,2017,2017-09-21,264,5.205446243286133
12.8,2017,2017-09-21,264,5.205446243286133
12.9,2017,2017-09-21,264,4.301187515258789
13.0,2017,2017-09-21,264,3.379364490509033
13.1,2017,2017-09-21,264,2.385782241821289
13.2,2017,2017-09-21,264,1.9858372211456299
13.3,2017,2017-03-01,60,1.8389958143234253
13.4,2017,2017-06-29,180,1.681004524230957
13.5,2017,2017-10-27,300,1.715228796005249
13.6,2017,2017-04-30,120,1.3309472799301147
13.7,2017,2017-09-21,264,1.4053258895874023
13.8,2017,2017-09-21,264,1.2888894081115723
13.9,2017,2017-05-12,132,1.0779329538345337
14.0,2017,2017-10-15,288,1.0824224948883057
14.1,2017,2017-10-15,288,1.0863207578659058
14.2,2017,2017-06-05,156,0.9957566857337952
14.3,2017,2017-04-30,120,0.9451265931129456
14.4,2017,2017-04-30,120,0.918791651725769
14.5,2017,2017-04-30,120,0.9026108384132385
14.6,2017,2017-06-29,180,0.9036468267440796
14.7,2017,2017-06-29,180,0.8995978832244873
14.8,2017,2017-06-05,156,0.9333657622337341
14.9,2017,2017-06-05,156,0.9200139045715332
15.0,2017,2017-06-05,156,0.9288691878318787
15.1,2017,2017-06-29,180,0.9214997291564941
15.2,2017,2017-06-29,180,0.9219157099723816
15.3,2017,2017-06-29,180,0.9059488773345947
15.4,2017,2017-03-13,72,0.9189887046813965
15.5,2017,2017-06-05,156,1.0707120895385742
15.6,2017,2017-06-05,156,1.0346384048461914
15.7,2017,2017-05-12,132,1.1607584953308105
15.8,2017,2017-06-05,156,1.226123332977295
15.9,2017,2017-04-30,120,1.1040154695510864
16.0,2017,2017-06-05,156,1.2431516647338867
16.1,2017,2017-04-30,120,1.115881323814392
16.2,2017,2017-06-05,156,1.1940311193466187
16.3,2017,2017-06-05,156,1.1940311193466187
16.4,2017,2017-04-30,120,1.090293526649475
16.5,2017,2017-04-30,120,1.0969762802124023
16.6,2017,2017-10-03,276,1.1602360010147095
16.7,2017,2017-10-03,276,1.1801834106445312
16.8,2017,2017-06-05,156,1.234234094619751
16.9,2017,2017-10-27,300,1.3462746143341064
17.0,2017,2017-10-27,300,1.697328805923462
17.1,2017,2017-09-21,264,1.8575928211212158
17.2,2017,2017-09-21,264,1.9372317790985107
17.3,2017,2017-04-18,108,1.9819679260253906
17.4,2017,2017-04-18,108,2.131140947341919
17.5,2017,2017-04-30,120,2.0993618965148926
17.6,2017,2017-04-30,120,2.125605583190918
17.7,2017,2017-04-30,120,2.1891093254089355
17.8,2017,2017-04-30,120,2.0862417221069336
17.9,2017,2017-04-30,120,2.08996844291687
18.0,2017,2017-04-18,108,1.7008976936340332
18.1,2017,2017-04-30,120,1.9394181966781616
18.2,2017,2017-04-30,120,1.8584647178649902
18.3,2017,2017-04-18,108,1.622820258140564
18.4,2017,2017-04-30,120,1.7767770290374756
18.5,2017,2017-04-30,120,1.705004096031189
18.6,2017,2017-04-30,120,1.671715259552002
18.7,2017,2017-04-30,120,1.6288301944732666
18.8,2017,2017-04-18,108,1.6275837421417236
18.9,2017,2017-04-18,108,1.7239550352096558
19.0,2017,2017-04-18,108,1.7540576457977295
19.1,2017,2017-04-30,120,1.7641102075576782
19.2,2017,2017-04-30,120,1.7768703699111938
19.3,2017,2017-04-30,120,1.77890944480896
19.4,2017,2017-05-12,132,1.831964373588562
19.5,2017,2017-05-12,132,1.8802987337112427
19.6,2017,2017-04-18,108,1.7193495035171509
19.7,2017,2017-04-18,108,1.852250337600708
19.8,2017,2017-05-12,132,2.1508030891418457
19.9,2017,2017-05-12,132,2.222285747528076
20.0,2017,2017-04-30,120,2.199050188064575
20.1,2017,2017-04-30,120,2.183664321899414
20.2,2017,2017-04-18,108,1.777424693107605
20.3,2017,2017-04-18,108,1.7173106670379639
20.4,2017,2017-04-18,108,1.7173106670379639
20.5,2017,2017-04-18,108,1.6962043046951294
20.6,2017,2017-05-12,132,1.6834346055984497
20.7,2017,2017-04-30,120,1.666398048400879
20.8,2017,2017-04-30,120,1.663790225982666
20.9,2017,2017-04-30,120,1.6925408840179443
21.0,2017,2017-05-12,132,1.568163514137268
21.1,2017,2017-04-30,120,1.648894190788269
21.2,2017,2017-05-12,132,1.6237821578979492
21.3,2017,2017-04-18,108,1.5180156230926514
21.4,2017,2017-05-12,132,1.6601252555847168
21.5,2017,2017-04-18,108,1.4831604444980622
21.6,2017,2017-04-18,108,1.6147261428833006
21.7,2017,2017-04-18,108,1.5066196918487549
21.8,2017,2017-04-18,108,1.3780802488327026
21.9,2017,2017-10-03,276,1.4208461046218872
22.0,2017,2017-03-13,72,1.717281460762024
22.1,2017,2017-03-13,72,2.1226701736450195
22.2,2017,2017-03-13,72,2.115079402923584
22.3,2017,2017-05-12,132,2.245861053466797
22.4,2017,2017-05-12,132,2.4394772052764893
22.5,2017,2017-05-12,132,2.439556837081909
22.6,2017,2017-05-12,132,2.4711365699768066
22.7,2017,2017-04-18,108,2.5213687419891357
22.8,2017,2017-04-30,120,2.1691641807556152
22.9,2017,2017-06-05,156,2.0171234607696533
23.0,2017,2017-06-05,156,1.3372715711593628
23.1,2017,2017-08-16,228,1.0261611938476562
23.2,2017,2017-04-18,108,1.154726266860962
23.3,2017,2017-04-18,108,1.259509563446045
23.4,2017,2017-04-18,108,1.1720693111419678
23.5,2017,2017-04-18,108,1.1050244569778442
23.6,2017,2017-07-23,204,1.108194351196289
23.7,2017,2017-05-12,132,1.14219331741333
23.8,2017,2017-05-12,132,1.198641300201416
23.9,2017,2017-05-12,132,1.1986786127090454
