distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,193.5,131.5,283.25,8,True
0.1,171.0,122.25,201.5,8,True
0.2,214.5,150.75,283.25,8,True
0.3,136.5,90.0,153.25,8,True
0.4,181.5,135.0,256.75,8,True
0.5,183.0,124.5,239.25,8,True
0.6,157.5,119.25,195.75,8,True
0.7,199.5,154.25,225.5,8,True
0.8,175.5,123.25,219.5,8,True
0.9,145.5,117.0,178.5,8,True
1.0,186.0,135.75,220.75,8,True
1.1,183.0,135.75,212.75,8,True
1.2,139.5,93.0,179.5,8,True
1.3,145.5,113.25,175.5,8,True
1.4,175.5,151.25,220.0,8,True
1.5,184.5,136.5,234.0,8,True
1.6,190.5,125.5,259.5,8,True
1.7,214.5,176.75,262.25,8,True
1.8,214.5,176.75,262.25,8,True
1.9,184.5,176.75,207.0,8,True
2.0,169.5,118.5,238.0,8,True
2.1,177.0,121.5,238.5,8,True
2.2,219.0,163.5,283.75,8,True
2.3,174.0,94.0,234.75,8,True
2.4,189.0,154.5,242.25,8,True
2.5,192.0,121.0,277.25,8,True
2.6,219.0,172.5,286.25,8,True
2.7,199.5,135.75,290.25,8,True
2.8,208.5,163.5,271.5,8,True
2.9,208.5,163.5,271.5,8,True
3.0,174.0,73.5,250.75,8,True
3.1,222.0,208.5,266.25,8,True
3.2,201.0,114.75,284.75,8,True
3.3,201.0,114.75,284.75,8,True
3.4,208.5,122.25,283.5,8,True
3.5,202.5,173.5,245.5,8,True
3.6,187.5,96.75,252.75,8,True
3.7,177.0,129.5,243.75,8,True
3.8,195.0,134.75,260.25,8,True
3.9,198.0,144.25,243.75,8,True
4.0,193.5,151.25,240.25,8,True
4.1,189.0,138.75,245.75,8,True
4.2,186.0,138.75,241.5,8,True
4.3,213.0,143.25,256.75,8,True
4.4,220.5,198.5,253.75,8,True
4.5,201.0,163.75,261.75,8,True
4.6,201.0,163.75,261.75,8,True
4.7,184.5,139.5,235.5,8,True
4.8,205.5,188.0,245.5,8,True
4.9,192.0,131.5,241.5,8,True
5.0,220.5,208.25,266.25,8,True
5.1,196.5,173.25,235.75,8,True
5.2,178.5,118.75,233.75,8,True
5.3,213.0,178.5,268.25,8,True
5.4,213.0,178.5,268.25,8,True
5.5,262.5,249.0,290.25,8,True
5.6,214.5,178.5,267.25,8,True
5.7,234.0,223.5,256.0,8,True
