s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,463531.33315513545,4038033.2695716103,7541.357,41.254818,0.12563448
0.1,463618.7987100245,4038066.7061120304,7503.046,37.71343,0.12549254
0.2,463718.3140230452,4038076.1527116606,7442.199,35.927433,0.13226986
0.3,463818.19539718697,4038080.8965504426,7361.3794,33.47742,0.13834414
0.4,463918.15921119024,4038083.477470244,7355.452,30.206936,0.14449063
0.5,464018.1512486364,4038084.7037552306,7334.2446,27.59437,0.15341265
0.6,464118.1512486364,4038084.7037552297,7309.6226,25.550673,0.16050743
0.7,464218.0855854416,4038081.714637414,7238.4814,24.80727,0.16912964
0.8,464317.92122511496,4038076.270727997,7183.73,25.57228,0.19770168
0.9,464417.5610258355,4038067.790744957,7156.4194,28.135826,0.21845144
1.0,464516.89033453184,4038056.3358567473,7125.894,34.032207,0.22151762
1.1,464616.0058430342,4038043.156125166,7131.2075,37.107967,0.23214534
1.2,464714.749906226,4038027.357075056,7108.411,41.59566,0.23584698
1.3,464813.1047924889,4038009.359747977,7047.0596,45.11044,0.24836859
1.4,464911.249447035,4037990.1944061196,7017.836,44.41485,0.26347312
1.5,465008.7807769325,4037968.1118408605,6983.962,44.153618,0.27831072
1.6,465106.08485400345,4037945.0886399243,6986.342,43.955555,0.30600983
1.7,465202.94026779337,4037920.208350143,6969.128,44.186295,0.33191746
1.8,465299.389481049,4037893.830519254,6945.399,44.77164,0.34079224
1.9,465395.54187581304,4037866.358406464,6905.551,45.112213,0.35653737
2.0,465490.7212484757,4037835.7410574495,6917.009,45.316883,0.36013782
2.1,465585.54322963714,4037803.9896447086,6888.265,45.929813,0.37111005
2.2,465678.7793605321,4037767.8368592598,6877.317,47.071182,0.3719954
2.3,465771.21914923406,4037729.7825930533,6886.875,48.117916,0.34628418
2.4,465862.3925435645,4037688.7044703327,6868.0015,51.22918,0.34521377
2.5,465951.42501942767,4037643.22706441,6912.7886,56.1306,0.3368201
2.6,466038.89506468276,4037594.860771481,6890.2607,61.893116,0.29536042
2.7,466124.25063773454,4037542.7606165004,6919.2095,71.34397,0.26147282
2.8,466205.8815187884,4037485.0263526207,6960.272,87.09507,0.24428865
2.9,466284.38703260414,4037423.206048788,6945.424,94.56304,0.22312488
3.0,466359.13798298634,4037356.898927379,6938.511,85.01694,0.21184908
3.1,466430.1876765306,4037286.5533057507,6891.4595,66.70816,0.20039888
3.2,466505.92867269117,4037221.2593435445,6874.478,54.954113,0.20931041
3.3,466585.93656100694,4037161.3279242576,6789.737,42.060875,0.22312266
3.4,466669.849212457,4037107.064881388,6696.65,37.6333,0.24686375
3.5,466757.50214396085,4037059.1192608173,6706.823,33.141163,0.25150847
3.6,466848.5785992369,4037018.061610583,6601.91,31.41787,0.24668728
3.7,466942.62039442966,4036984.3251554365,6602.5767,23.30831,0.24558772
3.8,467039.0622171298,4036958.15794283,6602.123,57.92803,0.24720557
3.9,467137.2835865553,4036939.5981517388,6596.8853,69.20804,0.23511261
4.0,467236.6719600226,4036928.554999131,6606.2163,74.39312,0.23330377
4.1,467333.4039924888,4036903.2377454,6527.797,80.07287,0.20933512
4.2,467427.1668095449,4036868.870293466,6578.763,82.019516,0.18945529
4.3,467518.2378362298,4036827.872731799,6520.8315,81.59143,0.1691773
4.4,467606.82098975783,4036781.4720323314,6509.4443,85.57795,0.17989561
4.5,467691.4614466568,4036728.258478807,6490.553,93.74456,0.19038087
4.6,467774.62269494083,4036672.8158345046,6497.012,99.93755,0.2031337
4.7,467855.04030908743,4036613.376728396,6493.618,106.92691,0.20468536
4.8,467933.5968722651,4036551.5673242887,6508.103,110.24539,0.19450822
4.9,468010.4190002249,4036487.5488843224,6497.819,111.48764,0.21075958
5.0,468085.4165821677,4036421.447002361,6447.5376,111.14028,0.22272259
5.1,468159.009683344,4036353.741349279,6415.9507,110.20522,0.25665364
5.2,468231.3290872843,4036284.7078230823,6405.024,109.78738,0.25073403
5.3,468302.0397654029,4036213.9971449636,6353.1963,109.664986,0.28140736
5.4,468373.3125137341,4036143.881484324,6346.8164,108.84568,0.29010305
5.5,468447.93223469437,4036077.308988173,6308.0654,105.40568,0.27924025
5.6,468522.58562073385,4036010.776832063,6281.868,102.42821,0.3020325
5.7,468601.4358513356,4035949.2736521936,6261.946,96.73826,0.35677764
5.8,468680.40428472974,4035887.934638662,6192.8203,94.10493,0.4209663
5.9,468763.73990790563,4035832.6610110453,6157.5903,98.94996,0.5320752
6.0,468847.9432723651,4035778.831608397,6109.209,111.5884,0.58567864
6.1,468935.87246901874,4035731.203293543,6099.436,130.34056,0.621283
6.2,469025.94444596424,4035688.0698154178,6079.125,134.99864,0.62399304
6.3,469118.3101756462,4035649.747863741,6069.535,143.39175,0.61371267
6.4,469214.1269171448,4035621.3598659663,6037.5576,143.04672,0.6058761
6.5,469311.45197506266,4035599.3115923516,6019.318,136.5832,0.6003003
6.6,469410.42481074703,4035585.0155160856,6007.699,136.65636,0.6095903
6.7,469510.40241092065,4035584.7037552292,5982.181,128.64708,0.6159346
6.8,469610.1989026782,4035589.654463851,5962.6826,112.02247,0.61747336
6.9,469709.5668726317,4035600.1948777293,5945.6,107.042,0.66194105
7.0,469808.1405151828,4035617.024524018,5906.5195,104.657776,0.6856878
7.1,469904.84067088505,4035642.455753087,5871.4336,99.42894,0.72521937
7.2,469999.5359696714,4035674.3047921644,5866.29,100.81984,0.74757814
7.3,470091.8025881965,4035712.5829354646,5855.4697,93.76206,0.7720387
