s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,551334.3060999485,3979181.2246955875,5106.6436,12.514447,0.090563394
0.1,551286.4076443586,3979093.5479466873,4996.2866,12.653234,0.09477543
0.2,551231.1591377448,3979010.256783838,4872.7393,30.129389,0.09149969
0.3,551170.8163772714,3978930.556348383,4825.8965,40.493526,0.092341304
0.4,551106.8488350824,3978853.726156808,4783.279,43.664944,0.0931242
0.5,551040.2280394415,3978779.1761225723,4726.28,48.37425,0.09813039
0.6,550971.6108012362,3978706.4417661694,4707.664,49.52281,0.10047823
0.7,550900.9001231171,3978635.731088051,4646.553,47.26973,0.10285273
0.8,550825.6065630213,3978570.0543711307,4597.511,50.02067,0.10323152
0.9,550745.7681825142,3978510.0897770985,4593.8457,60.053967,0.103311405
1.0,550660.6801819656,3978457.8393416586,4557.2603,69.58998,0.10104516
1.1,550570.023386038,3978415.910157851,4546.961,75.13782,0.09894412
1.2,550474.3136188339,3978387.246173558,4529.423,78.433754,0.10212627
1.3,550375.2293472949,3978374.400375001,4510.016,82.504456,0.123446316
1.4,550275.4008338726,3978378.5784689193,4498.0825,97.85318,0.1402444
1.5,550177.5872951647,3978399.1294988077,4485.4214,134.66724,0.14618501
1.6,550083.9543774077,3978434.2418429665,4462.862,153.9093,0.14653718
1.7,549991.2991693873,3978471.8559761355,4457.314,179.2066,0.14322588
1.8,549899.9800097139,3978512.59717803,4444.5396,198.19095,0.13938941
1.9,549810.5837985574,3978557.376600931,4441.677,216.71268,0.12766989
2.0,549723.8967514503,3978607.1630569533,4431.255,223.669,0.13314536
2.1,549641.4289895458,3978663.6098209023,4427.817,234.13222,0.13573092
2.2,549567.3403317922,3978730.6088434104,4418.359,226.4939,0.15096836
2.3,549490.674092207,3978794.7139034844,4409.4434,225.62215,0.16849932
2.4,549409.376514183,3978852.9010945745,4398.2236,213.44318,0.19604881
2.5,549324.9746902667,3978906.5114584607,4387.9717,209.89186,0.2106634
2.6,549238.6139581922,3978956.915151705,4379.7754,215.80315,0.25737956
2.7,549150.9122685661,3979004.9502723333,4372.632,207.07625,0.2462528
2.8,549062.1890348325,3979051.07510522,4364.2817,204.2073,0.26448148
