distance_km,year,onset_date,onset_doy
0.0,2017,2017-03-01,60
0.1,2017,2017-04-18,108
0.2,2017,2017-04-18,108
0.3,2017,2017-03-01,60
0.4,2017,2017-03-01,60
0.5,2017,2017-03-01,60
1.8,2017,2017-03-01,60
1.9,2017,2017-03-01,60
2.0,2017,2017-03-01,60
2.1,2017,2017-03-01,60
2.2,2017,2017-03-01,60
2.3,2017,2017-03-13,72
2.6,2017,2017-03-01,60
3.1,2017,2017-03-01,60
3.4,2017,2017-03-01,60
3.5,2017,2017-03-01,60
3.7,2017,2017-03-01,60
3.8,2017,2017-03-01,60
4.0,2017,2017-03-13,72
4.1,2017,2017-03-13,72
4.3,2017,2017-03-25,84
4.4,2017,2017-03-25,84
4.5,2017,2017-03-25,84
4.6,2017,2017-06-05,156
4.7,2017,2017-06-05,156
6.2,2017,2017-03-13,72
6.5,2017,2017-03-13,72
6.6,2017,2017-03-13,72
8.2,2017,2017-03-25,84
8.3,2017,2017-06-05,156
8.4,2017,2017-06-05,156
8.5,2017,2017-03-01,60
8.6,2017,2017-03-13,72
8.7,2017,2017-03-13,72
8.8,2017,2017-03-01,60
9.2,2017,2017-03-01,60
9.3,2017,2017-03-01,60
9.4,2017,2017-03-01,60
10.0,2017,2017-04-30,120
10.1,2017,2017-04-30,120
10.2,2017,2017-04-30,120
10.3,2017,2017-04-18,108
10.6,2017,2017-03-25,84
10.7,2017,2017-03-01,60
13.5,2017,2017-05-12,132
18.2,2017,2017-04-30,120
18.3,2017,2017-03-25,84
18.4,2017,2017-04-30,120
18.9,2017,2017-04-30,120
19.2,2017,2017-03-25,84
19.3,2017,2017-03-25,84
19.4,2017,2017-04-06,96
19.6,2017,2017-04-30,120
19.7,2017,2017-05-12,132
19.8,2017,2017-04-18,108
19.9,2017,2017-04-06,96
20.0,2017,2017-04-06,96
20.3,2017,2017-04-30,120
20.4,2017,2017-06-05,156
20.5,2017,2017-06-05,156
20.6,2017,2017-03-25,84
20.7,2017,2017-03-25,84
20.8,2017,2017-04-06,96
20.9,2017,2017-04-06,96
21.0,2017,2017-04-06,96
21.1,2017,2017-04-06,96
21.2,2017,2017-06-05,156
21.3,2017,2017-06-05,156
21.4,2017,2017-04-06,96
21.5,2017,2017-06-05,156
21.6,2017,2017-06-05,156
21.7,2017,2017-04-06,96
21.8,2017,2017-04-06,96
21.9,2017,2017-06-05,156
22.0,2017,2017-04-06,96
22.1,2017,2017-05-12,132
22.2,2017,2017-05-12,132
22.3,2017,2017-04-06,96
22.4,2017,2017-04-06,96
22.5,2017,2017-06-05,156
22.6,2017,2017-04-06,96
22.7,2017,2017-04-06,96
22.8,2017,2017-03-25,84
22.9,2017,2017-04-06,96
23.0,2017,2017-04-06,96
23.1,2017,2017-03-25,84
23.2,2017,2017-03-25,84
23.3,2017,2017-03-25,84
23.4,2017,2017-03-25,84
23.5,2017,2017-03-25,84
23.6,2017,2017-04-06,96
23.7,2017,2017-04-06,96
23.8,2017,2017-04-06,96
23.9,2017,2017-04-06,96
24.0,2017,2017-03-25,84
24.1,2017,2017-03-25,84
24.2,2017,2017-03-25,84
24.3,2017,2017-03-25,84
24.4,2017,2017-04-06,96
24.5,2017,2017-04-06,96
24.6,2017,2017-04-06,96
24.7,2017,2017-04-06,96
24.8,2017,2017-03-25,84
24.9,2017,2017-03-25,84
25.0,2017,2017-03-25,84
25.1,2017,2017-03-13,72
25.2,2017,2017-03-13,72
25.3,2017,2017-03-25,84
25.4,2017,2017-03-25,84
25.5,2017,2017-03-25,84
25.6,2017,2017-03-25,84
25.7,2017,2017-03-25,84
25.8,2017,2017-03-25,84
25.9,2017,2017-03-25,84
26.0,2017,2017-03-25,84
26.1,2017,2017-03-25,84
26.2,2017,2017-03-25,84
26.3,2017,2017-04-06,96
26.4,2017,2017-04-06,96
26.5,2017,2017-04-06,96
26.6,2017,2017-04-06,96
26.7,2017,2017-03-25,84
26.8,2017,2017-03-25,84
26.9,2017,2017-03-13,72
27.0,2017,2017-03-25,84
27.1,2017,2017-03-25,84
27.2,2017,2017-04-18,108
27.3,2017,2017-03-25,84
27.4,2017,2017-03-25,84
27.5,2017,2017-03-25,84
27.6,2017,2017-03-25,84
27.7,2017,2017-03-25,84
27.8,2017,2017-03-25,84
27.9,2017,2017-03-25,84
28.0,2017,2017-03-13,72
28.1,2017,2017-03-13,72
28.2,2017,2017-03-13,72
28.3,2017,2017-03-13,72
28.4,2017,2017-03-13,72
28.5,2017,2017-03-13,72
28.6,2017,2017-03-01,60
28.7,2017,2017-03-13,72
28.8,2017,2017-03-25,84
28.9,2017,2017-03-25,84
29.0,2017,2017-03-13,72
29.1,2017,2017-03-13,72
29.2,2017,2017-03-13,72
29.3,2017,2017-03-13,72
29.4,2017,2017-03-13,72
29.5,2017,2017-03-25,84
29.6,2017,2017-03-25,84
29.7,2017,2017-03-25,84
29.8,2017,2017-03-01,60
29.9,2017,2017-03-01,60
30.0,2017,2017-03-01,60
30.1,2017,2017-03-01,60
30.2,2017,2017-03-01,60
30.3,2017,2017-03-01,60
30.4,2017,2017-03-01,60
30.48,2017,2017-03-01,60
0.0,2018,2018-03-08,67
0.1,2018,2018-03-08,67
0.2,2018,2018-03-08,67
0.3,2018,2018-03-08,67
0.4,2018,2018-03-08,67
0.5,2018,2018-05-07,127
0.6,2018,2018-05-31,151
0.7,2018,2018-03-08,67
0.8,2018,2018-05-31,151
0.9,2018,2018-05-31,151
1.0,2018,2018-03-08,67
1.1,2018,2018-03-08,67
1.2,2018,2018-03-08,67
1.3,2018,2018-03-08,67
1.4,2018,2018-03-20,79
1.5,2018,2018-03-20,79
1.6,2018,2018-05-31,151
1.8,2018,2018-03-08,67
1.9,2018,2018-03-08,67
2.0,2018,2018-03-08,67
2.1,2018,2018-03-08,67
3.5,2018,2018-03-20,79
3.9,2018,2018-03-08,67
4.0,2018,2018-03-08,67
4.1,2018,2018-03-08,67
4.6,2018,2018-03-08,67
5.0,2018,2018-05-07,127
5.5,2018,2018-03-20,79
5.6,2018,2018-04-13,103
5.7,2018,2018-03-08,67
5.8,2018,2018-03-08,67
6.0,2018,2018-05-31,151
6.1,2018,2018-05-31,151
6.2,2018,2018-05-31,151
9.8,2018,2018-05-31,151
9.9,2018,2018-05-31,151
10.0,2018,2018-05-31,151
10.1,2018,2018-04-25,115
10.2,2018,2018-04-25,115
10.3,2018,2018-03-20,79
10.4,2018,2018-04-01,91
10.9,2018,2018-04-13,103
11.0,2018,2018-04-13,103
16.7,2018,2018-05-07,127
18.1,2018,2018-04-01,91
18.2,2018,2018-04-01,91
18.3,2018,2018-03-20,79
18.4,2018,2018-03-20,79
19.6,2018,2018-04-01,91
19.7,2018,2018-04-01,91
20.1,2018,2018-04-13,103
20.2,2018,2018-04-13,103
21.0,2018,2018-04-01,91
