distance_km,year,peak_date,peak_doy,peak_val
0.0,2017,2017-06-29,180,0.17277182638645172
0.1,2017,2017-06-29,180,0.2007218897342682
0.2,2017,2017-08-04,216,0.25870242714881897
0.3,2017,2017-03-01,60,0.4200778305530548
0.4,2017,2017-03-01,60,0.4200778305530548
0.5,2017,2017-07-23,204,0.6146029829978943
0.6,2017,2017-10-27,300,0.8811562061309814
0.7,2017,2017-10-27,300,1.1593332290649414
0.8,2017,2017-10-27,300,0.8221439719200134
0.9,2017,2017-10-27,300,0.8221439719200134
1.0,2017,2017-09-09,252,1.009973168373108
1.1,2017,2017-08-28,240,1.2806674242019653
1.2,2017,2017-04-18,108,1.037899136543274
1.3,2017,2017-08-16,228,0.8258641958236694
1.4,2017,2017-08-28,240,0.9148905277252197
1.5,2017,2017-08-28,240,0.9148905277252197
1.6,2017,2017-03-01,60,0.6637448072433472
1.7,2017,2017-04-06,96,0.7309213280677795
1.8,2017,2017-04-06,96,0.7188937067985535
1.9,2017,2017-04-06,96,0.5728403329849243
2.0,2017,2017-04-06,96,0.5728403329849243
2.1,2017,2017-04-06,96,0.48995843529701233
2.2,2017,2017-04-06,96,0.5184829235076904
2.3,2017,2017-04-30,120,0.46632859110832214
2.4,2017,2017-06-05,156,0.5694648027420044
2.5,2017,2017-06-05,156,0.5694648027420044
2.6,2017,2017-08-04,216,0.5966386795043945
2.7,2017,2017-03-01,60,0.5422890186309814
2.8,2017,2017-03-01,60,0.5473546385765076
2.9,2017,2017-03-01,60,0.5473546385765076
3.0,2017,2017-03-01,60,0.5346679091453552
3.1,2017,2017-06-05,156,0.49783897399902344
3.2,2017,2017-03-13,72,0.4847864806652069
3.3,2017,2017-03-13,72,0.4847864806652069
3.4,2017,2017-09-09,252,0.5036013722419739
3.5,2017,2017-08-04,216,0.5071443319320679
3.6,2017,2017-09-09,252,0.4580051302909851
3.7,2017,2017-09-09,252,0.5110364556312561
3.8,2017,2017-09-09,252,0.5110364556312561
3.9,2017,2017-09-09,252,0.4665353000164032
4.0,2017,2017-03-25,84,0.5193215012550354
4.1,2017,2017-03-25,84,0.5193215012550354
4.2,2017,2017-10-03,276,0.7147352695465088
4.3,2017,2017-04-06,96,0.7120712399482727
4.4,2017,2017-08-16,228,0.9529793858528137
4.5,2017,2017-08-16,228,0.9529793858528137
4.6,2017,2017-04-30,120,0.9690274000167847
4.7,2017,2017-04-30,120,0.90919429063797
4.8,2017,2017-04-30,120,0.9935687184333801
4.9,2017,2017-04-30,120,0.9367901086807251
5.0,2017,2017-04-30,120,1.1988301277160645
5.1,2017,2017-04-30,120,0.8624628782272339
5.2,2017,2017-10-27,300,1.0239763259887695
5.3,2017,2017-08-04,216,0.9018170237541199
5.4,2017,2017-10-27,300,1.1078990697860718
5.5,2017,2017-06-05,156,0.8647941946983337
5.6,2017,2017-04-18,108,0.8259301781654358
5.7,2017,2017-03-25,84,1.0523055791854858
5.8,2017,2017-04-18,108,1.0026915073394775
5.9,2017,2017-03-25,84,1.1642783880233765
6.0,2017,2017-03-25,84,1.1497571468353271
6.1,2017,2017-08-04,216,1.2344282865524292
6.2,2017,2017-07-23,204,1.2302511930465698
6.3,2017,2017-07-23,204,1.2725919485092163
6.4,2017,2017-07-23,204,1.2683836221694946
6.5,2017,2017-07-23,204,1.2769250869750977
6.6,2017,2017-03-13,72,1.3216361999511719
6.7,2017,2017-03-13,72,1.4076358079910278
6.8,2017,2017-07-23,204,1.6030601263046265
6.9,2017,2017-07-23,204,1.9085499048233032
7.0,2017,2017-08-28,240,1.7793569564819336
7.1,2017,2017-07-11,192,2.173758029937744
7.2,2017,2017-08-28,240,2.3345699310302734
7.3,2017,2017-08-28,240,2.3354616165161133
7.4,2017,2017-07-23,204,2.432976484298706
7.5,2017,2017-10-03,276,2.443039894104004
7.6,2017,2017-04-06,96,2.522944211959839
7.7,2017,2017-09-09,252,2.742824077606201
7.8,2017,2017-10-15,288,2.650111436843872
7.9,2017,2017-10-15,288,2.650111436843872
8.0,2017,2017-08-04,216,2.971346378326416
8.1,2017,2017-04-18,108,2.5912222862243652
8.2,2017,2017-08-28,240,2.777336359024048
8.3,2017,2017-08-16,228,2.54137921333313
8.4,2017,2017-08-16,228,2.54137921333313
8.5,2017,2017-06-29,180,2.1998307704925537
8.6,2017,2017-08-16,228,2.224264144897461
8.7,2017,2017-04-30,120,1.9843608140945435
8.8,2017,2017-08-16,228,2.0197865962982178
8.9,2017,2017-08-16,228,1.816354513168335
9.0,2017,2017-09-09,252,1.7134196758270264
9.1,2017,2017-09-09,252,1.7134196758270264
9.2,2017,2017-09-09,252,1.6087321043014526
9.3,2017,2017-10-27,300,1.6898642778396606
9.4,2017,2017-10-27,300,1.6898642778396606
9.5,2017,2017-04-30,120,2.1845343112945557
9.6,2017,2017-08-28,240,2.862694263458252
9.7,2017,2017-06-29,180,2.3894224166870117
9.8,2017,2017-05-12,132,2.686703681945801
9.9,2017,2017-05-12,132,2.686703681945801
10.0,2017,2017-08-28,240,3.278196334838867
10.1,2017,2017-08-04,216,2.764389753341675
10.2,2017,2017-06-29,180,2.385006904602051
10.3,2017,2017-08-28,240,3.0796518325805664
10.4,2017,2017-07-11,192,2.6545214653015137
10.5,2017,2017-08-28,240,2.663559675216675
10.6,2017,2017-10-03,276,3.4470012187957764
10.7,2017,2017-08-28,240,3.3067502975463867
10.8,2017,2017-08-28,240,3.310209274291992
10.9,2017,2017-09-21,264,3.045961856842041
11.0,2017,2017-09-21,264,3.045961856842041
11.1,2017,2017-06-29,180,2.4560959339141846
11.2,2017,2017-10-15,288,1.319974422454834
11.3,2017,2017-10-15,288,1.3132518529891968
11.4,2017,2017-10-15,288,1.2299741506576538
11.5,2017,2017-04-06,96,1.1633414030075073
