distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,213.0,176.5,265.25,8,True
0.1,205.5,176.5,235.5,8,True
0.2,193.5,159.25,237.75,8,True
0.3,123.0,91.5,141.0,8,True
0.4,123.0,91.5,141.0,8,True
0.5,193.5,134.75,266.75,8,True
0.6,148.5,93.75,164.5,8,True
0.7,216.0,164.75,289.5,8,True
0.8,217.5,156.5,289.5,8,True
0.9,217.5,156.5,289.5,8,True
1.0,183.0,127.0,220.75,8,True
1.1,154.5,104.75,214.5,8,True
1.2,166.5,107.5,219.75,8,True
1.3,193.5,153.25,230.25,8,True
1.4,196.5,153.75,231.0,8,True
1.5,196.5,153.75,231.0,8,True
1.6,172.5,119.75,241.25,8,True
1.7,198.0,149.25,247.25,8,True
1.8,198.0,149.25,247.25,8,True
1.9,159.0,98.25,211.5,8,True
2.0,159.0,98.25,211.5,8,True
2.1,193.5,95.5,275.0,8,True
2.2,226.5,202.5,282.75,8,True
2.3,160.5,119.25,210.5,8,True
2.4,178.5,130.5,244.5,8,True
2.5,178.5,130.5,244.5,8,True
2.6,210.0,152.0,285.0,8,True
2.7,202.5,168.0,248.25,8,True
2.8,168.0,119.25,224.25,8,True
2.9,168.0,119.25,224.25,8,True
3.0,195.0,169.75,234.5,8,True
3.1,214.5,184.5,276.75,8,True
3.2,196.5,174.5,235.75,8,True
3.3,196.5,174.5,235.75,8,True
3.4,190.5,119.25,249.75,8,True
3.5,235.5,217.5,263.75,8,True
3.6,189.0,116.75,249.75,8,True
3.7,213.0,184.25,254.5,8,True
3.8,213.0,184.25,254.5,8,True
3.9,220.5,213.5,254.5,8,True
4.0,190.5,151.25,235.75,8,True
4.1,190.5,151.25,235.75,8,True
4.2,229.5,197.0,280.75,8,True
4.3,184.5,125.5,233.25,8,True
4.4,174.0,134.5,228.5,8,True
4.5,174.0,134.5,228.5,8,True
4.6,165.0,132.75,208.25,8,True
4.7,169.5,125.25,204.75,8,True
4.8,141.0,119.5,167.5,8,True
4.9,138.0,119.5,162.0,8,True
5.0,168.0,140.25,201.75,8,True
5.1,159.0,114.75,186.25,8,True
5.2,180.0,128.5,218.5,8,True
5.3,169.5,145.0,207.0,8,True
5.4,199.5,153.0,241.75,8,True
5.5,168.0,100.5,221.25,8,True
5.6,202.5,150.75,265.5,8,True
5.7,175.5,117.75,232.75,8,True
5.8,153.0,102.0,189.25,8,True
5.9,166.5,90.75,224.25,8,True
6.0,172.5,105.75,224.25,8,True
6.1,195.0,165.0,217.75,8,True
6.2,201.0,173.0,227.75,8,True
6.3,208.5,194.5,227.75,8,True
6.4,202.5,164.75,249.75,8,True
6.5,202.5,159.25,268.5,8,True
6.6,189.0,152.75,235.0,8,True
6.7,157.5,95.25,223.75,8,True
6.8,189.0,164.5,218.5,8,True
6.9,190.5,157.25,241.75,8,True
7.0,208.5,185.75,238.5,8,True
7.1,211.5,184.25,255.25,8,True
7.2,226.5,188.75,253.75,8,True
7.3,220.5,206.25,240.5,8,True
7.4,217.5,201.5,257.0,8,True
7.5,247.5,223.5,270.75,8,True
7.6,193.5,143.25,240.75,8,True
7.7,241.5,220.25,273.25,8,True
7.8,216.0,197.75,283.75,8,True
7.9,216.0,197.75,283.75,8,True
8.0,214.5,193.25,238.5,8,True
8.1,169.5,141.75,210.25,8,True
8.2,192.0,153.75,237.75,8,True
8.3,244.5,229.5,285.75,8,True
8.4,244.5,229.5,285.75,8,True
8.5,219.0,182.25,263.0,8,True
8.6,235.5,225.0,239.25,8,True
8.7,189.0,158.25,235.75,8,True
8.8,171.0,100.5,230.25,8,True
8.9,184.5,158.75,225.75,8,True
9.0,196.5,162.5,249.75,8,True
9.1,196.5,162.5,249.75,8,True
9.2,220.5,206.75,239.25,8,True
9.3,195.0,138.0,250.75,8,True
9.4,195.0,138.0,250.75,8,True
9.5,184.5,126.75,240.75,8,True
9.6,198.0,166.25,238.5,8,True
9.7,213.0,179.25,239.25,8,True
9.8,201.0,187.5,238.5,8,True
9.9,201.0,187.5,238.5,8,True
10.0,217.5,207.5,243.75,8,True
10.1,217.5,208.25,234.5,8,True
10.2,169.5,123.75,218.75,8,True
10.3,163.5,108.75,218.25,8,True
10.4,189.0,166.0,210.0,8,True
10.5,204.0,172.5,240.0,8,True
10.6,226.5,213.25,265.5,8,True
10.7,199.5,160.0,247.0,8,True
10.8,216.0,208.5,262.5,8,True
10.9,207.0,161.0,262.5,8,True
11.0,207.0,161.0,262.5,8,True
11.1,187.5,139.25,247.0,8,True
11.2,163.5,79.5,262.5,8,True
11.3,169.5,82.5,264.75,8,True
11.4,169.5,108.75,238.0,8,True
11.5,148.5,99.75,177.0,8,True
11.6,163.5,140.5,172.0,8,True
11.7,163.5,140.5,172.0,8,True
11.8,169.5,151.0,177.0,8,True
11.9,172.5,151.75,172.5,8,True
12.0,163.5,137.25,172.5,8,True
12.1,157.5,153.75,171.75,8,True
12.2,157.5,153.75,171.75,8,True
12.3,180.0,158.25,180.25,8,True
12.4,169.5,128.5,188.75,8,True
12.5,168.0,147.75,171.25,8,True
12.6,181.5,144.75,217.25,8,True
12.7,181.5,144.75,217.25,8,True
12.8,150.0,148.25,154.5,8,True
12.9,156.0,142.5,168.5,8,True
13.0,139.5,121.75,159.0,8,True
13.1,138.0,97.5,159.0,8,True
13.2,138.0,97.5,159.0,8,True
13.3,144.0,94.75,179.25,8,True
13.4,159.0,138.25,171.75,8,True
13.5,150.0,140.75,168.75,8,True
13.6,150.0,140.75,168.75,8,True
13.7,150.0,140.75,168.75,8,True
13.8,144.0,127.0,165.75,8,True
13.9,160.5,148.75,168.75,8,True
14.0,139.5,102.75,152.25,8,True
14.1,145.5,93.0,173.25,8,True
14.2,177.0,93.0,278.75,8,True
14.3,177.0,93.0,278.75,8,True
14.4,154.5,98.25,193.25,8,True
14.5,207.0,138.75,284.25,8,True
14.6,223.5,142.5,284.25,8,True
14.7,204.0,141.25,250.25,8,True
14.8,204.0,141.25,250.25,8,True
14.9,243.0,236.5,291.75,8,True
15.0,187.5,102.0,283.25,8,True
15.1,156.0,114.75,166.75,8,True
15.2,156.0,114.75,166.75,8,True
15.3,133.5,114.75,150.25,8,True
15.4,142.5,131.75,158.25,8,True
15.5,154.5,124.25,159.0,8,True
15.6,154.5,124.25,159.0,8,True
15.7,151.5,131.75,171.75,8,True
15.8,151.5,140.5,170.25,8,True
15.9,165.0,148.25,178.5,8,True
16.0,165.0,148.25,178.5,8,True
16.1,162.0,124.5,177.5,8,True
16.2,142.5,128.5,159.0,8,True
16.3,144.0,105.75,154.5,8,True
16.4,165.0,146.5,185.75,8,True
16.5,178.5,133.25,217.75,8,True
16.6,178.5,133.25,217.75,8,True
16.7,139.5,117.5,162.25,8,True
16.8,145.5,129.75,154.25,8,True
16.9,145.5,129.75,154.25,8,True
17.0,153.0,131.5,168.5,8,True
17.1,153.0,129.75,171.25,8,True
17.2,171.0,148.25,180.75,8,True
17.3,171.0,148.25,180.75,8,True
17.4,166.5,104.75,209.25,8,True
17.5,147.0,106.25,155.25,8,True
17.6,163.5,99.25,211.5,8,True
