s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,520463.4868103125,4005867.2225463977,7271.0166,11.55092,0.07698673
0.1,520511.57970382244,4005953.8012950933,7083.665,25.021118,0.088421024
0.2,520532.05392591516,4006051.4739032337,6995.131,31.074938,0.12749654
0.3,520543.6128408726,4006150.7502687275,6839.9087,35.853626,0.16885853
0.4,520551.11849138554,4006250.468196957,6756.138,32.90917,0.22353375
0.5,520554.84071972437,4006350.393657411,6684.4814,35.789135,0.32215354
0.6,520557.9640027507,4006450.340985775,6606.7163,39.85491,0.40864387
0.7,520558.6834085942,4006550.3383980175,6550.526,48.433945,0.45798796
0.8,520559.40281443775,4006650.3358102604,6515.6436,59.85712,0.47531664
0.9,520558.2728704676,4006750.3284595553,6499.8467,75.11174,0.48254332
1.0,520557.03839663934,4006850.320839637,6462.1025,95.23951,0.49211907
1.1,520555.1949314345,4006950.301231545,6444.6562,117.76233,0.501412
1.2,520552.4932152997,4007050.264728532,6430.3794,140.19473,0.50155205
1.3,520549.7914991648,4007150.2282255194,6420.521,156.05785,0.47925267
1.4,520546.4922968284,4007250.1721588885,6414.748,166.9067,0.4654809
1.5,520542.6489846188,4007350.0982763516,6406.567,175.75122,0.46010664
1.6,520538.8056724092,4007450.0243938146,6396.422,171.98973,0.44822603
1.7,520537.6186873585,4007549.9223689316,6388.5415,167.51659,0.41590074
1.8,520543.5782253632,4007649.744630511,6377.3794,159.68913,0.377986
1.9,520549.5377633679,4007749.56689209,6363.5938,153.89963,0.34957576
2.0,520556.7842281291,4007849.2449939065,6346.882,153.41249,0.3289607
2.1,520573.05915528693,4007947.9117398043,6327.509,161.76703,0.30743843
2.2,520589.3340824448,4008046.5784857017,6309.183,188.38849,0.31562713
2.3,520606.16160150885,4008145.123198273,6283.564,212.95549,0.32412517
2.4,520632.95255934296,4008241.4676043293,6278.0317,254.83412,0.35146073
2.5,520659.74351717706,4008337.8120103856,6276.7817,265.6346,0.37099278
2.6,520686.7394496221,4008434.087153329,6278.9297,267.56262,0.38957113
2.7,520723.8785172576,4008526.9348224173,6281.369,260.42337,0.3923509
2.8,520761.017584893,4008619.782491506,6285.405,257.7054,0.39072818
2.9,520798.15665252844,4008712.6301605944,6277.411,253.38235,0.39373377
3.0,520845.01775370433,4008800.9644867205,6269.7217,240.99544,0.4017257
3.1,520891.97058685805,4008889.2562273243,6260.9497,220.20271,0.39702594
3.2,520938.92342001176,4008977.547967928,6244.411,211.7709,0.38429725
3.3,520994.21678796766,4009060.827102409,6244.411,196.06543,0.3701088
3.4,521050.14691894455,4009143.723546536,6230.6104,182.39403,0.35110474
3.5,521106.07704992144,4009226.619990663,6227.241,179.32077,0.34878424
3.6,521168.36482369463,4009304.7510826862,6227.92,158.1467,0.35086107
3.7,521232.2403612601,4009381.692071117,6231.919,158.07097,0.35712692
3.8,521296.1158988256,4009458.633059548,6244.4155,128.7928,0.36402106
3.9,521363.8958749505,4009532.015106706,6214.1514,120.584305,0.36870134
4.0,521434.60655306926,4009602.7257848247,6156.0547,116.159904,0.3981768
4.1,521505.31723118806,4009673.436462943,6113.3486,118.624084,0.42841178
4.2,521576.99402205495,4009743.11447626,6043.8384,134.67216,0.47458756
4.3,521652.2516915255,4009808.964937047,6028.682,146.1044,0.52066034
4.4,521727.5093609961,4009874.815397834,6009.0376,164.15834,0.5479123
4.5,521803.035676045,4009940.3344392036,5979.642,178.45396,0.5689209
4.6,521883.0356760446,4010000.334439204,5958.842,189.86514,0.58163786
4.7,521963.0356760442,4010060.3344392045,5958.018,199.25658,0.5889933
4.8,522043.4575735997,4010119.7191408784,5942.7354,210.54929,0.6013185
4.9,522128.2574040005,4010172.7190348785,5949.4688,220.87534,0.6077908
5.0,522213.05723440135,4010225.718928878,5939.3677,235.16457,0.6147049
