distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,76.25,66.0,78.25,63,106,4,True
0.1,100.4,67.0,125.0,63,142,5,True
0.2,100.4,67.0,125.0,63,142,5,True
0.3,108.25,87.25,130.5,67,147,4,True
0.4,108.25,87.25,130.5,67,147,4,True
0.5,120.25,110.5,143.25,67,147,4,True
0.6,108.25,87.25,130.5,67,147,4,True
0.7,111.25,96.25,130.5,67,147,4,True
0.8,132.25,120.25,148.0,106,151,4,True
0.9,93.2,69.0,106.0,67,147,5,True
1.0,93.75,75.0,110.25,69,123,4,True
1.1,98.0,76.25,118.0,65,130,6,True
1.2,86.8,69.0,99.0,65,103,5,True
1.3,80.25,73.5,83.75,69,98,4,True
1.4,72.0,70.5,73.5,69,75,2,True
1.5,72.0,70.5,73.5,69,75,2,True
1.6,94.5,81.75,107.25,69,120,2,True
1.7,71.0,70.5,71.5,70,72,2,True
1.8,82.0,82.0,82.0,82,82,1,True
2.0,106.0,90.5,124.0,70,137,3,True
2.1,66.4,63.0,70.0,62,72,5,True
2.2,80.8,63.0,77.0,62,130,5,True
2.3,92.8,63.0,120.0,62,130,5,True
2.4,83.5,62.75,96.75,62,120,4,True
2.5,85.6,72.0,89.0,70,123,5,True
2.6,81.66666666666667,78.0,85.0,75,89,3,True
2.7,137.0,137.0,137.0,137,137,1,True
2.8,75.0,75.0,75.0,75,75,1,True
2.9,76.33333333333333,71.0,79.5,70,87,3,True
3.0,72.33333333333333,71.0,73.5,70,75,3,True
3.1,76.33333333333333,61.5,84.5,60,106,3,True
3.2,61.5,60.75,62.25,60,63,2,True
3.3,84.0,76.5,96.0,60,99,3,True
3.4,120.66666666666667,111.5,134.5,93,139,3,True
3.5,109.25,88.5,132.25,75,139,4,True
3.6,92.6,74.0,99.0,67,130,5,True
3.7,88.25,78.0,96.25,75,106,4,True
3.8,99.33333333333333,96.0,102.5,93,106,3,True
3.9,111.5,102.25,120.75,93,130,2,True
4.0,105.0,97.5,115.0,75,130,4,True
4.1,108.0,100.5,115.0,87,130,4,True
4.2,90.5,70.75,102.25,67,130,4,True
4.3,77.33333333333333,63.5,86.0,60,105,3,True
4.4,77.0,72.0,82.0,67,87,2,True
4.5,90.75,71.25,108.5,60,125,4,True
4.6,90.66666666666667,73.5,106.0,60,125,3,True
4.7,85.5,67.5,96.5,60,125,4,True
4.8,77.4,69.0,89.0,60,99,5,True
4.9,112.0,100.5,123.5,89,135,2,True
5.0,84.0,81.5,85.5,81,89,3,True
5.1,116.0,96.5,134.0,89,146,4,True
5.2,114.5,106.75,122.25,99,130,2,True
5.3,97.0,91.5,102.5,86,108,2,True
5.4,92.5,89.25,95.75,86,99,2,True
5.5,122.0,122.0,122.0,122,122,1,True
5.6,85.0,80.5,90.5,74,94,3,True
5.7,89.0,83.75,95.75,74,101,4,True
5.8,89.0,83.75,95.75,74,101,4,True
5.9,92.2,87.0,94.0,74,113,5,True
6.0,93.5,88.25,98.75,74,113,4,True
6.1,82.6,65.0,94.0,63,98,5,True
6.2,94.6,93.0,98.0,75,113,5,True
6.3,85.0,74.5,90.5,74,106,3,True
6.4,113.5,98.25,139.75,63,142,4,True
6.5,93.0,86.5,102.5,74,106,3,True
6.6,96.75,91.0,104.25,70,120,4,True
