distance_km,year,peak_date,peak_doy,peak_val
0.0,2018,2018-05-31,151,0.22430455684661865
0.1,2018,2018-08-11,223,0.23221902549266815
0.2,2018,2018-08-11,223,0.22293955087661743
0.3,2018,2018-08-11,223,0.2544434070587158
0.4,2018,2018-08-11,223,0.25704798102378845
0.5,2018,2018-08-11,223,0.2602721154689789
0.6,2018,2018-03-20,79,0.27073243260383606
0.7,2018,2018-03-20,79,0.24758963286876678
0.8,2018,2018-03-08,67,0.23162779211997986
0.9,2018,2018-03-20,79,0.28889796137809753
1.0,2018,2018-03-08,67,0.2391260266304016
1.1,2018,2018-04-13,103,0.27452152967453003
1.2,2018,2018-04-13,103,0.20548689365386963
1.3,2018,2018-07-18,199,0.21115252375602722
1.4,2018,2018-09-04,247,0.3087739646434784
1.5,2018,2018-03-08,67,0.2559235095977783
1.6,2018,2018-03-08,67,0.2907824218273163
1.7,2018,2018-03-08,67,0.29219040274620056
1.8,2018,2018-04-13,103,0.1985173225402832
1.9,2018,2018-03-08,67,0.25269514322280884
2.0,2018,2018-03-08,67,0.24041661620140076
2.1,2018,2018-09-04,247,0.1452912539243698
2.2,2018,2018-03-20,79,0.20078524947166443
2.3,2018,2018-03-08,67,0.202939972281456
2.4,2018,2018-03-20,79,0.27999013662338257
2.5,2018,2018-09-04,247,0.25595784187316895
2.6,2018,2018-10-22,295,0.18967688083648682
2.7,2018,2018-05-07,127,0.2483629435300827
2.8,2018,2018-03-08,67,0.24514193832874298
2.9,2018,2018-05-07,127,0.22823745012283325
3.0,2018,2018-05-07,127,0.23140667378902435
3.1,2018,2018-05-07,127,0.21018482744693756
3.2,2018,2018-05-07,127,0.1688239425420761
3.3,2018,2018-03-08,67,0.207903653383255
3.4,2018,2018-09-16,259,0.1358509659767151
3.5,2018,2018-09-16,259,0.1464560329914093
3.6,2018,2018-05-31,151,0.1422909051179886
3.7,2018,2018-05-31,151,0.18238767981529236
3.8,2018,2018-05-31,151,0.1712581366300583
3.9,2018,2018-10-22,295,0.18734101951122284
4.0,2018,2018-09-16,259,0.17893588542938232
4.1,2018,2018-07-18,199,0.18752744793891907
4.2,2018,2018-07-18,199,0.1753196269273758
4.3,2018,2018-07-18,199,0.17043258249759674
4.4,2018,2018-07-18,199,0.1422867476940155
4.5,2018,2018-05-07,127,0.1887616068124771
4.6,2018,2018-05-07,127,0.21772854030132294
4.7,2018,2018-09-04,247,0.21119235455989838
4.8,2018,2018-05-19,139,0.24547158181667328
4.9,2018,2018-05-19,139,0.2884288728237152
5.0,2018,2018-04-13,103,0.29442089796066284
5.1,2018,2018-04-13,103,0.2658161222934723
5.2,2018,2018-03-08,67,0.3125726282596588
5.3,2018,2018-09-28,271,0.3322732448577881
5.4,2018,2018-10-10,283,0.2918339967727661
5.5,2018,2018-10-22,295,0.2215259075164795
5.6,2018,2018-10-10,283,0.25981488823890686
5.7,2018,2018-10-22,295,0.2715626358985901
5.8,2018,2018-10-22,295,0.29376736283302307
5.9,2018,2018-10-10,283,0.23025739192962646
6.0,2018,2018-10-10,283,0.21763592958450317
6.1,2018,2018-10-10,283,0.2533242106437683
6.2,2018,2018-09-28,271,0.26923373341560364
6.3,2018,2018-10-10,283,0.21150997281074524
6.4,2018,2018-04-13,103,0.1326245665550232
6.5,2018,2018-04-13,103,0.16358624398708344
6.6,2018,2018-04-13,103,0.18845580518245697
6.7,2018,2018-05-19,139,0.14269934594631195
6.8,2018,2018-04-13,103,0.16269713640213013
6.9,2018,2018-10-22,295,0.12190739810466766
7.0,2018,2018-10-22,295,0.12782320380210876
7.1,2018,2018-10-22,295,0.1414414793252945
7.2,2018,2018-04-13,103,0.13527704775333405
7.3,2018,2018-09-28,271,0.11318672448396683
7.4,2018,2018-09-28,271,0.1608266979455948
7.5,2018,2018-09-28,271,0.18267440795898438
7.6,2018,2018-09-28,271,0.20691323280334473
7.7,2018,2018-09-28,271,0.1917136013507843
7.8,2018,2018-09-16,259,0.164703369140625
7.9,2018,2018-10-22,295,0.1945519745349884
8.0,2018,2018-10-22,295,0.1899459809064865
8.1,2018,2018-10-22,295,0.173956960439682
8.2,2018,2018-07-18,199,0.17016328871250153
8.3,2018,2018-10-22,295,0.16062651574611664
8.4,2018,2018-10-22,295,0.18043851852416992
8.5,2018,2018-05-31,151,0.12624165415763855
8.6,2018,2018-05-31,151,0.1256784051656723
8.7,2018,2018-05-31,151,0.1119997650384903
8.8,2018,2018-03-08,67,0.12195280939340591
8.9,2018,2018-10-22,295,0.14579135179519653
9.0,2018,2018-10-22,295,0.1511744111776352
9.1,2018,2018-10-22,295,0.1455342322587967
9.2,2018,2018-10-22,295,0.11394994705915451
9.3,2018,2018-08-11,223,0.09872762858867645
9.4,2018,2018-08-11,223,0.09839902073144913
9.5,2018,2018-06-24,175,0.10601939260959625
9.6,2018,2018-06-24,175,0.09666086733341217
9.7,2018,2018-08-11,223,0.09017032384872437
9.8,2018,2018-03-20,79,0.11409275978803635
9.9,2018,2018-03-20,79,0.12053734064102173
10.0,2018,2018-03-20,79,0.12101070582866669
10.1,2018,2018-03-20,79,0.10377762466669083
10.2,2018,2018-10-10,283,0.11745796352624893
10.3,2018,2018-04-13,103,0.15281672775745392
10.4,2018,2018-10-10,283,0.10650669038295746
10.5,2018,2018-08-11,223,0.11632511764764786
10.6,2018,2018-08-11,223,0.12076607346534729
10.7,2018,2018-08-11,223,0.14700931310653687
10.8,2018,2018-08-11,223,0.15241408348083496
10.9,2018,2018-04-13,103,0.1821790337562561
11.0,2018,2018-08-11,223,0.1502416878938675
11.1,2018,2018-08-11,223,0.11899346113204956
11.2,2018,2018-08-11,223,0.1019732877612114
11.3,2018,2018-05-31,151,0.10877861827611923
11.4,2018,2018-08-11,223,0.12033486366271973
11.5,2018,2018-08-11,223,0.13581198453903198
11.6,2018,2018-08-11,223,0.130998894572258
11.7,2018,2018-08-11,223,0.11448895186185837
11.8,2018,2018-03-08,67,0.14305371046066284
11.9,2018,2018-08-11,223,0.09391738474369049
12.0,2018,2018-08-11,223,0.10404790937900543
12.1,2018,2018-09-04,247,0.11436295509338379
12.2,2018,2018-09-04,247,0.12638314068317413
12.3,2018,2018-08-11,223,0.11133904755115509
12.4,2018,2018-04-13,103,0.13958755135536194
12.5,2018,2018-08-11,223,0.12844371795654297
12.6,2018,2018-08-11,223,0.13000288605690002
12.7,2018,2018-10-22,295,0.17455637454986572
12.8,2018,2018-08-11,223,0.13472308218479156
12.9,2018,2018-08-11,223,0.15868835151195526
13.0,2018,2018-08-11,223,0.15271709859371185
13.1,2018,2018-08-11,223,0.12814313173294067
13.2,2018,2018-03-20,79,0.13071873784065247
13.3,2018,2018-08-11,223,0.12334766983985901
13.4,2018,2018-08-11,223,0.1603703647851944
13.5,2018,2018-08-11,223,0.19167497754096985
13.6,2018,2018-08-11,223,0.14491325616836548
13.7,2018,2018-03-20,79,0.15796694159507751
13.8,2018,2018-03-20,79,0.20839209854602814
13.9,2018,2018-03-20,79,0.1657433807849884
14.0,2018,2018-03-08,67,0.16649721562862396
14.1,2018,2018-08-11,223,0.1067277267575264
14.2,2018,2018-08-11,223,0.10075578838586807
14.3,2018,2018-08-11,223,0.11831516772508621
14.4,2018,2018-03-08,67,0.16075485944747925
14.5,2018,2018-03-08,67,0.16899582743644714
14.6,2018,2018-03-08,67,0.12763690948486328
14.7,2018,2018-08-11,223,0.11316339671611786
14.8,2018,2018-08-11,223,0.13593460619449615
14.9,2018,2018-08-11,223,0.12489034235477448
15.0,2018,2018-08-11,223,0.11537431180477142
15.1,2018,2018-08-11,223,0.11089455336332321
15.2,2018,2018-08-11,223,0.11616575717926025
15.3,2018,2018-08-11,223,0.11331477016210556
15.4,2018,2018-08-11,223,0.13681873679161072
15.5,2018,2018-08-11,223,0.16092422604560852
15.6,2018,2018-08-11,223,0.1704692393541336
15.7,2018,2018-08-11,223,0.158590167760849
15.8,2018,2018-07-30,211,0.16300956904888153
15.9,2018,2018-05-19,139,0.19558225572109222
16.0,2018,2018-05-19,139,0.18682938814163208
16.1,2018,2018-05-31,151,0.1923835426568985
16.2,2018,2018-07-30,211,0.18340609967708588
16.3,2018,2018-08-11,223,0.1812184900045395
16.4,2018,2018-03-20,79,0.22208631038665771
16.5,2018,2018-08-11,223,0.20162749290466309
16.6,2018,2018-08-11,223,0.19763876497745514
16.7,2018,2018-08-23,235,0.1803889125585556
16.8,2018,2018-05-31,151,0.21417273581027985
16.9,2018,2018-05-31,151,0.16978850960731506
17.0,2018,2018-10-10,283,0.1335584819316864
17.1,2018,2018-09-28,271,0.1295519322156906
17.2,2018,2018-08-11,223,0.11165917664766312
17.3,2018,2018-08-11,223,0.10310167074203491
17.4,2018,2018-08-11,223,0.08525344729423523
17.5,2018,2018-08-11,223,0.06727331131696701
17.55,2018,2018-08-11,223,0.06727331131696701
0.0,2019,2019-05-26,146,0.2564309239387512
0.1,2019,2019-05-26,146,0.2669575810432434
0.2,2019,2019-05-02,122,0.28195720911026
0.3,2019,2019-07-25,206,0.24306172132492065
0.4,2019,2019-05-26,146,0.24988552927970886
0.5,2019,2019-05-02,122,0.2761662006378174
0.6,2019,2019-05-02,122,0.3289802074432373
0.7,2019,2019-07-25,206,0.2870626449584961
0.8,2019,2019-03-15,74,0.25218701362609863
0.9,2019,2019-03-15,74,0.23850826919078827
1.0,2019,2019-09-11,254,0.22762300074100494
1.1,2019,2019-04-20,110,0.24264869093894958
1.2,2019,2019-04-08,98,0.22057585418224335
1.3,2019,2019-05-02,122,0.2883211076259613
1.4,2019,2019-05-14,134,0.29191991686820984
1.5,2019,2019-08-06,218,0.2567289471626282
1.6,2019,2019-03-15,74,0.28336024284362793
1.7,2019,2019-03-15,74,0.29202961921691895
1.8,2019,2019-03-15,74,0.2508174777030945
1.9,2019,2019-04-08,98,0.17335982620716095
2.0,2019,2019-09-11,254,0.2151527851819992
2.1,2019,2019-06-19,170,0.22448118031024933
2.2,2019,2019-05-02,122,0.23540960252285004
2.3,2019,2019-05-02,122,0.16328130662441254
2.4,2019,2019-06-19,170,0.29350745677948
2.5,2019,2019-06-19,170,0.25408196449279785
