distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,123.42857142857143,109.0,146.5,7,True
0.1,140.57142857142858,129.5,148.0,7,True
0.2,137.14285714285714,119.5,148.0,7,True
0.3,157.71428571428572,108.0,214.5,7,True
0.4,145.71428571428572,96.0,184.5,7,True
0.5,140.57142857142858,119.5,160.0,7,True
0.6,142.28571428571428,77.0,199.5,7,True
0.7,156.0,77.0,231.5,7,True
0.8,121.71428571428571,83.5,133.5,7,True
0.9,126.85714285714286,76.5,156.5,7,True
1.0,166.28571428571428,108.0,236.5,7,True
1.1,133.71428571428572,91.0,158.5,7,True
1.2,149.14285714285714,89.5,223.5,7,True
1.3,183.42857142857142,138.0,223.5,7,True
1.4,164.57142857142858,112.5,233.0,7,True
1.5,183.42857142857142,112.5,241.5,7,True
1.6,181.71428571428572,103.0,276.0,7,True
1.7,150.85714285714286,71.5,211.5,7,True
1.8,121.71428571428571,78.0,117.5,7,True
1.9,164.57142857142858,109.0,214.0,7,True
2.0,181.71428571428572,107.0,272.5,7,True
2.1,156.0,79.5,208.5,7,True
2.2,126.85714285714286,75.5,135.5,7,True
2.3,132.0,89.0,139.0,7,True
2.4,132.0,81.5,155.5,7,True
2.5,147.42857142857142,82.5,208.5,7,True
2.6,183.42857142857142,103.5,282.0,7,True
2.7,162.85714285714286,113.0,207.5,7,True
2.8,216.0,159.5,280.0,7,True
2.9,168.0,114.5,231.5,7,True
3.0,176.57142857142858,122.5,243.5,7,True
3.1,166.28571428571428,108.5,229.0,7,True
3.2,161.14285714285714,85.5,237.5,7,True
3.3,166.28571428571428,86.5,267.5,7,True
3.4,161.14285714285714,73.0,270.0,7,True
3.5,186.85714285714286,73.5,276.0,7,True
3.6,126.85714285714286,72.0,146.5,7,True
3.7,142.28571428571428,108.0,146.5,7,True
3.8,159.42857142857142,114.0,202.5,7,True
3.9,185.14285714285714,112.5,273.5,7,True
4.0,169.71428571428572,103.0,247.0,7,True
4.1,176.57142857142858,117.5,219.5,7,True
4.2,200.57142857142858,160.5,238.5,7,True
4.3,233.14285714285714,218.0,279.5,7,True
4.4,185.14285714285714,102.0,267.5,7,True
4.5,159.42857142857142,109.5,206.5,7,True
4.6,188.57142857142858,126.0,287.5,7,True
4.7,183.42857142857142,112.0,262.5,7,True
4.8,149.14285714285714,77.0,208.5,7,True
4.9,102.85714285714286,72.5,136.5,7,True
5.0,162.85714285714286,92.5,224.5,7,True
5.1,169.71428571428572,107.0,218.5,7,True
5.2,169.71428571428572,114.5,223.0,7,True
5.3,144.0,122.5,144.0,7,True
5.4,149.14285714285714,122.5,144.0,7,True
5.5,147.42857142857142,107.0,147.5,7,True
5.6,142.28571428571428,102.5,147.5,7,True
5.7,144.0,102.5,147.5,7,True
5.8,144.0,102.5,147.5,7,True
5.9,147.42857142857142,113.0,147.5,7,True
6.0,149.14285714285714,113.0,147.5,7,True
6.1,149.14285714285714,113.0,147.5,7,True
6.2,142.28571428571428,105.5,147.5,7,True
6.3,137.14285714285714,97.5,144.0,7,True
6.4,111.42857142857143,96.0,132.0,7,True
6.5,108.0,96.0,120.0,7,True
6.6,123.42857142857143,85.5,126.0,7,True
6.7,130.28571428571428,115.5,145.0,7,True
6.8,108.0,97.5,113.5,7,True
6.9,135.42857142857142,97.5,133.5,7,True
7.0,128.57142857142858,89.0,127.0,7,True
7.1,150.85714285714286,120.5,141.5,7,True
7.2,108.0,101.0,122.5,7,True
7.3,157.71428571428572,105.5,194.5,7,True
7.4,130.28571428571428,97.5,127.0,7,True
7.5,128.57142857142858,93.5,130.5,7,True
7.6,128.57142857142858,93.5,130.5,7,True
7.7,137.14285714285714,99.5,144.5,7,True
7.8,169.71428571428572,118.5,220.0,7,True
7.9,246.85714285714286,244.0,268.5,7,True
8.0,217.71428571428572,176.5,268.5,7,True
8.1,173.14285714285714,102.0,259.0,7,True
8.2,197.14285714285714,143.0,259.0,7,True
8.3,161.14285714285714,102.0,205.5,7,True
8.4,126.85714285714286,97.5,115.0,7,True
8.5,114.85714285714286,104.5,118.5,7,True
8.6,108.0,99.5,116.5,7,True
8.7,118.28571428571429,110.5,122.5,7,True
8.8,144.0,108.0,154.0,7,True
8.9,133.71428571428572,99.5,123.5,7,True
9.0,159.42857142857142,99.5,210.0,7,True
9.1,152.57142857142858,96.0,193.0,7,True
9.2,171.42857142857142,122.5,222.0,7,True
9.3,120.0,78.5,154.5,7,True
9.4,147.42857142857142,126.0,174.0,7,True
9.5,125.14285714285714,108.5,149.5,7,True
9.6,135.42857142857142,101.0,179.0,7,True
9.7,150.85714285714286,78.0,206.0,7,True
9.8,174.85714285714286,96.0,239.0,7,True
9.9,152.57142857142858,80.5,214.5,7,True
10.0,106.28571428571429,80.5,118.0,7,True
10.1,145.71428571428572,98.5,177.5,7,True
10.2,178.28571428571428,127.5,227.5,7,True
10.3,149.14285714285714,117.5,176.5,7,True
10.4,169.71428571428572,109.5,207.5,7,True
10.5,149.14285714285714,104.5,206.0,7,True
10.6,156.0,121.5,181.0,7,True
10.7,157.71428571428572,121.0,181.0,7,True
10.8,168.0,144.0,186.0,7,True
10.9,157.71428571428572,115.0,186.0,7,True
11.0,190.28571428571428,142.0,224.5,7,True
11.1,183.42857142857142,146.5,224.5,7,True
11.2,164.57142857142858,108.0,218.5,7,True
11.3,113.14285714285714,91.5,130.5,7,True
11.4,128.57142857142858,80.5,164.0,7,True
11.5,147.42857142857142,102.0,199.0,7,True
11.6,171.42857142857142,126.0,213.5,7,True
11.7,137.14285714285714,97.5,179.5,7,True
11.8,135.42857142857142,97.5,143.5,7,True
11.9,169.71428571428572,101.0,238.5,7,True
12.0,144.0,104.5,189.5,7,True
12.1,162.85714285714286,110.5,227.5,7,True
12.2,133.71428571428572,94.0,167.0,7,True
12.3,150.85714285714286,74.5,218.5,7,True
12.4,150.85714285714286,101.0,199.5,7,True
12.5,130.28571428571428,97.0,149.0,7,True
12.6,149.14285714285714,110.5,181.5,7,True
12.7,188.57142857142858,121.5,249.5,7,True
12.8,154.28571428571428,98.5,210.0,7,True
12.9,123.42857142857143,78.0,164.5,7,True
13.0,157.71428571428572,88.0,208.5,7,True
13.1,138.85714285714286,83.5,177.5,7,True
13.2,168.0,104.5,229.0,7,True
13.3,178.28571428571428,144.5,210.0,7,True
13.4,152.57142857142858,103.5,195.5,7,True
13.5,142.28571428571428,82.5,195.5,7,True
13.6,164.57142857142858,125.0,202.0,7,True
13.7,147.42857142857142,80.0,216.5,7,True
13.8,173.14285714285714,102.0,243.5,7,True
13.9,161.14285714285714,115.0,205.5,7,True
14.0,161.14285714285714,117.5,209.0,7,True
14.1,178.28571428571428,154.5,210.0,7,True
14.2,185.14285714285714,154.5,224.5,7,True
14.3,169.71428571428572,127.5,224.5,7,True
