s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,613818.9596237891,3940676.0840117307,6335.271,14.509923,0.100435704
0.1,613748.2489456713,3940605.373333611,6253.33,15.1161,0.10405957
0.2,613666.744947435,3940548.161437271,6159.367,26.46934,0.11079761
0.3,613571.8897211654,3940517.9001975106,6098.002,36.37997,0.11291345
0.4,613472.3291698818,3940510.846523627,5925.4155,49.130318,0.10962233
0.5,613376.0895239243,3940485.2068804484,5859.6206,61.003567,0.11133255
0.6,613289.7442554713,3940435.1896479595,5826.0347,77.36727,0.11950727
0.7,613213.520553155,3940370.6449410953,5806.2793,84.58906,0.1231274
0.8,613155.928004372,3940289.9146903483,5783.8022,84.94162,0.127718
0.9,613125.7703392081,3940194.739972956,5766.247,77.956406,0.12715839
1.0,613108.0299121053,3940096.416588385,5736.8174,75.148224,0.121916726
1.1,613098.0091126483,3939996.9617316374,5715.758,68.18904,0.121756166
1.2,613093.0282736591,3939897.0877481117,5688.1113,63.962215,0.13164641
1.3,613093.0282736588,3939797.0877481117,5666.3447,61.785652,0.13982409
1.4,613095.4373717684,3939697.1354343337,5603.177,59.498657,0.14592558
1.5,613099.4878254543,3939597.2189364675,5565.155,57.612103,0.14431354
1.6,613106.6125304531,3939497.4730664846,5521.462,56.43686,0.1399727
1.7,613112.5866105495,3939397.6692073294,5472.016,55.591564,0.1298579
1.8,613115.5265157098,3939297.712431883,5397.692,57.34425,0.11558376
1.9,613114.9867444074,3939197.7423160197,5339.508,71.120384,0.10487676
2.0,613111.2766687548,3939097.8481470067,5322.4087,99.753105,0.10050835
2.1,613102.7710188659,3938998.2105340287,5314.9536,114.73127,0.10086459
2.2,613086.6741605884,3938899.5279831747,5290.259,116.6429,0.100197576
2.3,613062.0689912044,3938802.683513823,5253.3555,112.185486,0.10194431
2.4,613025.4621302526,3938709.7690499127,5219.537,122.46625,0.10352676
2.5,612969.9669230547,3938627.0913109956,5206.649,147.28163,0.111071885
2.6,612902.4139124339,3938553.5137943984,5202.5674,155.0737,0.11842395
2.7,612845.6453328814,3938471.3750741226,5196.3506,162.49315,0.1149147
2.8,612802.9113141509,3938381.1102628284,5188.871,165.74677,0.11303389
2.9,612773.3591479583,3938285.7224702453,5183.3574,165.61366,0.10489401
3.0,612758.7236315584,3938186.8992774407,5168.054,171.30385,0.099555746
3.1,612755.5282736601,3938087.037944408,5160.0337,169.30412,0.09243272
3.2,612747.9602466797,3937987.3635486453,5150.24,166.86781,0.09496213
3.3,612733.5805094561,3937888.4078650214,5140.649,163.02448,0.0904658
3.4,612715.1396723888,3937790.131934993,5133.745,154.2604,0.09207809
3.5,612694.1032505895,3937692.3825600916,5118.7046,145.2002,0.09323148
3.6,612671.3110672238,3937595.021212372,5108.17,152.93852,0.09133178
3.7,612646.5924928585,3937498.1244008592,5095.17,153.81,0.08311809
3.8,612620.5110530774,3937401.590667505,5080.656,162.57889,0.07717236
3.9,612593.7466666981,3937305.238876542,5069.007,162.01927,0.072447866
4.0,612565.4526710312,3937209.326344169,5060.583,166.27113,0.07099613
4.1,612537.0161762884,3937113.4547333205,5049.6846,159.72859,0.072995245
4.2,612507.2003142615,3937018.003191527,5036.672,148.41896,0.07365421
4.3,612477.3728149477,3936922.555193723,5016.5693,157.09157,0.07499749
4.4,612446.6101899472,3936827.405052326,5001.5054,169.7425,0.0771185
4.5,612415.7082688358,3936732.2997062383,5001.604,184.48318,0.083551705
4.6,612383.5179955118,3936637.6224317565,5000.021,185.77536,0.09553901
4.7,612350.6856857496,3936543.1699983687,4994.352,186.96167,0.10932308
4.8,612316.7750062089,3936449.0952099655,4981.1187,181.88225,0.12185715
4.9,612280.6592045177,3936355.84648381,4965.5596,177.54616,0.13055517
5.0,612241.9518128285,3936263.655272474,4935.1133,162.92393,0.14752501
5.1,612198.5105556372,3936173.6172255576,4919.8877,163.82458,0.16167197
5.2,612136.8448466336,3936096.1199918007,4909.45,172.4298,0.17068923
5.3,612048.1871423732,3936050.613885743,4891.78,172.51703,0.16282892
5.4,611952.7445770693,3936020.984380711,4891.084,145.78345,0.14289558
5.5,611855.2449199507,3935998.866055898,4880.6147,115.82626,0.12629005
5.6,611756.6750465753,3935982.042214773,4859.58,86.59955,0.12636824
5.7,611657.6060647068,3935968.4390828274,4804.7593,69.54502,0.11980114
5.8,611558.2176912394,3935957.39593022,4761.662,65.721436,0.12787272
5.9,611459.9518485088,3935939.001409947,4728.2144,75.35808,0.12299364
6.0,611362.8717444633,3935915.2326171817,4689.54,76.45036,0.12218733
6.1,611266.9013483248,3935887.2770198225,4615.052,89.197556,0.115340665
6.2,611172.0330185199,3935855.6542432206,4600.633,119.189354,0.10616052
6.3,611078.7776678866,3935819.576337602,4590.6396,114.76996,0.08699879
6.4,610986.3030857275,3935781.578609218,4575.9634,127.78431,0.07804169
6.5,610894.8831077983,3935741.05222725,4559.873,152.52415,0.07300698
6.6,610804.6406576682,3935698.0018694475,4559.897,178.48982,0.06785341
6.7,610714.8485853958,3935653.9861477446,4541.6064,193.60126,0.06707528
6.8,610626.5113244008,3935607.124940966,4545.094,197.51851,0.06331932
6.9,610538.3307812876,3935559.968380243,4520.2915,185.7428,0.06259292
7.0,610451.506467075,3935510.354486408,4518.1,182.81456,0.058883987
7.1,610364.7030181905,3935460.704532133,4495.5186,189.31628,0.05716898
7.2,610278.4201123484,3935410.1549509335,4481.216,194.88556,0.05564823
7.3,610192.311613362,3935359.3123553745,4476.561,204.80276,0.056787223
7.4,610106.7384150045,3935307.570421483,4465.9907,226.29268,0.060772337
