distance_km,year,onset_date,onset_doy
0.0,2018,2018-03-20,79
0.1,2018,2018-03-08,67
0.2,2018,2018-03-08,67
0.3,2018,2018-03-08,67
0.4,2018,2018-03-08,67
0.5,2018,2018-03-08,67
0.6,2018,2018-03-08,67
0.7,2018,2018-03-08,67
0.8,2018,2018-03-08,67
1.1,2018,2018-04-13,103
1.2,2018,2018-05-07,127
1.3,2018,2018-05-07,127
1.4,2018,2018-05-07,127
1.5,2018,2018-04-13,103
1.6,2018,2018-05-07,127
1.7,2018,2018-05-07,127
1.8,2018,2018-03-08,67
1.9,2018,2018-03-08,67
2.0,2018,2018-03-08,67
2.1,2018,2018-03-08,67
2.2,2018,2018-03-08,67
4.0,2018,2018-03-08,67
4.1,2018,2018-03-08,67
4.2,2018,2018-03-08,67
4.5,2018,2018-03-08,67
4.6,2018,2018-05-19,139
4.7,2018,2018-03-08,67
4.8,2018,2018-03-08,67
4.9,2018,2018-03-08,67
5.0,2018,2018-05-07,127
5.3,2018,2018-03-20,79
5.4,2018,2018-04-13,103
5.6,2018,2018-05-07,127
5.7,2018,2018-05-07,127
5.8,2018,2018-05-07,127
5.9,2018,2018-05-07,127
6.0,2018,2018-05-07,127
6.1,2018,2018-05-07,127
6.2,2018,2018-05-07,127
6.3,2018,2018-05-07,127
6.4,2018,2018-05-07,127
6.5,2018,2018-05-07,127
6.8,2018,2018-04-13,103
6.9,2018,2018-03-08,67
7.0,2018,2018-03-08,67
7.1,2018,2018-04-13,103
7.5,2018,2018-03-08,67
7.6,2018,2018-03-08,67
7.8,2018,2018-03-20,79
8.2,2018,2018-05-31,151
8.5,2018,2018-04-13,103
8.6,2018,2018-04-13,103
14.0,2018,2018-05-19,139
20.4,2018,2018-05-19,139
23.2,2018,2018-05-19,139
23.9,2018,2018-05-07,127
26.3,2018,2018-05-07,127
26.5,2018,2018-05-07,127
26.6,2018,2018-05-07,127
30.0,2018,2018-05-07,127
30.1,2018,2018-05-19,139
31.2,2018,2018-05-19,139
31.6,2018,2018-05-07,127
31.7,2018,2018-05-07,127
31.8,2018,2018-05-07,127
31.9,2018,2018-05-31,151
32.0,2018,2018-05-31,151
32.1,2018,2018-05-31,151
32.2,2018,2018-04-13,103
32.3,2018,2018-05-07,127
32.4,2018,2018-04-13,103
32.5,2018,2018-05-07,127
32.6,2018,2018-05-07,127
33.6,2018,2018-04-13,103
33.7,2018,2018-04-13,103
33.8,2018,2018-04-13,103
33.9,2018,2018-04-13,103
34.0,2018,2018-04-13,103
34.1,2018,2018-05-31,151
34.2,2018,2018-05-31,151
34.3,2018,2018-05-31,151
34.4,2018,2018-05-31,151
34.5,2018,2018-05-31,151
34.6,2018,2018-05-31,151
34.7,2018,2018-05-31,151
34.8,2018,2018-05-31,151
34.9,2018,2018-05-31,151
35.3,2018,2018-05-31,151
35.4,2018,2018-05-31,151
35.5,2018,2018-05-31,151
35.6,2018,2018-04-13,103
35.7,2018,2018-05-31,151
35.8,2018,2018-05-31,151
35.9,2018,2018-05-31,151
36.0,2018,2018-04-13,103
36.1,2018,2018-04-13,103
36.2,2018,2018-04-13,103
36.3,2018,2018-05-31,151
36.4,2018,2018-05-31,151
37.1,2018,2018-04-13,103
37.2,2018,2018-04-13,103
37.8,2018,2018-05-31,151
37.9,2018,2018-05-31,151
38.0,2018,2018-05-31,151
