distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,95.6,86.0,106.0,79,108,5,True
0.1,74.5,62.75,76.75,62,106,4,True
0.2,83.6,67.0,106.0,63,108,5,True
0.3,77.5,66.0,82.0,63,106,4,True
0.4,98.5,66.0,119.0,63,158,4,True
0.5,113.4,70.0,158.0,67,161,5,True
0.6,114.0,69.25,158.75,67,161,4,True
0.7,99.33333333333333,68.5,115.5,67,161,3,True
0.8,79.33333333333333,68.5,85.5,67,101,3,True
0.9,87.5,80.75,94.25,74,101,2,True
1.0,96.4,74.0,105.0,60,161,5,True
1.1,99.66666666666667,99.5,104.5,60,130,6,True
1.2,87.4,63.0,105.0,60,127,5,True
1.3,93.16666666666667,70.75,112.25,60,127,6,True
1.4,87.4,70.0,105.0,60,127,5,True
1.5,85.16666666666667,71.25,101.75,60,105,6,True
1.6,87.16666666666667,64.75,103.25,60,127,6,True
1.7,89.16666666666667,64.75,112.25,60,127,6,True
1.8,87.16666666666667,72.75,95.25,67,118,6,True
1.9,81.16666666666667,64.0,99.75,60,118,6,True
2.0,87.42857142857143,68.0,95.0,63,146,7,True
2.1,89.14285714285714,65.0,105.5,60,146,7,True
2.2,82.28571428571429,65.0,85.0,60,146,7,True
2.3,70.5,68.25,73.25,63,77,4,True
2.4,75.33333333333333,69.5,78.5,69,87,3,True
2.5,75.33333333333333,69.5,78.5,69,87,3,True
2.6,87.33333333333333,78.5,96.0,70,105,3,True
2.7,67.33333333333333,66.0,69.5,63,70,3,True
2.8,99.33333333333333,72.0,114.5,69,154,3,True
2.9,72.0,70.5,73.5,69,75,2,True
3.0,76.0,72.0,79.5,69,84,3,True
3.1,82.5,81.75,83.25,81,84,2,True
3.2,81.0,81.0,81.0,81,81,1,True
3.3,81.0,81.0,81.0,81,81,1,True
3.4,132.5,126.75,149.75,84,158,4,True
3.5,108.0,91.5,124.5,75,141,3,True
3.6,99.8,75.0,117.0,65,134,5,True
3.7,119.66666666666667,112.5,125.5,108,134,3,True
3.8,108.5,92.25,125.75,81,134,4,True
3.9,111.5,95.25,125.75,93,134,4,True
4.0,100.75,88.75,118.5,67,123,4,True
4.1,97.0,70.0,123.0,67,141,5,True
4.2,77.0,69.25,84.75,67,87,4,True
4.3,92.33333333333333,77.0,103.5,70,123,3,True
4.4,84.75,68.0,93.75,62,123,4,True
4.5,107.5,76.5,130.25,67,165,6,True
4.6,107.5,82.5,132.5,62,165,6,True
4.7,91.5,74.0,102.75,67,125,6,True
4.8,96.0,78.0,114.0,67,125,7,True
4.9,102.85714285714286,77.0,118.0,67,158,7,True
5.0,106.25,96.25,124.0,70,127,4,True
5.1,68.0,67.0,69.5,65,70,3,True
