distance_km,year,peak_date,peak_doy,peak_val
0.0,2018,2018-05-31,151,0.29018598794937134
0.1,2018,2018-07-18,199,0.23908357322216034
0.2,2018,2018-07-18,199,0.23475989699363708
0.3,2018,2018-07-18,199,0.23036672174930573
0.4,2018,2018-07-18,199,0.23057767748832703
0.5,2018,2018-08-23,235,0.2838684022426605
0.6,2018,2018-03-08,67,0.23101185262203217
0.7,2018,2018-10-10,283,0.22668488323688507
0.8,2018,2018-10-10,283,0.23111292719841003
0.9,2018,2018-10-10,283,0.2659170925617218
1.0,2018,2018-08-11,223,0.2697432041168213
1.1,2018,2018-05-19,139,0.26008135080337524
1.2,2018,2018-08-11,223,0.2584509253501892
1.3,2018,2018-05-07,127,0.22599686682224274
1.4,2018,2018-03-08,67,0.3053247332572937
1.5,2018,2018-05-19,139,0.31610071659088135
1.6,2018,2018-03-08,67,0.2444286346435547
1.7,2018,2018-07-18,199,0.21107953786849976
1.8,2018,2018-05-07,127,0.19409500062465668
1.9,2018,2018-03-08,67,0.21949370205402374
2.0,2018,2018-05-07,127,0.18811190128326416
2.1,2018,2018-06-24,175,0.21990853548049927
2.2,2018,2018-06-24,175,0.23615454137325287
2.3,2018,2018-04-13,103,0.3066421449184418
2.4,2018,2018-07-30,211,0.27663031220436096
2.5,2018,2018-07-30,211,0.2917340099811554
2.6,2018,2018-07-30,211,0.29473239183425903
2.7,2018,2018-08-23,235,0.3716605305671692
2.8,2018,2018-09-28,271,0.3898595869541168
2.9,2018,2018-06-24,175,0.3639121651649475
3.0,2018,2018-06-24,175,0.39965370297431946
3.1,2018,2018-04-13,103,0.33529791235923767
3.2,2018,2018-03-20,79,0.33414795994758606
3.3,2018,2018-08-23,235,0.3245713710784912
3.4,2018,2018-05-07,127,0.4244247376918793
3.5,2018,2018-05-07,127,0.6650777459144592
3.6,2018,2018-05-07,127,0.6616818904876709
3.7,2018,2018-09-16,259,0.67560875415802
3.8,2018,2018-07-30,211,3.0954296588897705
3.9,2018,2018-05-07,127,2.313424825668335
4.0,2018,2018-09-16,259,0.7801938056945801
4.1,2018,2018-05-07,127,1.8143359422683716
4.2,2018,2018-03-08,67,1.2423337697982788
4.3,2018,2018-03-08,67,1.1777440309524536
4.4,2018,2018-05-19,139,1.496376872062683
4.5,2018,2018-05-19,139,0.9841394424438477
4.6,2018,2018-06-24,175,2.24267315864563
4.7,2018,2018-07-30,211,2.659318685531616
4.8,2018,2018-08-23,235,2.48598575592041
4.9,2018,2018-05-19,139,3.036512851715088
5.0,2018,2018-05-19,139,2.2761237621307373
5.1,2018,2018-05-31,151,1.3872920274734497
5.2,2018,2018-08-23,235,0.9275698065757751
5.3,2018,2018-04-13,103,0.8755903840065002
5.4,2018,2018-06-24,175,1.0287994146347046
5.5,2018,2018-08-11,223,1.1219643354415894
5.6,2018,2018-08-11,223,1.5863778591156006
5.7,2018,2018-08-11,223,0.7254824042320251
5.8,2018,2018-05-07,127,0.706521213054657
5.9,2018,2018-06-24,175,0.8805173635482788
6.0,2018,2018-05-19,139,1.3187259435653687
6.1,2018,2018-05-19,139,1.4014582633972168
6.2,2018,2018-05-19,139,1.3665786981582642
6.3,2018,2018-09-04,247,1.0254677534103394
6.4,2018,2018-09-04,247,0.8554109930992126
6.5,2018,2018-05-07,127,0.7008167505264282
6.6,2018,2018-05-07,127,1.3398821353912354
6.7,2018,2018-05-07,127,1.2434180974960327
6.8,2018,2018-05-07,127,1.7021762132644653
6.9,2018,2018-05-07,127,1.4626622200012207
7.0,2018,2018-03-08,67,0.9973487257957458
7.1,2018,2018-08-11,223,1.60855233669281
7.2,2018,2018-08-11,223,1.2364277839660645
7.3,2018,2018-08-11,223,0.8918986320495605
7.4,2018,2018-08-11,223,0.5651317238807678
7.5,2018,2018-03-20,79,0.595937192440033
7.6,2018,2018-06-24,175,0.6140373349189758
7.7,2018,2018-06-24,175,0.8887659907341003
7.8,2018,2018-09-04,247,0.7316076755523682
7.9,2018,2018-09-04,247,0.6784210801124573
8.0,2018,2018-09-04,247,0.7195726633071899
8.1,2018,2018-09-04,247,0.6370213031768799
8.2,2018,2018-04-13,103,0.5827977657318115
8.3,2018,2018-09-04,247,0.5505664348602295
8.4,2018,2018-09-04,247,0.5565771460533142
8.5,2018,2018-05-31,151,1.1541579961776733
8.6,2018,2018-09-16,259,0.7097410559654236
8.7,2018,2018-09-16,259,0.6594772338867188
8.8,2018,2018-09-16,259,0.7219251394271851
8.9,2018,2018-09-16,259,0.7233797907829285
9.0,2018,2018-09-16,259,0.6407869458198547
9.1,2018,2018-09-16,259,0.7234465479850769
9.2,2018,2018-09-16,259,0.7836218476295471
9.3,2018,2018-09-16,259,0.6493431925773621
9.4,2018,2018-04-13,103,0.5090838074684143
9.5,2018,2018-05-19,139,0.44895151257514954
9.6,2018,2018-07-30,211,0.4812144339084625
9.7,2018,2018-06-24,175,0.4504901170730591
9.8,2018,2018-06-24,175,0.4643338918685913
9.9,2018,2018-05-19,139,0.5460589528083801
10.0,2018,2018-06-24,175,0.5272330641746521
10.1,2018,2018-06-24,175,0.5240119695663452
10.2,2018,2018-05-19,139,0.5571824312210083
10.3,2018,2018-09-16,259,0.5651586055755615
10.4,2018,2018-06-24,175,0.5854635834693909
10.5,2018,2018-06-24,175,0.6122047901153564
10.6,2018,2018-06-24,175,0.5912124514579773
10.7,2018,2018-06-24,175,0.5863425731658936
10.8,2018,2018-06-24,175,0.5727810859680176
10.9,2018,2018-06-24,175,0.5646447539329529
11.0,2018,2018-05-19,139,0.6015172004699707
11.1,2018,2018-05-19,139,0.6409583687782288
11.2,2018,2018-06-24,175,0.5189093351364136
11.3,2018,2018-05-19,139,0.6007941961288452
11.4,2018,2018-09-04,247,0.5658161044120789
11.5,2018,2018-09-04,247,0.5724535584449768
11.6,2018,2018-07-18,199,0.5454516410827637
11.7,2018,2018-05-19,139,0.5403980016708374
11.8,2018,2018-05-19,139,0.5645120143890381
11.9,2018,2018-05-31,151,0.5227276086807251
12.0,2018,2018-05-07,127,0.47337275743484497
12.1,2018,2018-07-18,199,0.46755295991897583
12.2,2018,2018-07-18,199,0.49181219935417175
12.3,2018,2018-05-31,151,0.48994600772857666
12.4,2018,2018-07-18,199,0.48078829050064087
12.5,2018,2018-07-18,199,0.4639812111854553
12.6,2018,2018-03-20,79,0.4416954219341278
12.7,2018,2018-03-20,79,0.4852612018585205
12.8,2018,2018-03-20,79,0.4794352650642395
12.9,2018,2018-03-20,79,0.4868564009666443
13.0,2018,2018-05-07,127,0.4732258915901184
13.1,2018,2018-09-16,259,0.4797047972679138
13.2,2018,2018-05-07,127,0.4729362428188324
13.3,2018,2018-05-07,127,0.4723488986492157
13.4,2018,2018-09-16,259,0.47217482328414917
13.5,2018,2018-09-16,259,0.48700034618377686
13.6,2018,2018-09-16,259,0.4946059286594391
13.7,2018,2018-05-31,151,0.513479471206665
13.8,2018,2018-03-08,67,0.4584079086780548
13.9,2018,2018-10-10,283,0.5041409134864807
14.0,2018,2018-05-31,151,0.509492814540863
14.1,2018,2018-10-10,283,0.5100263357162476
14.2,2018,2018-10-10,283,0.48645687103271484
14.3,2018,2018-10-10,283,0.4341070353984833
14.4,2018,2018-10-10,283,0.4186651408672333
14.5,2018,2018-05-19,139,0.42428985238075256
