distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,214.28571428571428,167.0,267.5,7,True
0.1,207.42857142857142,159.5,267.5,7,True
0.2,207.42857142857142,156.5,267.5,7,True
0.3,198.85714285714286,151.0,256.0,7,True
0.4,192.0,151.0,234.5,7,True
0.5,181.71428571428572,128.5,242.5,7,True
0.6,162.85714285714286,93.5,231.5,7,True
0.7,200.57142857142858,177.5,231.5,7,True
0.8,181.71428571428572,135.5,231.5,7,True
0.9,205.71428571428572,170.5,246.5,7,True
1.0,209.14285714285714,166.5,252.0,7,True
1.1,180.0,126.0,234.0,7,True
1.2,214.28571428571428,197.0,252.0,7,True
1.3,178.28571428571428,132.0,225.5,7,True
1.4,169.71428571428572,138.5,208.5,7,True
1.5,202.28571428571428,134.5,262.0,7,True
1.6,168.0,83.0,242.5,7,True
1.7,173.14285714285714,125.0,200.0,7,True
1.8,161.14285714285714,126.0,193.0,7,True
1.9,137.14285714285714,100.0,172.5,7,True
2.0,190.28571428571428,128.5,246.0,7,True
2.1,161.14285714285714,126.5,182.0,7,True
2.2,152.57142857142858,126.5,182.0,7,True
2.3,125.14285714285714,90.0,156.5,7,True
2.4,154.28571428571428,108.0,206.5,7,True
2.5,176.57142857142858,129.5,233.0,7,True
2.6,181.71428571428572,131.0,233.0,7,True
2.7,204.0,139.0,264.5,7,True
2.8,176.57142857142858,126.0,223.0,7,True
2.9,154.28571428571428,92.5,206.0,7,True
3.0,154.28571428571428,92.5,206.0,7,True
3.1,144.0,99.5,175.5,7,True
3.2,156.0,98.0,210.0,7,True
3.3,154.28571428571428,103.0,196.5,7,True
3.4,123.42857142857143,85.0,148.5,7,True
3.5,133.71428571428572,114.0,140.0,7,True
3.6,142.28571428571428,119.0,151.0,7,True
3.7,173.14285714285714,124.5,216.0,7,True
3.8,156.0,106.5,208.5,7,True
3.9,138.85714285714286,119.0,148.0,7,True
4.0,176.57142857142858,107.0,251.0,7,True
4.1,138.85714285714286,122.5,160.5,7,True
4.2,156.0,92.0,235.5,7,True
4.3,140.57142857142858,119.0,144.0,7,True
4.4,181.71428571428572,125.0,260.5,7,True
4.5,197.14285714285714,138.0,266.5,7,True
4.6,195.42857142857142,151.0,253.0,7,True
4.7,183.42857142857142,151.0,224.5,7,True
4.8,168.0,139.5,187.0,7,True
4.9,166.28571428571428,143.0,179.5,7,True
5.0,138.85714285714286,123.5,148.0,7,True
5.1,166.28571428571428,115.5,203.5,7,True
5.2,169.71428571428572,97.5,237.5,7,True
5.3,166.28571428571428,104.5,230.5,7,True
5.4,159.42857142857142,118.0,172.5,7,True
5.5,188.57142857142858,145.0,231.5,7,True
5.6,174.85714285714286,155.0,210.0,7,True
5.7,183.42857142857142,159.5,225.5,7,True
5.8,149.14285714285714,135.5,159.5,7,True
5.9,176.57142857142858,145.0,212.0,7,True
6.0,204.0,170.5,244.5,7,True
6.1,228.0,217.5,253.5,7,True
6.2,205.71428571428572,157.5,244.5,7,True
6.3,164.57142857142858,147.5,194.5,7,True
6.4,173.14285714285714,162.0,194.5,7,True
6.5,185.14285714285714,131.0,246.0,7,True
6.6,178.28571428571428,136.5,239.0,7,True
6.7,169.71428571428572,107.0,248.5,7,True
6.8,174.85714285714286,104.5,247.5,7,True
6.9,195.42857142857142,113.0,255.5,7,True
7.0,186.85714285714286,114.0,253.5,7,True
7.1,186.85714285714286,163.0,218.5,7,True
7.2,164.57142857142858,145.5,199.5,7,True
7.3,161.14285714285714,120.0,206.5,7,True
7.4,174.85714285714286,146.5,212.0,7,True
7.5,181.71428571428572,80.5,255.5,7,True
7.6,198.85714285714286,128.5,271.0,7,True
7.7,212.57142857142858,159.5,258.0,7,True
7.8,190.28571428571428,144.5,236.0,7,True
7.9,186.85714285714286,152.5,236.0,7,True
8.0,188.57142857142858,145.0,248.5,7,True
8.1,173.14285714285714,127.0,210.0,7,True
8.2,159.42857142857142,105.5,199.0,7,True
8.3,164.57142857142858,122.5,200.5,7,True
8.4,185.14285714285714,130.0,260.5,7,True
8.5,154.28571428571428,108.0,201.5,7,True
8.6,168.0,115.0,217.5,7,True
8.7,180.0,118.5,247.5,7,True
8.8,231.42857142857142,219.5,267.5,7,True
8.9,193.71428571428572,146.5,252.0,7,True
9.0,169.71428571428572,132.5,201.5,7,True
9.1,185.14285714285714,127.5,268.5,7,True
9.2,195.42857142857142,138.0,268.5,7,True
9.3,183.42857142857142,132.0,228.0,7,True
9.4,142.28571428571428,111.5,144.0,7,True
9.5,171.42857142857142,140.0,169.5,7,True
9.6,202.28571428571428,169.5,227.0,7,True
9.7,154.28571428571428,99.5,180.0,7,True
9.8,168.0,93.5,225.5,7,True
9.9,168.0,102.0,233.0,7,True
10.0,200.57142857142858,174.0,240.0,7,True
10.1,185.14285714285714,137.0,235.0,7,True
10.2,186.85714285714286,122.0,246.0,7,True
10.3,198.85714285714286,113.0,262.5,7,True
10.4,181.71428571428572,145.5,220.5,7,True
10.5,152.57142857142858,101.5,185.0,7,True
10.6,152.57142857142858,112.5,202.5,7,True
10.7,147.42857142857142,107.5,173.0,7,True
10.8,180.0,117.5,242.5,7,True
10.9,186.85714285714286,138.0,231.5,7,True
11.0,150.85714285714286,113.5,184.0,7,True
11.1,183.42857142857142,161.0,217.0,7,True
11.2,186.85714285714286,142.0,227.5,7,True
11.3,149.14285714285714,123.5,180.0,7,True
11.4,226.28571428571428,181.0,266.5,7,True
11.5,217.71428571428572,163.5,266.5,7,True
11.6,168.0,112.5,228.0,7,True
11.7,150.85714285714286,118.5,157.5,7,True
11.8,140.57142857142858,118.5,157.5,7,True
11.9,166.28571428571428,126.5,211.0,7,True
12.0,138.85714285714286,109.5,163.5,7,True
12.1,186.85714285714286,129.5,227.0,7,True
12.2,152.57142857142858,117.5,182.0,7,True
12.3,162.85714285714286,140.5,190.5,7,True
12.4,150.85714285714286,101.5,183.5,7,True
12.5,169.71428571428572,136.0,195.5,7,True
12.6,161.14285714285714,123.5,194.5,7,True
12.7,200.57142857142858,184.0,234.0,7,True
12.8,149.14285714285714,108.0,183.5,7,True
12.9,157.71428571428572,108.5,189.5,7,True
13.0,157.71428571428572,110.5,194.5,7,True
13.1,171.42857142857142,92.5,242.0,7,True
13.2,161.14285714285714,120.0,205.0,7,True
13.3,130.28571428571428,91.5,150.0,7,True
13.4,156.0,91.5,220.5,7,True
