s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,659230.0826726655,3948024.2893511606,7325.501,75.29665,0.1184109
0.1,659159.3719945475,3948095.00002928,7290.5337,69.07666,0.1095681
0.2,659083.4509314472,3948159.7171177277,7226.459,96.06838,0.105291136
0.3,658996.0475080839,3948207.987974087,7180.455,89.40076,0.10557448
0.4,658902.397867342,3948242.8444040893,7143.121,85.69207,0.11361437
0.5,658806.4613744327,3948270.636458526,7092.5107,77.74765,0.11979769
0.6,658715.9591057681,3948312.894628606,7080.034,87.39032,0.12176424
0.7,658630.1249308932,3948364.1224867827,7029.9854,74.59578,0.11907241
0.8,658547.6954956958,3948420.722061077,7005.96,88.71886,0.11901224
0.9,658467.7180115563,3948480.74413457,6937.9277,62.71218,0.12093415
1.0,658389.5249751876,3948543.068492814,6881.51,60.858105,0.12303811
1.1,658312.6533401044,3948607.0143294665,6879.8496,48.534016,0.11968936
1.2,658236.7785684218,3948672.1469059377,6873.68,37.368584,0.11251693
1.3,658162.0376365538,3948738.583289821,6850.1196,37.368584,0.11202866
1.4,658083.1950487614,3948799.947205925,6796.1855,37.42973,0.11052713
1.5,658001.7540340325,3948857.8798699556,6789.897,36.979687,0.10729353
1.6,657916.1808356749,3948909.6218038476,6712.1943,40.604866,0.10482169
1.7,657828.1810432726,3948956.9385708086,6680.1973,38.790554,0.10075177
1.8,657738.5463923521,3949001.273989543,6557.7827,40.36487,0.10391155
1.9,657645.7748552157,3949038.5835735677,6484.2163,38.928856,0.11052899
2.0,657552.2063187286,3949073.7109646574,6375.333,40.8918,0.11800837
2.1,657456.9020501481,3949103.9945640196,6318.6133,39.282536,0.12666982
2.2,657360.6221830471,3949130.810556312,6256.6606,38.51351,0.13529815
2.3,657263.5085408206,3949154.663029842,6150.3984,37.72751,0.14717942
2.4,657165.4971877376,3949174.3109330945,6108.743,38.74526,0.15811206
2.5,657067.1101967274,3949192.199476914,6061.5225,39.165966,0.1640951
2.6,656968.0645432246,3949205.7911315057,5953.332,41.11122,0.1784358
2.7,656868.8367555534,3949218.194604965,5898.5933,44.11172,0.18153925
2.8,656769.6837166275,3949231.178111577,5858.1055,47.49092,0.18688954
2.9,656670.5532815512,3949244.337018887,5784.611,51.52249,0.1893892
3.0,656571.5565304534,3949258.4660792304,5756.576,56.620117,0.1906313
3.1,656472.6493097884,3949273.1941083977,5746.6445,68.923225,0.20089994
3.2,656373.8941365153,3949288.910400284,5726.8647,77.77935,0.21351948
3.3,656275.4430700978,3949306.4310928234,5710.9272,79.235855,0.23021032
3.4,656177.7739224918,3949327.791244713,5699.4385,84.863144,0.25454417
3.5,656087.2328729484,3949365.981830543,5687.825,96.83302,0.29693693
3.6,655991.6939351375,3949393.4624575176,5665.1147,94.84139,0.33960694
3.7,655892.2178244708,3949403.429485667,5646.441,96.4829,0.38026172
3.8,655792.311914289,3949407.5192221925,5618.7656,98.08415,0.42619646
3.9,655692.3224661141,3949408.574510206,5575.7383,98.36418,0.41769096
4.0,655592.7678086018,3949401.2945464323,5556.978,99.57034,0.44055945
4.1,655494.945616525,3949381.21370746,5546.429,101.596725,0.43916783
4.2,655400.0388003126,3949350.0205614027,5537.3193,122.15374,0.46300477
4.3,655308.6630455665,3949309.5784251164,5514.1357,117.2333,0.43033034
4.4,655220.9736951167,3949261.6469094264,5496.93,141.30301,0.42226708
4.5,655136.8236176586,3949207.737354878,5465.68,161.45717,0.4339582
4.6,655055.9045148086,3949149.0744000203,5439.501,175.23593,0.46304354
4.7,654977.8464903934,3949086.617364884,5412.1045,197.93877,0.5677782
4.8,654902.5888209232,3949020.766904096,5404.8804,238.07298,0.66547114
4.9,654825.3337356019,3948957.279091491,5394.8955,276.2564,0.637662
5.0,654746.0994243437,3948896.3009432484,5383.9,305.17667,0.53949374
5.1,654664.307587046,3948838.821675012,5382.7554,301.71124,0.45921716
5.2,654579.2077657039,3948786.3971572546,5379.0513,317.08762,0.41358727
5.3,654489.8965584363,3948741.553599777,5378.583,326.02936,0.38357547
5.4,654394.2658043054,3948713.13778895,5381.6807,330.3353,0.36655295
5.5,654294.7631304293,3948710.3101357524,5381.0605,324.48868,0.36508152
5.6,654196.1477979028,3948725.8013676796,5376.3877,319.43936,0.4011457
5.7,654104.0055696145,3948763.6496766093,5368.4614,303.5967,0.40055874
5.8,654026.4159878439,3948826.0792562254,5357.452,284.78622,0.408624
5.9,653941.0435145113,3948877.7234509634,5356.1904,273.9478,0.42030734
6.0,653849.2154606739,3948917.207331386,5338.5923,269.83203,0.4204765
6.1,653754.7804125077,3948950.0413105483,5330.216,269.83203,0.4037264
6.2,653658.9685930578,3948978.6480055344,5308.8276,287.5731,0.37974423
6.3,653562.35734891,3949004.4345513843,5289.4146,301.44934,0.35949606
6.4,653465.6330183037,3949029.765974959,5282.446,311.28622,0.35021415
6.5,653369.9756965019,3949058.848449247,5277.8096,319.7422,0.33447433
6.6,653275.8665778828,3949092.5783424308,5270.1997,353.86655,0.345558
6.7,653184.046866915,3949132.0975314346,5270.332,362.37097,0.35731608
6.8,653096.4717536109,3949180.1970608016,5268.1743,379.0331,0.3996095
6.9,653015.6767928007,3949238.928874993,5267.992,379.8827,0.42190593
7.0,652942.7859622833,3949307.303367625,5262.2695,382.27286,0.42651463
7.1,652860.433089728,3949363.756722153,5256.9795,373.7856,0.42942795
7.2,652767.5992293163,3949399.999081283,5255.84,372.43695,0.3763543
7.3,652668.4633789003,3949409.846233868,5250.6455,368.79202,0.34578657
7.4,652571.5228128688,3949433.310765025,5247.1553,364.16428,0.34463796
7.5,652479.1975522222,3949471.57449041,5239.9487,355.90512,0.35847583
7.6,652390.9193993396,3949518.5048612235,5237.925,348.808,0.3570758
7.7,652305.1892717995,3949569.9529717835,5229.747,339.20972,0.3693625
7.8,652221.5457580388,3949624.742347261,5219.764,327.3445,0.35281247
7.9,652136.8866063291,3949677.952171515,5212.073,311.7172,0.34490424
8.0,652049.5082328091,3949726.543372161,5208.8853,303.50552,0.3460368
8.1,651959.1540661242,3949769.304931316,5198.5503,293.2251,0.33953774
8.2,651864.2097196429,3949800.331255268,5187.7466,289.55185,0.3255654
8.3,651765.0054788223,3949809.912514073,5171.1216,291.99594,0.32500157
8.4,651666.889763295,3949828.3902602945,5161.152,297.28488,0.33196905
8.5,651571.6536019217,3949858.726014707,5149.3027,311.91263,0.34790277
8.6,651478.9415656675,3949896.1556307576,5143.6006,325.7338,0.35179457
8.7,651387.9660231775,3949937.645872413,5140.481,352.0878,0.34760153
8.8,651298.2949373457,3949981.8909037225,5135.8794,378.81586,0.37162736
8.9,651206.8188882669,3950022.247584215,5137.7686,406.27625,0.38585415
9.0,651113.3296691523,3950057.6701689456,5134.768,422.82797,0.37548235
9.1,651017.3924299256,3950085.696766871,5133.377,429.63168,0.37113008
9.2,650919.2162810451,3950104.302266022,5135.1597,429.14954,0.36968145
9.3,650819.4104790058,3950108.704544701,5136.2637,428.9046,0.37012428
9.4,650720.5062574085,3950122.7189260153,5134.4194,422.60175,0.3773069
9.5,650625.5141535774,3950153.680770222,5125.2183,402.45956,0.37774342
9.6,650536.1593494326,3950198.370977562,5125.724,394.56775,0.38585114
9.7,650452.7419525828,3950253.366180984,5116.202,394.56775,0.40121087
9.8,650368.2873656973,3950306.496814609,5113.2896,387.67697,0.4120495
9.9,650274.641272071,3950341.0489397193,5109.1255,381.20776,0.42662546
10.0,650176.9288109401,3950361.719293986,5102.6597,373.5826,0.4312836
10.1,650077.424722201,3950371.0454941615,5087.9585,377.7523,0.44358087
10.2,649977.4526841579,3950370.2681882423,5083.233,375.2901,0.4564396
10.3,649877.7742002846,3950362.571596039,5077.0527,372.1032,0.45800894
10.4,649778.5809034072,3950349.9081438608,5066.3306,370.42764,0.45561606
10.5,649679.6298298407,3950335.487680802,5059.035,376.59314,0.4575168
10.6,649581.0941025165,3950318.4843406985,5052.8486,385.61493,0.45973146
10.7,649483.6092471139,3950296.3760228935,5036.157,397.2227,0.46024448
10.8,649393.403847541,3950256.180844127,5028.6816,399.56302,0.45873433
10.9,649299.6332438114,3950224.937150627,5024.4175,412.84973,0.45440975
11.0,649200.2344075253,3950214.3524228833,5017.8267,423.4798,0.448924
11.1,649100.3518331411,3950209.7905965964,5015.922,438.19705,0.44675824
11.2,649000.3639927891,3950208.5745102065,5012.282,447.8934,0.44332328
11.3,648900.7239563083,3950202.485274593,5005.471,458.12756,0.44360232
11.4,648802.4558437548,3950184.6747783003,5001.06,463.95178,0.43023738
11.5,648706.3328808801,3950157.459013474,4994.0596,470.25894,0.4229419
11.6,648612.5958539853,3950122.844415062,4991.1875,471.7792,0.41784403
11.7,648521.1793118522,3950082.442298067,4985.542,471.02838,0.4039245
11.8,648431.872760569,3950037.495596312,4983.135,477.34995,0.39531425
11.9,648344.9041690454,3949988.135044366,4980.694,473.29993,0.38817224
12.0,648260.0504349733,3949935.2581874314,4982.39,478.84836,0.3820183
12.1,648176.6286543417,3949880.1563087115,4979.01,481.56345,0.3784173
12.2,648094.7054622904,3949822.8100742744,4977.116,484.7415,0.3758878
12.3,648013.801464865,3949764.038936115,4975.5254,476.23248,0.3695269
12.4,647933.4993117314,3949704.4521982376,4976.235,463.75653,0.36587098
12.5,647854.0041871266,3949643.784866303,4974.3696,452.7792,0.36582035
12.6,647775.6282679582,3949581.68281434,4972.0195,448.00302,0.3652841
12.7,647697.95634401,3949518.706868864,4969.74,435.01633,0.36663055
12.8,647621.1342160502,3949454.688428898,4970.1733,423.05493,0.36605817
12.9,647545.6205570999,3949389.1345909536,4964.791,416.59924,0.36888972
13.0,647470.9226930708,3949322.659232647,4956.21,406.27945,0.36879024
13.1,647397.0671230941,3949255.240955613,4948.5967,404.2085,0.37089214
13.2,647324.7315686797,3949186.193380945,4946.793,399.7386,0.37104657
13.3,647253.3709437872,3949116.1479403735,4946.514,403.6319,0.36855498
13.4,647181.66207532,3949046.517812833,4935.134,409.91818,0.3707842
13.5,647105.5786801252,3948981.623152224,4934.0586,408.48682,0.3641208
13.6,647025.5610231464,3948921.737044864,4920.798,424.14587,0.35910782
13.7,646942.6932312025,3948865.906128743,4913.4805,426.49634,0.35789973
13.8,646857.090700584,3948814.221103688,4916.5337,444.52756,0.3588632
13.9,646767.6479814841,3948769.4997441377,4902.2544,447.22003,0.35946646
14.0,646676.2022159477,3948729.214508767,4900.0493,463.10016,0.35641235
14.1,646582.9879260656,3948693.1350959837,4899.2183,468.239,0.35467765
14.2,646487.6953480642,3948662.8147302563,4892.7886,474.22333,0.35097
14.3,646390.9148591161,3948637.84170152,4892.7495,480.39148,0.3469398
14.4,646293.2714511127,3948616.486833121,4892.1973,486.52817,0.33812097
14.5,646194.6320587297,3948600.04693439,4886.8364,494.83737,0.3364248
14.6,646094.9776269363,3948594.4783020653,4884.7876,509.60846,0.33741608
14.7,645995.214022413,3948596.414955893,4877.2085,519.93335,0.34034175
14.8,645896.0190444526,3948609.0781445685,4870.019,529.00964,0.34802505
14.9,645799.1140950295,3948633.0505197053,4872.8374,537.85455,0.35701424
15.0,645704.114071305,3948663.654267735,4873.826,546.4717,0.36269718
15.1,645612.4070656796,3948703.526878876,4866.2065,550.2616,0.3692886
15.2,645524.7911455467,3948751.3969703824,4868.9565,549.8712,0.37261146
15.3,645439.1858094601,3948803.014464462,4869.939,548.8885,0.37588277
15.4,645359.3990770672,3948863.29777338,4860.775,551.0945,0.381045
15.5,645281.4900862197,3948925.8296680353,4858.029,551.2975,0.38202485
15.6,645207.9464127894,3948993.5890076007,4854.9893,552.1864,0.3847495
15.7,645136.8502754496,3949063.78967912,4848.692,555.88715,0.3876203
15.8,645069.2778125975,3949137.5050931396,4840.9536,555.88715,0.38546494
15.9,645001.3242480017,3949210.8662676304,4842.0405,559.83417,0.38035417
16.0,644932.7356136991,3949283.637135734,4836.308,565.44855,0.38033116
16.1,644863.5396561814,3949355.8259954737,4830.742,565.44855,0.38177222
16.2,644793.7531834895,3949427.4489542875,4829.4946,570.716,0.38124067
16.3,644722.8141296807,3949497.9259886616,4823.4077,575.64325,0.38183814
16.4,644651.1284952051,3949567.639214972,4817.0703,588.2759,0.38444427
16.5,644578.1747747903,3949636.033327859,4812.906,582.54224,0.38129023
16.6,644503.2944803197,3949702.3056256943,4811.1484,587.97394,0.37830368
16.7,644426.3307805733,3949766.1245638207,4805.5273,591.8493,0.37458044
16.8,644346.2958725266,3949826.015904904,4798.604,593.9767,0.37426856
16.9,644261.8250717493,3949879.4009489217,4797.1685,597.2603,0.37161237
17.0,644182.3128464611,3949940.045866513,4794.1396,602.9546,0.36951122
17.1,644105.5769673398,3950004.1457416737,4792.4194,614.8255,0.3662245
17.2,644029.7657132105,3950069.345300264,4787.138,620.79987,0.36875775
17.3,643955.3219241874,3950136.1144718626,4782.81,620.79987,0.36721024
17.4,643881.1821862705,3950203.216366704,4781.933,622.8369,0.3648243
17.5,643807.9927888272,3950271.358219496,4781.9023,618.12646,0.36376345
17.6,643734.803391384,3950339.500072288,4777.4595,629.8489,0.365611
17.7,643662.295929984,3950408.364912347,4767.077,611.9813,0.3656313
17.8,643589.9968608688,3950477.450689502,4772.698,603.4479,0.36635807
17.9,643517.6977917535,3950546.5364666567,4765.549,614.15234,0.36702186
18.0,643445.9621992927,3950616.206309876,4762.1216,610.4398,0.3638044
18.1,643374.3273183268,3950685.9805445834,4756.873,591.59656,0.36435282
18.2,643302.6924373608,3950755.7547792904,4756.873,605.5017,0.3644395
18.3,643231.3092123925,3950825.7854900323,4755.484,604.744,0.36792472
18.4,643160.1886276808,3950896.083871452,4753.3223,590.8658,0.36538875
18.5,643089.068042969,3950966.382252872,4746.603,591.8446,0.3614806
18.6,643017.9474582571,3951036.680634292,4750.984,601.888,0.35490862
18.7,642947.1091179663,3951107.262905859,4746.2876,599.9255,0.3536852
18.8,642876.3984398479,3951177.9735839777,4736.8613,590.3324,0.35381687
18.9,642805.6877617295,3951248.684262097,4734.2974,598.8257,0.35463005
19.0,642734.9770836112,3951319.3949402156,4728.0635,601.34424,0.35598856
19.1,642663.9160925854,3951389.7513694507,4728.8423,598.57196,0.35569328
19.2,642592.4198136841,3951459.6676200884,4727.399,605.7693,0.35341582
19.3,642520.9235347827,3951529.5838707266,4732.7056,613.0861,0.35295808
19.4,642449.4272558814,3951599.5001213644,4733.5312,620.22253,0.35063466
19.5,642377.4910593177,3951668.9606607766,4734.229,617.8934,0.34526855
19.6,642305.0975235268,3951737.9474419425,4731.78,624.9978,0.34159786
19.7,642232.7039877358,3951806.934223109,4722.2896,630.3445,0.34159985
19.8,642160.3104519448,3951875.9210042753,4716.3496,627.1215,0.34017217
19.9,642087.0681579392,3951944.003537158,4710.8237,631.89264,0.34067506
20.0,642013.6409511114,3952011.8890679986,4717.1465,634.0241,0.33984238
20.1,641940.2137442837,3952079.7745988388,4715.5117,634.5093,0.3378596
20.2,641866.2603256796,3952147.0806508022,4713.8857,634.5093,0.33550674
20.3,641791.6307822325,3952213.642135498,4713.9146,633.96606,0.33418536
20.4,641717.0012387856,3952280.2036201935,4713.024,632.527,0.332573
20.5,641641.8924804503,3952346.2160348836,4708.122,631.60144,0.3312676
20.6,641565.8494021553,3952411.157933866,4704.852,629.325,0.3280873
20.7,641489.8063238602,3952476.099832848,4707.2573,626.6541,0.32562366
20.8,641412.8821830545,3952539.98215876,4702.9067,630.86523,0.32327986
20.9,641335.1576959838,3952602.9019816266,4700.651,633.0449,0.32327658
21.0,641257.4332089131,3952665.8218044937,4702.0986,633.2657,0.32048988
21.1,641177.7017445194,3952726.177396396,4699.03,634.5158,0.31576592
21.2,641097.952088128,3952786.5097451443,4695.1494,637.2976,0.3108756
21.3,641016.3802091696,3952844.3249517493,4689.7285,636.0902,0.31022722
21.4,640934.1609900052,3952901.2459496325,4687.825,635.95154,0.31085286
21.5,640851.3901211787,3952957.3590806266,4688.61,635.95154,0.30793107
21.6,640768.4464284682,3953013.2191185746,4684.2764,633.4852,0.3045152
21.7,640684.7545858135,3953067.950332689,4688.385,638.1033,0.30052435
21.8,640600.8087494994,3953122.2883853517,4687.0845,641.092,0.29851168
21.9,640516.1197506142,3953175.4651986053,4684.831,656.8344,0.2984869
22.0,640430.7813875746,3953227.5841858336,4678.3423,667.9237,0.29691374
22.1,640344.8434694121,3953278.7105893516,4674.8345,677.2792,0.2960731
22.2,640257.8748778891,3953328.0711412984,4678.906,677.2792,0.29279658
22.3,640169.7425933594,3953375.309467992,4675.2144,670.1342,0.29347017
22.4,640080.3438911737,3953420.08432752,4673.727,675.1607,0.29345146
22.5,639989.2898481303,3953461.3635097025,4680.1943,678.19855,0.29153126
22.6,639898.6528552677,3953503.5364333983,4670.3613,669.85187,0.2943451
22.7,639810.384815417,3953550.470453653,4680.243,675.9836,0.29545233
22.8,639724.6672362994,3953601.919777217,4676.111,669.5105,0.29935306
22.9,639641.63813606,3953657.6079254397,4681.138,678.2138,0.30079007
23.0,639561.3910245382,3953717.2382959747,4678.885,667.34143,0.302834
23.1,639483.9762690682,3953780.50435563,4679.299,666.3177,0.30392522
23.2,639409.4043998383,3953847.0987983732,4671.528,673.72235,0.30422565
23.3,639337.6507963409,3953916.7212274857,4667.913,669.59534,0.29974693
23.4,639270.5520640847,3953990.7527974113,4667.296,660.9223,0.29316294
23.5,639208.1274727926,3954068.8057657317,4671.3335,657.4358,0.2870713
23.6,639149.2482200429,3954149.62048862,4649.4194,656.6443,0.28267363
23.7,639094.5232837446,3954233.317450017,4647.4023,652.6932,0.28289035
23.8,639042.2002956353,3954318.5082637197,4652.793,644.8727,0.286145
23.9,638991.4146858257,3954404.6503049964,4647.0117,640.1841,0.28522602
24.0,638943.844210393,3954492.610806741,4641.861,632.1602,0.28242326
24.1,638897.0874514928,3954580.9946344625,4641.169,625.6751,0.2792332
24.2,638852.3660919422,3954670.4373535626,4635.7134,617.3891,0.2756205
24.3,638808.6320086841,3954760.3568662503,4640.85,619.20667,0.27818674
24.4,638766.3855169611,3954850.994793947,4631.6426,612.5355,0.281086
24.5,638724.9285190115,3954941.989355025,4628.972,608.7284,0.28394583
24.6,638684.8466356094,3955033.605088515,4630.219,606.81525,0.2833097
24.7,638644.3109055503,3955125.0148023535,4629.507,611.16284,0.28057733
24.8,638601.7312019175,3955215.4966725735,4626.221,612.75415,0.27866206
24.9,638558.798106189,3955305.805489089,4621.617,615.34216,0.2787812
25.0,638513.4298021222,3955394.9218006493,4614.181,621.74854,0.27808824
25.1,638467.443039892,3955483.7093646093,4615.377,621.6475,0.27569523
