s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,761811.0530719549,3558993.0081656114,0.0,0.0,
0.1,761811.0530719543,3559093.0081656114,0.0,0.0,
0.2,761811.6861943617,3559192.9464823855,0.0,0.0,
0.3,761831.9016473963,3559290.811692615,0.0,0.0,
0.4,761866.0759537054,3559384.791034964,0.0,0.0,
0.5,761910.902349636,3559474.1530744648,0.0,0.0,
0.6,761962.0144475271,3559560.0002881386,0.0,0.0,
0.7,762017.347210215,3559643.2251968007,0.0,0.0,
0.8,762076.8699652774,3559723.5809161356,0.0,0.0,
0.9,762139.8525535592,3559801.210824288,0.0,0.0,
1.0,762204.0462192054,3559877.886591587,0.0,0.0,
1.1,762271.8313800213,3559951.404610555,0.0,0.0,
1.2,762339.8126576227,3560024.737695818,0.0,0.0,
1.3,762410.5233357415,3560095.4483739366,0.0,0.0,
1.4,762481.2340138602,3560166.159052055,0.0,0.0,
1.5,762545.9888124809,3560242.3301822036,0.0,0.0,
1.6,762610.3080211238,3560318.900668682,0.0,0.0,
1.7,762668.0336131774,3560400.5055585797,0.0,0.0,
1.8,762724.9546110604,3560482.724777744,0.0,0.0,
1.9,762774.2307180561,3560569.6978731304,0.0,0.0,
2.0,762822.7950111734,3560657.113600743,0.0,0.0,
2.1,762862.3301163653,3560748.9578804392,0.0,0.0,
2.2,762900.9375235133,3560841.161342945,0.0,0.0,
2.3,762930.5774450001,3560936.667756626,0.0,0.0,
2.4,762958.3855055947,3561032.640278347,0.0,0.0,
2.5,762977.9971191082,3561130.698345916,0.0,0.0,
2.6,762994.9089946729,3561229.1559782373,0.0,0.0,
2.7,763004.5414141588,3561328.690979593,0.0,0.0,
2.8,763011.0530719545,3561428.3766336436,0.0,0.0,
2.9,763011.0530719548,3561528.3766336436,0.0,0.0,
3.0,763010.4945597295,3561628.371819241,0.0,0.0,
3.1,763008.770678005,3561728.3569592955,0.0,0.0,
3.2,763005.9633098049,3561828.3119260655,0.0,0.0,
3.3,763002.1199975938,3561928.2380435285,0.0,0.0,
3.4,762995.9184747187,3562028.041934429,0.0,0.0,
3.5,762987.880524106,3562127.7035886333,0.0,0.0,
3.6,762977.0644952357,3562227.1004318395,0.0,0.0,
3.7,762961.7831840554,3562325.9042536835,0.0,0.0,
3.8,762938.7747294268,3562423.13861524,0.0,0.0,
3.9,762901.2830648354,3562515.5181243927,0.0,0.0,
4.0,762844.3766341327,3562597.656893049,0.0,0.0,
4.1,762781.6013890146,3562675.498196997,0.0,0.0,
4.2,762716.5408961595,3562751.42493905,0.0,0.0,
4.3,762650.5377072616,3562826.542557195,0.0,0.0,
4.4,762583.1107708595,3562900.391106588,0.0,0.0,
4.5,762515.3729847402,3562973.9510738333,0.0,0.0,
4.6,762446.7305904713,3563046.6712340987,0.0,0.0,
4.7,762378.0881962024,3563119.391394364,0.0,0.0,
4.8,762308.6037989379,3563191.307019541,0.0,0.0,
4.9,762239.081287355,3563263.1862264317,0.0,0.0,
5.0,762169.3557590945,3563334.867235053,0.0,0.0,
5.1,762099.1669098128,3563406.0959191383,0.0,0.0,
5.2,762028.9780605312,3563477.3246032237,0.0,0.0,
5.3,761958.6329807572,3563548.398201347,0.0,0.0,
5.4,761887.9223026389,3563619.1088794656,0.0,0.0,
5.5,761817.2116245206,3563689.819557585,0.0,0.0,
5.6,761746.5009464023,3563760.5302357036,0.0,0.0,
5.7,761674.3396073027,3563829.75790007,0.0,0.0,
5.8,761602.0867115053,3563898.8919658326,0.0,0.0,
5.9,761529.8338157078,3563968.0260315957,0.0,0.0,
6.0,761455.804355748,3564035.2507581464,0.0,0.0,
6.1,761381.6507778353,3564102.342090543,0.0,0.0,
6.2,761306.8285728727,3564168.6668483154,0.0,0.0,
6.3,761230.2847814516,3564233.017823404,0.0,0.0,
6.4,761153.7409900306,3564297.368798493,0.0,0.0,
