distance_km,year,peak_date,peak_doy,peak_val
23.4,2017,2017-05-12,132,0.4842250347137451
23.5,2017,2017-04-30,120,0.5105155110359192
23.6,2017,2017-04-18,108,0.5212563872337341
23.7,2017,2017-04-18,108,0.5212563872337341
23.8,2017,2017-04-18,108,0.5045104622840881
23.9,2017,2017-04-18,108,0.518187403678894
24.0,2017,2017-04-18,108,0.5290104150772095
24.1,2017,2017-04-18,108,0.5097939372062683
24.2,2017,2017-04-18,108,0.5278143882751465
24.3,2017,2017-04-18,108,0.5427829623222351
24.4,2017,2017-04-18,108,0.5500061511993408
24.5,2017,2017-04-18,108,0.5476231575012207
24.6,2017,2017-04-18,108,0.5391718745231628
24.7,2017,2017-04-18,108,0.5533897876739502
24.8,2017,2017-04-18,108,0.5405533313751221
24.9,2017,2017-04-18,108,0.5391904711723328
25.0,2017,2017-04-18,108,0.5174517035484314
25.1,2017,2017-04-18,108,0.49225980043411255
25.2,2017,2017-04-18,108,0.49225980043411255
25.3,2017,2017-04-18,108,0.4540215730667114
25.4,2017,2017-04-06,96,0.4723556339740753
25.5,2017,2017-04-06,96,0.43764728307724
25.6,2017,2017-04-18,108,0.3866026997566223
25.7,2017,2017-04-18,108,0.3866026997566223
25.8,2017,2017-04-18,108,0.38103151321411133
25.9,2017,2017-04-18,108,0.36471307277679443
26.0,2017,2017-04-18,108,0.31099432706832886
26.1,2017,2017-04-18,108,0.3051924407482147
26.2,2017,2017-04-06,96,0.27575570344924927
26.3,2017,2017-04-18,108,0.2873646318912506
26.4,2017,2017-04-18,108,0.26814183592796326
26.5,2017,2017-04-18,108,0.28455373644828796
26.6,2017,2017-04-18,108,0.26235687732696533
26.7,2017,2017-04-18,108,0.24388763308525085
26.8,2017,2017-04-06,96,0.2081199288368225
26.9,2017,2017-04-18,108,0.20141266286373138
27.0,2017,2017-04-06,96,0.18716846406459808
27.1,2017,2017-04-06,96,0.1535627692937851
27.2,2017,2017-10-03,276,0.14146383106708527
27.3,2017,2017-10-15,288,0.12913444638252258
27.4,2017,2017-10-03,276,0.12485743314027786
27.5,2017,2017-04-30,120,0.13099469244480133
27.6,2017,2017-04-30,120,0.1379789263010025
27.7,2017,2017-10-03,276,0.12188785523176193
27.8,2017,2017-10-03,276,0.10655412077903748
27.9,2017,2017-10-03,276,0.10918041318655014
28.0,2017,2017-06-29,180,0.10712894052267075
28.1,2017,2017-06-29,180,0.09448066353797913
28.2,2017,2017-06-29,180,0.09448066353797913
28.3,2017,2017-07-11,192,0.09805887192487717
28.4,2017,2017-07-11,192,0.09960087388753891
28.5,2017,2017-07-11,192,0.0926179438829422
28.6,2017,2017-07-11,192,0.09973713755607605
28.7,2017,2017-04-18,108,0.08591213077306747
28.8,2017,2017-04-18,108,0.08591213077306747
28.9,2017,2017-04-18,108,0.08656053990125656
29.0,2017,2017-04-18,108,0.08310682326555252
29.1,2017,2017-04-18,108,0.08433979004621506
29.16,2017,2017-04-18,108,0.08602134883403778
0.0,2018,2018-08-11,223,0.15486325323581696
0.1,2018,2018-05-07,127,0.13988618552684784
0.2,2018,2018-05-07,127,0.13028880953788757
0.3,2018,2018-09-04,247,0.11104349046945572
0.4,2018,2018-09-04,247,0.11423628777265549
0.5,2018,2018-05-07,127,0.11129504442214966
0.6,2018,2018-08-11,223,0.16263040900230408
0.7,2018,2018-08-11,223,0.15499870479106903
0.8,2018,2018-08-11,223,0.16410782933235168
0.9,2018,2018-08-11,223,0.18055081367492676
1.0,2018,2018-08-11,223,0.20965634286403656
1.1,2018,2018-03-20,79,0.20542992651462555
1.2,2018,2018-09-28,271,0.19337762892246246
1.3,2018,2018-10-22,295,0.19331657886505127
1.4,2018,2018-05-31,151,0.18957793712615967
1.5,2018,2018-05-07,127,0.23578974604606628
1.6,2018,2018-09-28,271,0.29261675477027893
1.7,2018,2018-08-23,235,0.30266937613487244
1.8,2018,2018-08-23,235,0.2988102436065674
