distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,188.57142857142858,169.5,219.5,7,True
0.1,145.71428571428572,120.0,177.5,7,True
0.2,190.28571428571428,146.5,241.0,7,True
0.3,210.85714285714286,180.5,254.0,7,True
0.4,205.71428571428572,180.5,254.0,7,True
0.5,233.14285714285714,222.5,273.5,7,True
0.6,229.71428571428572,217.5,240.0,7,True
0.7,181.71428571428572,112.5,234.0,7,True
0.8,214.28571428571428,200.5,240.0,7,True
0.9,202.28571428571428,168.0,240.0,7,True
1.0,190.28571428571428,127.5,239.5,7,True
1.1,214.28571428571428,186.0,265.5,7,True
1.2,214.28571428571428,168.0,256.5,7,True
1.3,180.0,106.5,246.0,7,True
1.4,152.57142857142858,135.5,174.0,7,True
1.5,162.85714285714286,98.5,220.0,7,True
1.6,159.42857142857142,106.5,216.5,7,True
1.7,176.57142857142858,106.0,231.5,7,True
1.8,245.14285714285714,236.5,253.0,7,True
1.9,255.42857142857142,240.0,284.0,7,True
2.0,217.71428571428572,168.5,262.5,7,True
2.1,168.0,116.5,225.5,7,True
2.2,212.57142857142858,169.5,249.5,7,True
2.3,207.42857142857142,184.0,251.5,7,True
2.4,183.42857142857142,159.5,209.0,7,True
2.5,216.0,180.0,247.0,7,True
2.6,169.71428571428572,135.5,212.0,7,True
2.7,197.14285714285714,170.0,202.0,7,True
2.8,174.85714285714286,139.5,220.5,7,True
2.9,176.57142857142858,132.0,221.0,7,True
3.0,197.14285714285714,169.5,233.5,7,True
3.1,186.85714285714286,152.0,221.0,7,True
3.2,217.71428571428572,211.5,244.5,7,True
3.3,176.57142857142858,123.5,230.5,7,True
3.4,186.85714285714286,135.5,230.5,7,True
3.5,205.71428571428572,180.0,259.0,7,True
3.6,222.85714285714286,195.5,260.5,7,True
3.7,190.28571428571428,136.0,249.5,7,True
3.8,205.71428571428572,161.5,270.5,7,True
3.9,140.57142857142858,116.5,159.5,7,True
4.0,212.57142857142858,178.0,269.0,7,True
4.1,121.71428571428571,113.5,134.5,7,True
4.2,159.42857142857142,97.0,221.0,7,True
4.3,173.14285714285714,70.5,244.5,7,True
4.4,147.42857142857142,99.5,180.0,7,True
4.5,190.28571428571428,147.5,224.5,7,True
4.6,144.0,96.0,186.0,7,True
4.7,173.14285714285714,86.5,230.5,7,True
4.8,154.28571428571428,79.0,234.5,7,True
4.9,214.28571428571428,182.5,264.0,7,True
5.0,164.57142857142858,92.5,224.5,7,True
5.1,193.71428571428572,162.0,250.5,7,True
5.2,257.14285714285717,256.5,272.5,7,True
5.3,219.42857142857142,175.0,273.5,7,True
5.4,250.28571428571428,257.5,286.0,7,True
5.5,231.42857142857142,207.5,281.0,7,True
5.6,228.0,188.5,282.0,7,True
5.7,248.57142857142858,248.5,277.5,7,True
5.8,250.28571428571428,236.5,278.5,7,True
5.9,236.57142857142858,205.0,274.5,7,True
6.0,231.42857142857142,197.5,292.0,7,True
6.1,212.57142857142858,168.5,248.0,7,True
6.2,186.85714285714286,158.5,205.0,7,True
6.3,198.85714285714286,165.5,227.0,7,True
6.4,140.57142857142858,97.0,180.0,7,True
6.5,161.14285714285714,109.5,206.0,7,True
6.6,149.14285714285714,131.5,178.0,7,True
6.7,183.42857142857142,160.0,176.0,7,True
6.8,164.57142857142858,154.0,172.5,7,True
6.9,162.85714285714286,150.5,172.5,7,True
7.0,183.42857142857142,169.5,191.5,7,True
7.1,195.42857142857142,166.0,214.5,7,True
7.2,200.57142857142858,176.0,226.0,7,True
7.3,193.71428571428572,163.5,223.0,7,True
7.4,231.42857142857142,177.5,284.0,7,True
7.5,216.0,169.0,284.0,7,True
7.6,174.85714285714286,156.0,181.0,7,True
7.7,185.14285714285714,156.0,206.5,7,True
7.8,173.14285714285714,156.0,169.0,7,True
7.9,193.71428571428572,169.5,216.0,7,True
8.0,176.57142857142858,130.5,210.5,7,True
8.1,116.57142857142857,102.0,131.0,7,True
8.2,185.14285714285714,129.5,243.5,7,True
8.3,130.28571428571428,118.5,137.0,7,True
8.4,137.14285714285714,114.0,163.5,7,True
8.5,145.71428571428572,135.5,171.5,7,True
8.6,137.14285714285714,122.0,167.0,7,True
8.7,130.28571428571428,121.0,140.5,7,True
8.8,138.85714285714286,128.0,153.5,7,True
8.9,135.42857142857142,122.0,148.0,7,True
9.0,118.28571428571429,103.5,134.0,7,True
9.1,128.57142857142858,119.5,144.0,7,True
9.2,116.57142857142857,103.5,128.0,7,True
9.3,125.14285714285714,111.5,141.5,7,True
9.4,140.57142857142858,124.5,151.5,7,True
9.5,140.57142857142858,126.0,152.5,7,True
9.6,128.57142857142858,110.5,140.5,7,True
9.7,130.28571428571428,108.0,147.5,7,True
