s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,488852.54859483277,3984595.58501384,7144.4644,34.440845,0.07282131
0.1,488880.0207076231,3984691.737408604,7098.258,32.76724,0.07172927
0.2,488907.49282041297,3984787.8898033677,7050.111,31.523756,0.072676525
0.3,488934.9649332026,3984884.042198132,6986.4355,34.75621,0.07538465
0.4,488955.4485255796,3984981.859609904,6935.8647,31.778093,0.07678963
0.5,488970.6442824609,3985080.660904455,6919.279,30.359474,0.07744441
0.6,488982.9649860102,3985179.885219575,6946.448,31.816616,0.07556119
0.7,488992.2702309477,3985279.4513404025,6944.322,31.55238,0.07562281
0.8,488999.99906177056,3985379.141951602,6872.064,31.78757,0.07824312
0.9,489006.4372895698,3985478.9344824986,6812.984,31.720518,0.085669175
1.0,489011.5452772961,3985578.7982187835,6704.618,32.342068,0.090442024
1.1,489015.79674895905,3985678.7078028517,6667.539,31.715939,0.09640679
1.2,489019.35446352104,3985778.6409276985,6614.849,31.318834,0.10991045
1.3,489021.88529818563,3985878.608896948,6564.1855,32.617798,0.12677902
1.4,489024.41613285017,3985978.576866198,6539.3564,35.263924,0.13598768
1.5,489025.65100316406,3986078.5686444226,6500.459,37.670456,0.13734396
1.6,489026.79378567834,3986178.5621144497,6438.8003,41.636093,0.13501167
1.7,489027.70903647994,3986278.556884616,6373.8667,45.905323,0.14134884
1.8,489027.70903648017,3986378.556884616,6312.524,51.029644,0.16329357
1.9,489027.70903648046,3986478.556884616,6267.5957,58.285847,0.17446437
2.0,489027.2461308268,3986578.5515027195,6241.639,64.16191,0.18383344
2.1,489024.92117805197,3986678.524472039,6223.6797,68.18934,0.21823859
2.2,489022.5962252772,3986778.497441359,6198.513,66.44812,0.25807658
2.3,489018.77392866224,3986878.413608155,6189.116,60.711693,0.305771
2.4,489013.5180453498,3986978.2753910883,6171.777,53.79505,0.36066478
2.5,489007.7586284072,3987078.101048409,6146.918,49.472614,0.37422836
2.6,488998.70505380316,3987177.690369056,6121.0767,48.189274,0.38159275
2.7,488989.33810416516,3987277.243085814,6084.4927,46.57614,0.39158785
2.8,488975.1959685414,3987376.23803518,6053.395,45.69657,0.40687445
2.9,488958.9674868411,3987474.857687946,6045.5645,40.119495,0.44047692
3.0,488937.7245224075,3987572.5753243384,6040.9663,36.93073,0.45751193
3.1,488907.9416508144,3987667.9487166028,6008.2837,32.234386,0.43131387
3.2,488866.2641946832,3987758.4726943728,5962.837,29.230932,0.4324658
3.3,488802.2494246511,3987834.1718302662,5925.831,27.533388,0.4179993
3.4,488738.403305499,3987911.0542009138,5835.1206,25.601372,0.39766973
3.5,488684.4859682684,3987995.0926960274,5734.9653,23.93523,0.3660161
3.6,488645.6112661266,3988087.03764102,5662.1167,23.122637,0.32252145
3.7,488627.7090364817,3988185.2140750727,5560.8916,23.787796,0.2789029
3.8,488623.93512963824,3988285.063907501,5547.5356,23.550264,0.24648201
3.9,488603.045074371,3988382.6384459324,5455.434,24.48762,0.20533356
4.0,488559.0326586202,3988471.944759711,5363.0806,24.11189,0.19074981
4.1,488493.60495115776,3988547.3800917813,5314.839,23.325846,0.19428676
4.2,488446.9915303515,3988635.4403249277,5238.684,20.736145,0.19888607
4.3,488428.2782774865,3988733.3502880335,5148.977,25.273623,0.19069189
4.4,488435.54669882066,3988832.722317193,5049.7935,25.579323,0.19147079
4.5,488463.3313503714,3988928.639396646,5001.382,27.427757,0.23143244
4.6,488502.4431419326,3989020.6147705102,4965.63,27.525978,0.24554722
4.7,488548.8786221552,3989109.155809873,4939.9644,29.20779,0.26260808
4.8,488600.04091462,3989195.0455094306,4905.438,38.906963,0.30515704
4.9,488657.87068629795,3989276.6067043683,4869.7183,43.920353,0.32923996
5.0,488719.2932922733,3989355.5087853544,4861.522,47.408417,0.3566483
5.1,488783.050063676,3989432.5482174675,4817.697,55.081158,0.37169543
5.2,488848.87067497964,3989507.8312893184,4770.289,59.49848,0.41806865
5.3,488915.78967860085,3989582.133199424,4717.6284,64.73983,0.64365995
5.4,488983.49365161615,3989655.72476447,4702.2505,76.85456,0.89000154
5.5,489052.26811640733,3989728.3200328606,4705.454,79.978676,1.1917254
5.6,489121.6130173216,3989800.3668899667,4708.784,70.565155,1.6271727
5.7,489191.44540252903,3989871.945084804,4674.6304,61.728363,1.8519398
5.8,489261.93580891413,3989942.873332038,4615.254,52.693058,1.7472798
5.9,489332.64648703276,3990013.584010157,4526.847,59.16412,1.4558355
6.0,489401.6076644784,3990085.9919768525,4504.047,70.62822,1.3200443
6.1,489470.14413437893,3990158.8119761217,4473.4287,97.08172,1.2693139
6.2,489536.17329644045,3990233.9114112267,4474.762,120.9893,1.2562288
6.3,489601.3173220334,3990309.7606933354,4472.514,131.95213,1.214764
6.4,489664.26543504576,3990387.462270335,4453.9673,130.94421,1.1982901
6.5,489724.72044048674,3990467.0906078997,4450.469,126.35647,1.2617418
6.6,489783.1115323037,3990548.243063669,4422.4893,126.78998,1.509442
6.7,489838.0521586424,3990631.798599557,4399.0166,128.8916,1.7766757
6.8,489888.4811358208,3990718.12273345,4386.295,136.49644,1.8564776
6.9,489934.26847413764,3990806.9506947,4369.233,140.66093,1.8325666
7.0,489973.9556957437,3990898.637650973,4357.817,144.77202,1.8431375
7.1,490010.34656834684,3990991.7629817487,4341.096,142.16275,1.8246887
7.2,490050.1351723363,3991083.4882792966,4327.006,139.9693,1.7979796
7.3,490093.4250715205,3991173.61422735,4302.6294,143.90422,1.8013953
7.4,490140.2990699926,3991261.9291182514,4285.933,152.89523,1.7556325
7.5,490190.8150717675,3991348.2120274133,4282.932,160.50348,1.7147092
7.6,490245.0023565431,3991432.236910807,4269.35,163.95488,1.6432556
7.7,490302.8585719329,3991513.777527305,4249.253,162.3008,1.5657521
7.8,490364.3477308081,3991592.612992798,4227.34,160.85258,1.498166
7.9,490427.0651076537,3991670.46042661,4227.34,159.14894,1.3956752
8.0,490484.8154397367,3991752.043044598,4208.846,158.32391,1.1994698
8.1,490536.2325978748,3991837.7389701153,4185.757,157.75899,1.0051872
8.2,490579.587938398,3991927.7801438263,4174.3794,156.98315,0.92424977
8.3,490610.25442401855,3992022.837187262,4151.698,159.87462,0.8992581
8.4,490626.96261107386,3992121.275871273,4141.328,164.40231,0.8968981
8.5,490626.18236564385,3992221.193311754,4129.4795,169.10344,0.8912117
8.6,490618.1580653296,3992320.845186188,4108.5996,169.62419,0.8830427
8.7,490602.9780147794,3992419.6671789642,4103.3867,173.95024,0.864474
8.8,490582.67141307896,3992517.565864909,4101.033,179.89224,0.8542421
8.9,490557.1596480481,3992614.2409350555,4090.6604,180.42513,0.8274007
9.0,490527.36277003813,3992709.6853589294,4079.195,189.58308,0.8257701
9.1,490492.89448153746,3992803.5268437443,4066.2556,199.20532,0.82889366
9.2,490454.1521510903,3992895.7009105054,4057.5938,215.49893,0.8273655
9.3,490412.49569705955,3992986.600766114,4043.0544,226.0197,0.8223321
9.4,490368.76939294627,3993076.525846673,4037.7134,247.58629,0.8138771
9.5,490323.52144803375,3993165.6985571375,4031.1516,262.95477,0.79912424
9.6,490276.99358282523,3993254.214983631,4020.5159,268.32477,0.7949902
9.7,490229.09048140934,3993341.993486256,4015.7986,268.13535,0.7923756
9.8,490180.5279708036,3993429.4072637404,4008.7302,266.0154,0.7880436
9.9,490131.22671360587,3993516.4094823254,4003.5947,263.45377,0.7858617
10.0,490081.054741203,3993602.911065796,3997.2004,257.9413,0.7702644
10.1,490030.7812036513,3993689.3536879523,3993.497,247.22466,0.7665768
10.2,489982.1326364045,3993776.7225434147,3988.735,240.1871,0.75900507
10.3,489934.5483293303,3993864.666954176,3987.8254,226.59685,0.75634855
10.4,489888.2853509832,3993953.318141198,3980.1953,209.6807,0.75005513
10.5,489844.56608029595,3994043.2549266117,3972.719,189.6055,0.7195549
10.6,489803.86170043855,3994134.5833277,3954.678,178.11736,0.708153
10.7,489767.44408729713,3994227.686424094,3939.5845,169.88394,0.67833614
10.8,489738.2742696679,3994323.273798533,3913.1313,171.88727,0.58865386
10.9,489727.7090364805,3994422.356312161,3897.2075,181.30595,0.4967066
11.0,489722.6819815609,3994522.187313987,3886.5981,205.89378,0.4202908
11.1,489701.5822706341,3994619.609013245,3874.2422,230.13255,0.41537705
11.2,489659.079239503,3994707.925341466,3875.133,264.20776,0.4558221
11.3,489652.70903648075,3994807.559199184,3868.74,280.7868,0.42373392
11.4,489655.5258690227,3994907.500540621,3864.3604,281.06403,0.39891878
11.5,489662.53903821215,3995007.249911405,3862.363,284.2576,0.33534783
11.6,489671.94892636675,3995106.8055685833,3857.0303,278.20877,0.30941814
11.7,489682.9920789745,3995206.193942051,3859.7095,269.33493,0.30775478
11.8,489698.741462583,3995304.9349731393,3849.0237,273.0147,0.30604026
11.9,489719.90280580975,3995402.647538064,3849.1165,277.95786,0.44740418
12.0,489747.5552599752,3995498.7191913235,3845.3313,281.21667,0.5172934
12.1,489783.40503053623,3995592.025330067,3830.599,283.4483,0.53533876
12.2,489829.45136162057,3995680.691854062,3830.22,277.70627,0.53458065
12.3,489886.3332735041,3995762.7533447733,3818.1692,283.1195,0.51925147
12.4,489954.56012114976,3995835.6711834613,3808.2754,286.1064,0.5017441
12.5,490021.159580283,3995910.24408037,3797.1902,306.032,0.48108444
12.6,490084.10045414447,3995987.9293134864,3792.2983,328.71875,0.46843502
12.7,490143.73722539877,3996068.185319367,3789.7651,330.15598,0.44819558
12.8,490200.40347371425,3996150.572764293,3794.1,323.33514,0.43130693
12.9,490254.33624528954,3996234.7791241934,3790.842,319.9823,0.43312567
13.0,490305.89023524465,3996320.463657443,3787.4275,311.5067,0.4288673
13.1,490355.1929519243,3996407.4531017593,3790.837,314.74124,0.38445836
