date,0.00,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00,1.10,1.20,1.30,1.40,1.50,1.60,1.70,1.80,1.90,2.00,2.10,2.20,2.30,2.40,2.50,2.60,2.70,2.80,2.90,3.00,3.10,3.20,3.30,3.40,3.50,3.60,3.70,3.80,3.90,4.00,4.10,4.20,4.30,4.40,4.50,4.60,4.70,4.80,4.90,5.00,5.10,5.20,5.30,5.40,5.50,5.60,5.70,5.80,5.90,6.00,6.10,6.20,6.30,6.40,6.50,6.60,6.70,6.80,6.90,7.00,7.10,7.20,7.30,7.40,7.50,7.60,7.70,7.80,7.90,8.00,8.10,8.20,8.30,8.40,8.50,8.60,8.70,8.80,8.90,9.00,9.10,9.20,9.30,9.40,9.50,9.60,9.70,9.80,9.90,10.00,10.10,10.20,10.30,10.40,10.50,10.60,10.70,10.80,10.90,11.00,11.10,11.20,11.30,11.40,11.50,11.60,11.70,11.80,11.90,12.00,12.10,12.20,12.30,12.40,12.50,12.60,12.70,12.80,12.90,13.00,13.10,13.20,13.30,13.40,13.50,13.60,13.70,13.80,13.90,14.00,14.10,14.20,14.30,14.40,14.50,14.60,14.70,14.80,14.90,15.00,15.10,15.20,15.30,15.40,15.50,15.60,15.70,15.80,15.90,16.00,16.10,16.20,16.30,16.40,16.50,16.60,16.70,16.80,16.90,17.00,17.10,17.20,17.30,17.40,17.50,17.60,17.70,17.80,17.90,18.00,18.10,18.20,18.30,18.40,18.50,18.60,18.70,18.80,18.90,19.00,19.10,19.20,19.30,19.40,19.50,19.60,19.70,19.80,19.90,20.00,20.10,20.20,20.30,20.40,20.50,20.60,20.70,20.80,20.90,21.00,21.10,21.20,21.30,21.40,21.50,21.60,21.70,21.80,21.90,22.00,22.10,22.20,22.30,22.40,22.50,22.60,22.70,22.80,22.90,23.00,23.10,23.20,23.30,23.40,23.50,23.60,23.70,23.80,23.90,24.00,24.10,24.20,24.30,24.40,24.50,24.60,24.70,24.80,24.90,25.00,25.10,25.20,25.30,25.40,25.50,25.60,25.70,25.80,25.90,26.00,26.10,26.20,26.30,26.40,26.50,26.60,26.70,26.80,26.90,27.00,27.10,27.20,27.30,27.40,27.50,27.60,27.70,27.80,27.90,28.00,28.10,28.20,28.30,28.40,28.50,28.60,28.70,28.80,28.90,29.00,29.10,29.16
2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0214354e-12,1.0214354e-12,0.2624338,0.2692263,0.2396578,0.21599783,0.19279556,0.16255577,0.1571201,0.15639463,0.15556814,0.14653756,0.124935985,0.11302106,0.117149755,0.13874227,0.13874227,0.15533376,0.15035965,0.14517851,0.14760514,0.14760514,0.1236306,0.103783354,0.08386428,0.07932524,0.08520839,0.11729171,0.13497962,0.14635035,0.16605619,0.16885315,0.12421611,0.118077084,0.06379997,0.035845812,0.0332272,0.041664425,0.048565052,0.034750182,0.036314286,0.040662184,0.038378324,0.04616398,0.06090543,0.081610434,0.081610434,0.09135517,0.0890276,0.07941137,0.07000199,0.05606095,0.05606095,0.051077556,0.047041483,0.046141725,0.04523143
2017-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1883674e-13,0.17010455,0.16789307,0.16789307,0.17241974,0.17472264,0.16853645,0.17181535,0.14931975,0.11318358,0.11034059,0.10296402,0.1121747,0.12296885,0.14487629,0.14113225,0.17757322,0.21614064,0.21614064,0.22325009,0.21130511,0.20434156,0.16210997,0.16210997,0.11731989,0.10813732,0.09909354,0.09280995,0.10795775,0.10603092,0.11052261,0.12870067,0.14578092,0.15779512,0.15286662,0.14708337,0.14509355,0.14792775,0.14144117,0.12393665,0.10652362,0.09736291,0.071508,0.04841592,0.054810274,0.04520503,0.035924762,0.031218318,0.031218318,0.03196192,0.031434473,0.039330628,0.040437657,0.07274781,0.07274781,0.07441319,0.07766642,0.0733558,0.06921398
2017-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28098407,0.2809749,0.28489295,0.28489295,0.32237977,0.3539002,0.35358095,0.36051026,0.3539415,0.33466893,0.31933665,0.31509003,0.2762858,0.2183831,0.22047876,0.24197006,0.22925791,0.1752093,0.1752093,0.16231805,0.17079018,0.17819291,0.1612609,0.1612609,0.13208885,0.122161955,0.07562197,0.08353502,0.06842572,0.08786134,0.09735754,0.12019402,0.1432728,0.1642672,0.17438765,0.1526876,0.15533204,0.13597175,0.12969694,0.10903891,0.10105662,0.08507761,0.07999764,0.077806376,0.07122967,0.06431424,0.04812231,0.03787142,0.03787142,0.052100915,0.063478,0.08235535,0.08150494,0.06395387,0.06395387,0.06262056,0.041645877,0.034688026,0.024560915
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34974226,0.34810552,0.34312847,0.34312847,0.33761033,0.34318992,0.3211751,0.35106856,0.3092865,0.32167476,0.2924833,0.3339803,0.30952746,0.26157573,0.26740888,0.29083282,0.22911312,0.17048454,0.17048454,0.1294428,0.13219242,0.107356876,0.095422186,0.095422186,0.085625775,0.08212441,0.078872114,0.101041794,0.104089975,0.115269326,0.11658325,0.112326846,0.11123361,0.079112485,0.07387582,0.055104706,0.05279863,0.036838077,0.034201864,0.027750019,0.02580087,0.03575863,0.031940836,0.028750883,0.047871217,0.04191057,0.038395863,0.030287122,0.030287122,0.026527936,0.023391955,0.026659867,0.02530126,0.032946102,0.032946102,0.035509698,0.04129226,0.04400365,0.04742341
2017-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2768067e-13,7.2768067e-13,0.20419185,0.20940875,0.2404747,0.2562612,0.2675546,0.24468416,0.21581206,0.24204165,0.2265176,0.18686743,0.19238374,0.21399613,0.16960904,0.14936782,0.14936782,0.14554897,0.16056727,0.15441193,0.13437857,0.13437857,0.08828812,0.07800947,0.078282766,0.076711714,0.07931544,0.062075865,0.07684821,0.07139656,0.089489944,0.101990536,0.120544076,0.12604396,0.14309819,0.12866528,0.119208254,0.098244935,0.09545683,0.08009767,0.07111182,0.05769041,0.058621388,0.056868847,0.0637678,0.058114085,0.058114085,0.05435431,0.062216867,0.064787455,0.061590426,0.063652396,0.063652396,0.06403668,0.07400987,0.07706487,0.08544245
2017-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45396927,0.44458914,0.4158248,0.4158248,0.37124452,0.35726437,0.33798683,0.34918478,0.33140835,0.32263693,0.29196283,0.32155964,0.2960171,0.256445,0.25017628,0.27713954,0.2427166,0.2412662,0.2412662,0.2535434,0.2712151,0.26928005,0.2837111,0.2837111,0.29080218,0.27788064,0.23384394,0.20590638,0.16761808,0.09747251,0.086957626,0.06826681,0.0754115,0.08062864,0.08499299,0.06907674,0.0697047,0.054300487,0.057004992,0.046408307,0.043108128,0.037416063,0.039873857,0.055121917,0.06376156,0.07319927,0.03415823,0.026236072,0.026236072,0.037971385,0.036135957,0.035607796,0.03227248,0.034892708,0.034892708,0.034519397,0.035464097,0.036123734,0.036510367
2017-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4256996,0.42400137,0.29769996,0.29769996,0.19327673,0.34513977,0.43372482,0.41478238,0.41963917,0.4262999,0.42919055,0.46443585,0.44192818,0.38340113,0.3850358,0.4137745,0.42945352,0.48339936,0.48339936,0.4330606,0.47235563,0.43764728,0.37935656,0.37935656,0.33586237,0.31069565,0.28966564,0.2768037,0.2757557,0.23970833,0.24887753,0.20894235,0.22380641,0.2070041,0.20811993,0.18521848,0.18716846,0.15356277,0.13791002,0.08824396,0.08386289,0.07354898,0.08130517,0.09080571,0.079948835,0.07895891,0.05725955,0.061720893,0.061720893,0.06855861,0.08361688,0.07690122,0.08036253,0.05365508,0.05365508,0.057818674,0.0722503,0.0768222,0.08004106
2017-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5212564,0.5212564,0.50451046,0.5181874,0.5290104,0.50979394,0.5278144,0.54278296,0.55000615,0.54762316,0.54987323,0.5533898,0.54055333,0.5391905,0.5174517,0.4922598,0.4922598,0.45402157,0.4189314,0.4075948,0.3866027,0.3866027,0.38697466,0.36471307,0.31099433,0.30519244,0.27097985,0.28736463,0.26814184,0.29581577,0.26235688,0.24388763,0.2055531,0.20141266,0.1640979,0.14639078,0.10039155,0.07064298,0.054256357,0.057707638,0.0532362,0.05072903,0.025670376,0.042109087,0.050541144,0.07525212,0.07525212,0.07640679,0.088833734,0.0920193,0.091217235,0.08591213,0.08591213,0.08656054,0.08310682,0.08433979,0.08602135
2017-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44555143,0.5105155,0.4569183,0.4569183,0.4398625,0.4640541,0.47569865,0.47375345,0.49471962,0.521379,0.5328929,0.53241307,0.510263,0.48903242,0.48134375,0.46470416,0.4480461,0.3978534,0.3978534,0.35300267,0.31340703,0.30240902,0.26974228,0.26974228,0.25740802,0.24629162,0.20776622,0.18223052,0.14570571,0.124993406,0.13040906,0.13628103,0.14648263,0.13227583,0.13855164,0.105101645,0.115781195,0.096876875,0.103839286,0.110090375,0.11351567,0.13099469,0.13797893,0.12083508,0.09839668,0.060260702,0.041693617,0.032884337,0.032884337,0.04780163,0.058418863,0.066294506,0.06968972,0.045170568,0.045170568,0.041541528,0.033311903,0.036370642,0.039172146
