distance_km,year,onset_date,onset_doy
0.0,2017,2017-03-01,60
0.1,2017,2017-03-01,60
0.2,2017,2017-03-01,60
0.3,2017,2017-03-13,72
0.4,2017,2017-04-06,96
0.5,2017,2017-04-06,96
0.6,2017,2017-04-06,96
0.7,2017,2017-04-06,96
0.8,2017,2017-03-01,60
0.9,2017,2017-03-01,60
1.0,2017,2017-03-01,60
1.1,2017,2017-03-01,60
1.2,2017,2017-03-01,60
1.3,2017,2017-03-01,60
1.4,2017,2017-03-01,60
1.5,2017,2017-03-01,60
1.6,2017,2017-03-01,60
1.7,2017,2017-03-01,60
1.8,2017,2017-03-01,60
1.9,2017,2017-03-01,60
2.0,2017,2017-04-18,108
2.1,2017,2017-04-30,120
2.2,2017,2017-04-30,120
2.3,2017,2017-04-06,96
2.4,2017,2017-04-06,96
2.5,2017,2017-04-06,96
2.6,2017,2017-04-06,96
2.7,2017,2017-04-06,96
3.5,2017,2017-03-01,60
3.6,2017,2017-03-01,60
3.7,2017,2017-03-01,60
3.8,2017,2017-03-01,60
4.4,2017,2017-03-01,60
4.7,2017,2017-03-01,60
4.8,2017,2017-03-01,60
4.9,2017,2017-03-01,60
5.0,2017,2017-03-01,60
5.1,2017,2017-03-01,60
5.2,2017,2017-03-01,60
5.3,2017,2017-03-01,60
6.5,2017,2017-04-06,96
6.6,2017,2017-04-06,96
6.7,2017,2017-03-01,60
6.8,2017,2017-03-01,60
7.5,2017,2017-04-30,120
7.6,2017,2017-04-18,108
7.7,2017,2017-04-18,108
7.8,2017,2017-04-18,108
7.9,2017,2017-04-18,108
8.1,2017,2017-06-05,156
8.2,2017,2017-06-05,156
9.0,2017,2017-03-13,72
9.3,2017,2017-03-13,72
11.7,2017,2017-04-06,96
13.4,2017,2017-04-30,120
14.3,2017,2017-04-18,108
14.8,2017,2017-04-18,108
14.9,2017,2017-06-05,156
15.0,2017,2017-06-05,156
15.1,2017,2017-06-05,156
15.2,2017,2017-05-12,132
15.3,2017,2017-05-12,132
15.4,2017,2017-06-05,156
15.5,2017,2017-06-05,156
15.6,2017,2017-06-05,156
15.8,2017,2017-06-05,156
16.1,2017,2017-06-05,156
16.2,2017,2017-06-05,156
16.3,2017,2017-06-05,156
16.5,2017,2017-06-05,156
16.7,2017,2017-04-06,96
16.8,2017,2017-03-25,84
16.9,2017,2017-03-25,84
17.0,2017,2017-03-25,84
17.1,2017,2017-04-18,108
17.2,2017,2017-04-06,96
17.3,2017,2017-04-30,120
17.4,2017,2017-04-30,120
17.7,2017,2017-04-18,108
17.8,2017,2017-04-18,108
17.9,2017,2017-04-18,108
18.0,2017,2017-04-18,108
18.1,2017,2017-04-30,120
18.2,2017,2017-04-30,120
18.3,2017,2017-04-18,108
18.4,2017,2017-04-30,120
19.4,2017,2017-04-30,120
19.5,2017,2017-04-18,108
19.6,2017,2017-04-18,108
19.7,2017,2017-04-18,108
19.9,2017,2017-04-30,120
20.4,2017,2017-06-05,156
20.5,2017,2017-06-05,156
20.7,2017,2017-03-01,60
21.5,2017,2017-05-12,132
21.6,2017,2017-04-18,108
21.7,2017,2017-04-06,96
21.8,2017,2017-04-18,108
21.9,2017,2017-04-18,108
22.0,2017,2017-04-06,96
22.1,2017,2017-04-06,96
22.2,2017,2017-06-05,156
22.5,2017,2017-06-05,156
22.6,2017,2017-06-05,156
22.7,2017,2017-06-05,156
22.8,2017,2017-04-18,108
22.9,2017,2017-04-18,108
23.0,2017,2017-04-18,108
23.1,2017,2017-04-18,108
23.2,2017,2017-04-06,96
23.3,2017,2017-04-06,96
23.4,2017,2017-04-06,96
23.5,2017,2017-03-01,60
23.6,2017,2017-03-01,60
23.7,2017,2017-04-18,108
23.8,2017,2017-04-18,108
23.9,2017,2017-04-18,108
24.0,2017,2017-04-18,108
24.1,2017,2017-04-30,120
24.2,2017,2017-04-30,120
24.3,2017,2017-04-30,120
24.4,2017,2017-04-30,120
24.5,2017,2017-04-30,120
24.6,2017,2017-04-30,120
24.7,2017,2017-04-30,120
24.8,2017,2017-04-30,120
24.9,2017,2017-05-12,132
25.0,2017,2017-05-12,132
25.1,2017,2017-04-18,108
25.2,2017,2017-04-18,108
25.3,2017,2017-04-18,108
25.4,2017,2017-04-18,108
25.5,2017,2017-04-18,108
25.6,2017,2017-04-18,108
25.7,2017,2017-04-18,108
25.8,2017,2017-04-18,108
25.9,2017,2017-04-18,108
26.0,2017,2017-04-18,108
26.1,2017,2017-04-18,108
26.2,2017,2017-04-30,120
26.3,2017,2017-04-18,108
26.4,2017,2017-04-18,108
26.5,2017,2017-04-18,108
26.6,2017,2017-04-18,108
26.7,2017,2017-04-18,108
26.8,2017,2017-04-18,108
26.9,2017,2017-04-18,108
27.0,2017,2017-04-18,108
27.1,2017,2017-04-18,108
27.2,2017,2017-04-18,108
27.3,2017,2017-04-18,108
27.4,2017,2017-04-18,108
27.5,2017,2017-04-18,108
27.6,2017,2017-04-18,108
27.7,2017,2017-04-18,108
27.8,2017,2017-04-18,108
27.9,2017,2017-04-18,108
28.0,2017,2017-04-18,108
28.1,2017,2017-04-18,108
28.2,2017,2017-04-18,108
28.3,2017,2017-04-18,108
28.4,2017,2017-04-18,108
28.5,2017,2017-04-18,108
28.6,2017,2017-04-18,108
28.7,2017,2017-04-18,108
28.8,2017,2017-04-18,108
28.9,2017,2017-04-18,108
29.0,2017,2017-04-18,108
29.1,2017,2017-04-18,108
29.2,2017,2017-04-18,108
29.3,2017,2017-04-18,108
29.4,2017,2017-04-18,108
29.5,2017,2017-04-18,108
