distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,102.16666666666667,73.25,126.0,60,154,6,True
0.1,100.85714285714286,74.5,125.0,60,154,7,True
0.2,96.16666666666667,73.25,117.0,60,154,6,True
0.3,102.4,72.0,127.0,72,154,5,True
0.4,107.2,87.0,127.0,72,154,5,True
0.5,107.2,87.0,127.0,72,154,5,True
0.6,106.2,87.0,122.0,72,154,5,True
0.7,99.66666666666667,75.75,115.5,67,154,6,True
0.8,91.28571428571429,69.5,104.5,60,154,7,True
0.9,108.42857142857143,74.5,137.0,60,154,7,True
1.0,117.66666666666667,84.5,150.0,60,154,6,True
1.1,86.0,72.0,99.0,60,122,5,True
1.2,101.66666666666667,72.5,138.0,60,154,6,True
1.3,97.5,73.75,115.5,60,158,6,True
1.4,97.5,73.75,115.5,60,158,6,True
1.5,66.0,63.0,69.0,60,72,2,True
1.6,66.0,63.0,69.0,60,72,2,True
1.7,101.4,79.0,123.0,60,137,5,True
1.8,96.0,74.25,115.25,60,137,4,True
1.9,107.0,96.0,126.5,60,137,4,True
2.0,85.5,74.25,96.75,63,108,2,True
2.1,115.33333333333333,99.5,133.5,79,147,3,True
2.2,115.33333333333333,99.5,133.5,79,147,3,True
2.3,91.5,89.25,93.75,87,96,2,True
2.4,102.5,93.75,109.25,87,122,4,True
2.5,102.5,93.75,109.25,87,122,4,True
2.6,97.5,88.75,111.75,67,117,4,True
2.7,93.33333333333333,81.5,106.5,67,117,3,True
2.8,88.75,66.5,90.75,65,153,4,True
2.9,88.75,66.5,90.75,65,153,4,True
3.0,87.0,72.0,95.5,70,117,3,True
3.1,79.33333333333333,69.5,86.5,65,99,3,True
3.2,83.33333333333333,75.5,88.0,74,99,3,True
3.3,83.33333333333333,75.5,88.0,74,99,3,True
3.4,127.33333333333333,116.5,148.0,86,149,3,True
3.5,76.25,69.0,80.25,60,99,4,True
3.6,76.25,69.0,80.25,60,99,4,True
3.7,98.0,69.0,114.5,60,161,4,True
3.8,69.66666666666667,66.0,74.5,60,77,3,True
4.1,93.0,93.0,93.0,93,93,1,True
4.2,158.0,158.0,158.0,158,158,1,True
4.3,99.0,99.0,99.0,99,99,1,True
4.4,95.0,69.0,111.5,60,149,4,True
4.5,128.5,118.25,138.75,108,149,2,True
4.6,110.5,91.25,129.75,72,149,2,True
4.7,105.66666666666667,84.0,128.5,60,149,3,True
4.8,99.0,69.0,123.5,60,149,4,True
4.9,96.0,65.25,118.25,60,149,4,True
5.0,104.0,102.0,113.25,60,135,6,True
5.1,97.0,69.0,116.5,60,151,4,True
5.2,67.0,64.5,70.5,60,72,3,True
5.3,67.0,64.5,70.5,60,72,3,True
5.4,63.0,63.0,63.0,63,63,1,True
5.5,118.0,108.5,127.5,99,137,2,True
