distance_km,year,peak_date,peak_doy,peak_val
0.0,2017,2017-04-30,120,0.28340792655944824
0.1,2017,2017-04-30,120,0.27887535095214844
0.2,2017,2017-04-30,120,0.2744167447090149
0.3,2017,2017-04-30,120,0.272756427526474
0.4,2017,2017-04-30,120,0.2782076597213745
0.5,2017,2017-04-30,120,0.29536697268486023
0.6,2017,2017-04-30,120,0.29975536465644836
0.7,2017,2017-10-15,288,0.28374332189559937
0.8,2017,2017-06-29,180,0.28329694271087646
0.9,2017,2017-10-15,288,0.2799580991268158
1.0,2017,2017-10-15,288,0.294628381729126
1.1,2017,2017-04-18,108,0.3122621178627014
1.2,2017,2017-04-18,108,0.32294854521751404
1.3,2017,2017-04-06,96,0.3341396749019623
1.4,2017,2017-04-06,96,0.3644138276576996
1.5,2017,2017-04-06,96,0.49744728207588196
1.6,2017,2017-04-06,96,0.49744728207588196
1.7,2017,2017-09-09,252,0.5205270051956177
1.8,2017,2017-03-01,60,0.5799462199211121
1.9,2017,2017-09-09,252,0.5201127529144287
2.0,2017,2017-03-01,60,0.5295078158378601
2.1,2017,2017-04-06,96,0.5210163593292236
2.2,2017,2017-04-06,96,0.5210163593292236
2.3,2017,2017-04-30,120,0.5659493207931519
2.4,2017,2017-04-18,108,0.6322475075721741
2.5,2017,2017-04-18,108,0.6322475075721741
2.6,2017,2017-04-18,108,0.6135008335113525
2.7,2017,2017-08-28,240,0.6230053305625916
2.8,2017,2017-08-04,216,0.6932213306427002
2.9,2017,2017-08-04,216,0.6932213306427002
3.0,2017,2017-08-28,240,0.8598650693893433
3.1,2017,2017-04-30,120,0.6128629446029663
3.2,2017,2017-04-30,120,0.814215362071991
3.3,2017,2017-04-30,120,0.814215362071991
3.4,2017,2017-10-27,300,0.6212403178215027
3.5,2017,2017-08-04,216,0.6777870655059814
3.6,2017,2017-08-04,216,0.6777870655059814
3.7,2017,2017-04-30,120,0.8464456796646118
3.8,2017,2017-08-04,216,0.8227293491363525
3.9,2017,2017-08-04,216,0.9253735542297363
4.0,2017,2017-08-04,216,0.9297678470611572
4.1,2017,2017-06-29,180,0.8970003724098206
4.2,2017,2017-09-09,252,0.8794121742248535
4.3,2017,2017-09-09,252,0.9898558855056763
4.4,2017,2017-09-09,252,0.9759392738342285
4.5,2017,2017-10-27,300,0.9908792972564697
4.6,2017,2017-04-30,120,0.94584721326828
4.7,2017,2017-09-09,252,0.7702615261077881
4.8,2017,2017-09-09,252,0.7647994756698608
4.9,2017,2017-04-30,120,1.25431489944458
5.0,2017,2017-09-09,252,0.893598735332489
5.1,2017,2017-03-13,72,0.7461709380149841
5.2,2017,2017-08-16,228,0.7750459313392639
5.3,2017,2017-08-16,228,0.7750459313392639
5.4,2017,2017-09-21,264,0.8871365189552307
5.5,2017,2017-08-16,228,0.9240898489952087
5.6,2017,2017-08-16,228,1.0106922388076782
5.7,2017,2017-08-16,228,1.0984798669815063
5.8,2017,2017-10-27,300,0.8670023083686829
5.9,2017,2017-09-21,264,0.910374641418457
6.0,2017,2017-09-21,264,1.016449213027954
6.1,2017,2017-09-21,264,1.016449213027954
6.2,2017,2017-09-21,264,1.0992395877838135
6.3,2017,2017-10-27,300,1.2531791925430298
6.4,2017,2017-04-06,96,1.3762344121932983
6.5,2017,2017-04-06,96,1.2383019924163818
6.6,2017,2017-04-06,96,1.193227767944336
6.7,2017,2017-10-27,300,0.9346392154693604
6.8,2017,2017-10-27,300,0.7825633883476257
6.9,2017,2017-10-15,288,0.8519501686096191
7.0,2017,2017-10-15,288,0.6806795597076416
7.1,2017,2017-04-30,120,0.8339927196502686
7.2,2017,2017-03-25,84,0.8368368744850159
7.3,2017,2017-03-25,84,0.8075487613677979
7.4,2017,2017-03-25,84,0.7488001585006714
7.5,2017,2017-05-12,132,0.8683378100395203
7.6,2017,2017-05-12,132,1.7473043203353882
7.7,2017,2017-05-12,132,1.826084852218628
7.8,2017,2017-06-29,180,1.7978794574737549
7.9,2017,2017-04-30,120,1.0881808996200562
8.0,2017,2017-06-29,180,2.3832356929779053
8.1,2017,2017-06-29,180,2.1589953899383545
8.2,2017,2017-06-29,180,1.7536048889160156
8.3,2017,2017-06-29,180,1.2321500778198242
8.4,2017,2017-04-18,108,1.2762088775634766
8.5,2017,2017-04-18,108,1.583360195159912
8.6,2017,2017-03-01,60,0.6298808455467224
8.7,2017,2017-03-01,60,0.6687511205673218
8.8,2017,2017-04-18,108,1.0326411724090576
8.9,2017,2017-09-09,252,0.7065404653549194
9.0,2017,2017-03-13,72,0.727741003036499
9.1,2017,2017-08-28,240,0.902559220790863
9.2,2017,2017-03-13,72,0.92216557264328
9.3,2017,2017-03-25,84,1.06545090675354
9.4,2017,2017-03-13,72,1.1396934986114502
9.5,2017,2017-03-13,72,1.1704603433609009
9.6,2017,2017-04-18,108,1.0490057468414307
9.7,2017,2017-04-18,108,1.1557656526565552
9.8,2017,2017-04-18,108,1.1557656526565552
9.9,2017,2017-04-18,108,1.1950243711471558
10.0,2017,2017-03-13,72,1.2181730270385742
10.1,2017,2017-03-13,72,1.3277897834777832
10.2,2017,2017-03-13,72,1.3265265226364136
10.3,2017,2017-03-13,72,1.2259693145751953
10.4,2017,2017-03-01,60,1.1450854539871216
10.5,2017,2017-03-01,60,1.0249773263931274
10.6,2017,2017-03-01,60,1.0249773263931274
10.7,2017,2017-03-01,60,0.8806395530700684
10.8,2017,2017-03-13,72,0.8208174109458923
10.9,2017,2017-03-13,72,1.006704568862915
11.0,2017,2017-04-18,108,1.1464767456054688
11.1,2017,2017-03-13,72,1.116750955581665
11.2,2017,2017-03-13,72,1.0959066152572632
11.3,2017,2017-04-18,108,1.4077738523483276
11.4,2017,2017-04-18,108,1.4102931022644043
11.5,2017,2017-04-18,108,1.4392715692520142
11.6,2017,2017-04-18,108,1.4999680519104004
11.7,2017,2017-04-30,120,1.605673909187317
11.8,2017,2017-04-30,120,1.5850054025650024
11.9,2017,2017-04-30,120,1.454833745956421
12.0,2017,2017-05-12,132,1.3837270736694336
12.1,2017,2017-05-12,132,1.3947006464004517
12.2,2017,2017-04-30,120,1.26470947265625
12.3,2017,2017-04-30,120,1.2932437658309937
12.4,2017,2017-05-12,132,1.3751391172409058
12.5,2017,2017-05-12,132,1.3712115287780762
12.6,2017,2017-05-12,132,1.3786519765853882
12.7,2017,2017-05-12,132,1.3875281810760498
12.8,2017,2017-05-12,132,1.4115486145019531
12.9,2017,2017-04-30,120,1.279211163520813
13.0,2017,2017-04-30,120,1.279211163520813
13.1,2017,2017-05-12,132,1.4972079992294312
13.2,2017,2017-05-12,132,1.588547706604004
13.3,2017,2017-05-12,132,1.65195631980896
13.4,2017,2017-04-30,120,1.7138170003890991
13.5,2017,2017-05-12,132,1.4930840730667114
13.6,2017,2017-05-12,132,1.261015772819519
13.7,2017,2017-04-30,120,1.3712352514266968
13.8,2017,2017-04-06,96,1.2690551280975342
13.9,2017,2017-04-06,96,1.2342408895492554
14.0,2017,2017-04-06,96,1.0550037622451782
14.1,2017,2017-03-13,72,0.9609612226486206
14.2,2017,2017-04-18,108,1.01369309425354
14.3,2017,2017-04-30,120,1.145300030708313
14.4,2017,2017-04-18,108,1.084602952003479
14.5,2017,2017-04-18,108,1.0873688459396362
14.6,2017,2017-04-18,108,1.228139042854309
14.7,2017,2017-04-30,120,1.0522147417068481
14.8,2017,2017-06-05,156,1.1204122304916382
14.9,2017,2017-04-30,120,0.9916105270385742
15.0,2017,2017-06-29,180,0.9939690232276917
15.1,2017,2017-06-05,156,0.9528025388717651
15.2,2017,2017-06-05,156,0.9122015833854675
15.3,2017,2017-04-18,108,1.2012989521026611
15.4,2017,2017-04-18,108,1.2035149335861206
15.5,2017,2017-04-18,108,1.2048979997634888
15.6,2017,2017-04-18,108,1.2100263833999634
15.7,2017,2017-09-21,264,2.9189462661743164
15.8,2017,2017-03-25,84,2.5995941162109375
15.9,2017,2017-03-25,84,2.64341402053833
16.0,2017,2017-03-25,84,2.3212811946868896
16.1,2017,2017-03-25,84,2.0519521236419678
16.2,2017,2017-06-29,180,1.627910852432251
16.3,2017,2017-06-29,180,1.7275922298431396
16.4,2017,2017-04-18,108,1.6384859085083008
16.5,2017,2017-04-18,108,1.6719505786895752
16.6,2017,2017-04-18,108,1.596767783164978
16.7,2017,2017-04-18,108,1.6289641857147217
16.8,2017,2017-04-18,108,1.558815836906433
16.9,2017,2017-08-04,216,0.8390829563140869
17.0,2017,2017-08-04,216,0.8390829563140869
17.1,2017,2017-08-04,216,0.797614336013794
17.2,2017,2017-06-05,156,0.7086849808692932
17.3,2017,2017-04-30,120,1.1337577104568481
17.4,2017,2017-04-30,120,1.1337577104568481
17.5,2017,2017-04-30,120,1.1513258218765259
17.6,2017,2017-04-30,120,1.1021065711975098
17.7,2017,2017-04-18,108,1.3325327634811401
17.8,2017,2017-04-18,108,1.3325327634811401
