distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,163.5,119.5,239.5,8,True
0.1,163.5,119.5,239.5,8,True
0.2,169.5,119.5,248.25,8,True
0.3,174.0,122.25,239.25,8,True
0.4,172.5,124.5,194.25,8,True
0.5,199.5,158.0,253.75,8,True
0.6,199.5,158.0,253.75,8,True
0.7,220.5,171.25,265.5,8,True
0.8,172.5,124.5,193.75,8,True
0.9,208.5,142.25,285.75,8,True
1.0,211.5,152.75,285.75,8,True
1.1,159.0,101.5,191.5,8,True
1.2,117.0,85.0,136.75,8,True
1.3,157.5,123.0,181.5,8,True
1.4,135.0,93.5,142.75,8,True
1.5,123.0,90.0,133.25,8,True
1.6,123.0,90.0,133.25,8,True
1.7,178.5,126.5,254.25,8,True
1.8,171.0,129.75,247.0,8,True
1.9,163.5,134.25,181.5,8,True
2.0,163.5,89.75,220.75,8,True
2.1,138.0,94.75,162.75,8,True
2.2,138.0,94.75,162.75,8,True
2.3,151.5,112.75,178.5,8,True
2.4,150.0,105.75,179.5,8,True
2.5,150.0,105.75,179.5,8,True
2.6,150.0,105.75,170.5,8,True
2.7,150.0,97.0,174.75,8,True
2.8,192.0,144.25,248.25,8,True
2.9,192.0,144.25,248.25,8,True
3.0,259.5,241.5,274.75,8,True
3.1,196.5,122.25,260.5,8,True
3.2,165.0,110.0,256.5,8,True
3.3,165.0,110.0,256.5,8,True
3.4,208.5,115.5,271.5,8,True
3.5,195.0,162.75,229.75,8,True
3.6,195.0,162.75,229.75,8,True
3.7,205.5,168.75,243.25,8,True
3.8,225.0,184.5,270.75,8,True
3.9,219.0,202.75,227.5,8,True
4.0,211.5,181.75,228.5,8,True
4.1,193.5,172.75,220.0,8,True
4.2,238.5,233.25,276.5,8,True
4.3,216.0,200.25,254.5,8,True
4.4,238.5,222.5,254.5,8,True
4.5,238.5,214.5,272.75,8,True
4.6,183.0,129.0,254.5,8,True
4.7,208.5,150.25,258.5,8,True
4.8,211.5,153.25,258.5,8,True
4.9,181.5,146.75,200.25,8,True
5.0,169.5,130.25,186.75,8,True
5.1,183.0,135.75,251.75,8,True
5.2,196.5,140.0,265.75,8,True
5.3,196.5,140.0,265.75,8,True
5.4,204.0,133.5,262.5,8,True
5.5,205.5,142.5,262.5,8,True
5.6,172.5,95.25,256.25,8,True
5.7,223.5,200.5,283.25,8,True
5.8,144.0,90.25,161.75,8,True
5.9,189.0,94.75,290.75,8,True
6.0,204.0,81.25,291.5,8,True
6.1,204.0,81.25,291.5,8,True
6.2,204.0,99.25,272.75,8,True
6.3,228.0,195.25,281.75,8,True
6.4,193.5,104.25,272.75,8,True
6.5,190.5,114.25,260.75,8,True
6.6,133.5,106.5,139.25,8,True
6.7,193.5,122.25,287.0,8,True
6.8,162.0,104.0,208.75,8,True
6.9,169.5,122.25,206.75,8,True
7.0,177.0,113.75,247.25,8,True
7.1,159.0,111.75,195.75,8,True
7.2,162.0,130.75,182.25,8,True
7.3,154.5,130.75,169.75,8,True
7.4,163.5,124.75,188.25,8,True
7.5,189.0,137.25,254.0,8,True
7.6,168.0,121.5,201.5,8,True
7.7,192.0,144.25,224.25,8,True
7.8,201.0,167.5,250.5,8,True
7.9,180.0,130.5,224.25,8,True
8.0,181.5,134.25,237.75,8,True
8.1,181.5,111.0,239.0,8,True
8.2,148.5,97.75,181.25,8,True
8.3,142.5,106.0,177.75,8,True
8.4,150.0,108.0,190.5,8,True
8.5,123.0,103.5,125.75,8,True
8.6,121.5,66.5,132.75,8,True
8.7,145.5,92.5,209.25,8,True
8.8,186.0,141.25,222.25,8,True
8.9,178.5,112.75,249.75,8,True
9.0,204.0,145.5,269.75,8,True
9.1,196.5,135.25,274.5,8,True
9.2,187.5,91.5,274.5,8,True
9.3,184.5,152.5,202.5,8,True
9.4,148.5,126.25,169.75,8,True
9.5,150.0,115.5,166.25,8,True
9.6,124.5,99.25,111.75,8,True
9.7,162.0,141.75,171.75,8,True
9.8,162.0,141.75,171.75,8,True
9.9,157.5,107.25,176.75,8,True
10.0,139.5,122.5,163.25,8,True
10.1,142.5,92.25,166.25,8,True
10.2,144.0,122.5,151.25,8,True
10.3,159.0,134.25,173.0,8,True
10.4,133.5,68.25,181.25,8,True
10.5,130.5,112.75,166.25,8,True
10.6,130.5,112.75,166.25,8,True
10.7,139.5,109.75,157.25,8,True
10.8,141.0,110.25,157.25,8,True
10.9,121.5,93.75,154.5,8,True
11.0,139.5,115.5,166.25,8,True
11.1,130.5,71.5,169.5,8,True
11.2,117.0,72.0,132.5,8,True
11.3,144.0,102.75,158.75,8,True
11.4,166.5,130.75,178.25,8,True
11.5,147.0,126.0,164.5,8,True
11.6,160.5,137.5,177.0,8,True
11.7,141.0,131.25,154.25,8,True
11.8,144.0,131.25,162.0,8,True
11.9,141.0,127.5,156.75,8,True
12.0,136.5,128.5,141.0,8,True
12.1,141.0,128.5,150.5,8,True
12.2,138.0,119.25,150.5,8,True
12.3,129.0,114.75,142.25,8,True
12.4,135.0,126.75,143.75,8,True
12.5,142.5,135.75,149.75,8,True
12.6,141.0,134.25,142.25,8,True
12.7,141.0,134.25,142.25,8,True
12.8,150.0,138.5,157.5,8,True
12.9,141.0,132.75,147.5,8,True
13.0,141.0,132.75,147.5,8,True
13.1,144.0,135.75,147.5,8,True
13.2,144.0,134.25,150.0,8,True
13.3,142.5,132.0,150.0,8,True
13.4,139.5,131.5,146.75,8,True
13.5,139.5,128.5,152.75,8,True
13.6,138.0,128.5,151.5,8,True
13.7,148.5,127.5,162.75,8,True
13.8,133.5,124.75,145.25,8,True
13.9,124.5,98.25,144.75,8,True
14.0,130.5,102.0,144.75,8,True
14.1,97.5,70.75,112.25,8,True
14.2,123.0,102.25,151.25,8,True
14.3,136.5,116.25,165.25,8,True
14.4,121.5,105.75,134.75,8,True
14.5,135.0,105.75,145.5,8,True
14.6,136.5,105.75,153.0,8,True
14.7,121.5,113.5,133.25,8,True
14.8,145.5,128.5,150.75,8,True
14.9,142.5,131.5,147.75,8,True
15.0,154.5,142.75,160.5,8,True
15.1,147.0,130.75,153.75,8,True
15.2,151.5,146.25,158.25,8,True
15.3,148.5,120.75,161.25,8,True
15.4,139.5,120.75,159.25,8,True
15.5,160.5,128.75,177.0,8,True
15.6,138.0,121.0,145.25,8,True
15.7,177.0,143.25,203.25,8,True
15.8,130.5,110.0,151.5,8,True
15.9,127.5,114.25,141.75,8,True
16.0,127.5,114.25,145.25,8,True
16.1,124.5,98.25,150.0,8,True
16.2,159.0,138.75,159.75,8,True
16.3,133.5,122.75,145.25,8,True
16.4,109.5,96.25,125.25,8,True
16.5,105.0,85.0,114.75,8,True
16.6,117.0,97.25,137.25,8,True
16.7,127.5,106.25,145.75,8,True
16.8,121.5,106.25,131.5,8,True
16.9,166.5,130.0,191.25,8,True
17.0,166.5,130.0,191.25,8,True
17.1,163.5,133.5,185.25,8,True
