s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,442595.8469476962,4055817.3464502366,6613.913,52.19546,0.12359832
0.1,442496.19237187173,4055809.041902251,6555.83,40.368393,0.12167037
0.2,442396.5377960473,4055800.7373542646,6510.061,35.352863,0.12037972
0.3,442296.8832202228,4055792.4328062795,6425.1636,34.868603,0.11934484
0.4,442197.2286443983,4055784.1282582944,6371.3667,35.88577,0.121027395
0.5,442097.76214989304,4055774.2357832,6311.333,36.2559,0.12092772
0.6,441998.92498012795,4055759.030064775,6225.629,37.783016,0.12199147
0.7,441901.2246831367,4055737.931190315,6199.15,40.70269,0.119347245
0.8,441804.7241429626,4055712.0212216415,6172.887,48.848118,0.11931972
0.9,441709.7612907943,4055680.7770404327,6144.0806,57.840313,0.12112479
1.0,441617.59775328013,4055641.9713404276,6120.2837,65.6688,0.1256881
1.1,441528.6086423329,4055596.508798702,6108.406,77.36582,0.13415971
1.2,441443.1010751233,4055544.882517216,6098.1343,99.203705,0.14349356
1.3,441361.63528105756,4055487.063367464,6088.727,99.203705,0.15730108
1.4,441284.72101154685,4055423.201438225,6054.8594,127.52917,0.17282219
1.5,441214.01033342804,4055352.4907601066,6027.8896,152.17021,0.19359252
1.6,441144.4801982702,4055280.622913801,6025.151,178.17297,0.21549529
1.7,441076.5366345064,4055207.258252912,6005.918,177.9101,0.23211603
1.8,441010.9810206704,4055131.757487232,5993.3735,188.17534,0.24041852
1.9,440950.28185079515,4055052.346910536,5982.729,188.28207,0.23662585
2.0,440901.7944582632,4054965.3555587395,5969.6484,178.61806,0.24072659
2.1,440881.919465852,4054868.2305815057,5962.926,183.96767,0.2236867
2.2,440831.65941172914,4054782.1019545533,5952.363,171.7032,0.2346527
2.3,440767.0900903883,4054705.8406093535,5946.66,176.99538,0.253545
2.4,440700.33545202995,4054631.610787072,5927.765,163.99718,0.2891396
2.5,440648.5357752782,4054546.2978558703,5940.481,162.81567,0.3162498
2.6,440608.76339025074,4054454.632720259,5899.311,181.84384,0.33276594
2.7,440579.8694275997,4054358.945772982,5883.7363,196.13641,0.34787905
2.8,440558.21980595693,4054261.356107925,5876.5547,202.8792,0.357322
2.9,440542.45391586435,4054162.633109543,5871.0615,193.65561,0.38754272
3.0,440536.39037980716,4054062.9135260135,5862.8906,188.89319,0.40290773
3.1,440544.6248777234,4053963.3807662423,5851.221,175.19005,0.40287778
3.2,440568.0535158247,4053866.336364659,5843.901,174.88759,0.42777327
3.3,440605.75133280415,4053773.922196848,5837.156,158.90953,0.43980417
3.4,440656.5977977912,4053687.980199371,5826.366,147.55421,0.459884
3.5,440719.2936527223,4053610.195016684,5809.9683,128.98802,0.47901246
3.6,440791.38652989734,4053541.0286212154,5808.41,118.272896,0.5091697
3.7,440871.2353392451,4053481.016568598,5791.6,117.21742,0.5401612
3.8,440957.2196257096,4053430.179382194,5742.0664,112.13249,0.586157
3.9,441047.8100693927,4053388.0621688305,5721.334,112.13249,0.6505069
4.0,441141.7098264722,4053353.902023393,5695.004,115.1995,0.6909865
4.1,441237.9034849697,4053326.793264932,5655.2715,122.26184,0.71032405
4.2,441335.64195315284,4053305.8124949555,5571.361,131.57812,0.6988086
4.3,441434.3966475111,4053290.0952954274,5521.837,143.06242,0.69060695
4.4,441533.90036653203,4053280.144923525,5489.8267,156.81331,0.66854596
4.5,441633.14909038297,4053267.9754611556,5481.7,173.10025,0.6706558
4.6,441732.06763217284,4053253.39316791,5483.1187,181.96465,0.6552677
4.7,441830.5543881895,4053236.1401292305,5475.367,188.62022,0.64509976
4.8,441928.47877256805,4053215.9316889346,5450.559,186.74068,0.5904709
4.9,442025.674285453,4053192.456656449,5432.6396,174.49367,0.53698957
5.0,442121.93058665306,4053165.379236658,5413.4893,159.33658,0.4919104
