distance_km,year,onset_date,onset_doy
0.0,2018,2018-03-08,67
0.1,2018,2018-03-08,67
0.2,2018,2018-03-20,79
0.5,2018,2018-03-08,67
0.6,2018,2018-03-08,67
0.7,2018,2018-03-20,79
0.8,2018,2018-03-08,67
0.9,2018,2018-03-08,67
1.2,2018,2018-03-20,79
1.3,2018,2018-03-20,79
1.4,2018,2018-03-20,79
1.6,2018,2018-03-08,67
1.7,2018,2018-03-08,67
1.8,2018,2018-03-08,67
1.9,2018,2018-03-08,67
2.0,2018,2018-03-08,67
2.1,2018,2018-03-08,67
2.4,2018,2018-04-13,103
2.5,2018,2018-04-13,103
2.9,2018,2018-05-31,151
3.0,2018,2018-04-13,103
3.1,2018,2018-05-31,151
3.2,2018,2018-04-13,103
3.6,2018,2018-05-31,151
3.7,2018,2018-05-31,151
4.3,2018,2018-05-07,127
4.8,2018,2018-05-07,127
4.9,2018,2018-05-07,127
5.0,2018,2018-05-07,127
5.1,2018,2018-05-07,127
5.2,2018,2018-05-19,139
5.3,2018,2018-03-20,79
5.4,2018,2018-04-13,103
5.5,2018,2018-03-20,79
5.7,2018,2018-03-20,79
5.8,2018,2018-03-20,79
5.9,2018,2018-05-07,127
6.0,2018,2018-03-08,67
6.3,2018,2018-03-20,79
6.4,2018,2018-03-08,67
6.5,2018,2018-05-31,151
6.6,2018,2018-05-31,151
6.7,2018,2018-03-20,79
6.8,2018,2018-03-20,79
6.9,2018,2018-05-31,151
7.8,2018,2018-04-13,103
7.9,2018,2018-03-08,67
8.2,2018,2018-03-08,67
8.3,2018,2018-03-08,67
8.4,2018,2018-03-08,67
8.8,2018,2018-05-31,151
8.9,2018,2018-04-13,103
10.0,2018,2018-05-31,151
10.2,2018,2018-04-13,103
10.3,2018,2018-03-08,67
10.4,2018,2018-03-08,67
10.5,2018,2018-03-20,79
11.9,2018,2018-03-20,79
12.0,2018,2018-03-20,79
12.1,2018,2018-03-20,79
13.2,2018,2018-05-19,139
13.3,2018,2018-05-07,127
13.4,2018,2018-05-07,127
13.5,2018,2018-05-07,127
13.6,2018,2018-05-07,127
13.7,2018,2018-05-07,127
13.8,2018,2018-05-07,127
13.9,2018,2018-05-07,127
14.8,2018,2018-05-07,127
14.9,2018,2018-05-31,151
15.1,2018,2018-05-31,151
15.7,2018,2018-03-08,67
15.8,2018,2018-03-08,67
15.9,2018,2018-04-13,103
16.1,2018,2018-05-31,151
16.2,2018,2018-05-31,151
16.5,2018,2018-05-19,139
16.6,2018,2018-04-13,103
16.7,2018,2018-04-13,103
17.8,2018,2018-05-31,151
17.9,2018,2018-05-31,151
18.0,2018,2018-05-31,151
18.7,2018,2018-04-13,103
18.8,2018,2018-05-31,151
18.9,2018,2018-05-31,151
19.5,2018,2018-03-08,67
20.6,2018,2018-03-08,67
21.1,2018,2018-03-08,67
21.2,2018,2018-03-08,67
