distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,94.0,71.25,114.75,67,137,6,True
0.1,85.4,70.0,93.0,67,122,5,True
0.2,76.66666666666667,68.5,81.5,67,93,3,True
0.3,76.66666666666667,68.5,81.5,67,93,3,True
0.4,106.25,86.5,125.25,67,147,4,True
0.5,109.25,95.5,125.25,67,147,4,True
0.6,98.0,82.5,113.5,67,129,2,True
0.7,71.33333333333333,69.5,72.5,69,75,3,True
0.8,91.5,86.75,96.25,82,101,2,True
0.9,89.0,80.25,98.75,75,101,4,True
1.0,101.0,74.5,120.0,63,154,3,True
1.1,99.5,80.75,114.25,65,142,4,True
1.2,99.5,80.75,114.25,65,142,4,True
1.3,97.0,65.0,134.0,63,154,5,True
1.4,97.0,65.0,134.0,63,154,5,True
1.5,84.4,67.0,99.0,65,122,5,True
1.6,84.4,67.0,99.0,65,122,5,True
1.7,76.4,69.0,79.0,65,99,5,True
1.8,101.8,70.0,125.0,69,146,5,True
1.9,95.25,81.75,96.5,81,134,4,True
2.0,96.0,83.0,109.0,70,122,2,True
2.1,90.5,75.25,100.25,70,122,4,True
2.2,93.5,75.25,103.25,70,134,4,True
2.3,82.66666666666667,74.5,89.0,70,99,3,True
2.4,110.5,90.25,130.75,70,151,2,True
2.5,126.5,112.75,140.25,99,154,2,True
2.6,96.5,85.75,107.25,75,118,2,True
2.7,108.5,103.75,113.25,99,118,2,True
2.8,106.0,96.5,121.5,75,125,3,True
2.9,120.75,104.25,132.0,99,153,4,True
3.0,105.75,97.5,110.75,93,125,4,True
3.1,114.8,103.0,117.0,99,149,5,True
3.2,96.75,94.5,107.75,63,113,4,True
3.3,102.75,101.0,107.25,89,111,4,True
3.4,84.5,82.0,90.0,70,93,4,True
3.5,90.5,84.25,97.25,70,110,4,True
3.6,94.6,93.0,101.0,70,110,5,True
3.7,96.0,94.5,97.5,93,99,2,True
3.8,90.0,80.0,100.0,70,110,2,True
3.9,81.5,75.75,87.25,70,93,2,True
4.0,84.5,77.25,91.75,70,99,2,True
4.1,114.0,103.5,124.5,93,135,2,True
4.2,135.0,135.0,135.0,135,135,1,True
4.3,96.5,83.25,109.75,70,123,2,True
4.4,123.0,123.0,123.0,123,123,1,True
4.5,103.2,94.0,108.0,69,146,5,True
4.6,89.0,86.5,90.5,86,94,3,True
4.7,91.0,89.5,93.5,86,94,3,True
4.8,90.0,88.0,92.0,86,94,2,True
4.9,94.0,94.0,94.0,94,94,1,True
5.0,90.5,82.75,98.25,75,106,2,True
5.1,142.0,142.0,142.0,142,142,1,True
5.2,150.0,146.0,154.0,142,158,2,True
5.3,83.5,82.25,84.75,81,86,2,True
5.4,79.0,79.0,79.0,79,79,1,True
5.6,67.0,67.0,67.0,67,67,1,True
5.7,67.0,67.0,67.0,67,67,1,True
5.8,118.33333333333333,98.5,144.0,67,158,3,True
5.9,94.0,94.0,94.0,94,94,1,True
6.0,118.0,118.0,118.0,118,118,1,True
6.1,119.0,95.5,142.5,72,166,2,True
6.2,95.0,83.5,106.5,72,118,2,True
6.3,93.33333333333333,70.5,105.5,69,139,3,True
6.4,93.33333333333333,70.5,110.0,60,139,3,True
6.5,97.33333333333333,76.5,116.0,60,139,3,True
6.6,128.25,119.25,155.0,60,161,4,True
6.7,139.0,139.0,139.0,139,139,1,True
6.8,161.0,161.0,161.0,161,161,1,True
6.9,161.0,161.0,161.0,161,161,1,True
7.0,136.0,123.5,151.5,105,161,3,True
7.1,107.75,90.25,119.0,67,161,4,True
7.2,102.33333333333333,82.5,120.0,67,142,3,True
7.5,65.0,65.0,65.0,65,65,1,True
7.6,118.5,110.75,126.25,103,134,2,True
7.7,98.0,82.5,113.5,67,129,2,True
7.8,116.0,109.5,122.5,103,129,2,True
7.9,107.5,84.75,130.25,62,153,2,True
8.0,123.0,89.75,165.25,62,166,4,True
8.1,62.0,62.0,62.0,62,62,1,True
8.2,62.0,62.0,62.0,62,62,1,True
8.3,62.0,62.0,62.0,62,62,1,True
8.4,67.0,63.5,70.5,60,74,2,True
8.5,73.66666666666667,72.0,75.5,70,77,3,True
8.6,90.0,71.5,100.5,69,127,3,True
8.7,67.66666666666667,64.5,71.5,60,74,3,True
8.8,82.75,74.25,94.5,60,99,4,True
8.9,85.8,74.0,99.0,60,103,5,True
9.0,102.6,93.0,103.0,74,144,5,True
9.1,101.66666666666667,86.5,115.5,74,132,3,True
9.2,61.0,60.5,61.5,60,62,2,True
9.3,91.0,69.5,110.0,62,125,4,True
9.4,97.5,81.25,105.75,72,125,6,True
9.5,72.0,71.0,73.0,70,74,3,True
9.6,74.0,74.0,74.0,74,74,1,True
9.7,74.0,74.0,74.0,74,74,1,True
9.8,89.25,70.5,96.25,60,142,4,True
9.9,84.83333333333333,62.25,92.0,60,142,6,True
10.0,104.6,67.0,142.0,60,165,5,True
10.1,109.4,89.0,142.0,60,151,5,True
10.2,73.0,61.5,83.0,60,89,4,True
10.3,80.25,66.75,92.5,60,103,4,True
10.4,76.6,65.0,86.0,60,103,5,True
10.5,75.0,61.0,82.5,60,103,3,True
10.6,76.75,67.5,81.25,60,103,4,True
10.7,98.5,76.5,106.5,60,165,4,True
10.8,130.83333333333334,122.75,146.25,82,165,6,True
10.9,139.75,138.25,144.5,127,146,4,True
11.0,112.0,102.0,125.0,86,132,3,True
11.1,106.4,94.0,103.0,86,153,5,True
11.2,112.5,89.5,140.75,67,149,6,True
11.3,89.0,80.5,103.5,60,106,3,True
11.4,100.5,98.5,110.75,67,113,6,True
11.5,121.71428571428571,106.5,147.5,63,154,7,True
11.6,113.5,105.25,122.25,98,137,6,True
11.7,131.5,112.75,145.0,101,165,6,True
11.8,101.5,87.75,111.25,60,151,6,True
11.9,108.0,95.25,113.75,93,137,4,True
12.0,108.6,96.0,113.0,93,135,5,True
12.1,122.4,106.0,132.0,103,146,5,True
12.2,112.0,105.5,118.5,99,125,2,True
12.3,120.83333333333333,110.0,131.5,99,134,6,True
12.4,133.0,127.5,153.0,72,165,4,True
12.5,112.0,71.25,149.75,69,161,4,True
12.6,105.0,84.75,119.75,60,161,4,True
12.7,100.33333333333333,79.5,120.5,60,142,3,True
12.8,107.0,89.25,130.75,60,142,4,True
12.9,80.33333333333333,71.0,90.5,60,99,3,True
13.0,76.33333333333333,71.0,84.5,60,87,3,True
13.1,109.66666666666667,85.5,122.5,84,158,3,True
13.2,106.4,84.0,127.0,62,141,5,True
13.3,95.0,89.5,100.5,84,106,2,True
13.4,90.2,67.0,94.0,65,141,5,True
13.5,100.4,87.0,110.0,72,130,5,True
13.6,83.2,70.0,99.0,65,110,5,True
13.7,87.0,87.0,87.0,87,87,1,True
13.8,94.0,94.0,94.0,94,94,1,True
13.9,82.0,82.0,82.0,82,82,1,True
14.0,123.5,102.75,144.25,82,165,2,True
14.1,90.5,86.25,94.75,82,99,2,True
14.2,84.0,76.5,91.5,69,99,2,True
14.3,132.66666666666666,122.5,144.0,110,153,3,True
14.4,114.0,97.75,120.75,94,153,4,True
14.5,115.2,99.0,122.0,94,144,5,True
14.6,137.0,125.0,152.5,106,161,3,True
14.7,133.0,127.5,138.5,122,144,2,True
14.8,134.0,134.0,134.0,134,134,1,True
15.0,125.5,122.75,143.25,74,147,4,True
15.1,109.4,99.0,139.0,62,142,5,True
15.2,113.25,90.75,141.0,69,147,4,True
15.3,99.0,78.75,110.25,69,147,4,True
15.4,97.4,82.0,99.0,69,139,5,True
15.5,102.2,98.0,106.0,69,139,5,True
15.6,112.25,96.75,136.0,69,139,4,True
15.7,97.4,87.0,105.0,70,127,5,True
15.8,90.2,70.0,105.0,67,122,5,True
15.9,111.8,105.0,122.0,87,139,5,True
16.0,108.66666666666667,86.0,129.5,67,154,3,True
16.1,79.25,66.0,87.75,63,105,4,True
16.2,104.6,67.0,122.0,63,166,5,True
16.3,86.66666666666667,71.0,96.5,67,118,3,True
16.4,119.33333333333333,96.0,135.5,87,166,3,True
16.5,117.0,117.0,117.0,117,117,1,True
16.6,91.33333333333333,84.5,102.0,70,105,3,True
16.7,94.25,91.75,103.5,70,105,4,True
16.8,107.0,81.0,134.0,70,147,5,True
16.9,85.4,81.0,98.0,67,99,5,True
17.0,104.6,93.0,103.0,82,147,5,True
17.1,98.25,96.75,100.0,93,103,4,True
17.2,95.25,76.5,114.25,63,127,4,True
17.3,81.0,68.25,88.25,63,110,4,True
17.4,88.66666666666667,80.5,101.5,63,105,3,True
17.5,104.66666666666667,92.5,126.0,62,129,3,True
17.6,116.25,112.25,136.0,62,139,4,True
17.7,98.25,65.75,130.5,62,135,4,True
17.8,96.0,89.75,108.75,62,117,4,True
17.9,101.0,98.5,102.5,98,106,3,True
18.0,96.33333333333333,91.5,102.5,84,106,3,True
18.1,108.33333333333333,95.0,120.5,84,135,3,True
18.2,115.5,99.75,131.25,84,147,2,True
18.3,133.0,126.0,138.5,122,147,3,True
18.4,153.0,146.5,162.5,134,166,3,True
18.5,118.0,118.0,118.0,118,118,1,True
18.6,144.0,136.5,151.5,129,159,2,True
18.7,87.0,87.0,87.0,87,87,1,True
18.8,99.33333333333333,90.0,117.5,63,118,3,True
18.9,96.5,85.75,107.25,75,118,2,True
19.0,110.5,101.25,123.25,75,139,4,True
19.1,72.5,71.25,73.75,70,75,2,True
19.2,84.5,77.25,91.75,70,99,2,True
19.3,78.5,76.75,80.25,75,82,2,True
19.4,117.0,117.0,117.0,117,117,1,True
19.5,82.75,77.0,89.25,65,99,4,True
19.6,69.66666666666667,64.0,73.0,63,81,3,True
19.7,102.0,85.5,118.5,69,135,2,True
