distance_km,year,peak_date,peak_doy,peak_val
0.0,2018,2018-09-16,259,0.12762968242168427
0.1,2018,2018-09-16,259,0.11540963500738144
0.2,2018,2018-05-31,151,0.1445964127779007
0.3,2018,2018-05-31,151,0.14189405739307404
0.4,2018,2018-08-11,223,0.14884892106056213
0.5,2018,2018-08-11,223,0.15653710067272186
0.6,2018,2018-08-11,223,0.16545370221138
0.7,2018,2018-08-23,235,0.17822837829589844
0.8,2018,2018-10-22,295,0.17827877402305603
0.9,2018,2018-08-23,235,0.1831275224685669
1.0,2018,2018-06-24,175,0.1788102239370346
1.1,2018,2018-09-28,271,0.1856938600540161
1.2,2018,2018-09-28,271,0.18209393322467804
1.3,2018,2018-09-28,271,0.16640275716781616
1.4,2018,2018-08-11,223,0.17059646546840668
1.5,2018,2018-04-13,103,0.2199968695640564
1.6,2018,2018-04-13,103,0.22276946902275085
1.7,2018,2018-04-13,103,0.21073828637599945
1.8,2018,2018-04-13,103,0.19359703361988068
1.9,2018,2018-09-16,259,0.20737220346927643
2.0,2018,2018-09-16,259,0.22734501957893372
2.1,2018,2018-08-11,223,0.2686334550380707
2.2,2018,2018-08-11,223,0.2742742598056793
2.3,2018,2018-03-20,79,0.3046012818813324
2.4,2018,2018-06-24,175,0.2317533791065216
2.5,2018,2018-08-23,235,0.1680486500263214
2.6,2018,2018-05-07,127,0.21871322393417358
2.7,2018,2018-05-19,139,0.23720301687717438
2.8,2018,2018-03-20,79,0.23984237015247345
2.9,2018,2018-03-08,67,0.3552311658859253
3.0,2018,2018-08-11,223,0.29116472601890564
3.1,2018,2018-03-08,67,0.7063542604446411
3.2,2018,2018-05-07,127,0.6591735482215881
3.3,2018,2018-05-19,139,0.5196261405944824
3.4,2018,2018-03-08,67,0.36659562587738037
3.5,2018,2018-04-13,103,0.495279997587204
3.6,2018,2018-04-13,103,0.5581528544425964
3.7,2018,2018-04-13,103,0.5280870795249939
3.8,2018,2018-04-13,103,0.32278814911842346
3.9,2018,2018-03-08,67,0.23633112013339996
4.0,2018,2018-03-08,67,0.22232666611671448
4.1,2018,2018-03-08,67,0.2569798231124878
4.2,2018,2018-07-18,199,0.51886385679245
4.3,2018,2018-05-19,139,0.2595745623111725
4.4,2018,2018-03-20,79,0.2967616021633148
4.5,2018,2018-03-20,79,0.43227440118789673
4.6,2018,2018-03-20,79,0.42429107427597046
4.7,2018,2018-03-20,79,0.37742266058921814
4.8,2018,2018-05-19,139,0.34823334217071533
4.9,2018,2018-05-19,139,0.3433149456977844
5.0,2018,2018-05-19,139,0.3242618441581726
5.1,2018,2018-05-31,151,0.3350829780101776
5.2,2018,2018-05-31,151,0.34432852268218994
5.3,2018,2018-05-19,139,0.32112690806388855
5.4,2018,2018-09-04,247,0.38684067130088806
5.5,2018,2018-10-10,283,0.39549484848976135
5.6,2018,2018-10-10,283,0.30805081129074097
5.7,2018,2018-03-20,79,0.3186315596103668
5.8,2018,2018-06-24,175,0.3904917240142822
5.9,2018,2018-03-08,67,0.32132193446159363
6.0,2018,2018-06-24,175,0.41884103417396545
6.1,2018,2018-06-24,175,0.39807477593421936
