distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,188.57142857142858,135.5,257.0,7,True
0.1,200.57142857142858,150.0,256.5,7,True
0.2,159.42857142857142,135.5,178.0,7,True
0.3,176.57142857142858,145.0,200.5,7,True
0.4,180.0,128.5,230.0,7,True
0.5,185.14285714285714,148.0,230.0,7,True
0.6,171.42857142857142,131.5,210.0,7,True
0.7,183.42857142857142,139.5,239.0,7,True
0.8,186.85714285714286,107.5,265.5,7,True
0.9,210.85714285714286,179.0,266.5,7,True
1.0,166.28571428571428,130.5,203.0,7,True
1.1,178.28571428571428,139.0,210.0,7,True
1.2,207.42857142857142,151.5,257.5,7,True
1.3,145.71428571428572,90.0,197.0,7,True
1.4,161.14285714285714,94.0,225.5,7,True
1.5,128.57142857142858,92.5,134.5,7,True
1.6,161.14285714285714,104.0,204.5,7,True
1.7,186.85714285714286,124.5,254.5,7,True
1.8,198.85714285714286,114.0,278.5,7,True
1.9,149.14285714285714,91.0,192.5,7,True
2.0,176.57142857142858,112.0,254.5,7,True
2.1,192.0,132.5,255.5,7,True
2.2,180.0,114.0,250.5,7,True
2.3,228.0,182.5,290.5,7,True
2.4,128.57142857142858,84.0,144.0,7,True
2.5,198.85714285714286,136.0,257.0,7,True
2.6,204.0,126.0,275.0,7,True
2.7,133.71428571428572,96.0,150.0,7,True
2.8,109.71428571428571,70.5,141.5,7,True
2.9,104.57142857142857,64.5,138.0,7,True
3.0,149.14285714285714,105.5,187.5,7,True
3.1,114.85714285714286,96.0,132.0,7,True
3.2,190.28571428571428,156.0,223.0,7,True
3.3,161.14285714285714,132.0,203.0,7,True
3.4,128.57142857142858,89.0,171.5,7,True
3.5,150.85714285714286,108.0,197.5,7,True
3.6,150.85714285714286,98.0,210.0,7,True
3.7,144.0,96.0,165.5,7,True
3.8,108.0,78.5,108.0,7,True
3.9,96.0,81.5,111.5,7,True
4.0,111.42857142857143,81.5,116.5,7,True
4.1,97.71428571428571,77.0,106.0,7,True
4.2,133.71428571428572,88.5,156.0,7,True
4.3,111.42857142857143,96.0,129.5,7,True
4.4,118.28571428571429,93.5,128.5,7,True
4.5,128.57142857142858,94.5,154.0,7,True
4.6,123.42857142857143,86.5,124.5,7,True
4.7,135.42857142857142,81.5,180.0,7,True
4.8,145.71428571428572,108.5,148.5,7,True
4.9,185.14285714285714,132.0,228.5,7,True
5.0,135.42857142857142,91.5,171.5,7,True
5.1,168.0,117.5,209.5,7,True
5.2,162.85714285714286,143.0,164.5,7,True
5.3,113.14285714285714,82.5,140.5,7,True
5.4,130.28571428571428,88.0,155.5,7,True
5.5,152.57142857142858,97.5,186.0,7,True
5.6,140.57142857142858,86.5,177.5,7,True
5.7,125.14285714285714,87.5,161.5,7,True
5.8,176.57142857142858,137.0,209.0,7,True
5.9,183.42857142857142,133.0,235.5,7,True
6.0,195.42857142857142,167.0,241.0,7,True
6.1,204.0,182.5,248.5,7,True
6.2,188.57142857142858,174.5,226.5,7,True
6.3,162.85714285714286,123.5,207.5,7,True
6.4,190.28571428571428,152.5,239.5,7,True
6.5,181.71428571428572,134.5,223.0,7,True
6.6,197.14285714285714,171.5,236.0,7,True
6.7,178.28571428571428,137.0,228.0,7,True
6.8,156.0,124.5,172.0,7,True
6.9,125.14285714285714,89.0,139.0,7,True
7.0,176.57142857142858,129.5,214.0,7,True
7.1,188.57142857142858,124.5,271.0,7,True
7.2,192.0,128.5,289.0,7,True
7.3,221.14285714285714,152.5,283.0,7,True
7.4,169.71428571428572,91.5,269.5,7,True
7.5,142.28571428571428,93.5,168.5,7,True
7.6,207.42857142857142,144.0,277.0,7,True
7.7,161.14285714285714,121.5,188.5,7,True
7.8,180.0,161.0,196.5,7,True
7.9,171.42857142857142,132.0,217.5,7,True
8.0,133.71428571428572,88.0,176.0,7,True
8.1,157.71428571428572,80.5,228.0,7,True
8.2,164.57142857142858,109.0,216.0,7,True
8.3,144.0,80.5,212.0,7,True
8.4,84.0,72.0,82.5,7,True
8.5,125.14285714285714,75.5,163.5,7,True
8.6,111.42857142857143,73.5,147.5,7,True
8.7,147.42857142857142,85.5,207.5,7,True
8.8,149.14285714285714,87.5,195.5,7,True
8.9,132.0,89.5,138.0,7,True
9.0,104.57142857142857,84.0,131.0,7,True
9.1,161.14285714285714,106.5,186.0,7,True
9.2,130.28571428571428,106.5,153.5,7,True
9.3,164.57142857142858,111.5,212.5,7,True
9.4,125.14285714285714,95.5,130.0,7,True
9.5,161.14285714285714,94.5,210.0,7,True
9.6,180.0,118.0,251.5,7,True
9.7,133.71428571428572,89.0,137.5,7,True
9.8,152.57142857142858,114.0,172.0,7,True
9.9,132.0,86.5,158.5,7,True
10.0,159.42857142857142,107.0,212.0,7,True
10.1,147.42857142857142,94.5,190.5,7,True
10.2,132.0,69.5,191.5,7,True
10.3,145.71428571428572,85.5,185.5,7,True
10.4,152.57142857142858,109.0,182.5,7,True
10.5,135.42857142857142,112.5,168.0,7,True
10.6,176.57142857142858,125.0,217.0,7,True
10.7,173.14285714285714,114.5,230.5,7,True
10.8,176.57142857142858,140.5,186.5,7,True
10.9,161.14285714285714,138.0,166.5,7,True
11.0,166.28571428571428,129.5,186.5,7,True
11.1,147.42857142857142,135.5,173.0,7,True
11.2,156.0,121.0,186.5,7,True
11.3,169.71428571428572,158.5,186.0,7,True
11.4,147.42857142857142,123.5,168.5,7,True
11.5,150.85714285714286,152.0,167.0,7,True
11.6,149.14285714285714,134.5,166.5,7,True
11.7,150.85714285714286,150.0,167.0,7,True
11.8,162.85714285714286,133.5,181.0,7,True
11.9,133.71428571428572,113.0,150.0,7,True
12.0,154.28571428571428,146.5,162.0,7,True
12.1,168.0,138.0,183.5,7,True
12.2,152.57142857142858,127.5,169.0,7,True
12.3,149.14285714285714,138.5,161.5,7,True
12.4,164.57142857142858,157.0,179.0,7,True
12.5,180.0,169.5,202.5,7,True
12.6,185.14285714285714,163.0,208.5,7,True
12.7,209.14285714285714,195.5,228.5,7,True
12.8,166.28571428571428,139.5,206.0,7,True
12.9,193.71428571428572,180.0,210.0,7,True
13.0,204.0,161.0,265.0,7,True
13.1,178.28571428571428,121.5,224.0,7,True
13.2,169.71428571428572,87.5,234.0,7,True
13.3,171.42857142857142,127.5,215.0,7,True
13.4,154.28571428571428,86.5,224.5,7,True
13.5,149.14285714285714,103.5,186.0,7,True
13.6,152.57142857142858,110.5,193.0,7,True
13.7,181.71428571428572,151.5,242.5,7,True
13.8,126.85714285714286,79.0,160.0,7,True
13.9,114.85714285714286,70.5,135.5,7,True
14.0,142.28571428571428,96.5,188.5,7,True
14.1,178.28571428571428,114.5,236.0,7,True
14.2,178.28571428571428,139.5,203.5,7,True
14.3,183.42857142857142,136.0,227.5,7,True
14.4,130.28571428571428,114.5,148.5,7,True
14.5,157.71428571428572,134.5,170.5,7,True
14.6,150.85714285714286,128.5,175.0,7,True
14.7,214.28571428571428,177.5,260.0,7,True
14.8,150.85714285714286,110.5,181.5,7,True
14.9,156.0,131.0,181.0,7,True
15.0,193.71428571428572,123.5,272.5,7,True
15.1,154.28571428571428,144.0,162.0,7,True
15.2,168.0,143.0,162.0,7,True
15.3,137.14285714285714,115.5,148.5,7,True
15.4,133.71428571428572,116.0,150.5,7,True
15.5,138.85714285714286,120.0,164.5,7,True
15.6,169.71428571428572,145.5,178.5,7,True
15.7,195.42857142857142,155.5,247.5,7,True
15.8,195.42857142857142,152.0,247.5,7,True
15.9,229.71428571428572,196.5,270.5,7,True
16.0,192.0,123.5,245.0,7,True
16.1,171.42857142857142,121.0,219.5,7,True
16.2,161.14285714285714,145.0,182.5,7,True
16.3,157.71428571428572,96.5,202.5,7,True
16.4,149.14285714285714,114.0,188.5,7,True
16.5,154.28571428571428,125.0,182.5,7,True
16.6,188.57142857142858,174.0,214.5,7,True
16.7,173.14285714285714,151.5,187.0,7,True
16.8,138.85714285714286,90.0,184.5,7,True
16.9,157.71428571428572,115.0,188.5,7,True
17.0,164.57142857142858,128.5,168.5,7,True
17.1,185.14285714285714,148.0,224.0,7,True
17.2,154.28571428571428,111.5,198.0,7,True
17.3,157.71428571428572,119.5,194.5,7,True
17.4,140.57142857142858,114.0,138.0,7,True
17.5,198.85714285714286,179.0,230.0,7,True
17.6,156.0,110.5,196.5,7,True
17.7,156.0,114.5,196.5,7,True
17.8,181.71428571428572,132.0,230.5,7,True
17.9,185.14285714285714,169.5,215.5,7,True
18.0,174.85714285714286,138.5,205.0,7,True
18.1,168.0,101.0,228.0,7,True
18.2,214.28571428571428,205.0,254.5,7,True
18.3,212.57142857142858,202.0,239.0,7,True
18.4,181.71428571428572,150.0,202.0,7,True
18.5,197.14285714285714,162.5,228.0,7,True
18.6,192.0,152.5,224.5,7,True
18.7,190.28571428571428,142.0,250.5,7,True
18.8,193.71428571428572,168.0,221.0,7,True
18.9,216.0,193.5,253.5,7,True
19.0,190.28571428571428,141.5,253.5,7,True
19.1,186.85714285714286,155.0,219.5,7,True
19.2,195.42857142857142,156.0,237.5,7,True
19.3,123.42857142857143,81.5,141.5,7,True
19.4,164.57142857142858,107.0,198.0,7,True
19.5,202.28571428571428,188.5,218.0,7,True
19.6,180.0,120.5,249.5,7,True
19.7,178.28571428571428,115.5,234.0,7,True
19.8,250.28571428571428,262.5,273.5,7,True
19.9,219.42857142857142,161.5,277.5,7,True
20.0,145.71428571428572,78.0,177.5,7,True
20.1,198.85714285714286,154.5,252.5,7,True
20.2,195.42857142857142,142.5,252.0,7,True
20.3,178.28571428571428,118.5,236.5,7,True
20.4,137.14285714285714,87.5,171.5,7,True
20.5,166.28571428571428,101.5,239.0,7,True
20.6,193.71428571428572,159.5,238.0,7,True
20.7,195.42857142857142,155.0,262.0,7,True
