s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,683822.671622077,3907639.5509237275,7379.0107,47.0226,0.06271074
0.1,683722.671622077,3907639.550923727,7346.362,47.0226,0.061217252
0.2,683623.2567075005,3907647.783700397,7235.681,20.778673,0.0624292
0.3,683526.4442007275,3907672.294667895,7192.917,20.778673,0.06345416
0.4,683434.5663560119,3907711.607732744,7172.337,16.773531,0.0669454
0.5,683347.4985501148,3907760.65593868,7124.324,0.0,0.06984186
0.6,683265.0466341441,3907817.148320425,7039.7935,28.214186,0.075540274
0.7,683186.7583936446,3907879.319283299,6943.886,30.792166,0.08223233
0.8,683112.0947261038,3907945.842341809,6844.424,35.180107,0.0887458
0.9,683041.3840479851,3908016.553019928,6802.5923,34.55931,0.09460698
1.0,682965.2316408011,3908081.2077812958,6702.2803,46.573296,0.09787984
1.1,682884.2185474697,3908139.6005451316,6569.123,29.027637,0.10462574
1.2,682798.9961057384,3908191.7377002263,6497.168,32.546585,0.105102345
1.3,682710.0394039243,3908237.4181687254,6317.526,39.99716,0.10410002
1.4,682617.3733984699,3908274.9560220134,6224.7427,41.00581,0.10301484
1.5,682522.7814727088,3908307.1174523137,6180.6953,40.10097,0.09959425
1.6,682426.6546366684,3908334.4925557966,6113.9746,42.274357,0.096844874
1.7,682328.9370002759,3908355.735520229,6066.511,44.556843,0.09396322
1.8,682230.2842077797,3908371.7797717853,6051.7344,46.593117,0.09524739
1.9,682131.1575805102,3908384.722351703,6020.4443,48.474438,0.094698936
2.0,682031.4521319601,3908392.392001591,5993.433,50.18063,0.09806782
2.1,681931.6057118273,3908394.214339946,5971.9126,51.5035,0.106480375
2.2,681831.6465031812,3908391.358362556,5932.6543,55.712643,0.11355791
2.3,681732.4371125238,3908379.1425610553,5880.4453,62.16338,0.12626335
2.4,681633.7272042613,3908363.6960312217,5868.1626,70.403435,0.1325658
2.5,681536.3498003759,3908340.9443013417,5859.9927,80.33105,0.12825611
2.6,681440.2939275882,3908313.5201848615,5847.4736,87.55979,0.12985681
2.7,681345.425597783,3908281.8974082605,5793.3135,102.88131,0.13947259
2.8,681252.8318422013,3908244.3119127806,5732.7583,123.78675,0.14970297
2.9,681161.0047142183,3908204.7167291543,5712.3945,161.2034,0.16794702
3.0,681072.1879040635,3908158.8282153,5695.62,212.259,0.20425117
3.1,680983.7309940147,3908112.187299093,5694.543,232.59578,0.24867786
3.2,680898.6266607026,3908059.700433996,5692.19,253.32863,0.282602
3.3,680813.698128174,3908006.9070218834,5689.6978,260.4442,0.24318819
3.4,680731.9977643173,3907949.2735095373,5687.6577,258.12103,0.2167967
3.5,680650.6244171966,3907891.149690165,5683.4688,236.50255,0.19019817
3.6,680568.1408499628,3907834.6231533494,5677.305,211.01302,0.1801316
3.7,680485.3017412128,3907778.6081369566,5664.8438,205.17752,0.17777447
3.8,680401.1660946362,3907724.5749740135,5659.2163,196.53917,0.17589326
3.9,680316.6582110309,3907671.1108027534,5643.3496,195.8736,0.17584749
4.0,680230.3125954951,3907620.6729228427,5624.1895,202.45241,0.17380841
4.1,680143.2066469959,3907571.5997585338,5600.5083,208.64078,0.17528611
4.2,680054.6234934678,3907525.199059067,5594.854,209.36232,0.1817222
4.3,679963.984640782,3907483.004785818,5597.1714,208.83754,0.19437072
4.4,679871.5509941408,3907445.0121537116,5593.2188,209.11606,0.20983903
4.5,679776.8283215238,3907413.2575430097,5580.0566,206.83826,0.224148
4.6,679679.473804735,3907391.134875235,5571.889,205.3396,0.24736392
4.7,679580.9612941773,3907374.2363322177,5561.819,201.92331,0.2533681
4.8,679484.018557003,3907349.9279993176,5552.555,197.89334,0.25995225
4.9,679389.528452583,3907317.3428820916,5542.6196,180.76178,0.26676506
5.0,679299.45831478,3907274.054824306,5529.4526,158.90492,0.27880678
5.1,679214.6715875275,3907221.2199112787,5515.6943,138.96896,0.28065935
5.2,679137.1154983591,3907158.2802779023,5493.808,129.29724,0.28023246
5.3,679067.7187300884,3907086.316768221,5453.0654,127.618416,0.27378508
5.4,679002.9825795072,3907010.132309477,5433.492,136.24959,0.27092758
5.5,678944.6486912137,3906928.9447442736,5416.954,154.8479,0.2665261
5.6,678891.9672505016,3906843.982784355,5416.954,172.27432,0.2529235
5.7,678846.6216317028,3906754.8944800175,5404.3413,180.26659,0.2405426
5.8,678807.6926661266,3906662.8172285846,5396.548,184.7061,0.23131181
5.9,678777.9190436372,3906567.3921073335,5389.319,180.51772,0.22840855
6.0,678754.1362847186,3906470.282352389,5384.962,175.17386,0.22506881
6.1,678734.4512416022,3906372.25314243,5358.198,168.1283,0.21488386
6.2,678717.8049624533,3906273.6565028345,5333.606,170.00089,0.20664391
6.3,678703.4643335157,3906174.6920762486,5312.225,174.9267,0.21017538
6.4,678691.358895985,3906075.4274884933,5301.3867,179.18565,0.22193146
6.5,678680.8485792831,3905975.9850041517,5299.3687,178.40858,0.22944473
6.6,678671.4594381105,3905876.430450844,5295.6865,167.59967,0.23830105
6.7,678663.1548901257,3905776.7758750194,5267.814,160.75024,0.2521204
6.8,678652.1178910842,3905677.39212175,5237.467,154.06438,0.2803122
6.9,678638.7714133634,3905578.3051733887,5208.6704,147.97516,0.3043465
7.0,678622.2747108829,3905479.6981453146,5192.926,151.78609,0.32117948
