distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,117.0,104.5,138.5,74,142,3,True
0.1,113.0,101.75,129.25,74,142,4,True
0.2,132.5,115.75,149.25,99,166,2,True
0.3,127.0,127.0,127.0,127,127,1,True
0.4,118.5,106.5,136.5,60,165,4,True
0.5,96.75,85.5,107.25,60,135,4,True
0.6,140.33333333333334,138.5,143.0,135,144,3,True
0.7,138.5,136.75,140.25,135,142,2,True
0.8,135.0,135.0,135.0,135,135,1,True
0.9,139.5,137.25,141.75,135,144,2,True
1.0,128.33333333333334,121.5,138.5,108,142,3,True
1.1,114.5,104.25,124.75,94,135,2,True
1.6,96.0,81.5,110.5,67,125,2,True
1.7,114.66666666666667,101.0,138.5,67,142,3,True
1.9,127.0,127.0,127.0,127,127,1,True
2.0,87.5,80.75,94.25,74,101,2,True
2.1,74.0,74.0,74.0,74,74,1,True
2.2,74.0,74.0,74.0,74,74,1,True
2.3,104.5,89.25,119.75,74,135,2,True
2.4,74.0,74.0,74.0,74,74,1,True
2.5,74.0,74.0,74.0,74,74,1,True
2.6,93.66666666666667,86.5,103.5,74,108,3,True
2.7,103.5,101.25,105.75,99,108,2,True
2.8,99.0,99.0,99.0,99,99,1,True
2.9,117.5,112.75,122.25,108,127,2,True
3.0,111.33333333333333,103.5,117.5,99,127,3,True
3.1,93.75,91.0,102.75,67,108,4,True
3.2,93.75,91.0,102.75,67,108,4,True
3.3,96.0,80.5,114.0,60,127,3,True
3.4,76.0,63.5,84.0,60,101,3,True
3.5,91.4,67.0,101.0,60,135,5,True
3.6,67.0,67.0,67.0,67,67,1,True
3.7,98.33333333333333,84.0,110.5,74,127,3,True
3.8,98.5,89.0,106.0,74,127,4,True
3.9,113.5,89.0,135.0,74,159,4,True
4.0,121.0,97.0,136.5,94,165,4,True
4.1,101.0,97.5,104.5,94,108,2,True
4.2,82.5,74.75,90.25,67,98,2,True
4.3,83.0,70.5,91.0,67,108,3,True
4.4,70.5,68.75,72.25,67,74,2,True
4.5,120.5,107.5,140.25,74,144,6,True
4.6,103.33333333333333,87.5,118.0,74,135,3,True
4.7,121.0,114.0,131.0,101,135,3,True
4.8,126.0,113.75,147.75,74,159,4,True
4.9,74.0,74.0,74.0,74,74,1,True
5.0,144.0,144.0,144.0,144,144,1,True
5.1,101.66666666666667,80.5,119.0,67,144,3,True
5.2,125.66666666666667,109.0,151.5,74,159,3,True
5.3,143.5,132.75,165.25,99,166,4,True
5.4,134.5,129.75,139.25,125,144,2,True
5.5,104.57142857142857,80.5,123.5,60,165,7,True
5.6,103.75,65.25,133.0,60,166,4,True
5.7,114.8,108.0,122.0,67,166,5,True
5.8,121.0,98.5,132.5,98,166,3,True
5.9,116.5,98.75,130.75,98,142,4,True
6.0,60.0,60.0,60.0,60,60,1,True
6.1,98.0,98.0,98.0,98,98,1,True
6.2,111.5,85.5,136.5,60,165,4,True
6.3,166.0,166.0,166.0,166,166,1,True
6.4,166.0,166.0,166.0,166,166,1,True
6.5,99.0,99.0,99.0,99,99,1,True
6.6,134.66666666666666,119.0,146.5,111,166,3,True
