distance_km,year,peak_date,peak_doy,peak_val
28.4,2017,2017-10-15,288,0.2053084820508957
28.5,2017,2017-08-28,240,0.21954667568206787
28.6,2017,2017-10-27,300,0.21345451474189758
28.7,2017,2017-10-15,288,0.19411103427410126
28.8,2017,2017-05-12,132,0.24247686564922333
28.9,2017,2017-04-18,108,0.23502378165721893
29.0,2017,2017-04-18,108,0.2580030560493469
29.1,2017,2017-04-18,108,0.2509147524833679
29.2,2017,2017-04-18,108,0.24574200809001923
29.3,2017,2017-04-18,108,0.24423663318157196
29.4,2017,2017-03-13,72,0.23328234255313873
29.5,2017,2017-03-13,72,0.2334374189376831
29.6,2017,2017-03-13,72,0.23107728362083435
29.7,2017,2017-04-30,120,0.21016433835029602
29.8,2017,2017-08-04,216,0.19724494218826294
29.9,2017,2017-08-04,216,0.2033655196428299
30.0,2017,2017-06-29,180,0.17255397140979767
30.1,2017,2017-06-29,180,0.15329474210739136
30.2,2017,2017-10-15,288,0.133588969707489
30.3,2017,2017-08-28,240,0.11955026537179947
30.4,2017,2017-08-28,240,0.12442371249198914
30.5,2017,2017-04-18,108,0.12040852010250092
30.6,2017,2017-04-18,108,0.10984887927770615
30.7,2017,2017-06-29,180,0.11387423425912857
30.8,2017,2017-06-29,180,0.11387423425912857
30.9,2017,2017-04-06,96,0.1323321908712387
31.0,2017,2017-04-06,96,0.15308436751365662
31.1,2017,2017-04-06,96,0.13324975967407227
31.2,2017,2017-04-06,96,0.12806077301502228
31.3,2017,2017-04-06,96,0.12087441980838776
31.4,2017,2017-04-06,96,0.12087441980838776
31.5,2017,2017-04-06,96,0.12712615728378296
31.6,2017,2017-04-06,96,0.1165032684803009
31.7,2017,2017-04-06,96,0.10367809981107712
31.8,2017,2017-04-06,96,0.10367809981107712
31.9,2017,2017-04-06,96,0.1034027710556984
32.0,2017,2017-04-06,96,0.12014821171760559
32.1,2017,2017-04-06,96,0.12156970053911209
32.2,2017,2017-04-06,96,0.10985185950994492
32.3,2017,2017-03-13,72,0.10623464733362198
32.4,2017,2017-03-13,72,0.11598798632621765
32.5,2017,2017-03-13,72,0.12571273744106293
32.6,2017,2017-03-13,72,0.1358572095632553
32.7,2017,2017-03-13,72,0.1358572095632553
32.8,2017,2017-03-13,72,0.12993575632572174
32.9,2017,2017-03-13,72,0.12451742589473724
33.0,2017,2017-03-13,72,0.12451742589473724
33.1,2017,2017-04-06,96,0.10314200073480606
33.2,2017,2017-04-06,96,0.10962957888841629
33.3,2017,2017-09-21,264,0.09818519651889801
33.4,2017,2017-09-21,264,0.09818519651889801
33.5,2017,2017-07-23,204,0.10499683022499084
33.6,2017,2017-07-23,204,0.10568840801715851
33.7,2017,2017-07-23,204,0.09860391914844513
33.8,2017,2017-07-23,204,0.09860391914844513
33.9,2017,2017-07-23,204,0.08878882974386215
34.0,2017,2017-06-29,180,0.12103308737277985
34.1,2017,2017-06-29,180,0.12103308737277985
34.2,2017,2017-06-29,180,0.12724454700946808
34.3,2017,2017-06-29,180,0.10752935707569122
34.4,2017,2017-06-29,180,0.12379175424575806
34.5,2017,2017-06-29,180,0.1471836268901825
34.6,2017,2017-06-29,180,0.11031419038772583
34.7,2017,2017-06-29,180,0.1035597026348114
34.8,2017,2017-10-15,288,0.10142451524734497
34.9,2017,2017-06-29,180,0.08184468746185303
35.0,2017,2017-10-15,288,0.07676636427640915
35.1,2017,2017-06-29,180,0.06806588917970657
35.2,2017,2017-08-04,216,0.08124130964279175
35.3,2017,2017-08-04,216,0.09711848199367523
35.4,2017,2017-08-04,216,0.09644856303930283
35.5,2017,2017-08-04,216,0.11401921510696411
35.6,2017,2017-08-04,216,0.11401921510696411
35.7,2017,2017-08-04,216,0.11590978503227234
35.8,2017,2017-08-04,216,0.11765339225530624
0.0,2018,2018-08-11,223,0.24061115086078644
0.1,2018,2018-03-20,79,0.23231035470962524
0.2,2018,2018-05-19,139,0.2530844211578369
0.3,2018,2018-07-18,199,0.28747132420539856
0.4,2018,2018-06-24,175,0.4139649271965027
0.5,2018,2018-05-31,151,0.6214781403541565
0.6,2018,2018-08-23,235,0.8427860736846924
0.7,2018,2018-10-22,295,1.0551848411560059
0.8,2018,2018-08-23,235,0.8137033581733704
0.9,2018,2018-08-23,235,0.7523693442344666
1.0,2018,2018-05-31,151,0.669003963470459
1.1,2018,2018-05-31,151,0.9554490447044373
1.2,2018,2018-06-24,175,0.848937451839447
1.3,2018,2018-10-22,295,0.4394068121910095
1.4,2018,2018-06-24,175,0.43368154764175415
1.5,2018,2018-10-22,295,0.34292662143707275
1.6,2018,2018-05-31,151,0.39044392108917236
1.7,2018,2018-06-24,175,0.7915191650390625
1.8,2018,2018-09-04,247,0.4066305160522461
1.9,2018,2018-04-13,103,0.3885136842727661
10.0,2018,2018-08-11,223,0.27774062752723694
10.1,2018,2018-08-11,223,0.263134241104126
10.2,2018,2018-08-11,223,0.28532829880714417
10.3,2018,2018-08-11,223,0.3119003176689148
10.4,2018,2018-08-11,223,0.38349103927612305
10.5,2018,2018-08-11,223,0.32208046317100525
10.6,2018,2018-07-30,211,0.24603497982025146
10.7,2018,2018-07-30,211,0.24728456139564514
10.8,2018,2018-07-30,211,0.24429762363433838
10.9,2018,2018-08-11,223,0.2841872274875641
11.0,2018,2018-07-30,211,0.30451491475105286
11.1,2018,2018-07-30,211,0.2984580099582672
11.2,2018,2018-06-24,175,0.5087504982948303
11.3,2018,2018-06-24,175,0.675688624382019
11.4,2018,2018-06-24,175,0.6763116717338562
11.5,2018,2018-08-23,235,0.2716280519962311
11.6,2018,2018-08-23,235,0.24284981191158295
11.7,2018,2018-08-23,235,0.2773591876029968
11.8,2018,2018-08-23,235,0.2669847011566162
11.9,2018,2018-08-23,235,0.2823224365711212
12.0,2018,2018-08-23,235,0.23947449028491974
12.1,2018,2018-08-23,235,0.288268506526947
12.2,2018,2018-08-23,235,0.3417660593986511
12.3,2018,2018-08-23,235,0.3670623004436493
12.4,2018,2018-08-23,235,0.37957555055618286
12.5,2018,2018-08-11,223,0.33162835240364075
12.6,2018,2018-08-11,223,0.3350021243095398
12.7,2018,2018-08-11,223,0.3345331847667694
12.8,2018,2018-08-11,223,0.38846102356910706
12.9,2018,2018-08-11,223,0.4891507029533386
13.0,2018,2018-06-24,175,2.2005834579467773
13.1,2018,2018-05-19,139,2.5352845191955566
13.2,2018,2018-07-30,211,1.3646247386932373
13.3,2018,2018-09-16,259,1.036615014076233
13.4,2018,2018-05-07,127,0.9439616203308105
13.5,2018,2018-08-11,223,0.8187943696975708
13.6,2018,2018-06-24,175,0.6183890104293823
13.7,2018,2018-06-24,175,0.6364149451255798
13.8,2018,2018-06-24,175,0.6299803853034973
13.9,2018,2018-06-24,175,0.6454366445541382
14.0,2018,2018-06-24,175,0.6556976437568665
14.1,2018,2018-07-18,199,0.7143253087997437
14.2,2018,2018-07-18,199,1.203864574432373
14.3,2018,2018-07-18,199,1.034781575202942
14.4,2018,2018-07-18,199,1.1961768865585327
14.5,2018,2018-07-30,211,0.2935348153114319
14.6,2018,2018-07-30,211,0.35212764143943787
14.7,2018,2018-10-10,283,0.27408739924430847
14.8,2018,2018-09-04,247,0.28205132484436035
14.9,2018,2018-09-04,247,0.30078625679016113
15.0,2018,2018-07-30,211,0.5557081699371338
15.1,2018,2018-09-04,247,0.3713950514793396
15.2,2018,2018-07-18,199,1.0959343910217285
15.3,2018,2018-06-24,175,1.018032431602478
15.4,2018,2018-05-31,151,0.9484903812408447
15.5,2018,2018-07-18,199,0.5738106966018677
15.6,2018,2018-05-31,151,1.6647038459777832
15.7,2018,2018-05-19,139,1.497070550918579
15.8,2018,2018-08-11,223,1.517520546913147
15.9,2018,2018-09-16,259,1.2516590356826782
16.0,2018,2018-05-31,151,1.0978487730026245
16.1,2018,2018-04-13,103,0.7474327087402344
16.2,2018,2018-09-28,271,0.8703001141548157
16.3,2018,2018-07-18,199,0.9660974144935608
16.4,2018,2018-08-23,235,1.5612927675247192
16.5,2018,2018-05-19,139,2.0026702880859375
16.6,2018,2018-09-16,259,1.179677128791809
16.7,2018,2018-09-16,259,1.0590022802352905
16.8,2018,2018-09-04,247,1.0791618824005127
16.9,2018,2018-09-16,259,0.5454723834991455
17.0,2018,2018-05-19,139,0.6911394000053406
17.1,2018,2018-07-30,211,0.37872111797332764
17.2,2018,2018-07-30,211,0.7228693962097168
