distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,157.71428571428572,132.0,186.0,7,True
0.1,181.71428571428572,133.0,240.0,7,True
0.2,162.85714285714286,136.5,169.0,7,True
0.3,205.71428571428572,180.0,228.5,7,True
0.4,186.85714285714286,170.5,208.5,7,True
0.5,168.0,129.5,215.0,7,True
0.6,195.42857142857142,157.5,225.5,7,True
0.7,193.71428571428572,151.5,226.5,7,True
0.8,171.42857142857142,148.0,205.0,7,True
0.9,164.57142857142858,139.0,193.5,7,True
1.0,142.28571428571428,121.0,163.5,7,True
1.1,133.71428571428572,121.5,148.5,7,True
1.2,149.14285714285714,121.0,162.0,7,True
1.3,159.42857142857142,108.0,190.0,7,True
1.4,150.85714285714286,115.0,186.0,7,True
1.5,161.14285714285714,121.5,180.0,7,True
1.6,126.85714285714286,108.0,144.0,7,True
1.7,130.28571428571428,104.5,147.5,7,True
1.8,171.42857142857142,118.0,243.5,7,True
1.9,123.42857142857143,94.0,121.0,7,True
2.0,150.85714285714286,85.5,196.5,7,True
2.1,198.85714285714286,120.0,268.5,7,True
2.2,137.14285714285714,85.5,177.5,7,True
2.3,147.42857142857142,85.5,194.0,7,True
2.4,164.57142857142858,98.5,251.5,7,True
2.5,180.0,114.0,234.0,7,True
2.6,181.71428571428572,102.0,255.5,7,True
2.7,190.28571428571428,93.5,270.0,7,True
2.8,130.28571428571428,90.0,144.0,7,True
2.9,202.28571428571428,157.0,254.0,7,True
3.0,174.85714285714286,101.0,242.5,7,True
3.1,183.42857142857142,102.0,245.0,7,True
3.2,169.71428571428572,146.0,202.0,7,True
3.3,138.85714285714286,109.0,162.0,7,True
3.4,156.0,109.0,195.5,7,True
3.5,142.28571428571428,109.0,131.0,7,True
3.6,200.57142857142858,159.5,245.0,7,True
3.7,173.14285714285714,126.0,228.0,7,True
3.8,169.71428571428572,126.5,221.5,7,True
3.9,171.42857142857142,134.5,212.5,7,True
4.0,128.57142857142858,101.0,149.5,7,True
4.1,183.42857142857142,136.5,226.0,7,True
4.2,190.28571428571428,168.0,214.5,7,True
4.3,152.57142857142858,108.0,200.5,7,True
4.4,169.71428571428572,138.0,194.5,7,True
4.5,140.57142857142858,128.0,151.5,7,True
4.6,137.14285714285714,120.0,145.5,7,True
4.7,171.42857142857142,147.5,192.0,7,True
4.8,147.42857142857142,101.0,187.0,7,True
4.9,195.42857142857142,156.0,226.5,7,True
5.0,180.0,144.0,213.5,7,True
5.1,186.85714285714286,156.0,223.5,7,True
5.2,195.42857142857142,162.5,238.5,7,True
5.3,173.14285714285714,152.5,177.5,7,True
5.4,186.85714285714286,139.0,241.0,7,True
5.5,161.14285714285714,113.0,202.5,7,True
5.6,125.14285714285714,103.5,134.5,7,True
5.7,147.42857142857142,123.5,145.5,7,True
5.8,161.14285714285714,130.5,187.0,7,True
5.9,157.71428571428572,119.0,187.0,7,True
