s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,566176.1817030594,3995150.72181113,6173.4175,16.307276,0.11770792
0.1,566275.2944465945,3995161.4397171414,6113.963,28.672037,0.11571138
0.2,566367.3040105618,3995199.5699678008,6061.088,27.633156,0.1270487
0.3,566444.0241978234,3995263.2142333984,5945.9497,26.912315,0.1526602
0.4,566530.337625972,3995312.744151296,5881.0273,29.68225,0.19767612
0.5,566626.6283786042,3995338.8856697846,5823.0703,35.506977,0.27893358
0.6,566725.9770931755,3995349.4080445156,5712.7695,44.71279,0.33622235
0.7,566825.5486920577,3995347.5300820055,5685.6133,60.706158,0.37396452
0.8,566919.9797253332,3995315.9123341497,5651.3496,68.61852,0.3630357
0.9,567007.0155749015,3995267.121515392,5641.3535,89.34676,0.36338878
1.0,567087.7612526539,3995208.327221982,5625.4146,113.271935,0.34899244
1.1,567163.8226204048,3995143.517703353,5614.7227,118.79161,0.28547275
1.2,567236.5085207175,3995074.8864176837,5616.4077,122.30217,0.2529512
1.3,567306.1231043249,3995003.0963783385,5608.2227,118.04414,0.21456946
1.4,567372.9516728525,3994928.7279568403,5595.7695,109.19228,0.19450489
1.5,567438.5447911717,3994853.2614587126,5569.899,106.92408,0.19921502
1.6,567501.8685701968,3994775.865728792,5532.183,105.7069,0.19655725
1.7,567564.873362708,3994698.2115256023,5514.7046,108.46708,0.2106753
1.8,567627.4602205814,3994620.2186719454,5514.7046,118.63835,0.20098332
1.9,567689.3190313514,3994541.6484158053,5510.6694,122.89371,0.18673515
2.0,567750.6253619078,3994462.647883962,5503.5947,128.00804,0.17831226
2.1,567811.1575495907,3994383.050301084,5492.1724,129.0271,0.17291068
2.2,567870.2939159537,3994302.409801498,5481.421,128.53267,0.18033074
2.3,567927.7961100381,3994220.599926602,5480.0234,124.407715,0.18276355
2.4,567982.8077683437,3994137.098622192,5462.8726,116.45381,0.1710136
2.5,568031.8803663133,3994050.0246296152,5450.874,115.812614,0.16328639
2.6,568070.1010485325,3993957.752446708,5442.697,108.57115,0.17530136
2.7,568096.8986898348,3993861.467462592,5428.6772,106.711044,0.18072616
2.8,568114.78833538,3993763.1287591783,5403.9126,108.15314,0.18293752
2.9,568125.4910928976,3993663.7303443598,5372.047,113.80035,0.18340176
3.0,568130.7989418319,3993563.8919048132,5342.3403,125.76908,0.17723235
3.1,568131.5317755558,3993463.9057269455,5327.1416,143.00334,0.20251969
3.2,568142.7442933813,3993364.634233885,5328.153,161.86888,0.24523795
3.3,568168.0524280816,3993268.0255541154,5310.922,181.62305,0.3037001
3.4,568206.4543447435,3993175.876672757,5291.0767,193.2191,0.29344815
3.5,568256.9109995408,3993089.7236676887,5274.978,197.15598,0.3042239
3.6,568317.8075343915,3993010.551439221,5263.3877,216.73961,0.32340044
3.7,568387.2817808543,3992938.7218058323,5260.0796,226.54912,0.34402633
3.8,568463.5205138427,3992874.0645292257,5255.144,243.63591,0.3600611
3.9,568544.567353997,3992815.517826529,5249.507,245.60916,0.40681607
4.0,568630.5698620701,3992764.551180486,5243.4697,244.87936,0.4497368
4.1,568721.0308514409,3992722.0683204047,5240.395,245.80676,0.50545746
4.2,568815.2840474569,3992688.9287153096,5235.282,241.15932,0.444399
4.3,568912.4691936782,3992665.82599296,5220.2993,235.56242,0.41182825
4.4,569011.553504482,3992653.10619941,5211.2886,242.94347,0.44358444
4.5,569111.4453462042,3992650.72181113,5207.065,249.33058,0.5062776
4.6,569210.5225656895,3992663.29832115,5201.995,254.39943,0.5267624
4.7,569307.2486462108,3992688.4173213085,5193.63,257.13766,0.5275142
4.8,569401.2315800592,3992722.3858212936,5189.1035,258.2002,0.445307
4.9,569492.7124475576,3992762.596866289,5188.719,252.73341,0.36569652
5.0,569582.1147826815,3992807.295703978,5182.5205,248.52791,0.3248104
5.1,569669.5305102938,3992855.859997095,5175.723,249.13684,0.29985005
5.2,569754.5451219935,3992908.486005405,5170.1045,250.825,0.30247492
5.3,569838.5082599517,3992962.7632234045,5161.1875,248.18102,0.3535244
5.4,569920.7274791166,3993019.684221287,5161.0117,252.02255,0.35834914
5.5,570001.6938903966,3993078.3433972597,5153.0356,249.56181,0.36333662
5.6,570081.6938903965,3993138.3433972597,5151.639,248.84848,0.34854186
5.7,570163.224100676,3993196.220343906,5139.5337,248.78587,0.30634034
5.8,570245.4433198399,3993253.1413417896,5128.794,242.46596,0.26595253
5.9,570330.0339124273,3993306.467338934,5124.767,237.85194,0.22814114
6.0,570415.741257389,3993357.92152326,5110.605,245.74756,0.19158158
6.1,570503.1569850013,3993406.4858163777,5105.02,252.40787,0.16864283
6.2,570593.3108228149,3993449.7224124633,5099.316,260.31537,0.16676758
6.3,570685.5781944556,3993488.088054937,5094.134,281.53708,0.16080306
6.4,570780.3250067639,3993519.710874187,5090.9746,274.26428,0.16781187
6.5,570877.6741911347,3993541.8534790026,5084.851,289.74826,0.17864297
6.6,570977.0234920082,3993550.72181113,5086.379,297.73712,0.16760358
6.7,571076.7488363095,3993545.397632432,5082.1255,293.89523,0.16672494
