date,0.00,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00,1.10,1.20,1.30,1.40,1.50,1.60,1.70,1.80,1.90,2.00,2.10,2.20,2.30,2.40,2.50,2.60,2.70,2.80,2.90,3.00,3.10,3.20,3.30,3.40,3.50,3.60,3.70,3.80,3.90,4.00,4.10,4.20,4.30,4.40,4.50,4.60,4.70,4.80,4.90,5.00,5.10,5.20,5.30,5.40,5.50,5.60,5.70,5.80,5.90,6.00,6.10,6.20,6.30,6.40,6.50,6.60,6.70,6.80,6.90,7.00,7.10,7.20,7.30,7.40,7.50,7.60,7.70,7.80,7.90,8.00,8.10,8.20,8.30,8.40,8.50,8.60,8.70,8.80,8.90,9.00,9.10,9.20,9.30,9.40,9.50,9.60,9.70,9.80,9.90,10.00,10.10,10.20,10.30,10.40,10.50,10.60,10.70,10.80,10.90,11.00,11.10,11.20,11.30,11.40,11.50,11.60,11.70,11.80,11.90,12.00,12.10,12.20,12.30,12.40,12.50,12.60,12.70,12.80,12.90,13.00,13.10,13.20,13.30,13.40,13.50,13.60,13.70,13.80,13.90,14.00,14.10,14.20,14.30,14.40,14.50,14.60,14.70,14.80,14.90,15.00,15.10,15.20,15.30,15.40,15.50,15.60,15.70,15.80,15.90,16.00,16.10,16.20,16.30,16.40,16.50,16.60,16.70,16.80,16.90,17.00,17.10,17.20,17.30,17.40,17.50,17.60,17.70,17.80,17.90,18.00,18.10,18.20,18.30,18.40,18.50,18.60,18.70,18.80,18.90,19.00,19.10,19.20,19.30,19.40,19.50,19.60,19.70,19.80,19.90,20.00,20.10,20.20,20.30,20.40,20.50,20.60,20.70,20.80,20.90,21.00,21.10,21.20,21.30,21.40,21.50,21.60,21.70,21.80,21.90,22.00,22.10,22.20,22.30,22.40,22.50,22.60,22.70,22.80,22.90,23.00,23.10,23.20,23.30,23.40,23.50,23.60,23.70,23.80,23.90,24.00,24.10,24.20,24.30,24.40,24.50,24.60,24.70,24.80,24.90,25.00,25.10,25.20,25.30,25.40,25.50,25.60,25.70,25.80,25.90,26.00,26.10,26.20,26.30,26.40,26.50,26.60,26.70,26.80,26.90,27.00,27.10,27.20,27.30,27.40,27.50,27.60,27.70,27.80,27.90,28.00,28.10,28.20,28.30,28.40,28.50,28.60,28.70,28.80,28.90,29.00,29.10,29.20,29.30,29.40,29.50,29.60,29.70,29.80,29.90,30.00,30.10,30.20,30.30,30.40,30.50,30.60,30.70,30.80,30.90,31.00,31.10,31.20,31.30,31.40,31.50,31.60,31.70,31.80,31.90,32.00,32.10,32.20,32.30,32.40,32.50,32.60,32.70,32.80,32.90,33.00,33.10,33.20,33.30,33.40,33.50,33.60,33.70,33.80,33.90,34.00,34.10,34.20,34.30,34.40,34.50,34.60,34.70,34.80,34.90,35.00,35.10,35.20,35.30,35.40,35.50,35.60,35.70,35.80,35.80
2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10121333,0.17879508,0.23286107,0.13904911,0.22472477,0.15937789,0.19217937,0.19217937,0.16829555,0.14830068,0.14830068,0.110823974,0.06681622,0.064720765,0.03539753,0.027172774,0.026582615,0.023547655,0.015334572,0.015334572,0.011951347,0.018530156,0.01459569,0.012564876,0.017900528,0.017900528,0.042843208,0.04809763,0.033313762,0.033313762,0.029125176,0.017487178,0.0124254,0.008757478,0.008416858,0.010557111,0.013901396,0.018971225,0.018971225,0.019827612,0.022528742,0.022528742,0.025862215,0.031522956,0.03455049,0.03455049,0.040786564,0.041272193,0.030753585,0.030753585,0.024725568,0.026077393,0.026077393,0.026680052,0.020926382,0.031012358,0.026188971,0.029283796,0.025675785,0.02881691,0.022364616,0.018962039,0.014105011,0.013077892,0.009413212,0.007371108,0.007851321,0.007851321,0.007213734,0.008602857,0.008602857
2017-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7967675e-13,6.7967675e-13,0.18894014,0.18848765,0.19333985,0.18653832,0.17382011,0.16968279,0.15373816,0.15826447,0.15826447,0.15260035,0.1345255,0.1345255,0.10338707,0.11545374,0.096766815,0.10716111,0.122475125,0.11667115,0.12952818,0.1211489,0.1211489,0.108933896,0.10221718,0.10689984,0.10760463,0.11705295,0.11705295,0.11983293,0.099982485,0.08089079,0.08089079,0.064035654,0.053457662,0.057712093,0.038927313,0.042728234,0.047234144,0.050457243,0.053447057,0.053447057,0.04838025,0.04876845,0.04876845,0.06129572,0.06287171,0.07041381,0.07041381,0.08299268,0.07949135,0.059414137,0.059414137,0.04917149,0.034672316,0.034672316,0.041075103,0.048078906,0.056532625,0.06135064,0.06895427,0.06442698,0.06339666,0.0567722,0.05268299,0.06752885,0.066463925,0.070994556,0.071811065,0.069051735,0.069051735,0.06634598,0.057358563,0.057358563
2017-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.815618e-13,6.815618e-13,0.22000004,0.21868765,0.21701396,0.19548124,0.15424255,0.16012846,0.13390388,0.10568011,0.10568011,0.079295084,0.08809522,0.08809522,0.09367644,0.08115765,0.06676612,0.039801937,0.032410085,0.019305762,0.015652783,0.015902562,0.015902562,0.023893194,0.015166507,0.013730742,0.006116322,0.008766771,0.008766771,0.012828385,0.025751293,0.031566948,0.031566948,0.034038737,0.042836413,0.054058876,0.054600116,0.053833146,0.049851395,0.046242934,0.04453375,0.04453375,0.046025064,0.041819878,0.041819878,0.029845808,0.023345802,0.02024147,0.02024147,0.028458815,0.039171025,0.051694203,0.051694203,0.0592693,0.04981535,0.04981535,0.04430879,0.047240477,0.056698848,0.057862695,0.0673032,0.065647334,0.06818041,0.05788036,0.059012007,0.046383962,0.04718998,0.03336568,0.026349891,0.030902268,0.030902268,0.031686466,0.03901179,0.03901179
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1219687e-13,6.1219687e-13,0.17153917,0.1719151,0.17597525,0.14257637,0.15157147,0.14654474,0.17741218,0.14622949,0.14622949,0.10448508,0.095255606,0.095255606,0.08822559,0.05937844,0.046429187,0.03379484,0.034397803,0.034384713,0.029105771,0.041236702,0.041236702,0.055681255,0.05674346,0.06154339,0.048527144,0.0342633,0.0342633,0.040049896,0.045313876,0.055453226,0.055453226,0.0602728,0.059231043,0.061587702,0.06484717,0.0692064,0.07265126,0.07283122,0.06579273,0.06579273,0.068850935,0.070678875,0.070678875,0.06844844,0.06575288,0.050231136,0.050231136,0.052317064,0.060952883,0.056687947,0.056687947,0.047472443,0.048537984,0.048537984,0.05288664,0.050828177,0.05422486,0.04467304,0.040474936,0.04845137,0.05346609,0.053733576,0.040187724,0.035461772,0.02832171,0.023593362,0.023485012,0.027110385,0.027110385,0.031563103,0.04318591,0.04318591
2017-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11240707,0.15729055,0.19060145,0.1866081,0.22567894,0.23868687,0.24418442,0.24418442,0.16517109,0.1024008,0.1024008,0.068089515,0.046509415,0.047681015,0.071401484,0.066375166,0.09177938,0.08802679,0.10677725,0.10677725,0.11546152,0.11435589,0.11042431,0.09281104,0.06529731,0.06529731,0.046170957,0.065415844,0.056401405,0.056401405,0.08090371,0.10000384,0.094740435,0.100086346,0.10623465,0.11880078,0.12571274,0.13585721,0.13585721,0.12993576,0.124517426,0.124517426,0.07939754,0.0665879,0.053803854,0.053803854,0.04552009,0.039847154,0.051128782,0.051128782,0.050097838,0.046256624,0.046256624,0.03329538,0.027796932,0.027863678,0.03857668,0.045291077,0.04867408,0.048545327,0.055972546,0.05361142,0.051837653,0.036687437,0.03743812,0.0502272,0.05089125,0.05089125,0.05317941,0.07037018,0.07037018
2017-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16636e-13,0.11452403,,,0.03332026,0.042169005,0.08242169,0.1692921,0.14720869,0.18093127,0.14447473,0.14914447,0.14914447,0.11093224,0.0739189,0.0739189,0.0747004,0.07110463,0.084388316,0.07250055,0.05593024,0.048117846,0.03606239,0.036154874,0.036154874,0.044461764,0.041681472,0.048183147,0.047292583,0.057122823,0.057122823,0.061542753,0.05961277,0.06371286,0.06371286,0.06494504,0.0643789,0.063725285,0.06790804,0.06846766,0.06728231,0.06527682,0.07059576,0.07059576,0.06706158,0.061897393,0.061897393,0.060187533,0.056913648,0.05998369,0.05998369,0.05713875,0.056432765,0.058286525,0.058286525,0.056153383,0.05588464,0.05588464,0.055676494,0.05787176,0.05705452,0.056815337,0.05541667,0.058545493,0.056974944,0.05808629,0.058573645,0.055424996,0.056631923,0.056773286,0.05557585,0.052714016,0.052714016,0.053029522,0.054093752,0.054093752
2017-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.746209e-13,6.746209e-13,0.19438031,0.19544494,0.19862863,0.20412508,0.2177334,0.2057708,0.2100297,0.1913751,0.1913751,0.1545165,0.1360403,0.1360403,0.11780608,0.080141634,0.06651713,0.049257334,0.06398992,0.067767575,0.08371079,0.10597496,0.10597496,0.1337846,0.15308437,0.14895996,0.14773656,0.13357967,0.13357967,0.12712616,0.11650327,0.1036781,0.1036781,0.10340277,0.12014821,0.1215697,0.10985186,0.08925612,0.08168187,0.08807898,0.10958014,0.10958014,0.12567218,0.103661045,0.103661045,0.103142,0.10962958,0.09332975,0.09332975,0.07267513,0.07105815,0.06827276,0.06827276,0.070727795,0.066413596,0.066413596,0.05435171,0.04898296,0.050614316,0.04195574,0.029818123,0.028325355,0.027004825,0.036940724,0.060418006,0.048019074,0.069161505,0.048830748,0.03481932,0.0533352,0.0533352,0.07577695,0.08648243,0.08648243
2017-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2817359,0.28175396,0.27995303,0.28066596,0.26482168,0.24659392,0.19343205,0.19343205,0.13583682,0.09813049,0.09813049,0.08251761,0.08352599,0.08494062,0.09905035,0.11757954,0.12040852,0.10984888,0.08628362,0.08628362,0.06522219,0.04340949,0.03574134,0.022709347,0.020218665,0.020218665,0.026936643,0.027082704,0.0265589,0.0265589,0.023681372,0.028595362,0.03937938,0.036030177,0.041131765,0.044654977,0.047743738,0.04790824,0.04790824,0.03641407,0.033482064,0.033482064,0.046337187,0.04072217,0.040646203,0.040646203,0.049882527,0.061478592,0.06643623,0.06643623,0.07562078,0.062119927,0.062119927,0.057540786,0.063711956,0.053419843,0.05970768,0.06276142,0.061904375,0.06535921,0.05807832,0.053763937,0.05130111,0.049888596,0.05161173,0.052591134,0.056237884,0.056237884,0.054640364,0.05341179,0.05341179
2017-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.168576e-13,6.168576e-13,,0.25351056,0.28552896,0.26278877,0.25578815,0.23616391,0.22522871,0.22827832,0.22827832,0.23099719,0.16402313,0.16402313,0.10563587,0.09418772,0.0759993,0.038790066,0.032270815,0.017165808,0.021101456,0.027322406,0.027322406,0.057306852,0.053379823,0.074539796,0.06786893,0.08117278,0.08117278,0.040155966,0.021435672,0.04081304,0.04081304,0.06845541,0.08011385,0.072754025,0.05798364,0.046700288,0.03956319,0.04262775,0.058054227,0.058054227,0.058166794,0.049553875,0.049553875,0.05184793,0.04737769,0.03747638,0.03747638,0.023578588,0.0110177295,0.017732825,0.017732825,0.031419016,0.046292774,0.046292774,0.0648634,0.056516774,0.06840964,0.06844917,0.083662376,0.1034848,0.08797067,0.07216077,0.06559901,0.05163372,0.060279302,0.0668481,0.070529394,0.05897305,0.05897305,0.06453474,0.054030813,0.054030813
