distance_km,year,onset_date,onset_doy
14.3,2017,2017-05-12,132
14.4,2017,2017-05-12,132
14.7,2017,2017-04-30,120
14.8,2017,2017-04-06,96
14.9,2017,2017-06-05,156
15.1,2017,2017-06-05,156
15.6,2017,2017-04-06,96
15.7,2017,2017-04-06,96
15.8,2017,2017-04-06,96
15.9,2017,2017-06-05,156
16.0,2017,2017-03-25,84
16.1,2017,2017-06-05,156
16.2,2017,2017-04-30,120
16.3,2017,2017-04-30,120
16.4,2017,2017-04-18,108
16.5,2017,2017-04-06,96
16.6,2017,2017-04-06,96
16.7,2017,2017-04-06,96
16.8,2017,2017-05-12,132
16.9,2017,2017-04-06,96
17.0,2017,2017-04-06,96
17.1,2017,2017-04-06,96
17.2,2017,2017-03-01,60
17.3,2017,2017-04-06,96
17.4,2017,2017-04-06,96
17.5,2017,2017-06-05,156
18.5,2017,2017-06-05,156
18.6,2017,2017-04-06,96
18.7,2017,2017-04-06,96
18.9,2017,2017-04-06,96
19.0,2017,2017-04-06,96
19.1,2017,2017-04-06,96
20.4,2017,2017-03-25,84
20.5,2017,2017-03-25,84
20.6,2017,2017-03-25,84
20.7,2017,2017-03-01,60
20.8,2017,2017-03-01,60
20.9,2017,2017-03-01,60
21.0,2017,2017-03-01,60
21.1,2017,2017-03-01,60
21.2,2017,2017-03-01,60
21.3,2017,2017-03-01,60
21.4,2017,2017-03-01,60
21.5,2017,2017-03-01,60
21.6,2017,2017-04-18,108
21.7,2017,2017-04-18,108
23.3,2017,2017-04-06,96
23.4,2017,2017-04-06,96
23.5,2017,2017-03-01,60
23.6,2017,2017-03-01,60
23.7,2017,2017-03-01,60
23.8,2017,2017-03-01,60
23.9,2017,2017-03-01,60
24.0,2017,2017-03-01,60
24.1,2017,2017-03-01,60
24.18,2017,2017-03-01,60
0.8,2018,2018-03-08,67
0.9,2018,2018-03-08,67
1.0,2018,2018-03-08,67
1.1,2018,2018-03-08,67
1.2,2018,2018-03-08,67
1.3,2018,2018-03-08,67
1.4,2018,2018-05-07,127
1.5,2018,2018-05-07,127
2.3,2018,2018-05-07,127
2.4,2018,2018-05-07,127
2.6,2018,2018-03-08,67
3.1,2018,2018-03-08,67
3.3,2018,2018-05-07,127
3.8,2018,2018-03-08,67
4.3,2018,2018-03-08,67
4.4,2018,2018-03-08,67
4.5,2018,2018-03-08,67
4.6,2018,2018-03-08,67
4.7,2018,2018-03-08,67
5.0,2018,2018-03-08,67
5.1,2018,2018-03-08,67
5.2,2018,2018-03-08,67
6.9,2018,2018-05-07,127
7.0,2018,2018-05-07,127
7.1,2018,2018-03-08,67
7.2,2018,2018-03-08,67
9.5,2018,2018-03-08,67
9.8,2018,2018-03-08,67
9.9,2018,2018-03-08,67
11.5,2018,2018-03-08,67
11.6,2018,2018-03-08,67
11.9,2018,2018-03-08,67
12.0,2018,2018-03-08,67
14.2,2018,2018-04-01,91
14.3,2018,2018-04-01,91
14.4,2018,2018-04-01,91
14.5,2018,2018-05-07,127
14.6,2018,2018-05-19,139
14.7,2018,2018-05-07,127
14.8,2018,2018-05-07,127
14.9,2018,2018-05-19,139
15.0,2018,2018-03-08,67
15.1,2018,2018-03-08,67
16.2,2018,2018-04-01,91
16.3,2018,2018-04-01,91
16.6,2018,2018-05-31,151
16.7,2018,2018-05-31,151
17.1,2018,2018-04-25,115
