distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,136.0,121.5,154.5,99,165,3,True
0.1,132.0,115.5,148.5,99,165,2,True
0.2,79.5,69.75,89.25,60,99,2,True
0.3,99.0,99.0,99.0,99,99,1,True
0.7,151.5,147.75,155.25,144,159,2,True
0.8,84.0,75.5,92.5,67,101,2,True
0.9,84.0,75.5,92.5,67,101,2,True
1.0,84.0,75.5,92.5,67,101,2,True
1.1,67.0,67.0,67.0,67,67,1,True
1.2,113.0,90.0,136.0,67,159,2,True
1.3,102.66666666666667,83.0,120.5,67,142,3,True
1.4,109.0,100.0,114.0,99,127,3,True
1.5,114.0,107.5,120.5,101,127,2,True
1.6,94.33333333333333,87.5,104.5,74,108,3,True
1.7,87.5,80.75,94.25,74,101,2,True
1.8,86.5,80.25,92.75,74,99,2,True
1.9,83.5,70.5,99.5,60,101,4,True
2.0,85.6,74.0,99.0,60,101,5,True
2.1,103.5,101.25,105.75,99,108,2,True
2.3,127.0,127.0,127.0,127,127,1,True
2.4,127.0,127.0,127.0,127,127,1,True
2.6,67.0,67.0,67.0,67,67,1,True
2.8,122.0,122.0,122.0,122,122,1,True
3.1,101.0,84.0,118.0,67,135,2,True
3.3,93.5,76.75,110.25,60,127,2,True
3.5,108.0,108.0,108.0,108,108,1,True
3.6,108.0,108.0,108.0,108,108,1,True
3.8,91.0,82.5,103.0,67,108,3,True
3.9,79.0,69.5,88.5,60,98,2,True
4.0,60.0,60.0,60.0,60,60,1,True
4.1,60.0,60.0,60.0,60,60,1,True
4.2,60.0,60.0,60.0,60,60,1,True
4.3,63.5,61.75,65.25,60,67,2,True
4.4,63.5,61.75,65.25,60,67,2,True
4.5,67.0,67.0,67.0,67,67,1,True
4.6,67.0,67.0,67.0,67,67,1,True
4.7,67.0,67.0,67.0,67,67,1,True
4.8,60.0,60.0,60.0,60,60,1,True
4.9,60.0,60.0,60.0,60,60,1,True
5.0,67.0,67.0,67.0,67,67,1,True
5.1,67.0,67.0,67.0,67,67,1,True
5.2,67.0,67.0,67.0,67,67,1,True
5.9,108.0,108.0,108.0,108,108,1,True
6.0,108.0,108.0,108.0,108,108,1,True
6.6,132.5,115.75,149.25,99,166,2,True
6.7,115.33333333333333,110.5,123.5,99,125,3,True
6.8,112.0,105.5,118.5,99,125,2,True
6.9,122.5,108.75,126.5,98,166,6,True
7.0,99.75,90.75,115.0,60,127,4,True
7.1,111.0,84.0,133.0,67,165,3,True
7.2,96.0,81.5,110.5,67,125,2,True
7.3,60.0,60.0,60.0,60,60,1,True
7.4,144.0,144.0,144.0,144,144,1,True
7.5,144.0,144.0,144.0,144,144,1,True
7.9,99.0,99.0,99.0,99,99,1,True
8.1,99.0,99.0,99.0,99,99,1,True
8.2,135.0,135.0,135.0,135,135,1,True
8.6,103.5,101.25,105.75,99,108,2,True
8.7,133.5,120.75,146.25,108,159,2,True
8.8,108.0,108.0,108.0,108,108,1,True
9.2,60.0,60.0,60.0,60,60,1,True
9.5,67.0,67.0,67.0,67,67,1,True
9.8,67.0,67.0,67.0,67,67,1,True
9.9,67.0,67.0,67.0,67,67,1,True
11.5,67.0,67.0,67.0,67,67,1,True
11.6,67.0,67.0,67.0,67,67,1,True
11.7,74.0,74.0,74.0,74,74,1,True
11.8,74.0,74.0,74.0,74,74,1,True
11.9,70.5,68.75,72.25,67,74,2,True
12.0,67.0,67.0,67.0,67,67,1,True
13.9,144.0,144.0,144.0,144,144,1,True
14.0,117.0,117.0,117.0,117,117,1,True
14.1,117.0,117.0,117.0,117,117,1,True
14.2,99.0,84.5,118.5,65,123,4,True
14.3,126.6,123.0,134.0,91,153,5,True
14.4,119.0,99.0,132.0,91,168,5,True
14.5,126.33333333333333,106.0,149.0,74,168,6,True
14.6,114.85714285714286,92.5,141.5,65,154,7,True
14.7,106.57142857142857,86.5,123.5,65,144,7,True
14.8,110.0,98.5,118.5,87,144,7,True
14.9,116.2,101.0,139.0,62,156,5,True
15.0,105.16666666666667,74.25,132.75,62,159,6,True
15.1,94.57142857142857,74.0,103.5,62,156,7,True
15.2,124.0,112.25,136.25,89,158,4,True
15.3,95.5,84.75,106.25,74,117,2,True
15.4,108.5,86.75,119.25,86,153,4,True
15.5,97.0,91.5,102.5,86,108,2,True
15.6,123.5,111.75,136.25,96,149,4,True
