distance_km,year,peak_date,peak_doy,peak_val
14.2,2017,2017-04-06,96,1.9200692176818848
14.3,2017,2017-04-06,96,1.9953579902648926
14.4,2017,2017-04-06,96,1.99576997756958
14.5,2017,2017-06-05,156,1.8209277391433716
14.6,2017,2017-06-05,156,1.7912225723266602
14.7,2017,2017-06-29,180,1.4937266111373901
14.8,2017,2017-06-29,180,1.034291386604309
14.9,2017,2017-04-30,120,1.194769263267517
15.0,2017,2017-08-16,228,0.7905468344688416
15.1,2017,2017-06-05,156,0.7120900750160217
15.2,2017,2017-08-16,228,0.38300958275794983
15.3,2017,2017-08-16,228,0.3676762878894806
15.4,2017,2017-08-16,228,0.49610334634780884
15.5,2017,2017-04-06,96,0.15616892278194427
15.6,2017,2017-04-06,96,0.24975839257240295
15.7,2017,2017-04-06,96,0.3757559061050415
15.8,2017,2017-04-06,96,0.3757559061050415
15.9,2017,2017-10-15,288,0.6119400262832642
16.0,2017,2017-04-30,120,0.9488062262535095
16.1,2017,2017-04-30,120,0.8871976733207703
16.2,2017,2017-06-05,156,1.1306618452072144
16.3,2017,2017-06-05,156,1.1306618452072144
16.4,2017,2017-04-18,108,1.388832449913025
16.5,2017,2017-04-18,108,1.4617993831634521
16.6,2017,2017-04-18,108,1.8964765071868896
16.7,2017,2017-04-18,108,1.358476996421814
16.8,2017,2017-05-12,132,1.7039175033569336
16.9,2017,2017-04-18,108,1.0447492599487305
17.0,2017,2017-04-18,108,1.0447492599487305
17.1,2017,2017-08-16,228,0.8968126177787781
17.2,2017,2017-04-18,108,0.9816319942474365
17.3,2017,2017-04-18,108,1.3248919248580933
17.4,2017,2017-06-29,180,0.6576954126358032
17.5,2017,2017-08-28,240,0.8464866280555725
17.6,2017,2017-08-28,240,0.748100221157074
17.7,2017,2017-08-28,240,0.8161278367042542
17.8,2017,2017-08-28,240,0.8161278367042542
17.9,2017,2017-06-29,180,0.6198261976242065
18.0,2017,2017-08-28,240,0.7452143430709839
18.1,2017,2017-08-16,228,0.87022864818573
18.2,2017,2017-08-16,228,0.5231783390045166
18.3,2017,2017-08-28,240,0.7162755131721497
18.4,2017,2017-06-05,156,1.0417954921722412
18.5,2017,2017-06-29,180,0.8357874751091003
18.6,2017,2017-04-06,96,1.1376433372497559
18.7,2017,2017-04-06,96,1.1376433372497559
18.8,2017,2017-03-01,60,0.9764570593833923
18.9,2017,2017-04-06,96,1.4299296140670776
19.0,2017,2017-04-18,108,1.2039530277252197
19.1,2017,2017-04-18,108,1.2039530277252197
19.2,2017,2017-04-30,120,0.8876214027404785
19.3,2017,2017-04-30,120,0.7318909168243408
19.4,2017,2017-04-30,120,0.5494102239608765
19.5,2017,2017-04-18,108,0.7249510884284973
19.6,2017,2017-04-18,108,0.7249510884284973
19.7,2017,2017-05-12,132,0.5914484858512878
19.8,2017,2017-08-16,228,0.4585804045200348
19.9,2017,2017-08-16,228,0.393545538187027
20.0,2017,2017-04-30,120,0.2622566819190979
20.1,2017,2017-04-30,120,0.2622566819190979
20.2,2017,2017-04-18,108,0.19370198249816895
20.3,2017,2017-06-29,180,0.20154263079166412
20.4,2017,2017-06-05,156,0.2024400234222412
20.5,2017,2017-08-16,228,0.21769042313098907
20.6,2017,2017-07-23,204,0.20945234596729279
20.7,2017,2017-04-30,120,0.17441077530384064
20.8,2017,2017-06-29,180,0.15621371567249298
20.9,2017,2017-04-18,108,0.1675097942352295
21.0,2017,2017-06-29,180,0.14283248782157898
21.1,2017,2017-06-29,180,0.1285504698753357
21.2,2017,2017-06-29,180,0.18414482474327087
21.3,2017,2017-06-29,180,0.16299517452716827
21.4,2017,2017-04-30,120,0.2144419550895691
21.5,2017,2017-04-30,120,0.2144419550895691
21.6,2017,2017-04-30,120,0.26460322737693787
21.7,2017,2017-04-18,108,0.22899918258190155
21.8,2017,2017-04-30,120,0.3082789480686188
21.9,2017,2017-08-04,216,0.18960683047771454
22.0,2017,2017-06-29,180,0.17639072239398956
22.1,2017,2017-04-18,108,0.21800264716148376
22.2,2017,2017-04-18,108,0.21800264716148376
22.3,2017,2017-04-30,120,0.2380763590335846
22.4,2017,2017-04-30,120,0.19041456282138824
22.5,2017,2017-04-30,120,0.1506001353263855
22.6,2017,2017-04-30,120,0.1577172428369522
22.7,2017,2017-04-30,120,0.1577172428369522
22.8,2017,2017-08-28,240,0.13883370161056519
22.9,2017,2017-08-28,240,0.1261441856622696
23.0,2017,2017-08-28,240,0.1261441856622696
23.1,2017,2017-08-28,240,0.12440433353185654
23.2,2017,2017-08-28,240,0.12214990705251694
23.3,2017,2017-03-01,60,0.1027410551905632
23.4,2017,2017-03-01,60,0.1027410551905632
23.5,2017,2017-03-01,60,0.11421457678079605
23.6,2017,2017-03-01,60,0.1107100322842598
23.7,2017,2017-03-01,60,0.11018107086420059
23.8,2017,2017-03-01,60,0.10645009577274323
23.9,2017,2017-03-01,60,0.103715680539608
24.0,2017,2017-03-01,60,0.10215932130813599
24.1,2017,2017-03-01,60,0.09866400808095932
24.18,2017,2017-03-01,60,0.09866400808095932
0.0,2018,2018-08-11,223,0.2539219856262207
0.1,2018,2018-06-24,175,0.30341556668281555
0.2,2018,2018-08-11,223,0.27988940477371216
0.3,2018,2018-08-11,223,0.21650314331054688
0.4,2018,2018-07-18,199,0.2757627069950104
0.5,2018,2018-05-07,127,0.2978661358356476
0.6,2018,2018-10-22,295,0.33162352442741394
0.7,2018,2018-10-22,295,0.38229990005493164
0.8,2018,2018-09-16,259,0.31730684638023376
0.9,2018,2018-03-08,67,0.2890368402004242
1.0,2018,2018-03-08,67,0.42692092061042786
1.1,2018,2018-05-19,139,0.38588079810142517
1.2,2018,2018-05-19,139,0.37461960315704346
1.3,2018,2018-05-19,139,0.3573317527770996
1.4,2018,2018-05-19,139,0.33880072832107544
1.5,2018,2018-05-19,139,0.34371626377105713
1.6,2018,2018-03-20,79,0.4461308717727661
1.7,2018,2018-10-22,295,0.45583778619766235
1.8,2018,2018-09-28,271,0.458503782749176
1.9,2018,2018-05-07,127,0.5100716352462769
2.0,2018,2018-06-24,175,0.56657475233078
2.1,2018,2018-05-07,127,0.5148783326148987
2.2,2018,2018-05-07,127,0.5779325366020203
2.3,2018,2018-05-19,139,0.7146168351173401
2.4,2018,2018-05-07,127,0.8402317762374878
2.5,2018,2018-05-07,127,0.8046111464500427
2.6,2018,2018-08-23,235,0.8166263103485107
2.7,2018,2018-09-28,271,0.8101033568382263
2.8,2018,2018-09-28,271,0.9400926828384399
2.9,2018,2018-09-28,271,1.0579583644866943
3.0,2018,2018-10-22,295,0.8044061064720154
3.1,2018,2018-06-24,175,1.7045739889144897
3.2,2018,2018-03-20,79,0.5889611840248108
3.3,2018,2018-03-20,79,0.5865206122398376
3.4,2018,2018-05-07,127,0.6286417841911316
3.5,2018,2018-03-20,79,0.8864741921424866
3.6,2018,2018-09-16,259,0.5473930239677429
3.7,2018,2018-10-10,283,0.755496084690094
3.8,2018,2018-03-20,79,0.7693086862564087
3.9,2018,2018-09-04,247,0.7913145422935486
4.0,2018,2018-03-20,79,0.7717223167419434
4.1,2018,2018-10-10,283,0.9517070055007935
4.2,2018,2018-05-19,139,1.0127017498016357
4.3,2018,2018-05-07,127,1.2199779748916626
4.4,2018,2018-10-22,295,0.9185910224914551
4.5,2018,2018-03-20,79,0.7272061705589294
4.6,2018,2018-03-20,79,0.5637344717979431
4.7,2018,2018-10-22,295,0.9135515689849854
4.8,2018,2018-09-16,259,0.43549296259880066
