s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,478645.2499337988,3990425.4127788777,6752.9487,18.543642,0.11077814
0.1,478631.30799604603,3990523.6090191985,6782.194,23.148281,0.11364389
0.2,478589.1821410912,3990614.0759769185,6758.957,34.278145,0.112440154
0.3,478535.94660771184,3990698.6543122595,6741.368,42.2258,0.11103086
0.4,478476.92832437105,3990779.348451428,6698.4077,41.51612,0.11422903
0.5,478414.1530792524,3990857.189755376,6685.387,36.473316,0.12870422
0.6,478348.1677816271,3990932.322761532,6593.4126,33.54804,0.15364338
0.7,478280.6479091847,3991006.0660817577,6543.6567,32.252354,0.16500159
0.8,478211.9279237975,3991078.7129234537,6466.3867,36.69683,0.16396946
0.9,478141.3382744346,3991149.5413151025,6413.2324,36.92989,0.17240354
1.0,478070.8809433575,3991220.500152818,6408.35,35.174255,0.18631254
1.1,478001.64806117764,3991292.6583680473,6335.873,32.545536,0.18408684
1.2,477933.47219492897,3991365.805240305,6234.909,29.973814,0.17260647
1.3,477866.4113657527,3991439.978546661,6138.641,27.194613,0.1814265
1.4,477801.43325083225,3991515.990681096,6027.247,27.58807,0.19062218
1.5,477739.1932644691,3991594.2472348856,6013.516,29.619669,0.21260932
1.6,477680.7112836165,3991675.3277274277,5966.0454,30.703691,0.23902562
1.7,477628.48108759645,3991760.5461646947,5898.92,30.674011,0.2688093
1.8,477593.2218891085,3991853.741834498,5833.603,31.215921,0.2816876
1.9,477578.5722857504,3991952.5611761142,5777.4243,33.224514,0.2938646
2.0,477570.7025069541,3992052.2462047306,5716.544,33.859344,0.2972069
2.1,477565.042063316,3992152.0786395017,5652.7974,33.007584,0.31442642
2.2,477560.36807163584,3992251.9673827803,5533.6123,34.05458,0.33631733
2.3,477557.1439422349,3992351.915394214,5483.133,37.009724,0.35866815
2.4,477554.1786977393,3992451.8702226547,5448.382,39.361862,0.39147517
2.5,477552.13830627344,3992551.849404501,5398.226,39.791374,0.44089842
2.6,477550.09791480756,3992651.8285863474,5337.379,39.363464,0.47077724
2.7,477548.8535700607,3992751.820573508,5266.3696,38.84423,0.47304088
2.8,477547.6771808802,3992851.813653811,5192.9585,37.07412,0.48337904
2.9,477546.6751744414,3992951.808211648,5129.3784,34.616096,0.5409099
3.0,477546.1570466817,3993051.806869357,5050.7314,32.48387,0.57728267
3.1,477545.638918922,3993151.805527066,4972.446,37.621815,0.47468686
3.2,477545.2499337996,3993251.8045193395,4871.98,40.130863,0.3768355
3.3,477545.2499337994,3993351.8045193395,4826.0054,49.236984,0.34077093
3.4,477545.24993379915,3993451.8045193395,4770.2974,59.768456,0.32414597
3.5,477545.2499337989,3993551.8045193395,4753.137,70.20715,0.3340722
3.6,477549.5303266887,3993651.6996706966,4731.0947,87.01397,0.34444302
3.7,477554.426408551,3993751.579740693,4713.787,106.69918,0.38702682
3.8,477559.32249041327,3993851.4598106886,4707.8276,121.60393,0.4060807
3.9,477567.9504137346,3993951.054263129,4697.147,118.709076,0.43724886
4.0,477578.31102216075,3994050.516104018,4683.629,104.63112,0.49706686
4.1,477588.67163058685,3994149.9779449073,4660.817,101.44824,0.5085647
4.2,477603.0852358922,3994248.891468302,4645.0654,101.67881,0.45532492
4.3,477619.5251346225,3994347.530860685,4625.0815,108.28904,0.47100967
4.4,477635.9650333528,3994446.170253068,4609.4688,119.529434,0.4063062
4.5,477657.8861375534,3994543.701711511,4595.898,130.7497,0.38291287
4.6,477681.0481902843,3994640.9823329793,4584.3477,139.05142,0.30778378
4.7,477705.0714523366,3994738.022793577,4571.612,148.53258,0.26863045
4.8,477735.5933205429,3994833.2510223812,4562.049,149.63028,0.257158
4.9,477766.1151887492,3994928.4792511854,4551.7153,152.36432,0.2702792
5.0,477801.0624298488,3995022.07964626,4537.764,146.96045,0.32133472
5.1,477839.5239683104,3995114.3873385675,4529.134,135.85587,0.42283052
5.2,477878.99110426323,3995206.220148615,4529.134,118.08272,0.7254927
