distance_km,year,onset_date,onset_doy
0.0,2018,2018-04-13,103
0.1,2018,2018-03-08,67
0.2,2018,2018-03-20,79
0.3,2018,2018-03-08,67
0.4,2018,2018-04-13,103
0.5,2018,2018-03-08,67
1.2,2018,2018-05-19,139
1.5,2018,2018-05-31,151
1.7,2018,2018-05-07,127
1.8,2018,2018-05-07,127
1.9,2018,2018-05-31,151
2.0,2018,2018-05-31,151
2.2,2018,2018-04-13,103
2.6,2018,2018-04-13,103
2.7,2018,2018-05-19,139
3.5,2018,2018-03-08,67
3.7,2018,2018-05-19,139
3.8,2018,2018-03-08,67
3.9,2018,2018-04-13,103
4.0,2018,2018-03-08,67
4.1,2018,2018-03-20,79
4.2,2018,2018-03-20,79
4.3,2018,2018-03-20,79
4.4,2018,2018-03-20,79
4.9,2018,2018-03-20,79
5.0,2018,2018-03-20,79
5.7,2018,2018-05-07,127
5.8,2018,2018-03-08,67
6.0,2018,2018-04-13,103
6.1,2018,2018-04-13,103
6.2,2018,2018-04-13,103
6.3,2018,2018-04-13,103
6.5,2018,2018-04-13,103
6.6,2018,2018-03-08,67
6.7,2018,2018-03-20,79
7.3,2018,2018-04-13,103
7.5,2018,2018-03-20,79
8.4,2018,2018-05-07,127
8.5,2018,2018-04-13,103
8.6,2018,2018-04-13,103
8.7,2018,2018-04-13,103
8.8,2018,2018-04-13,103
9.8,2018,2018-05-07,127
10.3,2018,2018-05-07,127
10.4,2018,2018-05-07,127
10.5,2018,2018-05-07,127
10.6,2018,2018-05-07,127
10.7,2018,2018-05-07,127
10.8,2018,2018-05-07,127
10.9,2018,2018-05-07,127
11.0,2018,2018-05-07,127
11.1,2018,2018-05-07,127
11.2,2018,2018-05-07,127
11.7,2018,2018-05-07,127
11.8,2018,2018-05-07,127
11.9,2018,2018-05-07,127
12.0,2018,2018-05-07,127
12.1,2018,2018-05-07,127
12.2,2018,2018-05-07,127
12.3,2018,2018-05-07,127
12.5,2018,2018-04-13,103
13.8,2018,2018-05-19,139
13.9,2018,2018-05-07,127
14.0,2018,2018-05-07,127
14.1,2018,2018-05-31,151
14.2,2018,2018-03-08,67
14.3,2018,2018-05-07,127
14.4,2018,2018-03-08,67
14.5,2018,2018-05-31,151
14.6,2018,2018-05-31,151
15.0,2018,2018-05-31,151
15.1,2018,2018-03-08,67
15.2,2018,2018-05-19,139
15.3,2018,2018-05-19,139
15.4,2018,2018-05-19,139
15.5,2018,2018-03-20,79
15.6,2018,2018-03-08,67
15.7,2018,2018-03-08,67
15.8,2018,2018-04-13,103
15.9,2018,2018-05-31,151
16.0,2018,2018-04-13,103
16.2,2018,2018-04-13,103
16.7,2018,2018-04-13,103
16.8,2018,2018-05-19,139
17.5,2018,2018-03-20,79
17.6,2018,2018-03-20,79
17.7,2018,2018-03-20,79
17.8,2018,2018-03-20,79
17.9,2018,2018-03-08,67
18.0,2018,2018-03-08,67
18.1,2018,2018-03-08,67
18.2,2018,2018-03-08,67
18.3,2018,2018-03-08,67
18.4,2018,2018-03-08,67
19.3,2018,2018-05-31,151
19.4,2018,2018-03-08,67
0.3,2019,2019-04-20,110
0.4,2019,2019-03-03,62
1.3,2019,2019-03-03,62
1.4,2019,2019-04-08,98
1.5,2019,2019-03-03,62
1.6,2019,2019-03-03,62
2.3,2019,2019-06-07,158
3.9,2019,2019-03-03,62
4.0,2019,2019-03-03,62
4.1,2019,2019-03-03,62
4.2,2019,2019-03-03,62
4.3,2019,2019-03-03,62
4.4,2019,2019-03-03,62
4.5,2019,2019-03-15,74
4.9,2019,2019-04-08,98
5.8,2019,2019-05-26,146
5.9,2019,2019-05-26,146
6.1,2019,2019-03-03,62
6.2,2019,2019-03-03,62
6.3,2019,2019-06-07,158
6.7,2019,2019-03-15,74
7.1,2019,2019-03-03,62
8.6,2019,2019-06-07,158
8.9,2019,2019-06-07,158
9.0,2019,2019-03-03,62
9.1,2019,2019-05-14,134
9.2,2019,2019-05-14,134
9.3,2019,2019-05-14,134
9.4,2019,2019-05-14,134
9.5,2019,2019-05-14,134
