distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,110.0,101.0,123.0,81,142,5,True
0.1,88.8,69.0,101.0,67,123,5,True
0.2,99.66666666666667,82.75,116.25,65,141,6,True
0.3,94.28571428571429,66.0,116.5,60,142,7,True
0.4,84.5,65.75,97.75,60,123,6,True
0.5,67.75,66.5,69.25,65,70,4,True
0.6,96.66666666666667,80.5,115.0,60,129,3,True
0.7,89.4,65.0,99.0,60,129,5,True
0.8,72.0,63.75,75.25,60,94,4,True
0.9,102.33333333333333,76.5,119.0,69,154,3,True
1.0,84.6,65.0,108.0,63,118,5,True
1.1,90.75,64.5,117.25,63,118,4,True
1.2,110.0,65.0,139.0,63,166,5,True
1.3,72.66666666666667,62.5,78.0,62,93,3,True
1.4,120.66666666666667,107.5,132.0,98,147,3,True
1.5,110.8,77.0,151.0,62,159,5,True
1.6,106.6,77.0,129.0,62,166,5,True
1.7,114.0,93.5,133.5,77,153,4,True
1.8,111.0,90.5,133.5,65,153,4,True
1.9,99.25,64.5,126.25,63,151,4,True
2.0,139.75,138.25,151.5,106,153,4,True
2.1,93.75,82.5,108.75,63,117,4,True
2.2,100.4,65.0,118.0,63,153,5,True
2.3,101.0,64.5,128.0,63,158,4,True
2.4,133.0,125.0,141.0,117,149,2,True
2.5,105.66666666666667,91.0,126.0,65,135,3,True
2.6,105.0,93.5,121.5,65,135,4,True
2.7,114.0,104.0,136.0,65,139,4,True
2.8,96.0,85.5,106.5,75,117,2,True
2.9,63.0,63.0,63.0,63,63,1,True
3.0,114.5,88.75,140.25,63,166,2,True
3.1,63.0,63.0,63.0,63,63,1,True
3.2,114.5,88.75,140.25,63,166,2,True
3.3,147.0,147.0,147.0,147,147,1,True
3.5,67.0,67.0,67.0,67,67,1,True
3.6,65.0,65.0,65.0,65,65,1,True
3.7,108.25,72.5,142.75,65,154,4,True
3.8,90.25,66.5,110.25,65,123,4,True
3.9,89.2,63.0,103.0,62,153,5,True
4.0,70.33333333333333,63.5,68.5,62,96,6,True
4.1,84.0,66.0,87.5,62,142,7,True
4.2,73.25,71.75,77.5,62,79,4,True
4.3,67.6,63.0,69.0,62,79,5,True
4.4,67.6,63.0,69.0,62,79,5,True
4.5,67.33333333333333,64.0,69.5,63,74,3,True
4.6,69.0,69.0,69.0,69,69,1,True
4.8,63.0,63.0,63.0,63,63,1,True
4.9,88.5,83.75,93.25,79,98,2,True
5.0,79.0,79.0,79.0,79,79,1,True
5.5,148.0,147.5,148.5,147,149,2,True
5.6,100.0,91.0,105.5,89,118,3,True
5.7,98.25,88.25,110.5,65,127,4,True
5.8,105.4,89.0,129.0,67,146,5,True
5.9,134.25,120.75,151.0,96,166,4,True
6.0,115.25,96.0,129.25,75,166,4,True
6.1,97.75,87.5,109.75,62,130,4,True
6.2,91.2,72.0,103.0,62,130,5,True
6.3,121.5,95.25,154.25,72,158,4,True
6.4,72.33333333333333,67.5,77.0,63,82,3,True
6.5,87.5,79.75,95.25,72,103,2,True
6.6,110.5,88.75,132.25,67,154,2,True
6.7,83.5,71.25,88.75,63,118,4,True
6.8,63.0,63.0,63.0,63,63,1,True
6.9,63.0,63.0,63.0,63,63,1,True
7.0,87.0,87.0,87.0,87,87,1,True
7.1,62.5,62.25,62.75,62,63,2,True
7.2,86.66666666666667,76.0,98.5,63,108,3,True
7.3,97.66666666666667,81.5,116.5,60,130,3,True
7.4,91.8,70.0,93.0,60,147,5,True
7.5,83.33333333333333,80.5,85.5,79,89,3,True
7.6,94.5,85.5,101.5,75,118,4,True
7.7,108.0,85.5,124.5,75,153,3,True
7.8,86.5,76.5,97.5,63,108,4,True
7.9,66.0,64.0,67.5,63,70,3,True
8.0,90.75,64.5,93.25,63,166,4,True
8.1,89.66666666666667,64.0,103.0,63,141,3,True
8.2,103.0,84.0,122.0,65,141,2,True
8.3,92.5,76.25,108.75,60,125,2,True
8.4,94.75,77.0,111.25,65,127,4,True
8.5,90.8,69.0,106.0,65,111,5,True
8.6,119.4,103.0,142.0,65,158,5,True
8.7,99.66666666666667,77.25,119.5,63,142,6,True
8.8,95.0,82.0,103.0,72,125,5,True
8.9,110.8,82.0,153.0,72,158,5,True
9.0,91.6,72.0,89.0,62,153,5,True
9.1,118.0,96.0,134.0,82,149,5,True
9.2,111.0,94.75,130.25,82,134,4,True
9.3,111.0,94.75,130.25,82,134,4,True
9.4,111.0,94.75,130.25,82,134,4,True
9.5,127.0,114.0,143.5,94,153,3,True
9.6,95.0,78.0,111.5,62,129,3,True
9.7,102.0,86.0,112.5,62,153,4,True
9.8,109.0,99.0,117.0,94,127,5,True
9.9,103.0,78.0,123.5,62,153,3,True
10.0,109.66666666666667,84.0,127.5,74,161,3,True
10.1,93.0,86.5,102.5,74,106,3,True
10.2,111.0,92.75,126.75,74,153,4,True
10.3,121.25,109.75,130.5,106,141,4,True
10.4,116.6,106.0,127.0,86,153,5,True
10.5,121.25,104.25,133.5,99,153,4,True
10.6,135.0,123.0,150.0,111,153,4,True
10.7,108.0,87.25,123.0,74,149,6,True
10.8,108.4,81.0,127.0,74,149,5,True
10.9,113.8,84.0,134.0,75,149,5,True
11.0,87.0,71.75,94.75,62,127,4,True
11.1,105.0,84.0,127.0,62,141,5,True
11.2,108.5,84.75,134.5,62,154,6,True
11.3,116.0,103.0,138.0,72,142,3,True
11.4,112.0,101.0,132.0,72,134,3,True
11.5,116.0,103.0,138.0,72,142,3,True
11.6,100.0,83.0,114.0,72,134,3,True
11.7,109.71428571428571,85.5,131.0,72,146,7,True
11.8,113.16666666666667,96.75,133.0,72,146,6,True
11.9,113.16666666666667,96.75,133.0,72,146,6,True
12.0,110.0,85.5,135.0,60,159,4,True
12.1,97.0,87.0,105.0,72,127,5,True
12.2,105.16666666666667,88.75,121.5,72,146,6,True
12.3,121.16666666666667,112.5,129.25,105,135,6,True
12.4,112.8,105.0,122.0,94,123,5,True
12.5,99.16666666666667,87.25,110.75,69,120,6,True
12.6,103.2,98.0,111.0,82,120,5,True
12.7,111.75,79.5,146.25,72,147,4,True
12.8,98.8,72.0,98.0,70,165,5,True
12.9,115.6,86.0,149.0,70,165,5,True
13.0,125.25,98.5,159.75,70,165,4,True
13.1,82.33333333333333,69.5,89.0,69,108,3,True
13.2,102.33333333333333,93.5,119.0,69,120,3,True
13.3,113.0,109.5,116.5,106,120,2,True
13.4,86.33333333333333,69.5,95.0,69,120,3,True
13.5,98.33333333333333,87.5,113.0,69,120,3,True
13.6,108.0,78.75,130.25,69,161,4,True
13.7,96.0,69.75,103.25,69,161,4,True
13.8,117.5,81.75,150.25,62,161,6,True
13.9,112.8,86.0,127.0,84,154,5,True
14.0,129.8,127.0,135.0,113,142,5,True
14.1,151.33333333333334,150.0,152.5,149,154,3,True
14.2,103.33333333333333,80.5,121.5,67,149,3,True
14.3,110.5,95.5,125.5,94,127,4,True
14.4,92.0,66.0,105.5,65,144,3,True
14.5,129.66666666666666,124.5,150.0,65,153,6,True
14.6,105.66666666666667,94.5,113.75,72,151,6,True
14.7,91.5,67.5,108.5,60,137,4,True
14.8,120.6,99.0,153.0,60,154,5,True
14.9,112.5,86.25,138.75,60,165,2,True
15.0,116.0,98.5,144.0,60,151,3,True
15.1,88.0,63.5,102.0,60,137,3,True
15.2,127.0,134.0,141.0,60,161,5,True
15.3,132.8,132.0,139.0,118,141,5,True
15.4,135.2,134.0,141.0,118,144,5,True
15.5,120.5,108.25,141.75,79,144,4,True
15.6,115.0,108.25,132.75,67,141,4,True
15.7,123.8,110.0,142.0,67,159,5,True
15.8,128.5,108.25,146.25,103,159,4,True
15.9,127.75,115.5,144.25,96,151,4,True
16.0,95.16666666666667,81.75,102.0,70,134,6,True
16.1,96.0,81.0,111.0,74,130,5,True
16.2,92.0,81.0,103.0,62,130,5,True
16.3,95.0,71.5,111.5,62,142,3,True
16.4,71.5,66.75,76.25,62,81,2,True
16.5,113.33333333333333,89.5,139.0,62,161,3,True
16.6,62.0,62.0,62.0,62,62,1,True
16.7,90.5,61.5,111.5,60,137,4,True
16.8,87.0,61.0,100.5,60,139,3,True
16.9,85.0,72.5,97.5,60,110,2,True
17.0,60.0,60.0,60.0,60,60,1,True
17.1,61.5,60.75,62.25,60,63,2,True
17.2,92.33333333333333,61.5,108.5,60,154,3,True
17.3,75.75,61.5,88.75,60,94,4,True
17.4,112.33333333333333,91.5,126.5,84,154,3,True
17.5,77.66666666666667,69.5,86.5,60,94,3,True
17.6,86.5,63.75,94.75,60,142,4,True
17.7,81.66666666666667,69.5,92.5,60,106,3,True
17.8,101.66666666666667,69.5,122.5,60,166,3,True
17.9,105.66666666666667,75.5,125.0,67,166,3,True
18.0,108.66666666666667,80.0,129.5,67,166,3,True
18.1,102.2,67.0,120.0,65,166,5,True
18.2,75.8,67.0,84.0,65,93,5,True
18.3,85.8,67.0,93.0,65,134,5,True
18.4,90.6,67.0,93.0,65,158,5,True
18.5,81.75,64.5,96.25,63,106,4,True
18.6,81.0,62.75,96.25,62,106,4,True
18.7,84.0,62.75,105.25,62,106,4,True
18.8,97.0,84.0,114.5,62,123,3,True
18.9,105.0,84.0,126.5,62,147,3,True
19.0,83.0,71.5,90.0,69,106,3,True
19.1,87.5,78.25,96.75,69,106,2,True
19.2,70.0,70.0,70.0,70,70,1,True
19.3,151.0,151.0,151.0,151,151,1,True
19.4,64.5,63.25,65.75,62,67,2,True
19.5,65.5,63.75,67.25,62,69,2,True
19.6,90.0,67.5,94.0,63,154,4,True
19.61,90.0,67.5,94.0,63,154,4,True
