distance_km,year,peak_date,peak_doy,peak_val
0.0,2018,2018-05-07,127,0.15919969975948334
0.1,2018,2018-10-22,295,0.13208971917629242
0.2,2018,2018-10-10,283,0.2891526520252228
0.3,2018,2018-05-07,127,0.22385716438293457
0.4,2018,2018-10-10,283,0.5490598082542419
0.5,2018,2018-03-08,67,0.6510372161865234
0.6,2018,2018-05-31,151,1.2546509504318237
0.7,2018,2018-03-20,79,1.1504095792770386
0.8,2018,2018-03-20,79,1.1082112789154053
0.9,2018,2018-03-20,79,1.1396119594573975
1.0,2018,2018-07-30,211,0.6772609353065491
1.1,2018,2018-03-20,79,0.6363903880119324
1.2,2018,2018-03-20,79,0.619124174118042
1.3,2018,2018-03-20,79,0.5757381916046143
1.4,2018,2018-07-18,199,0.43592050671577454
1.5,2018,2018-05-31,151,0.7112686634063721
1.6,2018,2018-08-23,235,0.6856259703636169
1.7,2018,2018-05-19,139,0.8971982002258301
1.8,2018,2018-06-24,175,0.7939960360527039
1.9,2018,2018-06-24,175,0.8081974983215332
2.0,2018,2018-06-24,175,0.7806842923164368
2.1,2018,2018-08-11,223,0.7254566550254822
2.2,2018,2018-08-11,223,0.797854483127594
2.3,2018,2018-08-23,235,0.5354759097099304
2.4,2018,2018-05-31,151,0.7894359827041626
2.5,2018,2018-05-31,151,0.7743618488311768
2.6,2018,2018-06-24,175,0.7605575919151306
2.7,2018,2018-05-19,139,0.7833116054534912
2.8,2018,2018-05-19,139,0.9158643484115601
2.9,2018,2018-08-23,235,1.1203681230545044
3.0,2018,2018-08-23,235,1.0059767961502075
3.1,2018,2018-08-23,235,0.9519515633583069
3.2,2018,2018-05-31,151,0.9769455790519714
3.3,2018,2018-05-31,151,1.1195250749588013
3.4,2018,2018-05-31,151,0.85890793800354
3.5,2018,2018-08-23,235,0.5938223004341125
3.6,2018,2018-08-23,235,0.4828057885169983
3.7,2018,2018-07-18,199,0.48282334208488464
3.8,2018,2018-05-19,139,0.592898428440094
3.9,2018,2018-05-07,127,0.5023590326309204
4.0,2018,2018-09-04,247,0.791350245475769
4.1,2018,2018-05-07,127,0.6054826378822327
4.2,2018,2018-05-07,127,0.322925329208374
4.3,2018,2018-03-20,79,0.2675742208957672
4.4,2018,2018-09-28,271,0.19400618970394135
4.5,2018,2018-09-16,259,0.37240397930145264
4.6,2018,2018-09-28,271,0.5333384275436401
4.7,2018,2018-10-10,283,0.756861686706543
4.8,2018,2018-10-10,283,0.6629533767700195
4.9,2018,2018-10-10,283,0.9616066217422485
5.0,2018,2018-10-10,283,1.0338233709335327
5.1,2018,2018-10-10,283,0.97324138879776
5.2,2018,2018-09-16,259,1.202239751815796
5.3,2018,2018-09-16,259,1.1302211284637451
5.4,2018,2018-10-22,295,1.2012532949447632
5.5,2018,2018-10-10,283,1.1280674934387207
5.6,2018,2018-03-08,67,0.9619271159172058
5.7,2018,2018-03-08,67,0.8390823602676392
5.8,2018,2018-03-20,79,0.44963061809539795
5.9,2018,2018-09-16,259,0.3723091781139374
6.0,2018,2018-09-16,259,0.38323256373405457
6.1,2018,2018-05-07,127,0.4628655016422272
6.2,2018,2018-05-07,127,0.5774390697479248
6.3,2018,2018-05-07,127,0.46649089455604553
6.4,2018,2018-09-04,247,0.2439095377922058
6.5,2018,2018-05-07,127,0.3691548705101013
6.6,2018,2018-07-18,199,0.254991739988327
6.7,2018,2018-07-18,199,0.2516595423221588
6.8,2018,2018-10-22,295,0.16229362785816193
6.9,2018,2018-03-20,79,0.14790357649326324
7.0,2018,2018-03-20,79,0.19395920634269714
7.1,2018,2018-05-07,127,0.18174536526203156
7.2,2018,2018-09-28,271,0.22852422297000885
7.3,2018,2018-09-16,259,0.250027060508728
7.4,2018,2018-05-07,127,0.3314812183380127
7.5,2018,2018-08-11,223,0.23717862367630005
7.6,2018,2018-10-22,295,0.2688867449760437
7.7,2018,2018-10-22,295,0.18612287938594818
7.8,2018,2018-10-22,295,0.1507849395275116
7.9,2018,2018-09-16,259,0.1952710896730423
8.0,2018,2018-09-16,259,0.18457624316215515
8.1,2018,2018-05-07,127,0.18877099454402924
8.2,2018,2018-03-20,79,0.27559414505958557
8.3,2018,2018-05-19,139,0.21720640361309052
8.4,2018,2018-06-24,175,0.23849381506443024
8.5,2018,2018-07-18,199,0.19888237118721008
8.6,2018,2018-07-18,199,0.18352483212947845
8.7,2018,2018-07-18,199,0.1353578120470047
8.8,2018,2018-06-24,175,0.18280020356178284
8.9,2018,2018-06-24,175,0.23858384788036346
9.0,2018,2018-06-24,175,0.25163716077804565
9.1,2018,2018-05-31,151,0.26232579350471497
9.2,2018,2018-05-31,151,0.2612079977989197
9.3,2018,2018-05-07,127,0.2375829517841339
9.4,2018,2018-05-07,127,0.24412801861763
9.5,2018,2018-05-07,127,0.247359037399292
9.6,2018,2018-05-07,127,0.24489374458789825
9.7,2018,2018-05-19,139,0.24227462708950043
9.8,2018,2018-06-24,175,0.24514558911323547
9.9,2018,2018-06-24,175,0.2785286605358124
10.0,2018,2018-06-24,175,0.2969834804534912
10.1,2018,2018-05-19,139,0.2908688187599182
10.2,2018,2018-05-19,139,0.29162096977233887
10.3,2018,2018-05-19,139,0.2981388568878174
10.4,2018,2018-05-07,127,0.28399112820625305
10.5,2018,2018-05-07,127,0.28819480538368225
10.6,2018,2018-05-07,127,0.29000672698020935
10.7,2018,2018-03-08,67,0.3145180642604828
10.8,2018,2018-05-07,127,0.28422385454177856
10.9,2018,2018-05-07,127,0.3024064302444458
