distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,181.71428571428572,125.0,254.5,7,True
0.1,214.28571428571428,138.5,279.5,7,True
0.2,174.85714285714286,136.0,195.5,7,True
0.3,147.42857142857142,98.5,191.0,7,True
0.4,157.71428571428572,95.5,209.0,7,True
0.5,150.85714285714286,83.5,211.5,7,True
0.6,123.42857142857143,108.0,148.5,7,True
0.7,101.14285714285714,74.5,108.0,7,True
0.8,126.85714285714286,92.5,148.0,7,True
0.9,137.14285714285714,74.5,189.5,7,True
1.0,157.71428571428572,114.0,198.0,7,True
1.1,130.28571428571428,109.5,155.5,7,True
1.2,145.71428571428572,118.5,180.0,7,True
1.3,152.57142857142858,118.5,188.5,7,True
1.4,168.0,138.0,195.5,7,True
1.5,192.0,161.0,205.5,7,True
1.6,205.71428571428572,150.0,264.0,7,True
1.7,180.0,152.0,223.5,7,True
1.8,180.0,138.5,241.0,7,True
1.9,180.0,163.5,200.5,7,True
2.0,161.14285714285714,151.5,172.5,7,True
2.1,186.85714285714286,110.5,243.5,7,True
2.2,156.0,119.0,208.5,7,True
2.3,166.28571428571428,118.5,218.5,7,True
2.4,156.0,132.5,152.0,7,True
2.5,168.0,142.0,203.5,7,True
2.6,142.28571428571428,115.5,171.5,7,True
2.7,140.57142857142858,115.5,173.5,7,True
2.8,200.57142857142858,193.0,222.0,7,True
2.9,236.57142857142858,216.0,245.5,7,True
3.0,202.28571428571428,174.5,242.0,7,True
3.1,207.42857142857142,162.5,251.5,7,True
3.2,217.71428571428572,193.5,251.5,7,True
3.3,210.85714285714286,192.0,246.0,7,True
3.4,222.85714285714286,202.0,250.5,7,True
3.5,216.0,195.5,243.5,7,True
3.6,192.0,170.5,236.5,7,True
3.7,222.85714285714286,198.0,251.0,7,True
3.8,171.42857142857142,128.5,218.5,7,True
3.9,140.57142857142858,106.5,154.0,7,True
4.0,164.57142857142858,115.5,202.5,7,True
4.1,159.42857142857142,114.0,200.5,7,True
4.2,137.14285714285714,92.5,144.0,7,True
4.3,114.85714285714286,77.0,110.5,7,True
4.4,168.0,76.0,284.5,7,True
4.5,164.57142857142858,78.0,272.0,7,True
4.6,137.14285714285714,71.5,183.5,7,True
4.7,197.14285714285714,78.0,290.0,7,True
4.8,229.71428571428572,178.5,297.5,7,True
4.9,198.85714285714286,90.0,285.5,7,True
5.0,192.0,72.0,285.5,7,True
5.1,209.14285714285714,110.5,287.0,7,True
5.2,258.85714285714283,250.5,283.5,7,True
5.3,234.85714285714286,213.5,267.5,7,True
5.4,240.0,204.0,284.5,7,True
5.5,228.0,182.5,285.5,7,True
5.6,156.0,89.0,210.0,7,True
5.7,152.57142857142858,117.5,163.5,7,True
5.8,137.14285714285714,110.5,168.0,7,True
5.9,222.85714285714286,162.0,270.0,7,True
6.0,210.85714285714286,162.0,257.0,7,True
6.1,161.14285714285714,111.5,183.5,7,True
6.2,183.42857142857142,131.0,222.0,7,True
6.3,198.85714285714286,142.5,264.5,7,True
6.4,164.57142857142858,107.0,208.5,7,True
6.5,130.28571428571428,84.0,148.5,7,True
6.6,171.42857142857142,147.5,198.0,7,True
6.7,169.71428571428572,111.5,219.5,7,True
6.8,188.57142857142858,122.5,249.5,7,True
6.9,190.28571428571428,126.5,262.5,7,True
7.0,193.71428571428572,126.5,269.5,7,True
7.1,150.85714285714286,81.5,223.0,7,True
7.2,178.28571428571428,100.5,262.5,7,True
7.3,193.71428571428572,146.5,230.0,7,True
7.4,154.28571428571428,114.0,174.0,7,True
7.5,164.57142857142858,137.0,192.0,7,True
7.6,157.71428571428572,109.5,185.5,7,True
7.7,178.28571428571428,146.5,186.0,7,True
7.8,186.85714285714286,160.0,197.0,7,True
7.9,190.28571428571428,126.0,258.0,7,True
8.0,243.42857142857142,243.5,282.0,7,True
8.1,202.28571428571428,142.0,251.5,7,True
8.2,176.57142857142858,120.0,238.5,7,True
8.3,159.42857142857142,117.5,185.5,7,True
8.4,183.42857142857142,151.0,209.0,7,True
8.5,183.42857142857142,180.5,208.5,7,True
8.6,185.14285714285714,168.5,202.5,7,True
8.7,193.71428571428572,156.0,225.5,7,True
8.8,197.14285714285714,155.0,236.5,7,True
8.9,169.71428571428572,147.5,170.5,7,True
9.0,174.85714285714286,163.5,179.0,7,True
9.1,164.57142857142858,148.5,180.5,7,True
9.2,162.85714285714286,104.5,211.5,7,True
9.3,180.0,152.5,201.5,7,True
9.4,162.85714285714286,134.5,180.5,7,True
9.5,135.42857142857142,119.0,153.5,7,True
9.6,145.71428571428572,114.5,143.5,7,True
9.7,195.42857142857142,142.5,265.5,7,True
9.8,159.42857142857142,102.5,202.5,7,True
9.9,159.42857142857142,141.5,195.5,7,True
10.0,145.71428571428572,108.0,186.0,7,True
10.1,154.28571428571428,128.5,181.0,7,True
10.2,132.0,114.0,153.5,7,True
10.3,161.14285714285714,116.5,207.5,7,True
10.4,169.71428571428572,106.5,235.5,7,True
10.5,173.14285714285714,140.0,207.5,7,True
10.6,157.71428571428572,138.0,163.0,7,True
10.7,114.85714285714286,83.5,142.0,7,True
10.8,183.42857142857142,147.5,198.0,7,True
10.9,140.57142857142858,129.5,151.5,7,True
11.0,164.57142857142858,129.5,163.0,7,True
11.1,132.0,84.0,163.5,7,True
11.2,142.28571428571428,97.5,153.5,7,True
11.3,161.14285714285714,104.5,218.5,7,True
11.4,125.14285714285714,102.0,150.5,7,True
11.5,166.28571428571428,146.5,179.0,7,True
11.6,135.42857142857142,120.0,154.0,7,True
11.7,118.28571428571429,103.5,139.0,7,True
11.8,140.57142857142858,122.5,156.0,7,True
11.9,164.57142857142858,129.5,177.5,7,True
12.0,159.42857142857142,135.5,159.5,7,True
