s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,632383.1344500633,3921211.0257581812,6294.343,22.474209,0.062251996
0.1,632453.8451281822,3921281.7364362995,6226.555,21.28805,0.08232288
0.2,632524.5558063005,3921352.4471144187,6057.3105,27.22492,0.12887265
0.3,632595.2664844195,3921423.157792537,5922.7847,29.986717,0.1266885
0.4,632665.9771625383,3921493.8684706553,5781.6807,33.846916,0.17368144
0.5,632736.6878406566,3921564.5791487745,5743.228,35.803867,0.33567724
0.6,632809.9450201974,3921632.5951076644,5666.3047,37.358242,0.38459766
0.7,632886.4882547655,3921696.869999888,5634.2734,44.298088,0.3803845
0.8,632966.6428797063,3921756.5683567426,5612.4165,48.88497,0.35631698
0.9,633050.6646777324,3921810.6755357306,5601.7495,58.094673,0.32047367
1.0,633138.6704841278,3921858.002761885,5594.4033,68.097336,0.29082683
1.1,633230.5525351691,3921897.2309740414,5580.964,77.91413,0.25789788
1.2,633325.8938147892,3921927.009982406,5555.3267,79.64799,0.2228314
1.3,633423.9162581434,3921946.1167399557,5526.4272,74.74588,0.21267666
1.4,633521.673022247,3921966.5797842704,5470.532,78.56931,0.20855707
1.5,633616.6333532358,3921997.6169804945,5460.103,93.56232,0.22464302
1.6,633708.0495171912,3922037.9823129503,5437.5005,119.38227,0.24461699
1.7,633795.5353418197,3922086.3159152097,5407.795,140.48392,0.27095652
1.8,633879.0103105812,3922141.2998276944,5401.962,178.94395,0.29346716
1.9,633958.6128741191,3922201.7536293804,5390.8276,190.60448,0.30193982
2.0,634034.6144662597,3922266.67497022,5395.9165,193.56384,0.30592325
2.1,634107.3507914267,3922335.242099545,5391.3374,204.77356,0.29903954
2.2,634179.5337442936,3922404.340588494,5388.9067,201.87267,0.28424555
2.3,634256.4705994267,3922468.2076454703,5379.9614,193.05331,0.2833534
2.4,634338.8747918466,3922524.860527759,5373.01,174.4339,0.28056931
2.5,634425.2254491962,3922575.161541839,5368.709,154.28838,0.2843034
2.6,634514.930506366,3922619.125400273,5346.0483,143.11092,0.28831285
2.7,634607.4723654621,3922656.781170504,5337.2046,122.36034,0.34931016
2.8,634702.3374232544,3922688.308384522,5310.902,117.28265,0.465138
2.9,634799.3516732687,3922712.5619470263,5286.1045,103.76904,0.54311126
3.0,634897.6907886906,3922730.4455735562,5282.0356,90.498665,0.55794007
3.1,634996.7905410674,3922743.3058671127,5242.9146,81.56044,0.5852057
3.2,635096.2431372663,3922753.3413138897,5207.8794,78.77151,0.59872323
3.3,635194.5172424995,3922771.8399689924,5163.1675,86.06348,0.55912536
3.4,635291.0603088448,3922797.556078093,5074.8413,107.75259,0.4364815
3.5,635385.660966035,3922829.592802677,5062.455,143.09702,0.37078097
3.6,635477.9865378516,3922867.9101515715,5063.107,181.79692,0.3295467
3.7,635566.4783600899,3922914.4847948547,5056.3506,187.22372,0.27108276
3.8,635651.298683874,3922967.281867648,5054.409,199.98448,0.24892406
3.9,635732.7834183187,3923025.0734349308,5033.0723,217.07274,0.22063719
4.0,635810.8702992634,3923087.542939686,5033.491,210.20831,0.21989135
4.1,635883.3085075952,3923156.4707912304,5029.8853,217.72057,0.17746049
4.2,635952.504542235,3923228.5492980354,5018.387,210.33679,0.16041923
4.3,636018.9745853705,3923303.25975998,5023.532,191.85907,0.13802005
4.4,636086.7548668445,3923376.7841331037,5023.319,158.49423,0.1437241
4.5,636155.6211994814,3923449.2845164407,5005.0195,129.47719,0.1399948
4.6,636225.9436032114,3923520.367224749,4959.5684,101.52356,0.24187392
4.7,636298.3455373979,3923589.321520368,4917.3955,100.45787,0.30518416
4.8,636373.825630054,3923654.868459073,4892.7676,101.826035,0.34970108
4.9,636454.0897686636,3923714.4011973892,4879.5444,96.386604,0.42431933
5.0,636545.5898552957,3923753.1569769983,4861.2915,84.35015,0.4792589
5.1,636644.643128573,3923766.2269515516,4808.0195,66.31569,0.5505069
