distance_km,year,onset_date,onset_doy
0.1,2018,2018-05-19,139
0.3,2018,2018-03-20,79
0.4,2018,2018-03-20,79
0.5,2018,2018-03-20,79
0.7,2018,2018-04-13,103
1.7,2018,2018-05-07,127
3.1,2018,2018-04-13,103
3.2,2018,2018-04-13,103
3.3,2018,2018-04-13,103
3.4,2018,2018-04-13,103
3.5,2018,2018-05-07,127
3.6,2018,2018-03-08,67
3.9,2018,2018-05-31,151
4.2,2018,2018-03-08,67
4.3,2018,2018-03-08,67
4.4,2018,2018-05-19,139
5.0,2018,2018-05-07,127
5.1,2018,2018-05-07,127
5.4,2018,2018-03-08,67
5.5,2018,2018-03-08,67
5.6,2018,2018-03-08,67
6.3,2018,2018-03-08,67
7.8,2018,2018-04-13,103
7.9,2018,2018-03-08,67
8.0,2018,2018-04-13,103
9.8,2018,2018-04-13,103
9.9,2018,2018-04-13,103
10.0,2018,2018-05-31,151
10.1,2018,2018-05-31,151
10.3,2018,2018-05-19,139
11.1,2018,2018-05-19,139
11.9,2018,2018-05-31,151
12.2,2018,2018-05-19,139
12.3,2018,2018-05-19,139
12.5,2018,2018-05-31,151
13.1,2018,2018-05-31,151
13.2,2018,2018-05-31,151
13.3,2018,2018-05-31,151
13.4,2018,2018-05-31,151
13.5,2018,2018-05-31,151
13.6,2018,2018-05-31,151
13.7,2018,2018-05-19,139
13.8,2018,2018-05-19,139
13.9,2018,2018-05-19,139
14.0,2018,2018-05-07,127
14.1,2018,2018-05-31,151
14.2,2018,2018-05-31,151
14.3,2018,2018-05-31,151
14.4,2018,2018-05-31,151
14.5,2018,2018-05-31,151
14.6,2018,2018-05-31,151
14.7,2018,2018-05-31,151
14.8,2018,2018-05-19,139
14.9,2018,2018-05-19,139
15.0,2018,2018-05-19,139
15.1,2018,2018-05-19,139
15.2,2018,2018-05-19,139
15.3,2018,2018-05-19,139
15.4,2018,2018-05-19,139
15.5,2018,2018-05-31,151
15.6,2018,2018-05-31,151
15.7,2018,2018-05-19,139
15.8,2018,2018-05-19,139
15.9,2018,2018-05-31,151
16.0,2018,2018-05-31,151
16.1,2018,2018-05-31,151
16.2,2018,2018-05-31,151
16.3,2018,2018-05-19,139
16.4,2018,2018-05-07,127
16.5,2018,2018-05-07,127
16.6,2018,2018-05-07,127
16.7,2018,2018-05-07,127
16.8,2018,2018-05-07,127
16.9,2018,2018-05-07,127
17.0,2018,2018-05-07,127
17.1,2018,2018-05-07,127
17.2,2018,2018-05-07,127
17.3,2018,2018-05-07,127
17.4,2018,2018-05-07,127
17.5,2018,2018-05-07,127
17.6,2018,2018-05-07,127
17.7,2018,2018-05-07,127
17.8,2018,2018-05-07,127
17.9,2018,2018-05-07,127
18.0,2018,2018-05-07,127
18.1,2018,2018-05-07,127
18.2,2018,2018-05-07,127
18.3,2018,2018-05-07,127
18.4,2018,2018-05-07,127
