distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,65.8,63.0,69.0,62,70,5,True
0.1,98.0,63.5,127.5,62,166,6,True
0.2,103.0,92.0,114.0,81,125,2,True
0.3,87.0,75.0,92.0,63,125,4,True
0.4,91.2,79.0,105.0,63,120,5,True
0.5,84.0,75.0,93.0,63,105,4,True
0.6,76.0,61.5,84.0,60,105,3,True
0.7,100.8,69.0,132.0,63,137,5,True
0.8,101.4,99.0,106.0,72,129,5,True
0.9,115.5,95.75,138.75,65,159,4,True
1.0,89.0,89.0,89.0,89,89,1,True
1.1,94.0,67.5,108.5,65,147,3,True
1.2,94.0,67.5,108.5,65,147,3,True
1.3,89.0,67.5,101.0,65,132,3,True
1.4,110.0,91.5,132.5,65,147,3,True
1.5,122.0,103.5,144.5,77,159,3,True
1.6,103.5,90.25,116.75,77,130,2,True
1.7,112.8,96.0,127.0,77,141,5,True
1.8,132.6,125.0,141.0,96,166,5,True
1.9,104.83333333333333,75.75,121.25,63,166,6,True
2.0,114.0,108.75,131.25,69,135,4,True
2.1,92.66666666666667,78.0,104.5,69,122,3,True
2.2,100.33333333333333,85.5,113.0,75,130,3,True
2.3,116.5,87.75,153.25,63,154,4,True
2.4,101.4,89.0,105.0,63,154,5,True
2.5,95.5,67.5,110.5,63,154,4,True
2.6,108.6,69.0,154.0,63,161,5,True
2.7,61.5,60.75,62.25,60,63,2,True
2.8,79.5,62.25,87.25,60,118,4,True
2.9,85.6,63.0,110.0,60,118,5,True
3.0,108.0,89.0,132.0,60,146,3,True
3.1,106.75,92.25,125.0,60,146,4,True
3.2,103.0,81.5,124.5,60,146,3,True
3.3,108.8,103.0,118.0,60,146,5,True
3.4,111.2,103.0,118.0,60,158,5,True
3.5,107.16666666666667,76.5,124.75,60,158,6,True
3.6,73.66666666666667,64.0,84.0,60,94,6,True
3.7,74.5,62.25,78.25,60,106,4,True
3.8,92.33333333333333,89.0,96.5,84,99,3,True
3.9,109.66666666666667,89.0,122.5,84,151,3,True
4.0,93.6,74.0,94.0,69,147,5,True
4.1,108.5,83.75,120.75,77,165,4,True
4.2,79.75,66.5,87.75,65,105,4,True
4.3,85.5,70.75,97.5,65,105,6,True
4.4,98.0,87.0,105.0,65,139,5,True
4.5,114.5,106.0,120.0,94,141,4,True
4.6,96.75,82.5,114.25,69,118,4,True
4.7,108.75,81.5,129.75,65,165,4,True
4.8,102.2,84.0,113.0,69,158,5,True
4.9,106.0,80.25,124.25,69,158,4,True
5.0,116.2,110.0,127.0,84,135,5,True
5.1,114.0,103.5,129.0,84,135,4,True
5.2,83.66666666666667,76.5,91.0,69,98,3,True
5.3,98.0,98.0,98.0,98,98,1,True
5.4,84.66666666666667,72.0,93.5,67,110,3,True
5.5,88.66666666666667,72.0,99.5,67,122,3,True
5.6,118.66666666666667,95.0,144.5,67,166,3,True
5.7,108.0,107.0,109.0,106,110,2,True
5.8,101.2,89.0,110.0,60,141,5,True
5.9,80.5,71.75,89.25,65,96,4,True
6.0,90.4,74.0,106.0,65,120,5,True
6.1,118.5,106.25,139.75,65,154,4,True
6.2,127.8,118.0,135.0,89,165,5,True
6.3,105.0,83.5,115.5,67,165,4,True
6.4,109.25,87.75,115.5,84,165,4,True
6.5,111.0,89.0,118.0,84,165,5,True
6.6,83.2,74.0,89.0,60,118,5,True
6.7,104.5,102.75,106.25,101,108,2,True
6.8,98.33333333333333,85.0,117.5,60,125,3,True
6.9,120.0,120.0,120.0,120,120,1,True
7.0,120.0,120.0,120.0,120,120,1,True
7.1,128.5,124.25,132.75,120,137,2,True
7.2,118.33333333333333,98.5,133.0,89,158,3,True
7.3,118.33333333333333,98.5,133.0,89,158,3,True
7.4,74.5,67.25,81.75,60,89,2,True
7.5,60.0,60.0,60.0,60,60,1,True
7.6,65.0,62.5,67.5,60,70,2,True
7.7,65.0,62.5,67.5,60,70,2,True
7.8,81.5,70.75,92.25,60,103,2,True
7.9,77.33333333333333,63.5,86.0,60,105,3,True
8.0,89.33333333333333,81.5,104.0,60,105,3,True
8.1,82.5,71.25,93.75,60,105,2,True
8.2,90.33333333333333,83.0,99.5,72,105,3,True
8.3,72.0,72.0,72.0,72,72,1,True
8.4,149.0,149.0,149.0,149,149,1,True
8.5,89.0,89.0,89.0,89,89,1,True
8.6,65.0,65.0,65.0,65,65,1,True
8.7,89.0,89.0,89.0,89,89,1,True
8.8,89.0,89.0,89.0,89,89,1,True
8.9,115.0,98.0,132.0,81,149,2,True
9.0,82.5,81.75,83.25,81,84,2,True
9.1,60.0,60.0,60.0,60,60,1,True
9.2,60.0,60.0,60.0,60,60,1,True
9.5,129.5,111.75,147.25,94,165,2,True
9.6,165.0,165.0,165.0,165,165,1,True
9.7,104.66666666666667,74.5,124.5,65,165,3,True
9.8,86.5,79.25,96.25,65,103,4,True
9.9,119.6,103.0,135.0,65,165,5,True
10.0,127.66666666666667,99.75,152.5,65,166,6,True
10.1,129.8,125.0,151.0,60,166,5,True
10.2,110.66666666666667,92.5,130.0,72,147,3,True
10.3,101.0,82.0,120.0,63,139,2,True
10.4,63.0,63.0,63.0,63,63,1,True
10.5,159.0,159.0,159.0,159,159,1,True
11.1,139.0,139.0,139.0,139,139,1,True
11.5,154.0,151.5,156.5,149,159,2,True
11.6,149.0,149.0,149.0,149,149,1,True
11.7,157.66666666666666,154.0,162.0,149,165,3,True
11.8,157.66666666666666,154.0,162.0,149,165,3,True
11.9,150.0,148.5,151.5,147,153,4,True
12.0,147.0,147.0,147.0,147,147,1,True
12.2,143.0,141.0,145.0,139,147,2,True
12.3,149.0,143.0,154.0,139,161,3,True
12.4,154.0,150.5,157.5,147,161,2,True
12.5,149.0,144.0,155.0,137,159,3,True
12.6,147.0,147.0,147.0,147,147,1,True
12.7,147.0,147.0,147.0,147,147,1,True
12.8,158.0,158.0,158.0,158,158,1,True
12.9,120.0,120.0,120.0,120,120,1,True
