distance_km,year,peak_date,peak_doy,peak_val
0.0,2018,2018-03-20,79,0.9377077221870422
0.1,2018,2018-07-30,211,1.0631593465805054
0.2,2018,2018-06-24,175,0.8641883134841919
0.3,2018,2018-04-13,103,0.7546707391738892
0.4,2018,2018-08-11,223,0.6628817915916443
0.5,2018,2018-08-11,223,0.5618330836296082
0.6,2018,2018-08-23,235,0.4083669185638428
0.7,2018,2018-07-18,199,0.319136381149292
0.8,2018,2018-03-08,67,0.43210530281066895
0.9,2018,2018-09-28,271,0.48328858613967896
1.0,2018,2018-10-22,295,0.4729323983192444
1.1,2018,2018-08-11,223,0.5094767808914185
1.2,2018,2018-08-11,223,0.5063876509666443
1.3,2018,2018-09-28,271,0.44484779238700867
1.4,2018,2018-09-28,271,0.4530300796031952
1.5,2018,2018-09-04,247,0.4365161955356598
1.6,2018,2018-08-11,223,0.498169869184494
1.7,2018,2018-06-24,175,0.6028128862380981
1.8,2018,2018-05-07,127,0.5263262391090393
1.9,2018,2018-06-24,175,0.6636204123497009
2.0,2018,2018-05-07,127,0.638999879360199
2.1,2018,2018-05-07,127,0.6178238987922668
2.2,2018,2018-03-20,79,0.668773889541626
2.3,2018,2018-06-24,175,0.6019130349159241
2.4,2018,2018-03-20,79,0.7127231359481812
2.5,2018,2018-10-10,283,0.7383121252059937
2.6,2018,2018-07-18,199,0.6397182941436768
2.7,2018,2018-08-11,223,0.40237152576446533
2.8,2018,2018-08-11,223,0.40237152576446533
2.9,2018,2018-05-19,139,0.293741375207901
3.0,2018,2018-10-22,295,0.3702765107154846
3.1,2018,2018-08-23,235,0.31199997663497925
3.2,2018,2018-08-23,235,0.45697280764579773
3.3,2018,2018-08-23,235,0.4741540253162384
3.4,2018,2018-08-23,235,0.44793421030044556
3.5,2018,2018-08-23,235,0.3774171471595764
3.6,2018,2018-09-04,247,0.3190281391143799
3.7,2018,2018-08-11,223,0.3040807247161865
3.8,2018,2018-08-11,223,0.36089831590652466
3.9,2018,2018-06-24,175,0.794338047504425
4.0,2018,2018-07-30,211,0.42047154903411865
4.1,2018,2018-03-20,79,0.5658920407295227
4.2,2018,2018-03-20,79,0.648533284664154
4.3,2018,2018-03-20,79,0.6631167531013489
4.4,2018,2018-08-11,223,0.7148334383964539
4.5,2018,2018-08-23,235,1.1523685455322266
4.6,2018,2018-07-30,211,0.7932189702987671
4.7,2018,2018-09-28,271,0.9910381436347961
4.8,2018,2018-04-13,103,0.9206337332725525
4.9,2018,2018-08-11,223,0.7642135620117188
5.0,2018,2018-08-23,235,1.1028766632080078
5.1,2018,2018-05-07,127,0.7594682574272156
5.2,2018,2018-08-23,235,0.7442363500595093
5.3,2018,2018-08-23,235,0.8161138892173767
5.4,2018,2018-09-16,259,0.685149073600769
5.5,2018,2018-09-16,259,0.6490761041641235
5.6,2018,2018-10-22,295,0.6244748830795288
5.7,2018,2018-04-13,103,0.48829910159111023
5.8,2018,2018-10-22,295,0.6328214406967163
5.9,2018,2018-06-24,175,0.8324184417724609
6.0,2018,2018-06-24,175,0.7481628060340881
6.1,2018,2018-09-04,247,0.5413181781768799
6.2,2018,2018-09-04,247,0.722625195980072
6.3,2018,2018-07-18,199,0.6698301434516907
6.4,2018,2018-07-18,199,0.6010246872901917
6.5,2018,2018-08-23,235,0.6015174984931946
6.6,2018,2018-05-31,151,0.7058086395263672
6.7,2018,2018-05-31,151,0.9312313795089722
6.8,2018,2018-03-08,67,1.0697017908096313
6.9,2018,2018-08-23,235,1.256626009941101
7.0,2018,2018-10-22,295,1.1196279525756836
7.1,2018,2018-05-07,127,1.0760436058044434
7.2,2018,2018-03-08,67,1.0637294054031372
7.3,2018,2018-03-08,67,1.0128737688064575
7.4,2018,2018-05-31,151,1.0130668878555298
7.5,2018,2018-05-31,151,1.046377182006836
7.6,2018,2018-05-31,151,1.029813289642334
7.7,2018,2018-05-07,127,0.9751695990562439
7.8,2018,2018-05-07,127,0.9470346570014954
7.9,2018,2018-05-07,127,1.1099159717559814
8.0,2018,2018-09-04,247,0.8343923687934875
8.1,2018,2018-05-31,151,1.1092684268951416
8.2,2018,2018-05-31,151,1.204342246055603
8.3,2018,2018-08-11,223,1.1237858533859253
8.4,2018,2018-09-28,271,1.0085399150848389
8.5,2018,2018-09-28,271,0.9518725872039795
8.6,2018,2018-05-31,151,1.0394312143325806
8.7,2018,2018-05-31,151,1.3610631227493286
8.8,2018,2018-03-20,79,1.068973422050476
8.9,2018,2018-03-20,79,0.9704325199127197
9.0,2018,2018-08-11,223,1.1073682308197021
9.1,2018,2018-08-11,223,1.1329824924468994
9.2,2018,2018-03-08,67,1.1007448434829712
9.3,2018,2018-04-13,103,1.1715869903564453
9.4,2018,2018-06-24,175,1.3034180402755737
