distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,149.14285714285714,80.5,207.5,7,True
0.1,149.14285714285714,99.5,190.5,7,True
0.2,178.28571428571428,146.0,216.0,7,True
0.3,171.42857142857142,114.0,225.5,7,True
0.4,210.85714285714286,195.5,242.5,7,True
0.5,166.28571428571428,106.5,210.0,7,True
0.6,166.28571428571428,119.5,233.0,7,True
0.7,186.85714285714286,134.5,240.5,7,True
0.8,192.0,164.5,240.5,7,True
0.9,192.0,145.0,241.0,7,True
1.0,190.28571428571428,121.0,246.5,7,True
1.1,200.57142857142858,170.5,230.5,7,True
1.2,222.85714285714286,217.0,250.0,7,True
1.3,204.0,168.0,250.5,7,True
1.4,192.0,157.5,223.5,7,True
1.5,216.0,214.5,242.5,7,True
1.6,207.42857142857142,193.0,237.5,7,True
1.7,193.71428571428572,141.5,249.5,7,True
1.8,200.57142857142858,146.5,256.5,7,True
1.9,162.85714285714286,133.5,189.5,7,True
2.0,176.57142857142858,130.5,234.0,7,True
2.1,210.85714285714286,181.5,254.5,7,True
2.2,180.0,119.0,251.5,7,True
2.3,209.14285714285714,164.5,271.5,7,True
2.4,178.28571428571428,89.0,277.0,7,True
2.5,210.85714285714286,153.5,286.5,7,True
2.6,169.71428571428572,121.0,207.5,7,True
2.7,186.85714285714286,175.5,219.5,7,True
2.8,173.14285714285714,145.5,202.5,7,True
2.9,173.14285714285714,148.5,204.0,7,True
3.0,204.0,184.0,217.0,7,True
3.1,210.85714285714286,184.0,249.5,7,True
3.2,190.28571428571428,175.0,212.5,7,True
3.3,190.28571428571428,176.5,212.5,7,True
3.4,190.28571428571428,176.5,212.5,7,True
3.5,200.57142857142858,176.5,221.0,7,True
3.6,162.85714285714286,103.5,222.0,7,True
3.7,234.85714285714286,212.0,279.5,7,True
3.8,168.0,128.5,215.0,7,True
3.9,209.14285714285714,170.5,267.5,7,True
4.0,209.14285714285714,187.5,215.5,7,True
4.1,168.0,163.5,192.0,7,True
4.2,132.0,88.5,169.0,7,True
4.3,156.0,107.5,200.5,7,True
4.4,156.0,105.5,210.0,7,True
4.5,183.42857142857142,123.5,237.5,7,True
4.6,195.42857142857142,179.5,225.5,7,True
4.7,209.14285714285714,174.0,252.0,7,True
4.8,161.14285714285714,133.5,176.5,7,True
4.9,176.57142857142858,159.5,193.5,7,True
5.0,185.14285714285714,141.5,239.0,7,True
5.1,123.42857142857143,109.0,136.0,7,True
5.2,144.0,97.0,194.5,7,True
5.3,147.42857142857142,98.5,170.5,7,True
5.4,161.14285714285714,102.5,208.5,7,True
5.5,126.85714285714286,88.0,139.0,7,True
5.6,188.57142857142858,151.5,211.0,7,True
5.7,190.28571428571428,138.5,238.5,7,True
5.8,204.0,141.5,265.0,7,True
5.9,190.28571428571428,147.5,230.5,7,True
6.0,168.0,136.5,213.5,7,True
6.1,192.0,157.5,215.0,7,True
6.2,174.85714285714286,130.0,241.0,7,True
6.3,185.14285714285714,156.0,219.5,7,True
6.4,198.85714285714286,169.0,235.0,7,True
6.5,183.42857142857142,125.0,245.0,7,True
6.6,161.14285714285714,134.5,158.0,7,True
6.7,188.57142857142858,136.5,240.5,7,True
6.8,162.85714285714286,115.0,202.0,7,True
6.9,180.0,145.5,226.5,7,True
7.0,212.57142857142858,158.5,272.5,7,True
7.1,202.28571428571428,162.0,230.5,7,True
7.2,186.85714285714286,168.0,228.0,7,True
7.3,200.57142857142858,183.5,247.0,7,True
7.4,204.0,170.5,242.5,7,True
7.5,202.28571428571428,169.0,227.0,7,True
7.6,210.85714285714286,169.0,241.0,7,True
7.7,202.28571428571428,140.0,266.5,7,True
7.8,202.28571428571428,161.0,247.0,7,True
7.9,205.71428571428572,161.0,247.0,7,True
8.0,205.71428571428572,159.5,242.0,7,True
8.1,142.28571428571428,124.5,154.5,7,True
8.2,157.71428571428572,116.5,192.0,7,True
8.3,171.42857142857142,116.5,230.0,7,True
8.4,192.0,133.0,251.0,7,True
8.5,217.71428571428572,187.0,248.5,7,True
8.6,168.0,152.0,194.5,7,True
8.7,142.28571428571428,103.0,171.5,7,True
