s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,649913.2354917668,3959355.964359567,6523.861,34.151405,0.45630583
0.1,649923.6173883575,3959455.420158332,6338.964,40.482098,0.3649455
0.2,649930.2679528581,3959555.1938413656,6254.638,40.0058,0.29018435
0.3,649933.1138564964,3959655.1439285893,6226.348,42.162704,0.2670663
0.4,649927.7886622003,3959754.6882219575,6258.5254,43.564636,0.25108892
0.5,649905.0358971995,3959851.785972933,6268.8994,46.01896,0.26287398
0.6,649868.5731419958,3959944.6862383434,6274.5923,48.81124,0.2777857
0.7,649821.9063845868,3960032.9840500974,6281.155,48.653156,0.28285062
0.8,649767.7975806644,3960117.019579141,6304.0933,50.54587,0.2832077
0.9,649707.4118118652,3960196.7287939563,6274.732,50.634407,0.2683911
1.0,649642.0792875937,3960272.391273133,6287.7646,48.68352,0.24085316
1.1,649573.9185012995,3960345.4974502404,6313.8887,47.389614,0.22863606
1.2,649503.2078231808,3960416.208128359,6309.9976,46.785027,0.22712949
1.3,649429.2670424258,3960483.5142277074,6326.603,48.279003,0.22763413
1.4,649353.3729813449,3960548.449075264,6291.787,49.826767,0.23023239
1.5,649271.6247380316,3960606.044428507,6259.855,50.506535,0.2403132
1.6,649186.6073343685,3960658.368127862,6255.8965,51.01882,0.23716146
1.7,649098.678137715,3960705.9964427166,6225.5195,47.366783,0.23110479
1.8,649006.8027110703,3960745.2450576187,6245.7856,43.53765,0.24913354
1.9,648913.8369022871,3960781.9883676735,6368.305,40.79377,0.26890236
2.0,648817.6845075232,3960809.4604804637,6428.2227,39.878662,0.236643
2.1,648720.9790451522,3960834.5684771226,6401.646,40.153446,0.22546779
2.2,648622.6183894145,3960852.601264008,6228.488,44.633118,0.21977638
2.3,648523.8437366115,3960867.6399187823,6204.507,46.322548,0.21287283
2.4,648424.2803140057,3960876.973989652,6185.085,49.00041,0.21524695
2.5,648324.5740749735,3960883.6703271247,6151.2173,51.304947,0.2252457
2.6,648224.5848863687,3960885.140756369,6152.584,52.765675,0.22627555
2.7,648124.6257892018,3960885.136091305,6147.29,53.28343,0.2188298
2.8,648024.7797538813,3960879.589089343,6164.203,52.614662,0.19909334
2.9,647924.9337185607,3960874.0420873803,6154.1216,52.846775,0.18053238
3.0,647824.943167283,3960873.0717844386,6147.494,52.83821,0.18269373
3.1,647724.9460807388,3960872.3084478998,6118.693,50.44808,0.18947005
3.2,647625.0637287315,3960876.859728658,6103.8716,49.126232,0.1887548
3.3,647525.2327810358,3960882.3968948615,6063.682,45.471775,0.18736757
3.4,647425.9905205615,3960894.684031874,5981.005,55.81476,0.18501483
3.5,647327.3741435979,3960910.6476848046,5950.5522,65.84625,0.17455739
3.6,647229.6565072055,3960931.8906492367,5925.4116,76.93603,0.16787115
3.7,647134.8432367417,3960963.559142301,5924.7856,93.15132,0.1745942
3.8,647043.8546407197,3961004.4432062004,5899.4917,101.99572,0.20192066
3.9,646959.6122490831,3961057.548621533,5906.4873,107.16095,0.24265428
4.0,646886.9685536978,3961125.426458402,5875.3223,113.69667,0.2604822
4.1,646827.128988686,3961205.341476421,5841.9688,133.89352,0.27939373
4.2,646776.1422425068,3961291.2158471495,5812.901,156.27171,0.27902442
4.3,646733.0407672133,3961381.3482793476,5806.7827,170.21799,0.3007621
4.4,646696.7186084293,3961474.470380588,5805.755,188.3292,0.33470678
4.5,646666.6054716355,3961569.8286471013,5800.692,199.83041,0.4235543
4.6,646642.6817884356,3961666.907677494,5794.925,196.2083,0.4922705
4.7,646622.7594823114,3961764.857949831,5782.6787,196.94731,0.48517978
4.8,646606.1093457511,3961863.4427235634,5766.0747,194.15071,0.5091373
4.9,646593.8318057677,3961962.68617177,5755.0366,187.96732,0.4670388
5.0,646584.4852874496,3962062.2234926578,5748.2637,180.38905,0.4707874
5.1,646576.8045611285,3962161.927990593,5734.973,165.09593,0.4607599
5.2,646567.3731063562,3962261.4822354093,5719.128,137.61809,0.4689617
5.3,646556.849993728,3962360.92131485,5702.4204,118.56934,0.48103887
5.4,646544.8787986421,3962460.197500025,5681.6597,105.20073,0.4745201
5.5,646530.7366630186,3962559.192449391,5652.5215,102.76866,0.45671844
5.6,646513.5292635652,3962657.6981216543,5591.9067,110.82472,0.4339977
5.7,646492.5570396995,3962755.4638020424,5567.544,130.64891,0.405872
5.8,646465.1716455582,3962851.5941382744,5564.133,151.33075,0.3658604
5.9,646426.3493634262,3962943.581081183,5562.3057,172.98045,0.35174674
6.0,646387.2924998992,3963035.5757126366,5536.6606,179.90765,0.33574042
6.1,646357.8603440383,3963131.0661448753,5531.2227,179.94505,0.33479458
6.2,646339.461846584,3963229.268174341,5533.515,182.03047,0.33440483
6.3,646333.1138564963,3963328.969957167,5513.3105,181.39668,0.30879903
6.4,646324.0589732247,3963428.3448058227,5502.353,172.46452,0.28803638
6.5,646297.6548024068,3963524.609572615,5491.8228,169.00397,0.30711365
6.6,646256.7874414821,3963615.7434995123,5480.631,163.86858,0.40521315
6.7,646204.5554570372,3963700.950608505,5464.961,159.5429,0.49004373
6.8,646152.5502117411,3963785.4300387017,5455.1035,155.19554,0.689635
6.9,646121.8571257694,3963880.358291452,5431.4434,149.8217,0.809875
7.0,646100.3960783788,3963977.974912081,5417.8296,153.52821,0.8887779
7.1,646085.2661597773,3964076.8237136067,5394.853,160.60988,0.8679405
7.2,646073.5091662066,3964176.098997939,5380.983,163.15065,0.8839522
7.3,646063.5587943047,3964275.60271696,5355.617,175.49747,0.8734709
7.4,646056.388277841,3964375.333447162,5349.8823,187.71077,0.81825995
7.5,646050.0629415666,3964475.133197267,5343.6084,204.65477,0.7456741
7.6,646045.1887331739,3964575.005465857,5343.1763,221.57559,0.7294541
7.7,646041.532642589,3964674.9386085155,5336.9424,236.38737,0.6924795
7.8,646037.8765520039,3964774.8717511743,5323.6123,246.57994,0.6454444
7.9,646036.221831597,3964874.8576388313,5320.169,245.8397,0.6258516
8.0,646034.6091381254,3964974.8446340845,5310.8447,245.1478,0.6070961
8.1,646033.1138564973,3965074.8325761454,5303.576,238.01126,0.58094764
8.2,646033.113856497,3965174.8325761454,5294.322,231.29968,0.5827515
8.3,646033.1138564966,3965274.8325761454,5283.621,224.04883,0.5990197
8.4,646033.1138564963,3965374.8325761454,5266.0063,223.89482,0.61855155
8.5,646033.9799188436,3965474.8280180492,5252.7344,227.08798,0.6280448
8.6,646035.0324921097,3965574.8224783433,5235.8203,228.02917,0.66011566
8.7,646036.0850653758,3965674.8169386373,5222.213,231.44534,0.75020283
8.8,646038.2241112158,3965774.793047996,5207.93,233.52783,0.80334616
8.9,646040.5490639908,3965874.7660173154,5196.828,230.34972,0.853768
9.0,646043.1338101453,3965974.73090537,5185.664,221.96716,0.8792825
9.1,646047.0269603337,3966074.655093541,5156.631,213.26865,0.87680346
9.2,646050.9201105221,3966174.5792817115,5143.951,210.0273,0.8633349
9.3,646056.3125669397,3966274.430172588,5130.547,210.36484,0.91102743
9.4,646062.1847691349,3966374.2576099057,5126.171,213.24324,0.9046298
9.5,646069.674606514,3966473.9689452583,5115.262,219.18607,0.8868213
9.6,646078.1189141828,3966573.611775748,5095.079,224.58852,0.88353497
9.7,646089.2649776592,3966672.9781047334,5076.3506,222.42244,0.87089115
9.8,646102.1863436872,3966772.119520016,5053.941,221.734,0.8434918
9.9,646119.0159899765,3966870.693162567,5039.114,223.82753,0.76429856
10.0,646142.5646994505,3966967.8554668594,5008.535,236.18054,0.69373035
10.1,646175.5964137112,3967062.178230023,4995.3403,257.4506,0.6363021
10.2,646217.5442003312,3967152.8748056353,4984.871,288.39035,0.6115103
10.3,646267.3304572211,3967239.50378813,4979.291,319.73404,0.6176249
