distance_km,year,onset_date,onset_doy
0.3,2018,2018-04-13,103
0.6,2018,2018-05-31,151
1.3,2018,2018-05-07,127
1.5,2018,2018-04-13,103
1.6,2018,2018-04-13,103
1.7,2018,2018-05-07,127
1.8,2018,2018-05-07,127
1.9,2018,2018-04-13,103
2.0,2018,2018-05-07,127
2.1,2018,2018-05-07,127
2.2,2018,2018-05-07,127
2.3,2018,2018-05-07,127
2.4,2018,2018-03-20,79
2.5,2018,2018-03-20,79
2.8,2018,2018-03-08,67
3.6,2018,2018-05-07,127
3.7,2018,2018-03-08,67
4.0,2018,2018-03-20,79
4.2,2018,2018-03-20,79
4.4,2018,2018-03-08,67
4.5,2018,2018-03-08,67
4.6,2018,2018-03-08,67
4.7,2018,2018-03-08,67
4.8,2018,2018-03-08,67
4.9,2018,2018-03-20,79
5.0,2018,2018-03-20,79
5.1,2018,2018-03-20,79
5.2,2018,2018-03-20,79
5.3,2018,2018-04-13,103
5.4,2018,2018-04-13,103
5.7,2018,2018-03-20,79
5.8,2018,2018-03-20,79
5.9,2018,2018-03-20,79
6.0,2018,2018-03-08,67
6.1,2018,2018-03-08,67
6.2,2018,2018-03-20,79
6.3,2018,2018-05-31,151
6.4,2018,2018-05-31,151
6.5,2018,2018-03-20,79
6.8,2018,2018-03-08,67
6.9,2018,2018-03-08,67
7.0,2018,2018-03-08,67
7.1,2018,2018-03-08,67
7.2,2018,2018-03-08,67
7.3,2018,2018-05-07,127
8.7,2018,2018-03-08,67
8.8,2018,2018-05-31,151
8.9,2018,2018-05-31,151
9.0,2018,2018-05-31,151
9.9,2018,2018-05-07,127
10.0,2018,2018-05-07,127
10.1,2018,2018-05-07,127
10.2,2018,2018-05-07,127
10.3,2018,2018-05-07,127
10.4,2018,2018-05-07,127
10.5,2018,2018-05-07,127
10.7,2018,2018-05-19,139
10.9,2018,2018-05-19,139
11.0,2018,2018-05-19,139
11.2,2018,2018-05-19,139
11.6,2018,2018-05-19,139
12.5,2018,2018-03-20,79
12.6,2018,2018-03-20,79
12.9,2018,2018-03-08,67
13.0,2018,2018-03-08,67
13.1,2018,2018-03-08,67
13.2,2018,2018-03-08,67
14.5,2018,2018-05-31,151
14.6,2018,2018-05-31,151
14.7,2018,2018-05-31,151
14.8,2018,2018-05-31,151
14.9,2018,2018-03-08,67
15.0,2018,2018-03-08,67
15.1,2018,2018-03-08,67
15.2,2018,2018-03-08,67
15.3,2018,2018-03-08,67
15.4,2018,2018-03-08,67
15.5,2018,2018-03-08,67
15.6,2018,2018-03-08,67
15.7,2018,2018-03-08,67
15.8,2018,2018-03-08,67
15.9,2018,2018-04-13,103
16.0,2018,2018-03-20,79
16.1,2018,2018-03-08,67
16.2,2018,2018-03-08,67
16.3,2018,2018-04-13,103
16.4,2018,2018-03-20,79
16.7,2018,2018-05-31,151
16.9,2018,2018-03-08,67
17.0,2018,2018-03-08,67
17.1,2018,2018-03-08,67
17.2,2018,2018-03-08,67
17.3,2018,2018-03-08,67
17.4,2018,2018-05-19,139
17.5,2018,2018-04-13,103
17.6,2018,2018-04-13,103
17.7,2018,2018-05-19,139
18.0,2018,2018-03-08,67
18.2,2018,2018-03-20,79
18.3,2018,2018-03-20,79
18.4,2018,2018-05-07,127
18.5,2018,2018-05-19,139
18.6,2018,2018-05-19,139
19.4,2018,2018-03-20,79
19.5,2018,2018-03-08,67
19.6,2018,2018-03-08,67
19.7,2018,2018-03-08,67
21.5,2018,2018-03-08,67
21.6,2018,2018-03-08,67
21.62,2018,2018-03-08,67
0.1,2019,2019-04-08,98
0.2,2019,2019-03-27,86
0.3,2019,2019-03-03,62
0.4,2019,2019-03-03,62
0.5,2019,2019-03-03,62
0.6,2019,2019-03-03,62
0.7,2019,2019-03-03,62
0.8,2019,2019-03-03,62
1.2,2019,2019-03-27,86
1.3,2019,2019-03-03,62
1.4,2019,2019-05-14,134
1.5,2019,2019-05-02,122
1.6,2019,2019-05-02,122
1.9,2019,2019-05-14,134
2.0,2019,2019-03-15,74
2.1,2019,2019-03-03,62
2.2,2019,2019-03-03,62
2.3,2019,2019-03-03,62
2.4,2019,2019-05-14,134
2.5,2019,2019-05-26,146
2.6,2019,2019-05-26,146
2.8,2019,2019-04-08,98
2.9,2019,2019-04-08,98
3.0,2019,2019-03-03,62
3.1,2019,2019-03-03,62
3.2,2019,2019-03-15,74
3.3,2019,2019-03-27,86
3.4,2019,2019-03-15,74
3.5,2019,2019-03-15,74
3.7,2019,2019-04-20,110
3.8,2019,2019-03-15,74
3.9,2019,2019-03-15,74
4.0,2019,2019-03-03,62
4.1,2019,2019-03-03,62
4.5,2019,2019-03-15,74
4.7,2019,2019-03-15,74
4.8,2019,2019-03-15,74
5.1,2019,2019-06-07,158
5.2,2019,2019-06-07,158
5.3,2019,2019-06-07,158
5.4,2019,2019-06-07,158
5.9,2019,2019-04-20,110
6.0,2019,2019-03-15,74
6.1,2019,2019-03-27,86
6.2,2019,2019-03-27,86
6.3,2019,2019-03-03,62
6.4,2019,2019-03-15,74
6.5,2019,2019-03-15,74
6.6,2019,2019-03-27,86
6.7,2019,2019-05-02,122
6.8,2019,2019-05-02,122
6.9,2019,2019-03-27,86
7.0,2019,2019-04-20,110
7.1,2019,2019-03-27,86
7.2,2019,2019-03-27,86
7.3,2019,2019-04-08,98
7.4,2019,2019-03-27,86
7.8,2019,2019-03-27,86
7.9,2019,2019-04-08,98
8.4,2019,2019-05-14,134
8.9,2019,2019-04-08,98
9.0,2019,2019-03-15,74
9.1,2019,2019-03-03,62
9.2,2019,2019-04-08,98
9.3,2019,2019-04-08,98
9.4,2019,2019-04-08,98
9.6,2019,2019-05-02,122
10.0,2019,2019-05-14,134
10.1,2019,2019-05-02,122
10.2,2019,2019-05-02,122
10.3,2019,2019-05-02,122
10.4,2019,2019-05-02,122
10.5,2019,2019-05-02,122
10.6,2019,2019-05-02,122
10.7,2019,2019-05-02,122
10.8,2019,2019-03-15,74
10.9,2019,2019-05-02,122
11.0,2019,2019-05-02,122
11.1,2019,2019-05-02,122
11.2,2019,2019-04-20,110
11.3,2019,2019-04-20,110
11.4,2019,2019-05-14,134
11.5,2019,2019-03-03,62
11.6,2019,2019-03-03,62
11.8,2019,2019-04-20,110
11.9,2019,2019-03-03,62
12.1,2019,2019-03-15,74
12.2,2019,2019-03-15,74
12.3,2019,2019-03-15,74
12.4,2019,2019-03-15,74
12.5,2019,2019-04-20,110
12.6,2019,2019-03-03,62
12.7,2019,2019-03-03,62
13.0,2019,2019-03-03,62
13.1,2019,2019-03-03,62
13.2,2019,2019-03-03,62
13.3,2019,2019-03-03,62
