distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,92.0,67.0,105.5,65,142,3,True
0.1,90.5,68.0,106.0,65,130,4,True
0.2,75.5,70.25,80.75,65,86,2,True
0.3,95.4,69.0,103.0,62,142,5,True
0.4,81.5,71.75,91.25,62,101,2,True
0.5,81.5,71.75,91.25,62,101,2,True
0.6,105.5,91.25,118.75,62,151,4,True
0.7,94.75,89.75,105.0,62,117,4,True
0.8,82.75,67.25,99.5,62,101,4,True
0.9,99.0,99.0,99.0,99,99,1,True
1.0,96.5,95.25,97.75,94,99,2,True
1.1,90.5,88.75,92.25,87,94,2,True
1.2,90.0,85.0,94.5,82,99,4,True
1.3,107.75,85.25,132.5,62,149,4,True
1.4,113.5,103.25,123.75,93,134,2,True
1.5,103.0,97.5,110.0,81,122,4,True
1.6,114.6,103.0,122.0,93,149,5,True
1.7,111.8,69.0,149.0,60,154,5,True
1.8,118.66666666666667,114.5,125.0,106,127,3,True
1.9,117.0,105.25,127.25,103,134,4,True
2.0,120.6,101.0,147.0,74,154,5,True
2.1,96.5,85.5,109.5,62,127,6,True
2.2,96.5,77.25,111.75,62,127,6,True
2.3,92.5,64.75,120.75,62,127,6,True
2.4,91.16666666666667,72.25,104.25,63,134,6,True
2.5,107.0,79.0,146.0,63,165,5,True
2.6,131.0,116.75,146.25,113,147,4,True
2.7,91.5,78.25,104.75,65,118,2,True
2.8,87.0,66.5,103.0,65,118,4,True
2.9,120.0,109.0,131.0,98,142,2,True
3.0,126.0,116.75,147.75,62,165,4,True
3.1,125.8,135.0,142.0,62,153,5,True
3.2,116.2,93.0,137.0,74,142,5,True
3.3,112.25,102.5,122.75,86,137,4,True
3.4,89.2,74.0,105.0,70,108,5,True
3.5,100.83333333333333,91.5,107.5,74,129,6,True
3.6,86.4,69.0,89.0,60,127,5,True
3.7,78.6,67.0,87.0,60,110,5,True
3.8,69.6,63.0,74.0,60,82,5,True
3.9,77.5,70.5,87.5,60,89,4,True
4.0,90.85714285714286,83.0,99.5,62,120,7,True
4.1,90.2,65.0,117.0,62,120,5,True
4.2,101.66666666666667,89.25,113.75,79,129,6,True
4.3,106.25,97.5,113.25,87,129,4,True
4.4,81.6,67.0,93.0,60,101,5,True
4.5,88.33333333333333,64.0,94.25,60,165,6,True
4.6,72.75,62.25,75.5,60,101,4,True
4.7,94.33333333333333,78.75,109.5,67,120,6,True
